[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/23/19 7:44 AM 0.543785 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,1.092436
2,0.013996,0.0,0.8168488
3,0.027996,0.0,1.113718
4,0.041997,0.0,0.8084419
5,0.055996,0.0,1.0994
6,0.069997,0.0,0.8874404
7,0.083996,0.0,1.032332
8,0.097997,0.0,1.004837
9,0.111996,0.0,0.9169927
10,0.125997,0.0,1.087061
11,0.139996,0.0,0.821878
12,0.153996,0.0,1.112213
13,0.167996,0.0,0.8053577
14,0.181997,0.0,1.101623
15,0.195996,0.0,0.8761299
16,0.209997,0.0,1.044066
17,0.223996,0.0,0.9910967
18,0.237997,0.0,0.9311202
19,0.251996,0.0,1.081966
20,0.265997,0.0,0.8289132
21,0.279996,0.0,1.111313
22,0.293997,0.0,0.8030999
23,0.307996,0.0,1.106495
24,0.321997,0.0,0.8638988
25,0.335996,0.0,1.054011
26,0.349996,0.0,0.980372
27,0.363996,0.0,0.9439964
28,0.377997,0.0,1.075709
29,0.391996,0.0,0.8367691
30,0.405996,0.0,1.110112
31,0.419996,0.0,0.8009305
32,0.433997,0.0,1.107745
33,0.447996,0.0,0.8543341
34,0.461997,0.0,1.06028
35,0.475996,0.0,0.9676785
36,0.489997,0.0,0.9581449
37,0.503996,0.0,1.066295
38,0.517997,0.0,0.8459542
39,0.531996,0.0,1.109024
40,0.545997,0.0,0.8000863
41,0.559996,0.0,1.108771
42,0.573996,0.0,0.8451588
43,0.587996,0.0,1.070876
44,0.601996,0.0,0.9526055
45,0.615996,0.0,0.971447
46,0.629997,0.0,1.060211
47,0.643996,0.0,0.8547039
48,0.657997,0.0,1.10517
49,0.671996,0.0,0.8011653
50,0.685997,0.0,1.10931
51,0.699996,0.0,0.8348582
52,0.713997,0.0,1.076523
53,0.727996,0.0,0.9410388
54,0.741997,0.0,0.9811528
55,0.755996,0.0,1.050858
56,0.769996,0.0,0.8663044
57,0.783996,0.0,1.102473
58,0.797997,0.0,0.8028512
59,0.811996,0.0,1.11165
60,0.825997,0.0,0.8259647
61,0.839996,0.0,1.082903
62,0.853997,0.0,0.9274633
63,0.867996,0.0,0.9953794
64,0.881997,0.0,1.040441
65,0.895996,0.0,0.8775468
66,0.909997,0.0,1.102701
67,0.923996,0.0,0.805573
68,0.937997,0.0,0.189621
69,0.951996,0.0,0.2347257
70,0.965996,0.0,0.1063595
71,0.979996,0.0,0.1232841
72,0.993997,0.0,0.191484
73,1.007996,0.0,0.2755675
74,1.021996,0.0,0.1209652
75,1.035996,0.0,0.1795006
