[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/23/19 8:56 AM 0.782503 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,0.9718583
2,0.013997,0.0,1.064404
3,0.027996,0.0,0.7936625
4,0.041997,0.0,1.120559
5,0.055996,0.0,0.6973517
6,0.069997,0.0,1.122325
7,0.083996,0.0,0.7389026
8,0.097997,0.0,1.099847
9,0.111996,0.0,0.8968112
10,0.125997,0.0,0.9841039
11,0.139996,0.0,1.055598
12,0.153997,0.0,0.8053095
13,0.167996,0.0,1.118196
14,0.181997,0.0,0.7004406
15,0.195996,0.0,1.124527
16,0.209997,0.0,0.7288587
17,0.223996,0.0,1.10389
18,0.237997,0.0,0.8820496
19,0.251996,0.0,0.9965265
20,0.265997,0.0,1.046018
21,0.279996,0.0,0.8196106
22,0.293997,0.0,1.117434
23,0.307996,0.0,0.7019517
24,0.321997,0.0,1.123671
25,0.335996,0.0,0.7223799
26,0.349997,0.0,1.106322
27,0.363996,0.0,0.8661225
28,0.377997,0.0,1.008333
29,0.391996,0.0,1.035256
30,0.405997,0.0,0.8321748
31,0.419996,0.0,1.114818
32,0.433997,0.0,0.7068949
33,0.447996,0.0,1.122894
34,0.461997,0.0,0.7157826
35,0.475996,0.0,1.111039
36,0.489997,0.0,0.8532887
37,0.503996,0.0,1.020348
38,0.517997,0.0,1.025117
39,0.531996,0.0,0.8448803
40,0.545997,0.0,1.110903
41,0.559996,0.0,0.7110338
42,0.573997,0.0,1.124202
43,0.587996,0.0,0.7085402
44,0.601997,0.0,1.113038
45,0.615996,0.0,0.840055
46,0.629997,0.0,1.029525
47,0.643996,0.0,1.014343
48,0.657997,0.0,0.8591726
49,0.671996,0.0,1.10817
50,0.685997,0.0,0.7175198
51,0.699996,0.0,1.124
52,0.713997,0.0,0.7056868
53,0.727996,0.0,1.114367
54,0.741997,0.0,0.8258262
55,0.755996,0.0,1.041761
56,0.769997,0.0,1.000838
57,0.783996,0.0,0.8723159
58,0.797997,0.0,1.103903
59,0.811996,0.0,0.724498
60,0.825997,0.0,1.123161
61,0.839996,0.0,0.7001066
62,0.853997,0.0,1.118103
63,0.867996,0.0,0.8120432
64,0.881997,0.0,1.05075
65,0.895996,0.0,0.9904542
66,0.909997,0.0,0.8880284
67,0.923996,0.0,1.101214
68,0.937997,0.0,0.7330201
69,0.951996,0.0,1.123244
70,0.965997,0.0,0.6964879
71,0.979996,0.0,0.5703704
72,0.993997,0.0,0.546392
73,1.007996,0.0,0.5853169
74,1.021997,0.0,0.4718308
75,1.035996,0.0,0.4016867
76,1.049997,0.0,0.4253149
