[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,960,,
BaseTimestamp,4/23/19 8:51 AM 0.331335 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,1.081818
2,0.013996,0.0,0.8505962
3,0.027996,0.0,1.095009
4,0.041997,0.0,0.8611269
5,0.055996,0.0,1.072338
6,0.069996,0.0,0.929518
7,0.083996,0.0,1.00737
8,0.097997,0.0,1.020249
9,0.111996,0.0,0.9138141
10,0.125997,0.0,1.080547
11,0.139996,0.0,0.8529491
12,0.153997,0.0,1.095455
13,0.167996,0.0,0.8567395
14,0.181996,0.0,1.078451
15,0.195996,0.0,0.9217465
16,0.209996,0.0,1.014203
17,0.223996,0.0,1.013361
18,0.237997,0.0,0.9197819
19,0.251996,0.0,1.076829
20,0.265996,0.0,0.8559139
21,0.279996,0.0,1.094691
22,0.293997,0.0,0.8541551
23,0.307996,0.0,1.080754
24,0.321997,0.0,0.9142051
25,0.335996,0.0,1.018523
26,0.349997,0.0,1.005598
27,0.363996,0.0,0.927351
28,0.377997,0.0,1.072298
29,0.391996,0.0,0.8590543
30,0.405996,0.0,1.095034
31,0.419996,0.0,0.8502972
32,0.433997,0.0,1.083511
33,0.447996,0.0,0.9056747
34,0.461996,0.0,1.026531
35,0.475996,0.0,0.9973271
36,0.489997,0.0,0.9365532
37,0.503996,0.0,1.071027
38,0.517997,0.0,0.8624074
39,0.531996,0.0,1.095041
40,0.545997,0.0,0.84951
41,0.559996,0.0,1.085542
42,0.573997,0.0,0.8996656
43,0.587996,0.0,1.035675
44,0.601997,0.0,0.9903276
45,0.615996,0.0,0.9446082
46,0.629997,0.0,1.065491
47,0.643996,0.0,0.8697369
48,0.657997,0.0,1.088805
49,0.671996,0.0,0.5282912
50,0.685996,0.0,0.5451024
51,0.699996,0.0,0.5282879
52,0.713997,0.0,0.3484507
53,0.727996,0.0,0.2576513
54,0.741997,0.0,0.8862326
55,0.755996,0.0,1.053338
56,0.769997,0.0,0.7759695
57,0.783996,0.0,0.9080935
58,0.797997,0.0,0.3437495
59,0.811996,0.0,0.7080708
60,0.825997,0.0,0.3547678
61,0.839996,0.0,0.07260513
62,0.853997,0.0,0.3909039
63,0.867996,0.0,0.8478012
64,0.881996,0.0,0.6365573
65,0.895996,0.0,0.08368349
66,0.909997,0.0,0.3327332
67,0.923996,0.0,0.3556826
68,0.937997,0.0,1.07323
69,0.951996,0.0,0.4971178
70,0.965996,0.0,0.8426054
71,0.979996,0.0,0.5834785
72,0.993997,0.0,0.7924969
73,1.007996,0.0,0.9933331
74,1.021997,0.0,0.8124249
75,1.035996,0.0,0.9767818
76,1.049997,0.0,0.814898
77,1.063996,0.0,1.091451
78,1.077997,0.0,0.6524081
79,1.091996,0.0,0.5994382
80,1.105996,0.0,0.2899573
81,1.119996,0.0,0.3883941
82,1.133997,0.0,0.2891278
83,1.147996,0.0,0.8788238
84,1.161996,0.0,0.8561935
85,1.175996,0.0,0.5612352
86,1.189997,0.0,0.4712677
87,1.203996,0.0,0.09480238
88,1.217997,0.0,0.4308872
89,1.231996,0.0,0.5283439
90,1.245997,0.0,0.9700561
91,1.259996,0.0,0.578155
92,1.273997,0.0,0.6725531
93,1.287996,0.0,0.8406019
94,1.301997,0.0,0.8418386
95,1.315996,0.0,0.9679916
96,1.329997,0.0,0.8645141
97,1.343996,0.0,0.9216108
98,1.357996,0.0,0.9387038
99,1.371996,0.0,0.9101262
100,1.385996,0.0,0.7675798
101,1.399996,0.0,0.6459773
102,1.413997,0.0,0.3993676
103,1.427996,0.0,0.3773768
104,1.441997,0.0,0.6533816
105,1.455996,0.0,0.6521196
106,1.469997,0.0,0.07744122
107,1.483996,0.0,0.8670061
108,1.497997,0.0,0.6765797
109,1.511996,0.0,0.7838092
110,1.525997,0.0,0.6026587
111,1.539996,0.0,1.076145
112,1.553996,0.0,0.7901928
113,1.567996,0.0,0.6859386
114,1.581996,0.0,0.8337739
115,1.595996,0.0,1.026703
116,1.609997,0.0,0.8041742
117,1.623996,0.0,1.011037
118,1.637997,0.0,0.834444
119,1.651996,0.0,0.8946223
120,1.665996,0.0,0.9756646
121,1.679996,0.0,0.4783947
122,1.693997,0.0,0.3709118
123,1.707996,0.0,0.2153144
124,1.721997,0.0,0.9565322
125,1.735996,0.0,0.7318621
126,1.749997,0.0,0.2835281
127,1.763996,0.0,0.9758174
128,1.777997,0.0,0.4439819
129,1.791996,0.0,0.4356856
130,1.805996,0.0,0.5776823
131,1.819996,0.0,1.086176
132,1.833997,0.0,0.7237339
133,1.847996,0.0,0.7441378
134,1.861996,0.0,0.9087214
135,1.875996,0.0,0.8917503
136,1.889997,0.0,0.8838756
137,1.903996,0.0,0.9262354
138,1.917997,0.0,1.067401
139,1.931996,0.0,0.8622594
140,1.945997,0.0,0.9497008
141,1.959996,0.0,0.4176037
142,1.973997,0.0,0.4531777
143,1.987996,0.0,0.5056317
144,2.001997,0.0,0.9234991
145,2.015996,0.0,0.4439063
146,2.029997,0.0,0.1817644
147,2.043996,0.0,0.6912174
148,2.057996,0.0,0.3972201
149,2.071996,0.0,0.5528712
150,2.085997,0.0,0.8254628
151,2.099996,0.0,0.5777001
152,2.113997,0.0,0.3482695
153,2.127996,0.0,0.2909982
154,2.141997,0.0,0.6919544
155,2.155996,0.0,0.6926229
156,2.169997,0.0,0.4389544
157,2.183996,0.0,0.7801352
158,2.197997,0.0,0.7010038
159,2.211996,0.0,0.8473747
160,2.225997,0.0,0.896162
161,2.239996,0.0,0.6991236
162,2.253996,0.0,0.5229053
163,2.267996,0.0,0.5126898
164,2.281996,0.0,0.6018536
165,2.295996,0.0,0.5502138
166,2.309997,0.0,0.6298203
167,2.323996,0.0,0.6910558
168,2.337997,0.0,0.8461292
169,2.351996,0.0,0.4751401
170,2.365997,0.0,0.3998032
171,2.379996,0.0,0.6169569
172,2.393997,0.0,0.2485952
173,2.407996,0.0,0.1706462
174,2.421997,0.0,0.3905504
175,2.435996,0.0,0.4564812
176,2.449997,0.0,0.8132722
177,2.463996,0.0,0.7790787
178,2.477996,0.0,0.9951108
179,2.491996,0.0,0.8776147
180,2.505997,0.0,0.9542694
181,2.519996,0.0,0.5774238
182,2.533997,0.0,0.2757316
183,2.547996,0.0,0.4927416
184,2.561996,0.0,0.4606273
185,2.575996,0.0,0.7784288
186,2.589997,0.0,0.6984484
187,2.603996,0.0,0.4557672
188,2.617997,0.0,0.7639828
189,2.631996,0.0,0.1073635
190,2.645997,0.0,0.5742006
191,2.659996,0.0,0.8984883
192,2.673997,0.0,1.031685
193,2.687996,0.0,0.2772737
194,2.701997,0.0,1.069419
195,2.715996,0.0,0.5166516
196,2.729997,0.0,0.500838
197,2.743996,0.0,0.639137
198,2.757996,0.0,0.9840975
199,2.771996,0.0,0.8450511
200,2.785997,0.0,0.01788759
201,2.799996,0.0,0.7476966
202,2.813997,0.0,0.3354485
203,2.827996,0.0,0.5277112
204,2.841997,0.0,0.09484386
205,2.855996,0.0,0.1096058
206,2.869997,0.0,0.3465292
207,2.883996,0.0,0.70804
208,2.897997,0.0,0.3792536
209,2.911996,0.0,0.4433947
210,2.925997,0.0,0.5480728
211,2.939996,0.0,0.7443767
212,2.953996,0.0,0.5453217
213,2.967996,0.0,0.7487268
214,2.981997,0.0,0.7590332
215,2.995996,0.0,0.6915984
216,3.009997,0.0,0.9196041
217,3.023996,0.0,0.4892147
218,3.037996,0.0,0.9115839
219,3.051996,0.0,0.6518645
220,3.065997,0.0,0.7696378
221,3.079996,0.0,1.069964
222,3.093997,0.0,0.7633939
223,3.107996,0.0,0.6339614
224,3.121997,0.0,0.855763
225,3.135996,0.0,1.076562
226,3.149996,0.0,0.3582063
227,3.163996,0.0,0.6920519
228,3.177996,0.0,0.1011047
229,3.191996,0.0,0.4062088
230,3.205997,0.0,0.735441
231,3.219996,0.0,0.7523041
232,3.233997,0.0,0.7104645
233,3.247996,0.0,0.1986558
234,3.261997,0.0,1.072558
235,3.275996,0.0,0.655771
236,3.289997,0.0,0.5616641
237,3.303996,0.0,0.761148
238,3.317997,0.0,0.7601974
239,3.331996,0.0,0.9008689
240,3.345996,0.0,0.8014181
241,3.359996,0.0,1.089081
242,3.373996,0.0,0.7095261
243,3.387996,0.0,0.7634368
244,3.401997,0.0,0.4630747
245,3.415996,0.0,0.592649
246,3.429997,0.0,0.2263331
247,3.443996,0.0,0.2629602
248,3.457997,0.0,0.3881893
249,3.471996,0.0,0.8633037
250,3.485997,0.0,0.3289974
251,3.499996,0.0,0.4674776
252,3.513997,0.0,0.5030358
253,3.527996,0.0,0.5710816
254,3.541997,0.0,0.8549535
255,3.555996,0.0,0.6579583
256,3.569996,0.0,0.6792347
257,3.583996,0.0,0.9902496
258,3.597997,0.0,0.2560596
259,3.611996,0.0,0.9042706
260,3.625997,0.0,0.8485692
261,3.639996,0.0,0.5554721
262,3.653997,0.0,0.8932283
263,3.667996,0.0,1.041275
264,3.681997,0.0,0.9815869
265,3.695996,0.0,0.2232432
266,3.709997,0.0,1.059577
267,3.723996,0.0,0.521307
268,3.737997,0.0,0.05009937
269,3.751996,0.0,0.7055919
270,3.765996,0.0,0.3582671
271,3.779996,0.0,0.6963596
272,3.793997,0.0,0.3568373
273,3.807996,0.0,0.7904203
274,3.821997,0.0,0.6990433
275,3.835996,0.0,1.047763
276,3.849996,0.0,0.6811686
277,3.863996,0.0,0.5718038
278,3.877997,0.0,0.4439697
279,3.891996,0.0,1.026776
280,3.905997,0.0,0.8612018
281,3.919996,0.0,0.6689162
282,3.933997,0.0,0.9491451
283,3.947996,0.0,0.8450868
284,3.961997,0.0,1.046963
285,3.975996,0.0,0.8827357
286,3.989997,0.0,1.088299
287,4.003996,0.0,0.8481312
288,4.017997,0.0,0.5076914
289,4.031996,0.0,0.657583
290,4.045996,0.0,0.2107189
291,4.059996,0.0,0.9525721
292,4.073997,0.0,0.9187109
293,4.087996,0.0,1.012124
294,4.101997,0.0,0.8758695
295,4.115996,0.0,0.4015987
