[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,current&voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,,localnode.smua.nvbuffer2,,
NumReadings,1000,,,1000,,
BaseTimestamp,4/19/19 6:49 AM 0.361317 (GMT),,,4/19/19 6:49 AM 0.361317 (GMT),,
,,,,,,
,Timestamp,Source Value,Reading,Timestamp,Source Value,Reading
,(seconds),(Amps),(Amps),(seconds),(Amps),(Volts)
1,0.0,0.0,1.767874E-4,0.0,0.0,0.6879704
2,0.013996,0.0,1.7488E-4,0.013996,0.0,0.6859806
3,0.027997,0.0,1.87397E-4,0.027997,0.0,0.6868589
4,0.041996,0.0,1.826286E-4,0.041996,0.0,0.6866574
5,0.055997,0.0,1.58906E-4,0.055997,0.0,0.6856191
6,0.069996,0.0,1.546144E-4,0.069996,0.0,0.6859334
7,0.083997,0.0,1.734495E-4,0.083997,0.0,0.6870286
8,0.097996,0.0,1.685619E-4,0.097996,0.0,0.6869214
9,0.111997,0.0,1.767874E-4,0.111997,0.0,0.6865087
10,0.125996,0.0,1.956224E-4,0.125996,0.0,0.6872025
11,0.139997,0.0,1.913309E-4,0.139997,0.0,0.6867192
12,0.153996,0.0,1.579523E-4,0.153996,0.0,0.6859391
13,0.167997,0.0,1.753569E-4,0.167997,0.0,0.6862967
