[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 uA
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/19/19 7:34 AM 0.510123 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,0.7809713
2,0.013996,0.0,0.6116059
3,0.027997,0.0,0.7792099
4,0.041996,0.0,0.6159577
5,0.055997,0.0,0.7722175
6,0.069996,0.0,0.6255605
7,0.083997,0.0,0.7602196
8,0.097996,0.0,0.6399674
9,0.111997,0.0,0.7443924
10,0.125996,0.0,0.6577072
11,0.139997,0.0,0.7253265
12,0.153996,0.0,0.6779122
13,0.167997,0.0,0.7042677
14,0.181996,0.0,0.6992342
15,0.195997,0.0,0.6828001
16,0.209996,0.0,0.720329
17,0.223997,0.0,0.6622264
18,0.237996,0.0,0.740078
19,0.251997,0.0,0.6438746
20,0.265996,0.0,0.7568853
21,0.279997,0.0,0.6287527
22,0.293996,0.0,0.7698135
23,0.307997,0.0,0.6178555
24,0.321996,0.0,0.7779815
25,0.335997,0.0,0.6121252
26,0.349996,0.0,0.7809122
27,0.363997,0.0,0.6117773
28,0.377996,0.0,0.7786794
29,0.391997,0.0,0.6170473
30,0.405996,0.0,0.7709842
31,0.419997,0.0,0.6273649
32,0.433996,0.0,0.7584631
33,0.447997,0.0,0.6419897
34,0.461996,0.0,0.7419639
35,0.475997,0.0,0.660109
36,0.489996,0.0,0.7224853
37,0.503997,0.0,0.6805415
38,0.517996,0.0,0.7015572
39,0.531997,0.0,0.7021675
40,0.545996,0.0,0.6801083
41,0.559997,0.0,0.7232418
42,0.573996,0.0,0.6596768
43,0.587997,0.0,0.7424221
44,0.601996,0.0,0.6415331
45,0.615997,0.0,0.7587392
46,0.629996,0.0,0.6268425
47,0.643997,0.0,0.7711022
48,0.657996,0.0,0.6168489
49,0.671997,0.0,0.7787671
50,0.685996,0.0,0.6118627
51,0.699997,0.0,0.7810752
52,0.713996,0.0,0.6122844
53,0.727997,0.0,0.7778864
54,0.741996,0.0,0.6180165
55,0.755997,0.0,0.7695193
56,0.769996,0.0,0.6288958
57,0.783997,0.0,0.7564123
58,0.797996,0.0,0.6442354
59,0.811997,0.0,0.7396677
60,0.825996,0.0,0.6627657
61,0.839997,0.0,0.7200105
62,0.853996,0.0,0.6833584
63,0.867997,0.0,0.6987534
64,0.881996,0.0,0.7036567
65,0.895997,0.0,0.06708193
66,0.909996,0.0,0.7256744
67,0.923997,0.0,0.5554421
68,0.937996,0.0,0.229351
69,0.951996,0.0,0.6393881
70,0.965996,0.0,0.1429367
71,0.979997,0.0,0.6254857
72,0.993996,0.0,0.3545465
73,1.007997,0.0,0.2419927
