[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 uA
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/19/19 7:41 AM 0.15137 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,0.6899619
2,0.013996,0.0,0.6900237
3,0.027996,0.0,0.6899691
4,0.041996,0.0,0.6899562
5,0.055996,0.0,0.6900561
6,0.069997,0.0,0.6899951
7,0.083996,0.0,0.6899667
8,0.097997,0.0,0.6898911
9,0.111996,0.0,0.6898236
10,0.125997,0.0,0.68977
11,0.139996,0.0,0.689744
12,0.153997,0.0,0.689831
13,0.167996,0.0,0.6897976
14,0.181997,0.0,0.6898034
15,0.195996,0.0,0.6898992
16,0.209996,0.0,0.6898732
17,0.223996,0.0,0.6898644
18,0.237996,0.0,0.6898041
19,0.251996,0.0,0.6897595
20,0.265997,0.0,0.6896563
21,0.279996,0.0,0.6896393
22,0.293997,0.0,0.689744
23,0.307996,0.0,0.6896765
24,0.321997,0.0,0.6897092
25,0.335996,0.0,0.6898236
26,0.349997,0.0,0.6897635
27,0.363996,0.0,0.6897733
28,0.377997,0.0,0.6897099
29,0.391996,0.0,0.6896782
30,0.405996,0.0,0.6895978
31,0.419996,0.0,0.689579
32,0.433996,0.0,0.6896644
33,0.447996,0.0,0.6895969
34,0.461997,0.0,0.6896377
35,0.475996,0.0,0.6897449
36,0.489997,0.0,0.6896944
37,0.503996,0.0,0.6896701
38,0.517997,0.0,0.6896694
39,0.531996,0.0,0.6896026
40,0.545997,0.0,0.689497
41,0.559996,0.0,0.6895206
42,0.573997,0.0,0.6895638
43,0.587996,0.0,0.6895449
44,0.601997,0.0,0.689606
45,0.615996,0.0,0.6896653
46,0.629996,0.0,0.2185326
47,0.643996,0.0,0.6086264
48,0.657997,0.0,0.04438376
49,0.671996,0.0,0.01479578
50,0.685996,0.0,0.01345372
51,0.699996,0.0,0.007710218
52,0.713996,0.0,0.6895766
53,0.727996,0.0,0.005538464
54,0.741997,0.0,0.6895206
55,0.755996,0.0,0.1895101
56,0.769997,0.0,0.6896002
57,0.783996,0.0,0.01544428
58,0.797997,0.0,0.01047182
59,0.811996,0.0,0.3593884
60,0.825997,0.0,0.01050425
61,0.839996,0.0,0.1169763
62,0.853997,0.0,0.6894946
63,0.867996,0.0,0.5330286
64,0.881996,0.0,0.6894321
65,0.895996,0.0,0.1119006
66,0.909996,0.0,0.6685035
67,0.923996,0.0,0.232075
68,0.937997,0.0,0.689523
69,0.951996,0.0,0.689467
70,0.965997,0.0,0.01801896
71,0.979996,0.0,0.02274847
72,0.993997,0.0,0.05092669
73,1.007996,0.0,0.009373426
74,1.021997,0.0,0.6893816
