[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 uA
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/19/19 7:29 AM 0.951282 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,0.6875601
2,0.013996,0.0,0.6996791
3,0.027997,0.0,0.7044013
4,0.041996,0.0,0.6920865
5,0.055996,0.0,0.6879907
6,0.069996,0.0,0.7003698
7,0.083996,0.0,0.7041185
8,0.097996,0.0,0.6916754
9,0.111997,0.0,0.68838
10,0.125996,0.0,0.7011149
11,0.139996,0.0,0.7037449
12,0.153996,0.0,0.6909027
13,0.167997,0.0,0.6886709
14,0.181996,0.0,0.7015617
15,0.195997,0.0,0.7033052
16,0.209996,0.0,0.6902707
17,0.223997,0.0,0.6892281
18,0.237996,0.0,0.7023685
19,0.251997,0.0,0.7028608
20,0.265996,0.0,0.6897976
21,0.279996,0.0,0.6897683
22,0.293996,0.0,0.7027967
23,0.307997,0.0,0.7021508
24,0.321996,0.0,0.689116
25,0.335996,0.0,0.6903112
26,0.349996,0.0,0.7032502
27,0.363997,0.0,0.7017047
28,0.377996,0.0,0.6888876
29,0.391997,0.0,0.6909969
30,0.405996,0.0,0.7038245
31,0.419997,0.0,0.7010767
32,0.433996,0.0,0.6883011
33,0.447997,0.0,0.6915014
34,0.461996,0.0,0.7040341
35,0.475997,0.0,0.7004087
36,0.489996,0.0,0.6879451
37,0.503997,0.0,0.6921725
38,0.517996,0.0,0.7045484
39,0.531996,0.0,0.6998246
40,0.545996,0.0,0.6877339
41,0.559997,0.0,0.6925366
42,0.573996,0.0,0.1267886
43,0.587997,0.0,0.3368633
44,0.601996,0.0,0.0765729
45,0.615996,0.0,0.1378515
46,0.629996,0.0,0.02177691
47,0.643997,0.0,0.3147025
48,0.657996,0.0,0.04543328
49,0.671997,0.0,0.06408167
50,0.685996,0.0,0.08169961
51,0.699997,0.0,0.6976626
52,0.713996,0.0,0.03286171
53,0.727996,0.0,0.1665282
54,0.741996,0.0,0.1424794
55,0.755997,0.0,0.1700797
56,0.769996,0.0,0.01128292
57,0.783997,0.0,0.6932027
58,0.797996,0.0,0.08114624
59,0.811996,0.0,0.05594206
60,0.825996,0.0,0.1336193
61,0.839997,0.0,0.1714787
62,0.853996,0.0,0.2814116
63,0.867997,0.0,0.07177901
64,0.881996,0.0,0.01768041
65,0.895997,0.0,0.2322781
66,0.909996,0.0,0.05742812
67,0.923996,0.0,0.1554322
68,0.937996,0.0,0.03943872
69,0.951997,0.0,0.2873373
70,0.965996,0.0,0.2330451
71,0.979997,0.0,0.2503812
72,0.993996,0.0,0.2118878
73,1.007996,0.0,0.1918657
