[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 uA
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/19/19 8:06 AM 0.2261 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,0.6899941
2,0.013996,0.0,0.7032619
3,0.027997,0.0,0.7019985
4,0.041996,0.0,0.6889012
5,0.055997,0.0,0.6911633
6,0.069996,0.0,0.703989
7,0.083997,0.0,0.7006822
8,0.097996,0.0,0.6881301
9,0.111997,0.0,0.6923552
10,0.125996,0.0,0.7046349
11,0.139997,0.0,0.6996
12,0.153996,0.0,0.6876509
13,0.167997,0.0,0.6938152
14,0.181996,0.0,0.7051477
15,0.195997,0.0,0.6981261
16,0.209996,0.0,0.6871796
17,0.223997,0.0,0.6950371
18,0.237996,0.0,0.7053418
19,0.251997,0.0,0.6966231
20,0.265996,0.0,0.6871188
21,0.279997,0.0,0.6967223
22,0.293996,0.0,0.7053971
23,0.307997,0.0,0.6952996
24,0.321996,0.0,0.6872616
25,0.335997,0.0,0.6979921
26,0.349996,0.0,0.7050803
27,0.363997,0.0,0.6937559
28,0.377996,0.0,0.6875622
29,0.391997,0.0,0.6993594
30,0.405996,0.0,0.7047007
31,0.419997,0.0,0.6925752
32,0.433996,0.0,0.6881683
33,0.447997,0.0,0.7007506
34,0.461996,0.0,0.7040653
35,0.475997,0.0,0.691273
36,0.489996,0.0,0.6887598
37,0.503997,0.0,0.7017629
38,0.517996,0.0,0.7033033
39,0.531997,0.0,0.6901119
40,0.545996,0.0,0.6897211
41,0.559997,0.0,0.7029808
42,0.573996,0.0,0.7023544
43,0.587997,0.0,0.6893139
44,0.601996,0.0,0.6907847
45,0.615997,0.0,0.7037511
46,0.629996,0.0,0.7011356
47,0.643997,0.0,0.04512262
48,0.657996,0.0,0.09003162
49,0.671997,0.0,0.03571987
50,0.685996,0.0,0.04606104
51,0.699997,0.0,0.08071494
52,0.713996,0.0,0.1280689
53,0.727997,0.0,0.06628776
54,0.741996,0.0,0.05783558
55,0.755997,0.0,0.03596115
56,0.769996,0.0,0.09316468
57,0.783997,0.0,0.06388927
58,0.797996,0.0,0.1003616
59,0.811997,0.0,0.03205633
60,0.825996,0.0,0.08557606
61,0.839997,0.0,0.08694744
62,0.853996,0.0,0.05452943
63,0.867997,0.0,0.04254127
64,0.881996,0.0,0.03362751
65,0.895997,0.0,0.02687669
66,0.909996,0.0,0.04631948
67,0.923997,0.0,0.06702781
68,0.937996,0.0,0.06492114
69,0.951997,0.0,0.04512501
70,0.965996,0.0,0.09450197
71,0.979997,0.0,0.02300453
72,0.993996,0.0,0.1512229
73,1.007997,0.0,0.08321905
