[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,current&voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,,localnode.smua.nvbuffer2,,
NumReadings,1000,,,1000,,
BaseTimestamp,4/19/19 6:04 AM 0.77802 (GMT),,,4/19/19 6:04 AM 0.77802 (GMT),,
,,,,,,
,Timestamp,Source Value,Reading,Timestamp,Source Value,Reading
,(seconds),(Amps),(Amps),(seconds),(Amps),(Volts)
1,0.0,0.0010,2.318621E-4,0.0,0.0010,-0.07330227
2,0.013996,0.0010,9.894371E-4,0.013996,0.0010,0.5375059
3,0.027997,0.0010,0.001012564,0.027997,0.0010,0.5790524
4,0.041996,0.0010,9.913445E-4,0.041996,0.0010,0.6218178
5,0.055997,0.0010,0.001013994,0.055997,0.0010,0.6499178
6,0.069996,0.0010,0.001005292,0.069996,0.0010,0.6617322
7,0.083997,0.0010,0.001004338,0.083997,0.0010,0.6757452
8,0.097996,0.0010,0.001011133,0.097996,0.0010,0.6930456
9,0.111997,0.0010,0.001016974,0.111997,0.0010,0.7031212
10,0.125996,0.0010,0.001048326,0.125996,0.0010,0.7067003
11,0.139997,0.0010,0.001024127,0.139997,0.0010,0.6981392
12,0.153996,0.0010,0.00103581,0.153996,0.0010,0.7086649
13,0.167997,0.0010,0.001016974,0.167997,0.0010,0.7076128
