[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,5 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/13/19 1:44 AM 0.823211 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,5.524158E-4
2,0.004996,0.001001001,0.01584482
3,0.009996,0.002002002,0.03144908
4,0.014997,0.003003003,0.0481472
5,0.019996,0.004004004,0.06390262
6,0.024996,0.005005005,0.07860947
7,0.029996,0.006006006,0.09359717
8,0.034996,0.007007007,0.1088765
9,0.039997,0.008008008,0.1221685
10,0.044996,0.009009009,0.135988
11,0.049996,0.01001001,0.1491437
12,0.054997,0.01101101,0.1607506
13,0.059996,0.01201201,0.1711674
14,0.064996,0.01301301,0.1826088
15,0.069997,0.01401401,0.1933131
16,0.074996,0.01501502,0.2036235
17,0.079997,0.01601602,0.2123649
18,0.084996,0.01701702,0.22051
19,0.089996,0.01801802,0.2296462
20,0.094997,0.01901902,0.2371724
21,0.099996,0.02002002,0.2452419
22,0.104996,0.02102102,0.252589
23,0.109997,0.02202202,0.2594397
24,0.114996,0.02302302,0.2653344
25,0.119997,0.02402402,0.2704554
26,0.124996,0.02502503,0.2739425
27,0.129996,0.02602603,0.2798102
28,0.134997,0.02702703,0.286072
29,0.139996,0.02802803,0.2901263
30,0.144996,0.02902903,0.2946517
31,0.149997,0.03003003,0.298121
32,0.154996,0.03103103,0.30358
33,0.159997,0.03203203,0.3087142
34,0.164997,0.03303303,0.3126504
35,0.169996,0.03403403,0.319767
36,0.174997,0.03503504,0.3226602
37,0.179996,0.03603604,0.3259645
38,0.184996,0.03703704,0.331461
39,0.189997,0.03803804,0.3347378
40,0.194996,0.03903904,0.3332906
41,0.199997,0.04004004,0.3326066
42,0.204996,0.04104104,0.3326855
43,0.209996,0.04204204,0.3246295
44,0.214997,0.04304304,0.3241739
45,0.219996,0.04404404,0.3226871
46,0.224996,0.04504504,0.3273377
47,0.229997,0.04604604,0.3331218
48,0.234996,0.04704705,0.3393118
49,0.239997,0.04804805,0.3387969
50,0.244996,0.04904905,0.3356631
51,0.249996,0.05005005,0.3362472
52,0.254997,0.05105105,0.3371019
53,0.259996,0.05205205,0.3411441
54,0.264996,0.05305305,0.3397694
55,0.269997,0.05405406,0.3354161
56,0.274996,0.05505506,0.3346508
57,0.279997,0.05605606,0.3368566
58,0.284996,0.05705706,0.3391991
59,0.289996,0.05805806,0.3373115
60,0.294997,0.05905906,0.3357062
61,0.299996,0.06006006,0.3370824
62,0.304996,0.06106106,0.3376284
63,0.309997,0.06206206,0.337683
64,0.314996,0.06306306,0.3336709
65,0.319997,0.06406406,0.3341463
66,0.324996,0.06506506,0.3337424
67,0.329996,0.06606606,0.3344989
68,0.334997,0.06706706,0.3365097
69,0.339996,0.06806806,0.3379266
70,0.344996,0.06906907,0.3388195
71,0.349997,0.07007007,0.3397636
72,0.354996,0.07107107,0.3411579
73,0.359997,0.07207207,0.3330202
74,0.364996,0.07307307,0.3258939
75,0.369996,0.07407407,0.3192251
76,0.374997,0.07507508,0.3211873
77,0.379996,0.07607608,0.3249197
78,0.384996,0.07707708,0.3256257
79,0.389997,0.07807808,0.3272004
80,0.394996,0.07907908,0.3309548
81,0.399997,0.08008008,0.3338723
82,0.404996,0.08108108,0.3351617
83,0.409996,0.08208209,0.3375132
84,0.414997,0.08308309,0.338423
85,0.419996,0.08408409,0.3367655
86,0.424996,0.08508509,0.3381534
87,0.429997,0.08608609,0.3416502
88,0.434996,0.08708709,0.3414025
89,0.439997,0.08808809,0.3426764
90,0.444996,0.08908909,0.341131
91,0.449996,0.09009009,0.3394208
92,0.454997,0.09109109,0.3404551
93,0.459996,0.09209209,0.3381031
94,0.464996,0.09309309,0.3366396
95,0.469997,0.0940941,0.3354471
96,0.474996,0.0950951,0.3381567
97,0.479997,0.0960961,0.3379745
98,0.484996,0.0970971,0.3364885
99,0.489996,0.0980981,0.3384523
100,0.494997,0.0990991,0.3386433
101,0.499996,0.1001001,0.3376381
102,0.504996,0.1011011,0.3383882
103,0.509997,0.1021021,0.3382833
104,0.514996,0.1031031,0.3383491
105,0.519997,0.1041041,0.3400879
106,0.524996,0.1051051,0.3394451
107,0.529996,0.1061061,0.3401203
108,0.534997,0.1071071,0.3389072
109,0.539996,0.1081081,0.3378713
110,0.544996,0.1091091,0.3382111
111,0.549997,0.1101101,0.3394184
112,0.554996,0.1111111,0.3410969
113,0.559997,0.1121121,0.3424757
114,0.564996,0.1131131,0.3425577
115,0.569996,0.1141141,0.3432956
116,0.574997,0.1151151,0.3449156
117,0.579996,0.1161161,0.3443208
118,0.584996,0.1171171,0.3430145
119,0.589997,0.1181181,0.3424139
120,0.594996,0.1191191,0.3439519
121,0.599997,0.1201201,0.344476
122,0.604996,0.1211211,0.3455062
123,0.609996,0.1221221,0.3479121
124,0.614997,0.1231231,0.3487098
125,0.619996,0.1241241,0.3482428
126,0.624996,0.1251251,0.3502512
127,0.629997,0.1261261,0.3518436
128,0.634996,0.1271271,0.3524611
129,0.639997,0.1281281,0.3527389
130,0.644996,0.1291291,0.3529568
131,0.649996,0.1301301,0.3515642
132,0.654997,0.1311311,0.3520296
133,0.659996,0.1321321,0.3521376
134,0.664996,0.1331331,0.3526261
135,0.669997,0.1341341,0.3532045
136,0.674996,0.1351351,0.3545165
137,0.679997,0.1361361,0.3554218
138,0.684996,0.1371371,0.3571222
139,0.689996,0.1381381,0.3586562
140,0.694997,0.1391391,0.3600113
141,0.699996,0.1401401,0.3619792
142,0.704996,0.1411411,0.3617167
143,0.709997,0.1421421,0.3599739
144,0.714996,0.1431431,0.3611195
145,0.719997,0.1441441,0.3624732
146,0.724996,0.1451451,0.3643484
147,0.729996,0.1461461,0.3654721
148,0.734997,0.1471471,0.3682897
149,0.739996,0.1481481,0.3695872
150,0.744996,0.1491491,0.3713307
151,0.749997,0.1501502,0.3730037
152,0.754996,0.1511512,0.3732662
153,0.759997,0.1521522,0.3755038
154,0.764996,0.1531532,0.3755045
155,0.769996,0.1541542,0.3747246
156,0.774997,0.1551552,0.3750155
157,0.779996,0.1561562,0.3756108
158,0.784996,0.1571572,0.3741038
159,0.789997,0.1581582,0.3714788
160,0.794996,0.1591592,0.3721547
161,0.799997,0.1601602,0.3695385
162,0.804996,0.1611612,0.367573
163,0.809996,0.1621622,0.3664203
164,0.814997,0.1631632,0.3659148
165,0.819996,0.1641642,0.3658352
166,0.824996,0.1651652,0.3660529
167,0.829996,0.1661662,0.3657808
168,0.834996,0.1671672,0.3673229
169,0.839997,0.1681682,0.3691664
170,0.844996,0.1691692,0.3704453
171,0.849996,0.1701702,0.3721716
172,0.854997,0.1711712,0.3744214
173,0.859996,0.1721722,0.3761845
174,0.864996,0.1731732,0.3783572
175,0.869997,0.1741742,0.3811407
176,0.874996,0.1751752,0.3816996
177,0.879997,0.1761762,0.3813908
178,0.884996,0.1771772,0.3801608
179,0.889996,0.1781782,0.3808107
180,0.894997,0.1791792,0.381681
181,0.899996,0.1801802,0.3822286
182,0.904996,0.1811812,0.382946
183,0.909997,0.1821822,0.3819735
184,0.914996,0.1831832,0.3833311
185,0.919997,0.1841842,0.3840535
186,0.924996,0.1851852,0.3839779
187,0.929996,0.1861862,0.3860896
188,0.934997,0.1871872,0.3873293
189,0.939996,0.1881882,0.3870409
190,0.944996,0.1891892,0.3870895
191,0.949997,0.1901902,0.3872488
192,0.954996,0.1911912,0.3886731
193,0.959997,0.1921922,0.3913462
194,0.964997,0.1931932,0.3927851
195,0.969996,0.1941942,0.3903053
196,0.974997,0.1951952,0.3914957
197,0.979996,0.1961962,0.3921561
198,0.984996,0.1971972,0.3927639
199,0.989997,0.1981982,0.3938892
200,0.994996,0.1991992,0.3960447
201,0.999997,0.2002002,0.3960505
202,1.004996,0.2012012,0.3964446
203,1.009996,0.2022022,0.3978021
204,1.014997,0.2032032,0.3963299
205,1.019996,0.2042042,0.3979874
206,1.024996,0.2052052,0.398782
207,1.029997,0.2062062,0.3981571
208,1.034996,0.2072072,0.3964186
209,1.039997,0.2082082,0.3996398
210,1.044996,0.2092092,0.3999293
211,1.049996,0.2102102,0.4004102
212,1.054997,0.2112112,0.4017417
213,1.059996,0.2122122,0.4002078
214,1.064996,0.2132132,0.3997073
215,1.069997,0.2142142,0.4011049
216,1.074996,0.2152152,0.402534
217,1.079997,0.2162162,0.402226
218,1.084996,0.2172172,0.4040971
219,1.089996,0.2182182,0.4060204
220,1.094997,0.2192192,0.4074664
221,1.099996,0.2202202,0.4097123
222,1.104996,0.2212212,0.4124112
223,1.109997,0.2222222,0.4118595
224,1.114996,0.2232232,0.4133098
225,1.119997,0.2242242,0.4135797
226,1.124996,0.2252252,0.4150429
227,1.129996,0.2262262,0.4179523
228,1.134997,0.2272272,0.4186795
229,1.139996,0.2282282,0.4181001
230,1.144996,0.2292292,0.4190719
231,1.149997,0.2302302,0.4167986
232,1.154996,0.2312312,0.4170773
233,1.159997,0.2322322,0.4157326
234,1.164996,0.2332332,0.4161763
235,1.169996,0.2342342,0.4168913
236,1.174997,0.2352352,0.4181368
237,1.179996,0.2362362,0.4193287
238,1.184996,0.2372372,0.4201095
239,1.189997,0.2382382,0.4213047
240,1.194996,0.2392392,0.4220579
241,1.199997,0.2402402,0.4214468
242,1.204996,0.2412412,0.4221601
243,1.209996,0.2422422,0.4220798
244,1.214997,0.2432432,0.4222414
245,1.219996,0.2442442,0.4231806
246,1.224996,0.2452452,0.4218986
247,1.229997,0.2462462,0.4222097
248,1.234996,0.2472472,0.422637
249,1.239997,0.2482482,0.424124
250,1.244996,0.2492492,0.4217954
251,1.249996,0.2502503,0.4227564
252,1.254997,0.2512513,0.4235575
253,1.259996,0.2522523,0.4234812
254,1.264996,0.2532533,0.4227979
255,1.269997,0.2542543,0.4239793
256,1.274996,0.2552553,0.4245384
257,1.279997,0.2562563,0.4253273
258,1.284996,0.2572573,0.4275656
259,1.289996,0.2582583,0.4258308
260,1.294997,0.2592593,0.4270627
261,1.299996,0.2602603,0.4279766
262,1.304996,0.2612613,0.4274795
263,1.309997,0.2622623,0.4268539
264,1.314996,0.2632633,0.4286461
265,1.319997,0.2642643,0.4280052
266,1.324996,0.2652653,0.4276695
267,1.329996,0.2662663,0.4288988
268,1.334997,0.2672673,0.4287176
269,1.339996,0.2682683,0.428257
270,1.344996,0.2692693,0.4299941
271,1.349997,0.2702703,0.4289467
272,1.354996,0.2712713,0.4289386
273,1.359997,0.2722723,0.4304442
274,1.364996,0.2732733,0.4321895
275,1.369996,0.2742743,0.4319782
276,1.374997,0.2752753,0.4343758
277,1.379996,0.2762763,0.4352555
278,1.384996,0.2772773,0.4366825
279,1.389997,0.2782783,0.4390378
280,1.394996,0.2792793,0.4386842
281,1.399997,0.2802803,0.4376557
282,1.404996,0.2812813,0.4396925
283,1.409996,0.2822823,0.4403563
284,1.414997,0.2832833,0.4396844
285,1.419996,0.2842843,0.4374242
286,1.424996,0.2852853,0.4379458
287,1.429997,0.2862863,0.4392295
288,1.434996,0.2872873,0.4409592
289,1.439997,0.2882883,0.4430878
290,1.444996,0.2892893,0.4443984
291,1.449996,0.2902903,0.4448721
292,1.454997,0.2912913,0.445925
293,1.459996,0.2922923,0.4468782
294,1.464996,0.2932933,0.449188
295,1.469997,0.2942943,0.4501517
296,1.474996,0.2952953,0.4499078
297,1.479997,0.2962963,0.4499331
298,1.484996,0.2972973,0.4518561
299,1.489996,0.2982983,0.4538491
300,1.494997,0.2992993,0.4533145
301,1.499996,0.3003003,0.453239
302,1.504996,0.3013013,0.4523859
303,1.509997,0.3023023,0.4528913
304,1.514996,0.3033033,0.4530594
305,1.519997,0.3043043,0.4525054
306,1.524996,0.3053053,0.4533949
307,1.529996,0.3063063,0.455405
308,1.534997,0.3073073,0.4559925
309,1.539996,0.3083083,0.4543066
310,1.544996,0.3093093,0.45596
311,1.549997,0.3103103,0.4562321
312,1.554996,0.3113113,0.4563458
313,1.559997,0.3123123,0.4550979
314,1.564996,0.3133133,0.4543562
315,1.569996,0.3143143,0.4596398
316,1.574997,0.3153153,0.1069655
317,1.579996,0.3163163,0.1749895
318,1.584996,0.3173173,0.1426821
319,1.589996,0.3183183,0.3420849
320,1.594996,0.3193193,0.1784148
321,1.599997,0.3203203,9.91E37
322,1.604996,0.3213213,9.91E37
323,1.609996,0.3223223,0.238512
324,1.614997,0.3233233,0.2511339
325,1.619996,0.3243243,0.2522299
326,1.624996,0.3253253,0.4004972
327,1.629997,0.3263263,0.4764473
328,1.634996,0.3273273,0.3598456
329,1.639997,0.3283283,0.4775784
330,1.644996,0.3293293,0.3564577
331,1.649996,0.3303303,0.5223694
332,1.654997,0.3313313,0.3861048
333,1.659996,0.3323323,0.484122
334,1.664996,0.3333333,0.8322244
335,1.669997,0.3343343,0.6859102
336,1.674996,0.3353353,0.7352536
337,1.679997,0.3363363,0.3263659
338,1.684996,0.3373373,0.3994734
339,1.689996,0.3383383,0.3421061
340,1.694997,0.3393393,0.3247459
341,1.699996,0.3403403,9.91E37
342,1.704996,0.3413413,1.624414
343,1.709997,0.3423423,0.2206879
344,1.714996,0.3433433,0.2889855
345,1.719997,0.3443443,0.2738621
346,1.724997,0.3453453,0.2286747
347,1.729996,0.3463463,0.5318201
348,1.734997,0.3473473,0.5600286
349,1.739996,0.3483483,0.5720954
350,1.744996,0.3493493,0.3227692
351,1.749997,0.3503504,0.4490759
352,1.754996,0.3513514,0.6010959
353,1.759997,0.3523524,0.4136989
354,1.764996,0.3533534,0.8173811
355,1.769996,0.3543544,0.322206
356,1.774997,0.3553554,0.387136
357,1.779996,0.3563564,0.5036628
358,1.784996,0.3573574,0.4729838
359,1.789997,0.3583584,0.5224571
360,1.794996,0.3593594,1.22153
361,1.799997,0.3603604,9.91E37
362,1.804996,0.3613614,0.6791961
363,1.809996,0.3623624,0.5988209
364,1.814997,0.3633634,0.6026249
365,1.819996,0.3643644,0.4713979
366,1.824996,0.3653654,0.5042624
367,1.829997,0.3663664,0.5392842
368,1.834996,0.3673674,0.6073601
369,1.839997,0.3683684,0.5700724
370,1.844996,0.3693694,0.5485823
371,1.849996,0.3703704,0.6429555
372,1.854997,0.3713714,9.91E37
373,1.859996,0.3723724,0.5818021
374,1.864996,0.3733734,0.43314
375,1.869997,0.3743744,1.914438
376,1.874996,0.3753754,9.91E37
377,1.879997,0.3763764,0.3702478
378,1.884996,0.3773774,0.419323
379,1.889996,0.3783784,0.389544
380,1.894997,0.3793794,0.3695676
381,1.899996,0.3803804,0.424964
382,1.904996,0.3813814,0.4368529
383,1.909997,0.3823824,0.3467503
384,1.914996,0.3833834,0.4541075
385,1.919997,0.3843844,0.4769845
386,1.924996,0.3853854,0.4468675
387,1.929996,0.3863864,0.3596563
388,1.934997,0.3873874,0.5092268
389,1.939996,0.3883884,0.2375979
390,1.944996,0.3893894,0.4179897
391,1.949997,0.3903904,0.4058652
392,1.954996,0.3913914,0.3199263
393,1.959997,0.3923924,0.4104369
394,1.964996,0.3933934,0.2495966
395,1.969996,0.3943944,9.91E37
396,1.974997,0.3953954,0.3745019
397,1.979996,0.3963964,0.3431818
398,1.984996,0.3973974,0.2626848
399,1.989997,0.3983984,0.4552612
400,1.994996,0.3993994,0.5355835
401,1.999997,0.4004004,0.5805361
402,2.004996,0.4014014,0.5922594
403,2.009996,0.4024024,0.6309927
404,2.014997,0.4034034,0.2257984
405,2.019996,0.4044044,0.6008594
406,2.024996,0.4054054,0.6908104
407,2.029997,0.4064064,0.7273028
408,2.034996,0.4074074,0.4849589
409,2.039997,0.4084084,0.587014
410,2.044996,0.4094094,0.5057445
411,2.049996,0.4104104,0.5384061
412,2.054997,0.4114114,0.6835842
413,2.059996,0.4124124,0.6152997
414,2.064996,0.4134134,0.5698676
415,2.069997,0.4144144,0.5159678
416,2.074996,0.4154154,0.4734306
417,2.079997,0.4164164,0.7220111
418,2.084996,0.4174174,0.6143327
419,2.089996,0.4184184,0.5151782
420,2.094997,0.4194194,0.6373982
421,2.099996,0.4204204,0.3403778
422,2.104996,0.4214214,0.5275319
423,2.109997,0.4224224,0.5868247
424,2.114996,0.4234234,0.6188405
425,2.119997,0.4244244,0.5174985
426,2.124996,0.4254254,0.6451101
427,2.129996,0.4264264,0.4116523
428,2.134997,0.4274274,0.5847733
429,2.139996,0.4284284,0.5893807
430,2.144996,0.4294294,0.527981
431,2.149997,0.4304304,0.5565341
432,2.154996,0.4314314,0.4539516
433,2.159997,0.4324324,0.5434759
434,2.164996,0.4334334,0.406918
435,2.169996,0.4344344,0.3394508
436,2.174997,0.4354354,0.3779142
437,2.179996,0.4364364,0.4519641
438,2.184996,0.4374374,0.5414917
439,2.189997,0.4384384,0.2587678
440,2.194996,0.4394394,0.3045681
441,2.199997,0.4404404,0.3852551
442,2.204996,0.4414414,0.4349704
443,2.209996,0.4424424,0.3840535
444,2.214997,0.4434434,0.6228466
445,2.219996,0.4444444,0.4400508
446,2.224996,0.4454454,0.5554712
447,2.229997,0.4464464,0.5932815
448,2.234996,0.4474474,0.396698
449,2.239997,0.4484484,0.3443785
450,2.244996,0.4494494,0.434972
451,2.249996,0.4504505,0.4510722
452,2.254997,0.4514515,0.479461
453,2.259996,0.4524525,0.351681
454,2.264996,0.4534535,0.4304392
455,2.269997,0.4544545,0.406949
456,2.274996,0.4554555,0.4806552
457,2.279997,0.4564565,0.6424372
458,2.284996,0.4574575,0.6440539
459,2.289996,0.4584585,0.2844162
460,2.294997,0.4594595,0.5546694
461,2.299996,0.4604605,0.5945985
462,2.304996,0.4614615,0.6353824
463,2.309997,0.4624625,0.7677462
464,2.314996,0.4634635,0.4182236
465,2.319997,0.4644645,0.6568155
466,2.324996,0.4654655,0.570446
467,2.329996,0.4664665,0.6256685
468,2.334997,0.4674675,0.4970169
469,2.339996,0.4684685,0.6778343
470,2.344996,0.4694695,0.7490535
471,2.349997,0.4704705,0.5760512
472,2.354996,0.4714715,0.7502763
473,2.359997,0.4724725,0.6705618
474,2.364996,0.4734735,0.6036747
475,2.369996,0.4744745,0.5344517
476,2.374997,0.4754755,0.6156173
477,2.379996,0.4764765,0.6655009
478,2.384996,0.4774775,0.6806586
479,2.389997,0.4784785,0.5836804
480,2.394996,0.4794795,0.6162324
481,2.399997,0.4804805,0.5419736
482,2.404996,0.4814815,0.6884322
483,2.409996,0.4824825,0.4734778
484,2.414997,0.4834835,0.5041332
485,2.419996,0.4844845,0.547015
486,2.424996,0.4854855,0.4135618
487,2.429997,0.4864865,0.5575659
488,2.434996,0.4874875,0.3543923
489,2.439997,0.4884885,0.4307659
490,2.444996,0.4894895,0.4782057
491,2.449996,0.4904905,0.576144
492,2.454997,0.4914915,0.6292498
493,2.459996,0.4924925,0.6096284
494,2.464996,0.4934935,9.91E37
495,2.469997,0.4944945,0.4298325
496,2.474996,0.4954955,0.3842964
497,2.479997,0.4964965,0.2761102
498,2.484997,0.4974975,0.5077043
499,2.489996,0.4984985,0.4851353
500,2.494997,0.4994995,0.6354539
501,2.499996,0.5005005,0.2756033
502,2.504996,0.5015015,0.4211745
503,2.509996,0.5025025,0.4059806
504,2.514996,0.5035035,0.3359134
505,2.519997,0.5045045,0.3611448
506,2.524996,0.5055055,0.3591809
507,2.529996,0.5065065,0.3406241
508,2.534997,0.5075075,0.2984931
509,2.539996,0.5085085,0.4065671
510,2.544996,0.5095095,0.4805667
511,2.549997,0.5105105,0.3951657
512,2.554996,0.5115115,0.5831759
513,2.559997,0.5125125,0.4079573
514,2.564996,0.5135135,0.547292
515,2.569996,0.5145145,0.4886947
516,2.574997,0.5155155,0.5407956
517,2.579996,0.5165165,0.6186097
518,2.584996,0.5175175,0.6901815
519,2.589997,0.5185185,0.3519769
520,2.594996,0.5195195,0.586529
521,2.599997,0.5205205,0.6062942
522,2.604996,0.5215215,0.4671607
523,2.609996,0.5225225,0.4439337
524,2.614997,0.5235235,0.5816679
525,2.619996,0.5245245,0.6034863
526,2.624996,0.5255255,0.4896193
527,2.629997,0.5265265,0.6724899
528,2.634996,0.5275275,0.6571519
529,2.639997,0.5285285,0.6078598
530,2.644996,0.5295295,0.4477394
531,2.649996,0.5305305,0.3938794
532,2.654997,0.5315315,0.5462456
533,2.659996,0.5325325,0.531183
534,2.664996,0.5335335,0.5672693
535,2.669997,0.5345345,0.4963295
536,2.674996,0.5355355,0.491107
537,2.679997,0.5365365,0.6582472
538,2.684996,0.5375375,0.6725354
539,2.689996,0.5385385,0.5384872
540,2.694997,0.5395395,0.6130362
541,2.699996,0.5405405,0.6484194
542,2.704996,0.5415415,0.6346869
543,2.709997,0.5425425,0.6889441
544,2.714996,0.5435435,0.4619431
545,2.719997,0.5445445,0.5154803
546,2.724996,0.5455455,0.9886432
547,2.729996,0.5465465,0.6052005
548,2.734997,0.5475475,0.5981636
549,2.739996,0.5485485,0.3676991
550,2.744996,0.5495495,0.5276163
551,2.749997,0.5505506,0.4151394
552,2.754996,0.5515516,0.4903009
553,2.759997,0.5525526,0.4013462
554,2.764996,0.5535536,0.5959489
555,2.769996,0.5545546,0.5444288
556,2.774997,0.5555556,0.6880586
557,2.779996,0.5565566,0.6369262
558,2.784996,0.5575576,0.4745948
559,2.789997,0.5585586,0.2859201
560,2.794996,0.5595596,0.4203434
561,2.799997,0.5605606,0.4758518
562,2.804996,0.5615616,0.428205
563,2.809996,0.5625626,0.3425164
564,2.814997,0.5635636,0.3947675
565,2.819996,0.5645646,0.5921392
566,2.824996,0.5655656,0.6913393
567,2.829997,0.5665666,0.5470297
568,2.834996,0.5675676,0.4707642
569,2.839997,0.5685686,0.3566828
570,2.844996,0.5695696,0.6510487
571,2.849996,0.5705706,0.7067325
572,2.854997,0.5715716,0.7274384
573,2.859996,0.5725726,0.7074149
574,2.864996,0.5735736,0.3863454
575,2.869997,0.5745746,0.4523444
576,2.874996,0.5755756,0.4885476
577,2.879997,0.5765766,0.5516989
578,2.884996,0.5775776,0.6322227
579,2.889996,0.5785786,0.6590075
580,2.894997,0.5795796,0.8943236
581,2.899996,0.5805806,0.6863077
582,2.904996,0.5815816,0.5795629
583,2.909997,0.5825826,0.7657695
584,2.914996,0.5835836,0.6635015
585,2.919997,0.5845846,0.6421576
586,2.924996,0.5855856,0.2404237
587,2.929996,0.5865866,0.5190034
588,2.934997,0.5875876,0.552063
589,2.939996,0.5885886,0.6258748
590,2.944996,0.5895896,0.5807092
591,2.949997,0.5905906,0.5503869
592,2.954996,0.5915916,0.6826913
593,2.959997,0.5925926,0.5445125
594,2.964996,0.5935936,0.6356807
595,2.969996,0.5945946,0.6960142
596,2.974997,0.5955956,0.6665611
597,2.979996,0.5965966,0.5734968
598,2.984996,0.5975976,0.5778713
599,2.989997,0.5985986,0.5321069
600,2.994996,0.5995996,0.7030609
601,2.999997,0.6006006,0.6214087
602,3.004996,0.6016016,0.5006998
603,3.009996,0.6026026,0.4041052
604,3.014997,0.6036036,0.6373227
605,3.019996,0.6046046,0.4617684
606,3.024996,0.6056056,0.486861
607,3.029997,0.6066066,0.5324497
608,3.034996,0.6076076,0.5481086
609,3.039997,0.6086086,0.6996949
610,3.044996,0.6096096,0.663789
611,3.049996,0.6106106,0.611819
612,3.054997,0.6116116,0.9206617
613,3.059996,0.6126126,9.91E37
614,3.064996,0.6136136,0.541513
615,3.069997,0.6146146,0.5315106
616,3.074996,0.6156156,0.4922493
617,3.079997,0.6166166,0.2908273
618,3.084996,0.6176176,0.4096189
619,3.089996,0.6186186,0.355628
620,3.094997,0.6196196,0.4905131
621,3.099996,0.6206206,0.6904552
622,3.104996,0.6216216,0.7033575
623,3.109996,0.6226226,0.6172528
624,3.114996,0.6236236,0.3721628
625,3.119997,0.6246246,0.5370655
626,3.124996,0.6256256,0.5887787
627,3.129996,0.6266266,0.7507517
628,3.134997,0.6276276,0.6028712
629,3.139996,0.6286286,0.7419662
630,3.144996,0.6296296,0.4579756
631,3.149997,0.6306306,0.4719179
632,3.154996,0.6316316,0.5949974
633,3.159997,0.6326326,0.6072552
634,3.164996,0.6336336,0.4719462
635,3.169996,0.6346346,0.5967572
636,3.174997,0.6356356,0.6901214
637,3.179996,0.6366366,0.7835879
638,3.184996,0.6376376,0.6564336
639,3.189997,0.6386386,0.7901046
640,3.194996,0.6396396,0.7170126
641,3.199997,0.6406406,0.5179398
642,3.204996,0.6416416,0.6763434
643,3.209996,0.6426426,0.6055434
644,3.214997,0.6436436,0.5464666
645,3.219996,0.6446446,0.6896541
646,3.224996,0.6456456,0.5793021
647,3.229997,0.6466466,0.6145563
648,3.234996,0.6476476,0.6663222
649,3.239997,0.6486486,0.6138299
650,3.244997,0.6496496,0.6883988
651,3.249996,0.6506507,0.7099922
652,3.254997,0.6516517,0.6347535
653,3.259996,0.6526527,0.652828
654,3.264996,0.6536537,0.702116
655,3.269997,0.6546547,0.7422733
656,3.274996,0.6556557,0.7464316
657,3.279997,0.6566567,0.678056
658,3.284996,0.6576577,0.6251338
659,3.289996,0.6586587,0.4107618
660,3.294997,0.6596597,0.5537634
661,3.299996,0.6606607,0.5232477
662,3.304996,0.6616617,0.5570889
663,3.309997,0.6626627,0.4606488
664,3.314996,0.6636637,0.6507237
665,3.319997,0.6646647,0.7324579
666,3.324996,0.6656657,0.6003151
667,3.329996,0.6666667,1.173727
668,3.334997,0.6676677,9.91E37
669,3.339996,0.6686687,0.5153828
670,3.344996,0.6696697,0.4299607
671,3.349997,0.6706707,0.4383852
672,3.354996,0.6716717,0.4241962
673,3.359997,0.6726727,0.4792521
674,3.364996,0.6736737,1.431304
675,3.369996,0.6746747,0.546859
676,3.374997,0.6756757,0.5834482
677,3.379996,0.6766767,0.7508776
678,3.384996,0.6776777,0.7336011
679,3.389997,0.6786787,0.5237107
680,3.394996,0.6796797,0.6787312
681,3.399997,0.6806807,0.6268978
682,3.404996,0.6816817,0.721899
683,3.409996,0.6826827,0.7428763
684,3.414997,0.6836837,0.4460356
685,3.419996,0.6846847,0.4519172
686,3.424996,0.6856857,0.4137526
687,3.429997,0.6866867,0.7701406
688,3.434996,0.6876877,0.6825969
689,3.439997,0.6886887,0.5828624
690,3.444996,0.6896897,0.732111
691,3.449996,0.6906907,0.6404157
692,3.454997,0.6916917,0.5772636
693,3.459996,0.6926927,0.7522287
694,3.464996,0.6936937,0.7485182
695,3.469997,0.6946947,0.695729
696,3.474996,0.6956957,0.5505185
697,3.479997,0.6966967,0.7019308
698,3.484996,0.6976977,0.6191151
699,3.489996,0.6986987,0.6217256
700,3.494997,0.6996997,0.7341325
