[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,5 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/13/19 1:44 AM 0.657985 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,6.389618E-5
2,0.004996,0.001001001,9.610653E-4
3,0.009997,0.002002002,0.001833677
4,0.014996,0.003003003,0.002737045
5,0.019996,0.004004004,0.00366497
6,0.024997,0.005005005,0.004516602
7,0.029996,0.006006006,0.005392313
8,0.034996,0.007007007,0.006322622
9,0.039997,0.008008008,0.007226229
10,0.044996,0.009009009,0.008103609
11,0.049997,0.01001001,0.008987665
12,0.054996,0.01101101,0.009872437
13,0.059996,0.01201201,0.01081824
14,0.064997,0.01301301,0.01169825
15,0.069996,0.01401401,0.01258063
16,0.074996,0.01501502,0.01344991
17,0.079997,0.01601602,0.01441431
18,0.084996,0.01701702,0.01527333
19,0.089997,0.01801802,0.01613855
20,0.094996,0.01901902,0.01704359
21,0.099996,0.02002002,0.01794791
22,0.104997,0.02102102,0.01887345
23,0.109996,0.02202202,0.01974773
24,0.114996,0.02302302,0.02064705
25,0.119997,0.02402402,0.02149701
26,0.124996,0.02502503,0.02246881
27,0.129997,0.02602603,0.02332258
28,0.134996,0.02702703,0.02420259
29,0.139996,0.02802803,0.02511501
30,0.144997,0.02902903,0.02599406
31,0.149996,0.03003003,0.02688861
32,0.154996,0.03103103,0.02780271
33,0.159997,0.03203203,0.02870798
34,0.164996,0.03303303,0.02956581
35,0.169997,0.03403403,0.03045893
36,0.174996,0.03503504,0.03135252
37,0.179996,0.03603604,0.03225946
38,0.184997,0.03703704,0.0332067
39,0.189996,0.03803804,0.03401113
40,0.194996,0.03903904,0.03494549
41,0.199997,0.04004004,0.03584981
42,0.204996,0.04104104,0.03676963
43,0.209997,0.04204204,0.03759909
44,0.214996,0.04304304,0.03851318
45,0.219996,0.04404404,0.03941107
46,0.224997,0.04504504,0.04034138
47,0.229996,0.04604604,0.0412147
48,0.234996,0.04704705,0.04210353
49,0.239997,0.04804805,0.04298759
50,0.244996,0.04904905,0.04392123
51,0.249997,0.05005005,0.04479551
52,0.254996,0.05105105,0.04568338
53,0.259996,0.05205205,0.04660821
54,0.264997,0.05305305,0.04748726
55,0.269996,0.05405406,0.04837704
56,0.274996,0.05505506,0.04929423
57,0.279997,0.05605606,0.05020094
58,0.284996,0.05705706,0.05105901
59,0.289997,0.05805806,0.0519886
60,0.294996,0.05905906,0.05284166
61,0.299996,0.06006006,0.05377364
62,0.304997,0.06106106,0.05467296
63,0.309996,0.06206206,0.05559278
64,0.314996,0.06306306,0.05643201
65,0.319997,0.06406406,0.05734372
66,0.324996,0.06506506,0.05826664
67,0.329997,0.06606606,0.0591166
68,0.334996,0.06706706,0.0600338
69,0.339996,0.06806806,0.0609479
70,0.344997,0.06906907,0.06183434
71,0.349996,0.07007007,0.06276298
72,0.354996,0.07107107,0.0636332
73,0.359997,0.07207207,0.06454253
74,0.364996,0.07307307,0.06545329
75,0.369997,0.07407407,0.06635261
76,0.374996,0.07507508,0.06723356
77,0.379996,0.07607608,0.06813931
78,0.384997,0.07707708,0.06905103
79,0.389996,0.07807808,0.06991315
80,0.394996,0.07907908,0.07082057
81,0.399997,0.08008008,0.07173157
82,0.404996,0.08108108,0.07263899
83,0.409997,0.08208209,0.07354736
84,0.414996,0.08308309,0.07446623
85,0.419996,0.08408409,0.07532358
86,0.424997,0.08508509,0.07623839
87,0.429996,0.08608609,0.07714438
88,0.434996,0.08708709,0.07802916
89,0.439997,0.08808809,0.0789392
90,0.444996,0.08908909,0.07982635
91,0.449997,0.09009009,0.08072186
92,0.454996,0.09109109,0.08164644
93,0.459996,0.09209209,0.0825336
94,0.464997,0.09309309,0.08343959
95,0.469996,0.0940941,0.08431959
96,0.474996,0.0950951,0.08524656
97,0.479997,0.0960961,0.08615422
98,0.484996,0.0970971,0.08705282
99,0.489997,0.0980981,0.08796024
100,0.494996,0.0990991,0.08884192
101,0.499996,0.1001001,0.08975101
102,0.504997,0.1011011,0.09070325
103,0.509996,0.1021021,0.09156942
104,0.514996,0.1031031,0.09252501
105,0.519997,0.1041041,0.09385014
106,0.524996,0.1051051,0.09464407
107,0.529997,0.1061061,0.09535813
108,0.534996,0.1071071,0.09606981
109,0.539996,0.1081081,0.09674597
110,0.544997,0.1091091,0.09761858
111,0.549996,0.1101101,0.09846759
112,0.554996,0.1111111,0.099437
113,0.559997,0.1121121,0.1003103
114,0.564996,0.1131131,0.1012416
115,0.569997,0.1141141,0.1021132
116,0.574996,0.1151151,0.1030233
117,0.579996,0.1161161,0.1039155
118,0.584997,0.1171171,0.1048279
119,0.589996,0.1181181,0.1057103
120,0.594996,0.1191191,0.1066811
121,0.599997,0.1201201,0.1075921
122,0.604996,0.1211211,0.1084304
123,0.609997,0.1221221,0.1093023
124,0.614996,0.1231231,0.1102579
125,0.619996,0.1241241,0.1111045
126,0.624997,0.1251251,0.1119819
127,0.629996,0.1261261,0.1128554
128,0.634996,0.1271271,0.1137834
129,0.639997,0.1281281,0.1147218
130,0.644996,0.1291291,0.1155975
131,0.649997,0.1301301,0.1164711
132,0.654996,0.1311311,0.1174159
133,0.659996,0.1321321,0.1183276
134,0.664997,0.1331331,0.1192286
135,0.669996,0.1341341,0.1200955
136,0.674996,0.1351351,0.1210365
137,0.679997,0.1361361,0.1219547
138,0.684996,0.1371371,0.1228304
139,0.689997,0.1381381,0.1238096
140,0.694996,0.1391391,0.1246586
141,0.699996,0.1401401,0.1255774
142,0.704997,0.1411411,0.1264892
143,0.709996,0.1421421,0.1274259
144,0.714996,0.1431431,0.1282961
145,0.719997,0.1441441,0.1292574
146,0.724996,0.1451451,0.1301041
147,0.729997,0.1461461,0.1309807
148,0.734996,0.1471471,0.1319344
149,0.739996,0.1481481,0.132894
150,0.744997,0.1491491,0.1337292
151,0.749996,0.1501502,0.1346345
152,0.754996,0.1511512,0.1355226
153,0.759997,0.1521522,0.1364985
154,0.764996,0.1531532,0.1373677
155,0.769997,0.1541542,0.1382582
156,0.774996,0.1551552,0.1391342
157,0.779996,0.1561562,0.1401002
158,0.784997,0.1571572,0.1410191
159,0.789996,0.1581582,0.1419225
160,0.794996,0.1591592,0.1428392
161,0.799997,0.1601602,0.1438019
162,0.804996,0.1611612,0.1446371
163,0.809997,0.1621622,0.1456082
164,0.814996,0.1631632,0.1465166
165,0.819996,0.1641642,0.1473639
166,0.824997,0.1651652,0.1482797
167,0.829996,0.1661662,0.1492407
168,0.834996,0.1671672,0.1501167
169,0.839997,0.1681682,0.1509957
170,0.844996,0.1691692,0.1519415
171,0.849997,0.1701702,0.152806
172,0.854997,0.1711712,0.1537249
173,0.859996,0.1721722,0.1547318
174,0.864997,0.1731732,0.1556554
175,0.869996,0.1741742,0.1564648
176,0.874996,0.1751752,0.1574528
177,0.879997,0.1761762,0.1583424
178,0.884996,0.1771772,0.159271
179,0.889997,0.1781782,0.1602192
180,0.894996,0.1791792,0.1610911
181,0.899996,0.1801802,0.1619735
182,0.904997,0.1811812,0.1630273
183,0.909996,0.1821822,0.1638813
184,0.914996,0.1831832,0.1647482
185,0.919997,0.1841842,0.1657329
186,0.924996,0.1851852,0.1665812
187,0.929997,0.1861862,0.167496
188,0.934996,0.1871872,0.1684606
189,0.939996,0.1881882,0.1693258
190,0.944997,0.1891892,0.1702187
191,0.949996,0.1901902,0.1711824
192,0.954996,0.1911912,0.1721005
193,0.959997,0.1921922,0.1729887
194,0.964996,0.1931932,0.1739602
195,0.969997,0.1941942,0.1748314
196,0.974996,0.1951952,0.1757543
197,0.979996,0.1961962,0.1767325
198,0.984997,0.1971972,0.1776295
199,0.989996,0.1981982,0.1784608
200,0.994996,0.1991992,0.1794722
201,0.999997,0.2002002,0.1804109
202,1.004996,0.2012012,0.1812916
203,1.009997,0.2022022,0.1823552
204,1.014997,0.2032032,0.183192
205,1.019996,0.2042042,0.1840873
206,1.024997,0.2052052,0.1850736
207,1.029996,0.2062062,0.1860194
208,1.034996,0.2072072,0.1868408
209,1.039997,0.2082082,0.1878726
210,1.044996,0.2092092,0.1887414
211,1.049997,0.2102102,0.1896033
212,1.054996,0.2112112,0.1906068
213,1.059996,0.2122122,0.1915598
214,1.064997,0.2132132,0.1924024
215,1.069996,0.2142142,0.1933603
216,1.074996,0.2152152,0.1943135
217,1.079997,0.2162162,0.1951926
218,1.084996,0.2172172,0.1961522
219,1.089997,0.2182182,0.197089
220,1.094996,0.2192192,0.1979403
221,1.099996,0.2202202,0.1989543
222,1.104997,0.2212212,0.1998944
223,1.109996,0.2222222,0.2007525
224,1.114996,0.2232232,0.2017283
225,1.119997,0.2242242,0.2026846
226,1.124996,0.2252252,0.2035623
227,1.129997,0.2262262,0.2045681
228,1.134996,0.2272272,0.2055056
229,1.139996,0.2282282,0.2063239
230,1.144997,0.2292292,0.2072647
231,1.149996,0.2302302,0.2082047
232,1.154996,0.2312312,0.2091236
233,1.159997,0.2322322,0.2100289
234,1.164996,0.2332332,0.2110283
235,1.169997,0.2342342,0.2119277
236,1.174997,0.2352352,0.2129068
237,1.179996,0.2362362,0.2138288
238,1.184997,0.2372372,0.2147479
239,1.189996,0.2382382,0.2156057
240,1.194996,0.2392392,0.2166474
241,1.199997,0.2402402,0.2175348
242,1.204996,0.2412412,0.2184806
243,1.209997,0.2422422,0.2194636
244,1.214996,0.2432432,0.2203443
245,1.219996,0.2442442,0.2212381
246,1.224997,0.2452452,0.2223074
247,1.229996,0.2462462,0.22315
248,1.234996,0.2472472,0.2240503
249,1.239997,0.2482482,0.2250862
250,1.244996,0.2492492,0.2259946
251,1.249997,0.2502503,0.226881
252,1.254996,0.2512513,0.2278731
253,1.259996,0.2522523,0.2287683
254,1.264997,0.2532533,0.2296963
255,1.269996,0.2542543,0.2306104
256,1.274996,0.2552553,0.2315764
257,1.279997,0.2562563,0.2324855
258,1.284996,0.2572573,0.2334125
259,1.289997,0.2582583,0.2343421
260,1.294996,0.2592593,0.2352555
261,1.299996,0.2602603,0.2362173
262,1.304997,0.2612613,0.2371664
263,1.309996,0.2622623,0.2380407
264,1.314996,0.2632633,0.2390375
265,1.319997,0.2642643,0.2399979
266,1.324996,0.2652653,0.2408519
267,1.329997,0.2662663,0.2418139
268,1.334997,0.2672673,0.2428279
269,1.339996,0.2682683,0.2437046
270,1.344997,0.2692693,0.2446885
271,1.349996,0.2702703,0.2456222
272,1.354996,0.2712713,0.24648
273,1.359996,0.2722723,0.2474592
274,1.364996,0.2732733,0.248456
275,1.369997,0.2742743,0.2493002
276,1.374996,0.2752753,0.2502427
277,1.379996,0.2762763,0.2512445
278,1.384997,0.2772773,0.2521911
279,1.389996,0.2782783,0.2530475
280,1.394996,0.2792793,0.2540696
281,1.399997,0.2802803,0.2549415
282,1.404996,0.2812813,0.2558661
283,1.409997,0.2822823,0.2568443
284,1.414996,0.2832833,0.257751
285,1.419996,0.2842843,0.2586749
286,1.424997,0.2852853,0.259706
287,1.429996,0.2862863,0.2605648
288,1.434996,0.2872873,0.2614853
289,1.439997,0.2882883,0.2625935
290,1.444996,0.2892893,0.2634134
291,1.449997,0.2902903,0.2642844
292,1.454996,0.2912913,0.2652845
293,1.459996,0.2922923,0.2662287
294,1.464997,0.2932933,0.2670925
295,1.469996,0.2942943,0.2681007
296,1.474996,0.2952953,0.2690358
297,1.479997,0.2962963,0.2698891
298,1.484996,0.2972973,0.2709308
299,1.489997,0.2982983,0.2718496
300,1.494996,0.2992993,0.272706
301,1.499996,0.3003003,0.2737103
302,1.504997,0.3013013,0.2746463
303,1.509996,0.3023023,0.2754896
304,1.514996,0.3033033,0.2078464
305,1.519996,0.3043043,0.184119
306,1.524996,0.3053053,0.1106422
307,1.529997,0.3063063,0.1056697
308,1.534996,0.3073073,0.1424279
309,1.539996,0.3083083,0.2028773
310,1.544997,0.3093093,0.209712
311,1.549996,0.3103103,0.2218597
312,1.554996,0.3113113,0.2129602
313,1.559997,0.3123123,0.2140346
314,1.564996,0.3133133,0.2453735
315,1.569997,0.3143143,0.3613806
316,1.574996,0.3153153,0.3575766
317,1.579996,0.3163163,0.6193163
318,1.584997,0.3173173,0.5048406
319,1.589996,0.3183183,0.576431
320,1.594996,0.3193193,0.472465
321,1.599997,0.3203203,0.4121149
322,1.604996,0.3213213,0.4908121
323,1.609997,0.3223223,0.4811628
324,1.614996,0.3233233,0.461705
325,1.619996,0.3243243,0.5036275
326,1.624997,0.3253253,0.4897542
327,1.629996,0.3263263,0.5889573
328,1.634996,0.3273273,0.4845834
329,1.639997,0.3283283,0.4980311
330,1.644996,0.3293293,0.5000007
331,1.649997,0.3303303,0.550154
332,1.654996,0.3313313,0.6132438
333,1.659996,0.3323323,0.5102992
334,1.664997,0.3333333,0.3545175
335,1.669996,0.3343343,0.563972
336,1.674996,0.3353353,0.5927997
337,1.679997,0.3363363,0.584656
338,1.684996,0.3373373,0.5820227
339,1.689997,0.3383383,0.5970051
340,1.694996,0.3393393,0.6036782
341,1.699996,0.3403403,0.6812437
342,1.704997,0.3413413,0.555033
343,1.709996,0.3423423,0.6796503
344,1.714996,0.3433433,0.5262249
345,1.719997,0.3443443,0.8240755
346,1.724996,0.3453453,0.2579713
347,1.729997,0.3463463,0.5092411
348,1.734996,0.3473473,0.5961382
349,1.739996,0.3483483,0.5053964
350,1.744997,0.3493493,0.5742843
351,1.749996,0.3503504,0.5641005
352,1.754996,0.3513514,0.5719135
353,1.759997,0.3523524,0.4340825
354,1.764996,0.3533534,0.4002898
355,1.769997,0.3543544,0.4587426
356,1.774996,0.3553554,0.5015736
357,1.779996,0.3563564,0.7106586
358,1.784997,0.3573574,1.424153
359,1.789996,0.3583584,0.4438512
360,1.794996,0.3593594,0.4254985
361,1.799997,0.3603604,0.3710966
362,1.804996,0.3613614,0.3901148
363,1.809997,0.3623624,0.5065365
364,1.814996,0.3633634,0.4167137
365,1.819996,0.3643644,0.5102739
366,1.824997,0.3653654,0.5931311
367,1.829996,0.3663664,9.91E37
368,1.834996,0.3673674,0.380152
369,1.839997,0.3683684,0.4987445
370,1.844996,0.3693694,0.5667679
371,1.849997,0.3703704,0.4055848
372,1.854996,0.3713714,0.460695
373,1.859996,0.3723724,0.4729607
374,1.864997,0.3733734,0.5619669
375,1.869996,0.3743744,1.71248
376,1.874996,0.3753754,0.6422801
377,1.879997,0.3763764,0.6210332
378,1.884996,0.3773774,0.5212736
379,1.889997,0.3783784,0.5834072
380,1.894996,0.3793794,0.7140005
381,1.899996,0.3803804,0.5398352
382,1.904997,0.3813814,0.507565
383,1.909996,0.3823824,0.6712434
384,1.914996,0.3833834,0.6658874
385,1.919997,0.3843844,0.6608832
386,1.924996,0.3853854,0.6065357
387,1.929997,0.3863864,0.6464677
388,1.934996,0.3873874,0.5063317
389,1.939996,0.3883884,0.654093
390,1.944997,0.3893894,0.7226803
391,1.949996,0.3903904,0.7062523
392,1.954996,0.3913914,0.6320279
393,1.959997,0.3923924,0.7087061
394,1.964996,0.3933934,0.5909235
395,1.969997,0.3943944,0.2651799
396,1.974996,0.3953954,0.3217006
397,1.979996,0.3963964,0.4789333
398,1.984997,0.3973974,0.6678154
399,1.989996,0.3983984,0.4538326
400,1.994996,0.3993994,0.6245627
401,1.999997,0.4004004,0.438422
402,2.004996,0.4014014,0.5684068
403,2.009997,0.4024024,0.6079471
404,2.014996,0.4034034,0.612402
405,2.019996,0.4044044,0.5213573
406,2.024997,0.4054054,0.6207163
407,2.029996,0.4064064,0.3556654
408,2.034996,0.4074074,0.5479836
409,2.039997,0.4084084,0.6118155
410,2.044996,0.4094094,0.567699
411,2.049997,0.4104104,0.6374116
412,2.054996,0.4114114,9.91E37
413,2.059996,0.4124124,0.4287996
414,2.064997,0.4134134,0.5705526
415,2.069996,0.4144144,0.4507599
416,2.074996,0.4154154,0.5587258
417,2.079997,0.4164164,0.5671334
418,2.084996,0.4174174,0.5669522
419,2.089997,0.4184184,0.3868477
420,2.094996,0.4194194,0.3871939
421,2.099996,0.4204204,0.3442719
422,2.104997,0.4214214,0.6430569
423,2.109996,0.4224224,9.91E37
424,2.114996,0.4234234,0.4030399
425,2.119997,0.4244244,0.279392
426,2.124996,0.4254254,0.4374185
427,2.129997,0.4264264,0.3843591
428,2.134996,0.4274274,0.4669099
429,2.139996,0.4284284,0.3539367
430,2.144997,0.4294294,0.8740387
431,2.149996,0.4304304,0.5005717
432,2.154996,0.4314314,0.5457029
433,2.159997,0.4324324,0.4715867
434,2.164996,0.4334334,0.4141192
435,2.169997,0.4344344,0.3122058
436,2.174996,0.4354354,0.3585994
437,2.179996,0.4364364,0.446049
438,2.184997,0.4374374,0.318445
439,2.189996,0.4384384,0.246155
440,2.194996,0.4394394,0.4050405
441,2.199997,0.4404404,0.3963418
442,2.204996,0.4414414,0.502027
443,2.209997,0.4424424,0.655467
444,2.214997,0.4434434,0.6255248
445,2.219996,0.4444444,0.3363922
446,2.224997,0.4454454,0.5222063
447,2.229996,0.4464464,0.5964403
448,2.234996,0.4474474,0.7602105
449,2.239997,0.4484484,0.6038406
450,2.244996,0.4494494,0.2929859
451,2.249997,0.4504505,0.3361874
452,2.254996,0.4514515,0.4739454
453,2.259996,0.4524525,0.684756
454,2.264997,0.4534535,0.63796
455,2.269996,0.4544545,0.6676562
456,2.274996,0.4554555,0.558737
457,2.279997,0.4564565,0.6116765
458,2.284996,0.4574575,0.638077
459,2.289997,0.4584585,0.6298473
460,2.294996,0.4594595,0.5789409
461,2.299996,0.4604605,0.5982547
462,2.304997,0.4614615,0.5759671
463,2.309996,0.4624625,0.580621
464,2.314996,0.4634635,0.5961592
465,2.319997,0.4644645,0.550925
466,2.324996,0.4654655,0.5971978
467,2.329997,0.4664665,0.479481
468,2.334996,0.4674675,0.5247755
469,2.339996,0.4684685,0.5645328
470,2.344997,0.4694695,0.5088422
471,2.349996,0.4704705,0.5568099
472,2.354996,0.4714715,0.507457
473,2.359997,0.4724725,0.4806347
474,2.364996,0.4734735,0.476794
475,2.369997,0.4744745,0.5800166
476,2.374997,0.4754755,0.4946423
477,2.379996,0.4764765,9.91E37
478,2.384997,0.4774775,0.6136143
479,2.389996,0.4784785,0.4733117
480,2.394996,0.4794795,1.968923
481,2.399997,0.4804805,0.8382885
482,2.404996,0.4814815,0.4230161
483,2.409997,0.4824825,0.5901427
484,2.414996,0.4834835,0.3802218
485,2.419996,0.4844845,0.44874
486,2.424997,0.4854855,0.4063842
487,2.429996,0.4864865,0.6277826
488,2.434996,0.4874875,0.653547
489,2.439997,0.4884885,0.3655536
490,2.444996,0.4894895,0.3376265
491,2.449997,0.4904905,0.3572955
492,2.454996,0.4914915,0.5427804
493,2.459996,0.4924925,0.3316431
494,2.464997,0.4934935,0.2383397
495,2.469996,0.4944945,0.3946209
496,2.474996,0.4954955,0.5669792
497,2.479997,0.4964965,0.4620667
498,2.484996,0.4974975,0.4443972
499,2.489997,0.4984985,0.610132
500,2.494996,0.4994995,0.2191386
501,2.499996,0.5005005,0.4865634
502,2.504997,0.5015015,0.6222146
503,2.509996,0.5025025,0.6842775
504,2.514996,0.5035035,0.683512
505,2.519997,0.5045045,0.3366978
506,2.524996,0.5055055,0.3760893
507,2.529997,0.5065065,0.4652328
508,2.534996,0.5075075,0.5996068
509,2.539996,0.5085085,0.5219138
510,2.544997,0.5095095,0.5726342
511,2.549996,0.5105105,0.4056864
512,2.554996,0.5115115,0.560111
513,2.559996,0.5125125,0.5364079
514,2.564996,0.5135135,0.6260455
515,2.569997,0.5145145,0.519196
516,2.574996,0.5155155,0.4885678
517,2.579996,0.5165165,0.3184619
518,2.584997,0.5175175,0.4266343
519,2.589996,0.5185185,0.5442908
520,2.594996,0.5195195,0.3730757
521,2.599997,0.5205205,0.4508712
522,2.604996,0.5215215,0.5346668
523,2.609997,0.5225225,0.5686512
524,2.614996,0.5235235,0.5598471
525,2.619996,0.5245245,0.5378275
526,2.624997,0.5255255,0.596468
527,2.629996,0.5265265,0.5668955
528,2.634996,0.5275275,0.6381688
529,2.639997,0.5285285,0.5405583
530,2.644996,0.5295295,0.5755355
531,2.649997,0.5305305,0.5829895
532,2.654996,0.5315315,9.91E37
533,2.659996,0.5325325,0.2633638
534,2.664997,0.5335335,0.5807455
535,2.669996,0.5345345,0.3661036
536,2.674996,0.5355355,0.447916
537,2.679997,0.5365365,0.3208752
538,2.684996,0.5375375,0.5399773
539,2.689997,0.5385385,0.3954887
540,2.694996,0.5395395,0.5996718
541,2.699996,0.5405405,0.5897698
542,2.704997,0.5415415,0.5955622
543,2.709996,0.5425425,0.6507659
544,2.714996,0.5435435,0.6270854
545,2.719997,0.5445445,0.484771
546,2.724996,0.5455455,0.2805564
547,2.729997,0.5465465,0.5095458
548,2.734996,0.5475475,0.5194447
549,2.739996,0.5485485,0.3324313
550,2.744997,0.5495495,0.5373585
551,2.749996,0.5505506,0.5877874
552,2.754996,0.5515516,0.5101454
553,2.759997,0.5525526,0.6148314
554,2.764996,0.5535536,0.6287146
555,2.769997,0.5545546,0.3614562
556,2.774996,0.5555556,0.5177197
557,2.779996,0.5565566,0.6440797
558,2.784997,0.5575576,0.6354697
559,2.789996,0.5585586,0.7428904
560,2.794996,0.5595596,0.9072487
561,2.799997,0.5605606,0.5453351
562,2.804996,0.5615616,0.5984888
563,2.809997,0.5625626,0.5656629
564,2.814996,0.5635636,0.459954
565,2.819996,0.5645646,0.5739431
566,2.824997,0.5655656,0.5944328
567,2.829996,0.5665666,0.622087
568,2.834996,0.5675676,0.5882115
569,2.839997,0.5685686,0.6495609
570,2.844996,0.5695696,0.6315608
571,2.849997,0.5705706,0.5460346
572,2.854996,0.5715716,0.7152753
573,2.859996,0.5725726,0.4906349
574,2.864997,0.5735736,0.5303371
575,2.869996,0.5745746,0.6207747
576,2.874996,0.5755756,0.6129415
577,2.879997,0.5765766,0.5052893
578,2.884996,0.5775776,0.7361271
579,2.889997,0.5785786,0.5306044
580,2.894996,0.5795796,0.6433258
581,2.899996,0.5805806,0.6572285
582,2.904997,0.5815816,0.4737341
583,2.909996,0.5825826,0.5464392
584,2.914996,0.5835836,0.350316
585,2.919997,0.5845846,0.361769
586,2.924996,0.5855856,0.5441642
587,2.929997,0.5865866,0.5362699
588,2.934996,0.5875876,0.5287461
589,2.939996,0.5885886,0.4108133
590,2.944997,0.5895896,0.5613956
591,2.949996,0.5905906,0.3858027
592,2.954996,0.5915916,0.525744
593,2.959997,0.5925926,0.4241366
594,2.964996,0.5935936,0.5357475
595,2.969997,0.5945946,0.740344
596,2.974996,0.5955956,0.5308976
597,2.979996,0.5965966,0.7008443
598,2.984997,0.5975976,0.7886269
599,2.989996,0.5985986,0.4349453
600,2.994996,0.5995996,0.4031765
601,2.999997,0.6006006,0.4373658
602,3.004996,0.6016016,0.4108367
603,3.009997,0.6026026,0.3231614
604,3.014996,0.6036036,0.3447618
605,3.019996,0.6046046,0.4712462
606,3.024997,0.6056056,0.7313204
607,3.029996,0.6066066,0.5662861
608,3.034996,0.6076076,0.6644728
609,3.039997,0.6086086,0.5940623
610,3.044996,0.6096096,0.3457735
611,3.049997,0.6106106,0.5495405
612,3.054996,0.6116116,0.6578453
613,3.059996,0.6126126,0.7100151
614,3.064997,0.6136136,0.6372523
615,3.069996,0.6146146,2.004628
616,3.074996,0.6156156,0.5392427
617,3.079997,0.6166166,0.4989817
618,3.084996,0.6176176,0.4595315
619,3.089997,0.6186186,0.5073838
620,3.094996,0.6196196,0.5960643
621,3.099996,0.6206206,0.6588633
622,3.104997,0.6216216,0.6310179
623,3.109996,0.6226226,0.6426992
624,3.114996,0.6236236,0.6694241
625,3.119997,0.6246246,0.6700497
626,3.124996,0.6256256,0.7009866
627,3.129997,0.6266266,0.3851805
628,3.134996,0.6276276,0.3750453
629,3.139996,0.6286286,0.6143446
630,3.144997,0.6296296,0.5994124
631,3.149996,0.6306306,0.5940816
632,3.154996,0.6316316,0.527451
633,3.159997,0.6326326,0.5895536
634,3.164996,0.6336336,0.7026749
635,3.169997,0.6346346,0.5533705
636,3.174996,0.6356356,0.6886811
637,3.179996,0.6366366,0.6601827
638,3.184997,0.6376376,0.6253841
639,3.189996,0.6386386,0.687902
640,3.194996,0.6396396,0.6751189
641,3.199997,0.6406406,0.7578421
642,3.204996,0.6416416,0.5318205
643,3.209997,0.6426426,0.5038421
644,3.214996,0.6436436,0.5620139
645,3.219996,0.6446446,0.4655139
646,3.224997,0.6456456,0.6720364
647,3.229996,0.6466466,0.5225418
648,3.234996,0.6476476,0.6444707
649,3.239997,0.6486486,0.524569
650,3.244996,0.6496496,0.4958048
651,3.249997,0.6506507,0.5653737
652,3.254996,0.6516517,0.58687
653,3.259996,0.6526527,0.7763386
654,3.264997,0.6536537,0.6477661
655,3.269996,0.6546547,0.566113
656,3.274996,0.6556557,0.4633625
657,3.279997,0.6566567,0.5656905
658,3.284996,0.6576577,0.4254847
659,3.289997,0.6586587,0.3559849
660,3.294996,0.6596597,0.4283941
661,3.299996,0.6606607,0.6177888
662,3.304997,0.6616617,0.774183
663,3.309996,0.6626627,0.7466075
664,3.314996,0.6636637,0.6911008
665,3.319997,0.6646647,0.3747618
666,3.324996,0.6656657,0.5892847
667,3.329997,0.6666667,0.8558793
668,3.334996,0.6676677,0.7527428
669,3.339996,0.6686687,0.7276788
670,3.344997,0.6696697,9.91E37
671,3.349996,0.6706707,0.6833439
672,3.354996,0.6716717,0.5833097
673,3.359997,0.6726727,0.4124601
674,3.364996,0.6736737,0.5844138
675,3.369997,0.6746747,0.6818993
676,3.374996,0.6756757,0.6844547
677,3.379996,0.6766767,0.7195165
678,3.384997,0.6776777,0.7527876
679,3.389996,0.6786787,0.6293216
680,3.394996,0.6796797,0.7046289
681,3.399997,0.6806807,0.7379131
682,3.404996,0.6816817,0.52476
683,3.409997,0.6826827,0.6212785
684,3.414997,0.6836837,0.6435792
685,3.419996,0.6846847,0.6630516
686,3.424997,0.6856857,0.5212703
687,3.429996,0.6866867,0.6545205
688,3.434996,0.6876877,0.6614201
689,3.439997,0.6886887,0.6574316
690,3.444996,0.6896897,0.6669924
691,3.449997,0.6906907,0.6338115
692,3.454996,0.6916917,0.653239
693,3.459996,0.6926927,0.5111279
694,3.464997,0.6936937,0.5883844
695,3.469996,0.6946947,0.5649641
696,3.474996,0.6956957,0.6808813
697,3.479997,0.6966967,0.6573462
698,3.484996,0.6976977,0.487402
699,3.489997,0.6986987,0.543987
700,3.494996,0.6996997,0.6595335
