[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,1.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,5 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/13/19 1:37 AM 0.257731 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,-1.397133E-4
2,0.004997,0.001001001,4.019737E-4
3,0.009996,0.002002002,8.912086E-4
4,0.014997,0.003003003,0.001386642
5,0.019996,0.004004004,0.001892805
6,0.024996,0.005005005,0.002400637
7,0.029997,0.006006006,0.002928019
8,0.034996,0.007007007,0.003439903
9,0.039996,0.008008008,0.003968
10,0.044997,0.009009009,0.004431009
11,0.049996,0.01001001,0.004957438
12,0.054997,0.01101101,0.005461216
13,0.059996,0.01201201,0.005970716
14,0.064996,0.01301301,0.006494045
15,0.069997,0.01401401,0.007026911
16,0.074996,0.01501502,0.007505417
17,0.079996,0.01601602,0.008033514
18,0.084997,0.01701702,0.008525848
19,0.089996,0.01801802,0.009041071
20,0.094997,0.01901902,0.009556055
21,0.099996,0.02002002,0.01006889
22,0.104996,0.02102102,0.01058078
23,0.109997,0.02202202,0.01111054
24,0.114996,0.02302302,0.01159215
25,0.119996,0.02402402,0.01208615
26,0.124997,0.02502503,0.01262569
27,0.129996,0.02602603,0.01312304
28,0.134997,0.02702703,0.0136323
29,0.139996,0.02802803,0.01415157
30,0.144996,0.02902903,0.0146625
31,0.149997,0.03003003,0.01518655
32,0.154996,0.03103103,0.01565385
33,0.159996,0.03203203,0.01618767
34,0.164997,0.03303303,0.01667762
35,0.169996,0.03403403,0.01725531
36,0.174997,0.03503504,0.01770449
37,0.179996,0.03603604,0.01821971
38,0.184996,0.03703704,0.01873136
39,0.189997,0.03803804,0.01925135
40,0.194996,0.03903904,0.01974463
41,0.199996,0.04004004,0.02028322
42,0.204997,0.04104104,0.02078295
43,0.209996,0.04204204,0.02128744
44,0.214997,0.04304304,0.02180505
45,0.219996,0.04404404,0.0223031
46,0.224996,0.04504504,0.02281833
47,0.229997,0.04604604,0.02333975
48,0.234996,0.04704705,0.02385736
49,0.239996,0.04804805,0.02434397
50,0.244997,0.04904905,0.0248487
51,0.249996,0.05005005,0.02535629
52,0.254997,0.05105105,0.02588868
53,0.259996,0.05205205,0.02639556
54,0.264996,0.05305305,0.02692127
55,0.269997,0.05405406,0.02740145
56,0.274996,0.05505506,0.0279336
57,0.279996,0.05605606,0.02841783
58,0.284997,0.05705706,0.02892327
59,0.289996,0.05805806,0.02946925
60,0.294997,0.05905906,0.02995658
61,0.299996,0.06006006,0.03048158
62,0.304996,0.06106106,0.03100324
63,0.309997,0.06206206,0.03149462
64,0.314996,0.06306306,0.03200746
65,0.319996,0.06406406,0.03252172
66,0.324997,0.06506506,0.0330441
67,0.329996,0.06606606,0.03353477
68,0.334997,0.06706706,0.03405404
69,0.339996,0.06806806,0.03454137
70,0.344996,0.06906907,0.03505659
71,0.349997,0.07007007,0.03555226
72,0.354996,0.07107107,0.03608918
73,0.359996,0.07207207,0.03660107
74,0.364997,0.07307307,0.03712749
75,0.369996,0.07407407,0.03762388
76,0.374997,0.07507508,0.03814077
77,0.379996,0.07607608,0.03865671
78,0.384996,0.07707708,0.03912878
79,0.389997,0.07807808,0.03967881
80,0.394996,0.07907908,0.04019618
81,0.399996,0.08008008,0.04069424
82,0.404997,0.08108108,0.04119897
83,0.409996,0.08208209,0.04171729
84,0.414997,0.08308309,0.04220223
85,0.419996,0.08408409,0.04271984
86,0.424996,0.08508509,0.04323339
87,0.429997,0.08608609,0.0437541
88,0.434996,0.08708709,0.04426432
89,0.439996,0.08808809,0.04477215
90,0.444997,0.08908909,0.04526544
91,0.449996,0.09009009,0.04578853
92,0.454997,0.09109109,0.04630446
93,0.459996,0.09209209,0.0468359
94,0.464996,0.09309309,0.04732418
95,0.469997,0.0940941,0.04784322
96,0.474996,0.0950951,0.04836082
97,0.479996,0.0960961,0.04886127
98,0.484997,0.0970971,0.0493505
99,0.489996,0.0980981,0.04989481
100,0.494997,0.0990991,0.0503912
101,0.499996,0.1001001,0.05091619
102,0.504996,0.1011011,0.05142713
103,0.509997,0.1021021,0.05194068
104,0.514996,0.1031031,0.05243134
105,0.519996,0.1041041,0.05297899
106,0.524997,0.1051051,0.0534811
107,0.529996,0.1061061,0.05398083
108,0.534997,0.1071071,0.05449915
109,0.539996,0.1081081,0.0550077
110,0.544996,0.1091091,0.05554318
111,0.549997,0.1101101,0.05603075
112,0.554996,0.1111111,0.05652618
113,0.559996,0.1121121,0.05705285
114,0.564997,0.1131131,0.05756211
115,0.569996,0.1141141,0.05805206
116,0.574997,0.1151151,0.05859065
117,0.579996,0.1161161,0.05909705
118,0.584996,0.1171171,0.05960226
119,0.589997,0.1181181,0.06011486
120,0.594996,0.1191191,0.06060886
121,0.599996,0.1201201,0.06111765
122,0.604997,0.1211211,0.06163764
123,0.609996,0.1221221,0.06216645
124,0.614997,0.1231231,0.06269145
125,0.619996,0.1241241,0.0632
126,0.624996,0.1251251,0.06370044
127,0.629997,0.1261261,0.06420326
128,0.634996,0.1271271,0.06472182
129,0.639996,0.1281281,0.06522059
130,0.644997,0.1291291,0.06572914
131,0.649996,0.1301301,0.06625319
132,0.654997,0.1311311,0.06677008
133,0.659996,0.1321321,0.06726646
134,0.664996,0.1331331,0.06780744
135,0.669997,0.1341341,0.06831288
136,0.674996,0.1351351,0.06881976
137,0.679996,0.1361361,0.06933093
138,0.684997,0.1371371,0.06984115
139,0.689996,0.1381381,0.07034326
140,0.694997,0.1391391,0.07087708
141,0.699996,0.1401401,0.07138562
142,0.704996,0.1411411,0.07188201
143,0.709997,0.1421421,0.07240534
144,0.714996,0.1431431,0.07291222
145,0.719996,0.1441441,0.07340789
146,0.724997,0.1451451,0.07392955
147,0.729996,0.1461461,0.07444048
148,0.734997,0.1471471,0.07495165
149,0.739996,0.1481481,0.07549262
150,0.744996,0.1491491,0.07597613
151,0.749997,0.1501502,0.07648635
152,0.754996,0.1511512,0.07700729
153,0.759996,0.1521522,0.07750368
154,0.764997,0.1531532,0.07803082
155,0.769996,0.1541542,0.07857847
156,0.774997,0.1551552,0.07904243
157,0.779996,0.1561562,0.07956815
158,0.784996,0.1571572,0.08009124
159,0.789997,0.1581582,0.08060813
160,0.794996,0.1591592,0.08110046
161,0.799996,0.1601602,0.08163905
162,0.804997,0.1611612,0.08212829
163,0.809996,0.1621622,0.08264899
164,0.814997,0.1631632,0.0831666
165,0.819996,0.1641642,0.0836947
166,0.824996,0.1651652,0.08416343
167,0.829997,0.1661662,0.08474851
168,0.834996,0.1671672,0.0851953
169,0.839996,0.1681682,0.08572841
170,0.844997,0.1691692,0.08624172
171,0.849996,0.1701702,0.08676171
172,0.854997,0.1711712,0.08728266
173,0.859996,0.1721722,0.08780169
174,0.864996,0.1731732,0.08830953
175,0.869997,0.1741742,0.08881164
176,0.874996,0.1751752,0.0893569
177,0.879996,0.1761762,0.0898304
178,0.884997,0.1771772,0.09034967
179,0.889996,0.1781782,0.09087539
180,0.894997,0.1791792,0.09139705
181,0.899996,0.1801802,0.09192252
182,0.904996,0.1811812,0.09241652
183,0.909997,0.1821822,0.09293747
184,0.914996,0.1831832,0.09344602
185,0.919996,0.1841842,0.0939846
186,0.924997,0.1851852,0.09447622
187,0.929996,0.1861862,0.09501338
188,0.934997,0.1871872,0.09551692
189,0.939996,0.1881882,0.09604096
190,0.944996,0.1891892,0.09653759
191,0.949997,0.1901902,0.09705901
192,0.954996,0.1911912,0.09757018
193,0.959996,0.1921922,0.09806991
194,0.964997,0.1931932,0.09858084
195,0.969996,0.1941942,0.09910083
196,0.974997,0.1951952,0.09962487
197,0.979996,0.1961962,0.1001482
198,0.984996,0.1971972,0.1006722
199,0.989997,0.1981982,0.1011946
200,0.994996,0.1991992,0.1017139
201,0.999996,0.2002002,0.1021965
202,1.004997,0.2012012,0.1027098
203,1.009996,0.2022022,0.1032493
204,1.014997,0.2032032,0.1037474
205,1.019996,0.2042042,0.1042755
206,1.024996,0.2052052,0.1048062
207,1.029997,0.2062062,0.1052871
208,1.034996,0.2072072,0.1058061
209,1.039996,0.2082082,0.1063254
210,1.044997,0.2092092,0.1068625
211,1.049996,0.2102102,0.1073613
212,1.054997,0.2112112,0.1078756
213,1.059996,0.2122122,0.108381
214,1.064996,0.2132132,0.108896
215,1.069997,0.2142142,0.1094234
216,1.074996,0.2152152,0.1099515
217,1.079996,0.2162162,0.1104496
218,1.084997,0.2172172,0.1109645
219,1.089996,0.2182182,0.1114774
220,1.094997,0.2192192,0.1120005
221,1.099996,0.2202202,0.1125271
222,1.104996,0.2212212,0.1130154
223,1.109997,0.2222222,0.1135507
224,1.114996,0.2232232,0.1140375
225,1.119996,0.2242242,0.1146038
226,1.124997,0.2252252,0.115083
227,1.129996,0.2262262,0.1156168
228,1.134997,0.2272272,0.1161263
229,1.139996,0.2282282,0.1166568
230,1.144996,0.2292292,0.117146
231,1.149997,0.2302302,0.1176789
232,1.154996,0.2312312,0.1181793
233,1.159996,0.2322322,0.1187246
234,1.164997,0.2332332,0.1192098
235,1.169996,0.2342342,0.1197433
236,1.174997,0.2352352,0.1202562
237,1.179996,0.2362362,0.1207941
238,1.184996,0.2372372,0.1212912
239,1.189997,0.2382382,0.1218364
240,1.194996,0.2392392,0.1223254
241,1.199996,0.2402402,0.1228302
242,1.204996,0.2412412,0.1233687
243,1.209996,0.2422422,0.1238854
244,1.214997,0.2432432,0.1243804
245,1.219996,0.2442442,0.1249206
246,1.224996,0.2452452,0.1254487
247,1.229997,0.2462462,0.1259458
248,1.234996,0.2472472,0.1264822
249,1.239996,0.2482482,0.1270118
250,1.244997,0.2492492,0.1275017
251,1.249996,0.2502503,0.128042
252,1.254997,0.2512513,0.1285336
253,1.259996,0.2522523,0.1290553
254,1.264996,0.2532533,0.1295817
255,1.269997,0.2542543,0.1301188
256,1.274996,0.2552553,0.1306396
257,1.279996,0.2562563,0.1311522
258,1.284997,0.2572573,0.13166
259,1.289996,0.2582583,0.1321661
260,1.294997,0.2592593,0.1327229
261,1.299996,0.2602603,0.1332581
262,1.304996,0.2612613,0.133714
263,1.309997,0.2622623,0.1342535
264,1.314996,0.2632633,0.1347849
265,1.319996,0.2642643,0.1352746
266,1.324997,0.2652653,0.1357956
267,1.329996,0.2662663,0.1363554
268,1.334997,0.2672673,0.1368346
269,1.339996,0.2682683,0.1373546
270,1.344996,0.2692693,0.1378934
271,1.349997,0.2702703,0.1383972
272,1.354996,0.2712713,0.1389325
273,1.359996,0.2722723,0.1394167
274,1.364997,0.2732733,0.1399562
275,1.369996,0.2742743,0.140481
276,1.374997,0.2752753,0.1409986
277,1.379997,0.2762763,0.1414852
278,1.384996,0.2772773,0.1420629
279,1.389997,0.2782783,0.1425471
280,1.394996,0.2792793,0.14306
281,1.399996,0.2802803,0.1436148
282,1.404997,0.2812813,0.1441357
283,1.409996,0.2822823,0.1446166
284,1.414997,0.2832833,0.145169
285,1.419996,0.2842843,0.1456859
286,1.424996,0.2852853,0.1461799
287,1.429997,0.2862863,0.1467161
288,1.434996,0.2872873,0.1472352
289,1.439996,0.2882883,0.1477406
290,1.444997,0.2892893,0.1482589
291,1.449996,0.2902903,0.1488252
292,1.454997,0.2912913,0.1493151
293,1.459997,0.2922923,0.1498563
294,1.464996,0.2932933,0.1503494
295,1.469997,0.2942943,0.1508913
296,1.474996,0.2952953,0.1514001
297,1.479996,0.2962963,0.1518965
298,1.484997,0.2972973,0.1524246
299,1.489996,0.2982983,0.1529965
300,1.494997,0.2992993,0.1534619
301,1.499996,0.3003003,0.1539943
302,1.504996,0.3013013,0.1545238
303,1.509997,0.3023023,0.1550546
304,1.514996,0.3033033,0.1555858
305,1.519996,0.3043043,0.156105
306,1.524997,0.3053053,0.1566176
307,1.529996,0.3063063,0.1571305
308,1.534997,0.3073073,0.1576569
309,1.539996,0.3083083,0.1581907
310,1.544996,0.3093093,0.1587
311,1.549997,0.3103103,0.1592298
312,1.554996,0.3113113,0.1597271
313,1.559996,0.3123123,0.1602819
314,1.564997,0.3133133,0.160785
315,1.569996,0.3143143,0.1613171
316,1.574997,0.3153153,0.161828
317,1.579997,0.3163163,0.1623821
318,1.584996,0.3173173,0.1628528
319,1.589997,0.3183183,0.163389
320,1.594996,0.3193193,0.1639478
321,1.599996,0.3203203,0.1644289
322,1.604997,0.3213213,0.1649587
323,1.609996,0.3223223,0.165498
324,1.614997,0.3233233,0.1660409
325,1.619996,0.3243243,0.1665144
326,1.624996,0.3253253,0.1670573
327,1.629997,0.3263263,0.1675844
328,1.634996,0.3273273,0.1680949
329,1.639996,0.3283283,0.1686544
330,1.644997,0.3293293,0.1691566
331,1.649996,0.3303303,0.1696889
332,1.654997,0.3313313,0.1702023
333,1.659997,0.3323323,0.1707239
334,1.664996,0.3333333,0.1712456
335,1.669997,0.3343343,0.1718037
336,1.674996,0.3353353,0.1722846
337,1.679996,0.3363363,0.1728201
338,1.684996,0.3373373,0.1733546
339,1.689996,0.3383383,0.1738722
340,1.694997,0.3393393,0.1744118
341,1.699996,0.3403403,0.1749365
342,1.704996,0.3413413,0.1754646
343,1.709997,0.3423423,0.1759701
344,1.714996,0.3433433,0.1765292
345,1.719996,0.3443443,0.1770198
346,1.724997,0.3453453,0.1775527
347,1.729996,0.3463463,0.1780672
348,1.734997,0.3473473,0.1786146
349,1.739996,0.3483483,0.1791177
350,1.744996,0.3493493,0.1796448
351,1.749997,0.3503504,0.1801715
352,1.754996,0.3513514,0.180706
353,1.759996,0.3523524,0.1812513
354,1.764997,0.3533534,0.1817443
355,1.769996,0.3543544,0.1823099
356,1.774997,0.3553554,0.1828113
357,1.779996,0.3563564,0.1833279
358,1.784996,0.3573574,0.1838422
359,1.789997,0.3583584,0.1843889
360,1.794996,0.3593594,0.1848936
361,1.799996,0.3603604,0.1854866
362,1.804997,0.3613614,0.1859481
363,1.809996,0.3623624,0.1864901
364,1.814997,0.3633634,0.1869686
365,1.819996,0.3643644,0.1875348
366,1.824996,0.3653654,0.1880426
367,1.829997,0.3663664,0.1885619
368,1.834996,0.3673674,0.189085
369,1.839996,0.3683684,0.189635
370,1.844997,0.3693694,0.1901422
371,1.849996,0.3703704,0.1906831
372,1.854997,0.3713714,0.1912155
373,1.859997,0.3723724,0.1917329
374,1.864996,0.3733734,0.1922691
375,1.869997,0.3743744,0.1928055
376,1.874996,0.3753754,0.1933157
377,1.879996,0.3763764,0.1938422
378,1.884997,0.3773774,0.1943831
379,1.889996,0.3783784,0.194917
380,1.894997,0.3793794,0.1954045
381,1.899996,0.3803804,0.1959465
382,1.904996,0.3813814,0.1964722
383,1.909997,0.3823824,0.1969986
384,1.914996,0.3833834,0.1975381
385,1.919996,0.3843844,0.1980598
386,1.924997,0.3853854,0.1986024
387,1.929996,0.3863864,0.1991062
388,1.934997,0.3873874,0.1996262
389,1.939996,0.3883884,0.2001891
390,1.944996,0.3893894,0.200702
391,1.949997,0.3903904,0.2012382
392,1.954996,0.3913914,0.2017524
393,1.959996,0.3923924,0.2023032
394,1.964997,0.3933934,0.2028079
395,1.969996,0.3943944,0.2033556
396,1.974997,0.3953954,0.2038746
397,1.979996,0.3963964,0.204406
398,1.984996,0.3973974,0.2049203
399,1.989997,0.3983984,0.2054696
400,1.994996,0.3993994,0.2059782
401,1.999996,0.4004004,0.2065151
402,2.004997,0.4014014,0.2070513
403,2.009996,0.4024024,0.2075753
404,2.014997,0.4034034,0.2081172
405,2.019996,0.4044044,0.2086551
406,2.024996,0.4054054,0.2091882
407,2.029997,0.4064064,0.2097325
408,2.034996,0.4074074,0.2102404
409,2.039996,0.4084084,0.2107556
410,2.044997,0.4094094,0.2113371
411,2.049996,0.4104104,0.211849
412,2.054997,0.4114114,0.212369
413,2.059997,0.4124124,0.2128849
414,2.064996,0.4134134,0.2134342
415,2.069997,0.4144144,0.213963
416,2.074996,0.4154154,0.2144759
417,2.079996,0.4164164,0.2150242
418,2.084997,0.4174174,0.2155614
419,2.089996,0.4184184,0.2161114
420,2.094997,0.4194194,0.2165971
421,2.099996,0.4204204,0.2171488
422,2.104996,0.4214214,0.217685
423,2.109997,0.4224224,0.2182295
424,2.114996,0.4234234,0.2187111
425,2.119996,0.4244244,0.2193036
426,2.124997,0.4254254,0.2197797
427,2.129996,0.4264264,0.2203338
428,2.134997,0.4274274,0.2208538
429,2.139996,0.4284284,0.2214248
430,2.144996,0.4294294,0.2219083
431,2.149997,0.4304304,0.222477
432,2.154996,0.4314314,0.2229848
433,2.159996,0.4324324,0.2235122
434,2.164997,0.4334334,0.2240257
435,2.169996,0.4344344,0.2246008
436,2.174997,0.4354354,0.2251079
437,2.179996,0.4364364,0.2256627
438,2.184996,0.4374374,0.2261658
439,2.189997,0.4384384,0.2267118
440,2.194996,0.4394394,0.2272463
441,2.199996,0.4404404,0.2277997
442,2.204997,0.4414414,0.2282879
443,2.209996,0.4424424,0.2288697
444,2.214997,0.4434434,0.2293735
445,2.219996,0.4444444,0.2298958
446,2.224996,0.4454454,0.2304313
447,2.229997,0.4464464,0.2309895
448,2.234996,0.4474474,0.231498
449,2.239996,0.4484484,0.2320302
450,2.244997,0.4494494,0.2325656
451,2.249996,0.4504505,0.2330749
452,2.254997,0.4514515,0.2336259
453,2.259996,0.4524525,0.2341759
454,2.264996,0.4534535,0.2346804
455,2.269997,0.4544545,0.2352207
456,2.274996,0.4554555,0.23577
457,2.279996,0.4564565,0.2363183
458,2.284997,0.4574575,0.236836
459,2.289996,0.4584585,0.2373738
460,2.294997,0.4594595,0.2378891
461,2.299996,0.4604605,0.2384698
462,2.304996,0.4614615,0.2389662
463,2.309997,0.4624625,0.2395172
464,2.314996,0.4634635,0.240072
465,2.319996,0.4644645,0.2405808
466,2.324997,0.4654655,0.2411113
467,2.329996,0.4664665,0.2416799
468,2.334997,0.4674675,0.2422049
469,2.339997,0.4684685,0.2427094
470,2.344996,0.4694695,0.2432668
471,2.349997,0.4704705,0.2437963
472,2.354996,0.4714715,0.244323
473,2.359996,0.4724725,0.2448454
474,2.364997,0.4734735,0.2453873
475,2.369996,0.4744745,0.2459242
476,2.374997,0.4754755,0.2464557
477,2.379996,0.4764765,0.2469878
478,2.384996,0.4774775,0.2475233
479,2.389997,0.4784785,0.2481098
480,2.394996,0.4794795,0.2486014
481,2.399996,0.4804805,0.2491686
482,2.404997,0.4814815,0.2496917
483,2.409996,0.4824825,0.2502313
484,2.414997,0.4834835,0.250761
485,2.419996,0.4844845,0.2513411
486,2.424996,0.4854855,0.2518311
487,2.429997,0.4864865,0.2523763
488,2.434996,0.4874875,0.2528937
489,2.439996,0.4884885,0.2534561
490,2.444997,0.4894895,0.2539728
491,2.449996,0.4904905,0.254513
492,2.454997,0.4914915,0.2550378
493,2.459996,0.4924925,0.2555685
494,2.464996,0.4934935,0.2561371
495,2.469997,0.4944945,0.2566743
496,2.474996,0.4954955,0.2572055
497,2.479996,0.4964965,0.257741
498,2.484997,0.4974975,0.2582731
499,2.489996,0.4984985,0.2587988
500,2.494997,0.4994995,0.2593489
501,2.499996,0.5005005,0.2598591
502,2.504996,0.5015015,0.2603922
503,2.509997,0.5025025,0.2609568
504,2.514996,0.5035035,0.2614491
505,2.519996,0.5045045,0.2620153
506,2.524997,0.5055055,0.2625501
507,2.529996,0.5065065,0.263113
508,2.534997,0.5075075,0.263608
509,2.539996,0.5085085,0.2641807
510,2.544996,0.5095095,0.2646999
511,2.549997,0.5105105,0.2652938
512,2.554996,0.5115115,0.2658284
513,2.559996,0.5125125,0.2663963
514,2.564997,0.5135135,0.2668879
515,2.569996,0.5145145,0.2674606
516,2.574997,0.5155155,0.2679596
517,2.579996,0.5165165,0.2685292
518,2.584996,0.5175175,0.2690206
519,2.589997,0.5185185,0.2695854
520,2.594996,0.5195195,0.270102
521,2.599996,0.5205205,0.2706652
522,2.604997,0.5215215,0.2711525
523,2.609996,0.5225225,0.2717197
524,2.614997,0.5235235,0.2722235
525,2.619996,0.5245245,0.2728221
526,2.624996,0.5255255,0.2733333
527,2.629997,0.5265265,0.2738743
528,2.634996,0.5275275,0.2744122
529,2.639996,0.5285285,0.2749736
530,2.644997,0.5295295,0.2755172
531,2.649996,0.5305305,0.2760592
532,2.654997,0.5315315,0.2765946
533,2.659996,0.5325325,0.2771015
534,2.664996,0.5335335,0.2776499
535,2.669997,0.5345345,0.2781942
536,2.674996,0.5355355,0.2787337
537,2.679996,0.5365365,0.2792952
538,2.684997,0.5375375,0.2798297
539,2.689996,0.5385385,0.2803619
540,2.694997,0.5395395,0.2809227
541,2.699996,0.5405405,0.2814775
542,2.704996,0.5415415,0.2820096
543,2.709997,0.5425425,0.2825484
544,2.714996,0.5435435,0.2830904
545,2.719996,0.5445445,0.2836273
546,2.724997,0.5455455,0.2841733
547,2.729996,0.5465465,0.2847013
548,2.734997,0.5475475,0.2852223
549,2.739996,0.5485485,0.2857943
550,2.744996,0.5495495,0.2862802
551,2.749997,0.5505506,0.2868366
552,2.754996,0.5515516,0.2873867
553,2.759996,0.5525526,0.2879303
554,2.764997,0.5535536,0.2884657
555,2.769996,0.5545546,0.2890198
556,2.774997,0.5555556,0.2895868
557,2.779996,0.5565566,0.290127
558,2.784996,0.5575576,0.2906837
559,2.789997,0.5585586,0.2912207
560,2.794996,0.5595596,0.2917659
561,2.799996,0.5605606,0.2923102
562,2.804997,0.5615616,0.2928326
563,2.809996,0.5625626,0.2933843
564,2.814997,0.5635636,0.2939165
565,2.819996,0.5645646,0.294486
566,2.824996,0.5655656,0.2949932
567,2.829997,0.5665666,0.2955611
568,2.834996,0.5675676,0.2960842
569,2.839996,0.5685686,0.2966294
570,2.844997,0.5695696,0.2971869
571,2.849996,0.5705706,0.2977757
572,2.854997,0.5715716,0.2982519
573,2.859996,0.5725726,0.2987907
574,2.864996,0.5735736,0.2993033
575,2.869997,0.5745746,0.29985
576,2.874996,0.5755756,0.3003902
577,2.879996,0.5765766,0.3009567
578,2.884997,0.5775776,0.3014328
579,2.889996,0.5785786,0.3020282
580,2.894997,0.5795796,0.3025417
581,2.899996,0.5805806,0.3030968
582,2.904996,0.5815816,0.3036306
583,2.909997,0.5825826,0.3042049
584,2.914996,0.5835836,0.3046997
585,2.919996,0.5845846,0.305275
586,2.924997,0.5855856,0.3057983
587,2.929996,0.5865866,0.3063588
588,2.934997,0.5875876,0.3068683
589,2.939996,0.5885886,0.3074629
590,2.944996,0.5895896,0.3079691
591,2.949997,0.5905906,0.3085647
592,2.954996,0.5915916,0.3090799
593,2.959996,0.5925926,0.3096201
594,2.964997,0.5935936,0.3101628
595,2.969996,0.5945946,0.3107381
596,2.974997,0.5955956,0.3112638
597,2.979996,0.5965966,0.3118227
598,2.984996,0.5975976,0.3123915
599,2.989997,0.5985986,0.3129227
600,2.994996,0.5995996,0.3134923
601,2.999996,0.6006006,0.3140261
602,3.004997,0.6016016,0.3145852
603,3.009996,0.6026026,0.3151376
604,3.014997,0.6036036,0.3156731
605,3.019996,0.6046046,0.3162093
606,3.024996,0.6056056,0.3167543
607,3.029997,0.6066066,0.3173003
608,3.034996,0.6076076,0.3178213
609,3.039996,0.6086086,0.3183908
610,3.044997,0.6096096,0.3189068
611,3.049996,0.6106106,0.3194559
612,3.054997,0.6116116,0.3200018
613,3.059996,0.6126126,0.3205431
614,3.064996,0.6136136,0.3210566
615,3.069997,0.6146146,0.3216205
616,3.074996,0.6156156,0.3221719
617,3.079996,0.6166166,0.3227196
618,3.084997,0.6176176,0.3232689
619,3.089996,0.6186186,0.3238142
620,3.094997,0.6196196,0.3243592
621,3.099996,0.6206206,0.3249102
622,3.104996,0.6216216,0.325448
623,3.109997,0.6226226,0.3259776
624,3.114996,0.6236236,0.3265553
625,3.119996,0.6246246,0.3271039
626,3.124997,0.6256256,0.3276498
627,3.129996,0.6266266,0.3282387
628,3.134997,0.6276276,0.3287637
629,3.139996,0.6286286,0.3293128
630,3.144996,0.6296296,0.3298409
631,3.149997,0.6306306,0.3304024
632,3.154996,0.6316316,0.3309281
633,3.159996,0.6326326,0.3315105
634,3.164997,0.6336336,0.3319812
635,3.169996,0.6346346,0.3325408
636,3.174997,0.6356356,0.3330917
637,3.179996,0.6366366,0.333637
638,3.184996,0.6376376,0.3341722
639,3.189997,0.6386386,0.3347313
640,3.194996,0.6396396,0.3352709
641,3.199996,0.6406406,0.335824
642,3.204997,0.6416416,0.3363571
643,3.209996,0.6426426,0.3369234
644,3.214997,0.6436436,0.3374498
645,3.219996,0.6446446,0.3380177
646,3.224996,0.6456456,0.338532
647,3.229997,0.6466466,0.3391211
648,3.234996,0.6476476,0.3396678
649,3.239996,0.6486486,0.3402627
650,3.244997,0.6496496,0.3407509
651,3.249996,0.6506507,0.3413482
652,3.254997,0.6516517,0.3418574
653,3.259996,0.6526527,0.3424459
654,3.264996,0.6536537,0.3429422
655,3.269997,0.6546547,0.3435125
656,3.274996,0.6556557,0.3440545
657,3.279996,0.6566567,0.3446362
658,3.284997,0.6576577,0.3451538
659,3.289996,0.6586587,0.3456941
660,3.294997,0.6596597,0.3462458
661,3.299996,0.6606607,0.3468006
662,3.304996,0.6616617,0.3473094
663,3.309997,0.6626627,0.3478827
664,3.314996,0.6636637,0.3484151
665,3.319996,0.6646647,0.3489797
666,3.324997,0.6656657,0.3495436
667,3.329996,0.6666667,0.3500774
668,3.334997,0.6676677,0.3506095
669,3.339996,0.6686687,0.3511822
670,3.344996,0.6696697,0.3517063
671,3.349997,0.6706707,0.3522458
672,3.354996,0.6716717,0.3528025
673,3.359996,0.6726727,0.3533468
674,3.364997,0.6736737,0.3538773
675,3.369996,0.6746747,0.3544436
676,3.374997,0.6756757,0.3549645
677,3.379996,0.6766767,0.3555129
678,3.384996,0.6776777,0.3560758
679,3.389997,0.6786787,0.3566146
680,3.394996,0.6796797,0.3571596
681,3.399996,0.6806807,0.3577244
682,3.404997,0.6816817,0.3582475
683,3.409996,0.6826827,0.3587904
684,3.414997,0.6836837,0.3593307
685,3.419996,0.6846847,0.359879
686,3.424996,0.6856857,0.3603926
687,3.429997,0.6866867,0.3609605
688,3.434996,0.6876877,0.3614812
689,3.439996,0.6886887,0.3619866
690,3.444997,0.6896897,0.3625424
691,3.449996,0.6906907,0.3630958
692,3.454997,0.6916917,0.3636441
693,3.459996,0.6926927,0.3642421
694,3.464996,0.6936937,0.3647556
695,3.469997,0.6946947,0.3653553
696,3.474996,0.6956957,0.3658841
697,3.479996,0.6966967,0.3664901
698,3.484997,0.6976977,0.3670084
