[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,5 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/13/19 1:42 AM 0.064462 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,-4.184246E-4
2,0.004996,0.001001001,0.00132966
3,0.009996,0.002002002,0.003031015
4,0.014997,0.003003003,0.004796505
5,0.019996,0.004004004,0.006605625
6,0.024996,0.005005005,0.008353233
7,0.029997,0.006006006,0.01010251
8,0.034996,0.007007007,0.01193047
9,0.039997,0.008008008,0.01359582
10,0.044996,0.009009009,0.01543045
11,0.049996,0.01001001,0.01716495
12,0.054997,0.01101101,0.01890683
13,0.059996,0.01201201,0.02059579
14,0.064996,0.01301301,0.02248716
15,0.069997,0.01401401,0.02412009
16,0.074996,0.01501502,0.02590513
17,0.079997,0.01601602,0.02768588
18,0.084997,0.01701702,0.02946925
19,0.089996,0.01801802,0.03117681
20,0.094997,0.01901902,0.03299522
21,0.099996,0.02002002,0.03468823
22,0.104996,0.02102102,0.03645039
23,0.109997,0.02202202,0.0382719
24,0.114996,0.02302302,0.03999829
25,0.119997,0.02402402,0.04171014
26,0.124996,0.02502503,0.04357862
27,0.129996,0.02602603,0.04525304
28,0.134997,0.02702703,0.04698443
29,0.139996,0.02802803,0.04879785
30,0.144996,0.02902903,0.05056477
31,0.149997,0.03003003,0.05228949
32,0.154996,0.03103103,0.05416632
33,0.159997,0.03203203,0.05576849
34,0.164996,0.03303303,0.05759883
35,0.169996,0.03403403,0.05939603
36,0.174997,0.03503504,0.0611515
37,0.179996,0.03603604,0.06286025
38,0.184996,0.03703704,0.06470919
39,0.189997,0.03803804,0.06645846
40,0.194996,0.03903904,0.06819367
41,0.199997,0.04004004,0.06994462
42,0.204996,0.04104104,0.07172132
43,0.209996,0.04204204,0.07348442
44,0.214997,0.04304304,0.07528377
45,0.219996,0.04404404,0.07700944
46,0.224996,0.04504504,0.07877564
47,0.229997,0.04604604,0.08056307
48,0.234996,0.04704705,0.08229685
49,0.239997,0.04804805,0.08407521
50,0.244996,0.04904905,0.08584547
51,0.249996,0.05005005,0.08759069
52,0.254997,0.05105105,0.08934879
53,0.259996,0.05205205,0.09113455
54,0.264996,0.05305305,0.0928421
55,0.269997,0.05405406,0.09464407
56,0.274996,0.05505506,0.09641695
57,0.279997,0.05605606,0.0981555
58,0.284996,0.05705706,0.09991026
59,0.289996,0.05805806,0.1017065
60,0.294997,0.05905906,0.1034865
61,0.299996,0.06006006,0.1052091
62,0.304996,0.06106106,0.1069946
63,0.309997,0.06206206,0.1087747
64,0.314996,0.06306306,0.1104794
65,0.319997,0.06406406,0.1122935
66,0.324996,0.06506506,0.1140604
67,0.329996,0.06606606,0.1158559
68,0.334997,0.06706706,0.1176474
69,0.339996,0.06806806,0.1193502
70,0.344996,0.06906907,0.1211896
71,0.349997,0.07007007,0.1229525
72,0.354996,0.07107107,0.1247334
73,0.359997,0.07207207,0.1264834
74,0.364996,0.07307307,0.1283073
75,0.369996,0.07407407,0.1300955
76,0.374997,0.07507508,0.1318829
77,0.379996,0.07607608,0.1336157
78,0.384996,0.07707708,0.1354339
79,0.389997,0.07807808,0.1371448
80,0.394996,0.07907908,0.1390021
81,0.399997,0.08008008,0.1407976
82,0.404996,0.08108108,0.1426013
83,0.409996,0.08208209,0.1443748
84,0.414997,0.08308309,0.1461418
85,0.419996,0.08408409,0.1478925
86,0.424996,0.08508509,0.1497109
87,0.429997,0.08608609,0.1515021
88,0.434996,0.08708709,0.1533017
89,0.439997,0.08808809,0.155081
90,0.444996,0.08908909,0.1568789
91,0.449996,0.09009009,0.1586418
92,0.454997,0.09109109,0.1604829
93,0.459996,0.09209209,0.1622646
94,0.464996,0.09309309,0.1640315
95,0.469997,0.0940941,0.1658442
96,0.474996,0.0950951,0.1676874
97,0.479997,0.0960961,0.169409
98,0.484996,0.0970971,0.1712825
99,0.489996,0.0980981,0.1730494
100,0.494997,0.0990991,0.1748848
101,0.499996,0.1001001,0.1766584
102,0.504996,0.1011011,0.1785295
103,0.509997,0.1021021,0.1802461
104,0.514996,0.1031031,0.1821294
105,0.519997,0.1041041,0.1838865
106,0.524996,0.1051051,0.1857617
107,0.529996,0.1061061,0.1875734
108,0.534997,0.1071071,0.1893721
109,0.539996,0.1081081,0.1911602
110,0.544996,0.1091091,0.1930306
111,0.549997,0.1101101,0.1948137
112,0.554996,0.1111111,0.1966531
113,0.559997,0.1121121,0.1984591
114,0.564996,0.1131131,0.200335
115,0.569996,0.1141141,0.2021363
116,0.574997,0.1151151,0.2039952
117,0.579996,0.1161161,0.2058158
118,0.584996,0.1171171,0.2075837
119,0.589997,0.1181181,0.2094944
120,0.594996,0.1191191,0.2113965
121,0.599997,0.1201201,0.2131479
122,0.604996,0.1211211,0.2150345
123,0.609996,0.1221221,0.2168844
124,0.614997,0.1231231,0.2186522
125,0.619996,0.1241241,0.2205973
126,0.624996,0.1251251,0.2224462
127,0.629997,0.1261261,0.2242205
128,0.634996,0.1271271,0.2260778
129,0.639997,0.1281281,0.2279408
130,0.644996,0.1291291,0.2297499
131,0.649996,0.1301301,0.2316463
132,0.654997,0.1311311,0.2334692
133,0.659996,0.1321321,0.2353315
134,0.664996,0.1331331,0.237309
135,0.669997,0.1341341,0.2391207
136,0.674996,0.1351351,0.2408893
137,0.679997,0.1361361,0.2428513
138,0.684996,0.1371371,0.2447531
139,0.689996,0.1381381,0.246551
140,0.694997,0.1391391,0.2484856
141,0.699996,0.1401401,0.2503321
142,0.704996,0.1411411,0.2521935
143,0.709997,0.1421421,0.254045
144,0.714996,0.1431431,0.2560549
145,0.719997,0.1441441,0.2577863
146,0.724996,0.1451451,0.2596955
147,0.729996,0.1461461,0.2615235
148,0.734997,0.1471471,0.2634099
149,0.739996,0.1481481,0.2652647
150,0.744996,0.1491491,0.2671275
151,0.749997,0.1501502,0.2689652
152,0.754996,0.1511512,0.2708809
153,0.759997,0.1521522,0.2726822
154,0.764997,0.1531532,0.274611
155,0.769996,0.1541542,0.2764771
156,0.774997,0.1551552,0.2782953
157,0.779996,0.1561562,0.2800989
158,0.784996,0.1571572,0.2820966
159,0.789997,0.1581582,0.2838402
160,0.794996,0.1591592,0.2856836
161,0.799997,0.1601602,0.2876408
162,0.804996,0.1611612,0.2895596
163,0.809996,0.1621622,0.2913325
164,0.814997,0.1631632,0.2932637
165,0.819996,0.1641642,0.2950923
166,0.824996,0.1651652,0.2969716
167,0.829997,0.1661662,0.2988424
168,0.834996,0.1671672,0.3008111
169,0.839997,0.1681682,0.3026602
170,0.844996,0.1691692,0.3046312
171,0.849996,0.1701702,0.3064892
172,0.854997,0.1711712,0.3084106
173,0.859996,0.1721722,0.3103247
174,0.864996,0.1731732,0.3122754
175,0.869997,0.1741742,0.3141651
176,0.874996,0.1751752,0.3161628
177,0.879997,0.1761762,0.318037
178,0.884996,0.1771772,0.3199975
179,0.889996,0.1781782,0.3219709
180,0.894997,0.1791792,0.323863
181,0.899996,0.1801802,0.3256943
182,0.904996,0.1811812,0.3278594
183,0.909997,0.1821822,0.3297498
184,0.914996,0.1831832,0.3316867
185,0.919997,0.1841842,0.3336763
186,0.924996,0.1851852,0.3356133
187,0.929996,0.1861862,0.3375127
188,0.934997,0.1871872,0.3395202
189,0.939996,0.1881882,0.3414838
190,0.944996,0.1891892,0.3435028
191,0.949997,0.1901902,0.3454144
192,0.954996,0.1911912,0.3473406
193,0.959997,0.1921922,0.3493254
194,0.964996,0.1931932,0.3513753
195,0.969996,0.1941942,0.3532529
196,0.974997,0.1951952,0.3552618
197,0.979996,0.1961962,0.3572271
198,0.984996,0.1971972,0.3591893
199,0.989997,0.1981982,0.3611586
200,0.994996,0.1991992,0.363292
201,0.999997,0.2002002,0.365128
202,1.004996,0.2012012,0.367182
203,1.009996,0.2022022,0.3692446
204,1.014997,0.2032032,0.3712935
205,1.019996,0.2042042,0.3731849
206,1.024996,0.2052052,0.3753567
207,1.029997,0.2062062,0.3773291
208,1.034996,0.2072072,0.3792741
209,1.039997,0.2082082,0.3813281
210,1.044996,0.2092092,0.38342
211,1.049996,0.2102102,0.3853819
212,1.054997,0.2112112,0.3874066
213,1.059996,0.2122122,0.3894262
214,1.064996,0.2132132,0.3914833
215,1.069996,0.2142142,0.3934324
216,1.074996,0.2152152,0.3955431
217,1.079997,0.2162162,0.3975775
218,1.084996,0.2172172,0.3996549
219,1.089996,0.2182182,0.4015989
220,1.094997,0.2192192,0.4037325
221,1.099996,0.2202202,0.4057229
222,1.104996,0.2212212,0.4077249
223,1.109997,0.2222222,0.4098289
224,1.114996,0.2232232,0.4119461
225,1.119997,0.2242242,0.4135587
226,1.124996,0.2252252,0.4155493
227,1.129996,0.2262262,0.4176414
228,1.134997,0.2272272,0.4197245
229,1.139996,0.2282282,0.4218497
230,1.144996,0.2292292,0.4241035
231,1.149997,0.2302302,0.4261897
232,1.154996,0.2312312,0.4284782
233,1.159997,0.2322322,0.4306695
234,1.164996,0.2332332,0.4330206
235,1.169996,0.2342342,0.4353223
236,1.174997,0.2352352,0.4375906
237,1.179996,0.2362362,0.4396696
238,1.184996,0.2372372,0.4418681
239,1.189997,0.2382382,0.4441209
240,1.194996,0.2392392,0.4464452
241,1.199997,0.2402402,0.4488468
242,1.204996,0.2412412,0.4511776
243,1.209996,0.2422422,0.4536767
244,1.214997,0.2432432,0.4562821
245,1.219996,0.2442442,0.4587479
246,1.224996,0.2452452,0.4612591
247,1.229997,0.2462462,0.4638159
248,1.234996,0.2472472,0.4653456
249,1.239997,0.2482482,0.4676952
250,1.244996,0.2492492,0.4702852
251,1.249996,0.2502503,0.4678245
252,1.254997,0.2512513,0.4699919
253,1.259996,0.2522523,0.4718363
254,1.264996,0.2532533,0.4728703
255,1.269997,0.2542543,0.4760194
256,1.274996,0.2552553,0.4777768
257,1.279997,0.2562563,0.4799867
258,1.284996,0.2572573,0.4825125
259,1.289996,0.2582583,0.4870036
260,1.294997,0.2592593,0.4891379
261,1.299996,0.2602603,0.4891646
262,1.304996,0.2612613,0.4894602
263,1.309997,0.2622623,0.4922323
264,1.314996,0.2632633,0.4959199
265,1.319997,0.2642643,0.5009749
266,1.324996,0.2652653,0.5045114
267,1.329996,0.2662663,0.5038452
268,1.334997,0.2672673,0.5024178
269,1.339996,0.2682683,0.5027802
270,1.344996,0.2692693,0.5043929
271,1.349997,0.2702703,0.5088725
272,1.354996,0.2712713,0.5143964
273,1.359997,0.2722723,0.5225377
274,1.364996,0.2732733,0.5163324
275,1.369996,0.2742743,0.5105097
276,1.374997,0.2752753,0.5117445
277,1.379996,0.2762763,0.5116537
278,1.384996,0.2772773,0.5146043
279,1.389997,0.2782783,0.5172749
280,1.394996,0.2792793,0.5204692
281,1.399997,0.2802803,0.5196381
282,1.404996,0.2812813,0.520951
283,1.409996,0.2822823,0.5225539
284,1.414997,0.2832833,0.5265877
285,1.419996,0.2842843,0.5462778
286,1.424996,0.2852853,0.5458627
287,1.429997,0.2862863,0.5480945
288,1.434996,0.2872873,0.5456612
289,1.439997,0.2882883,0.5512409
290,1.444996,0.2892893,0.5579808
291,1.449996,0.2902903,0.558929
292,1.454997,0.2912913,0.5596828
293,1.459996,0.2922923,0.5517097
294,1.464996,0.2932933,0.547694
295,1.469997,0.2942943,0.5472097
296,1.474996,0.2952953,0.5482187
297,1.479997,0.2962963,0.551878
298,1.484996,0.2972973,0.5583749
299,1.489996,0.2982983,0.5555704
300,1.494997,0.2992993,0.5568354
301,1.499996,0.3003003,0.5589972
302,1.504996,0.3013013,0.5553722
303,1.509997,0.3023023,0.5542274
304,1.514996,0.3033033,0.5553861
305,1.519997,0.3043043,0.5557661
306,1.524996,0.3053053,0.5555646
307,1.529996,0.3063063,0.5565405
308,1.534997,0.3073073,0.5553834
309,1.539996,0.3083083,0.5569417
310,1.544996,0.3093093,0.5604694
311,1.549997,0.3103103,0.5599406
312,1.554996,0.3113113,0.559804
313,1.559997,0.3123123,0.5627506
314,1.564996,0.3133133,0.5635021
315,1.569996,0.3143143,0.5640433
316,1.574997,0.3153153,0.5666008
317,1.579996,0.3163163,0.5713031
318,1.584996,0.3173173,0.5794933
319,1.589997,0.3183183,0.5844777
320,1.594996,0.3193193,0.5835295
321,1.599997,0.3203203,0.5828691
322,1.604996,0.3213213,0.5868132
323,1.609996,0.3223223,0.5861204
324,1.614997,0.3233233,0.5882132
325,1.619996,0.3243243,0.5885713
326,1.624996,0.3253253,0.590951
327,1.629997,0.3263263,0.5905561
328,1.634996,0.3273273,0.5878637
329,1.639997,0.3283283,0.5880246
330,1.644996,0.3293293,0.5874388
331,1.649996,0.3303303,0.5909519
332,1.654997,0.3313313,0.5980434
333,1.659996,0.3323323,0.599515
334,1.664996,0.3333333,0.5979412
335,1.669997,0.3343343,0.5989616
336,1.674996,0.3353353,0.603097
337,1.679997,0.3363363,0.6040215
338,1.684996,0.3373373,0.6072607
339,1.689996,0.3383383,0.6107743
340,1.694997,0.3393393,0.6136405
341,1.699996,0.3403403,0.6120758
342,1.704996,0.3413413,0.6148398
343,1.709997,0.3423423,0.6133482
344,1.714996,0.3433433,0.6129923
345,1.719997,0.3443443,0.614908
346,1.724996,0.3453453,0.6155808
347,1.729996,0.3463463,0.6214797
348,1.734997,0.3473473,0.6233029
349,1.739996,0.3483483,0.624424
350,1.744996,0.3493493,0.6239431
351,1.749997,0.3503504,0.6294773
352,1.754996,0.3513514,0.6306286
353,1.759997,0.3523524,0.6310585
354,1.764996,0.3533534,0.6302817
355,1.769996,0.3543544,0.6320553
356,1.774997,0.3553554,0.6342106
357,1.779996,0.3563564,0.6382492
358,1.784996,0.3573574,0.6375496
359,1.789997,0.3583584,0.6357446
360,1.794996,0.3593594,0.6331716
361,1.799997,0.3603604,0.6399512
362,1.804997,0.3613614,0.6416607
363,1.809996,0.3623624,0.6336524
364,1.814997,0.3633634,0.6384978
365,1.819996,0.3643644,0.6448138
366,1.824996,0.3653654,0.6498303
367,1.829997,0.3663664,0.6512384
368,1.834996,0.3673674,0.6500952
369,1.839997,0.3683684,0.6447821
370,1.844996,0.3693694,0.6355033
371,1.849996,0.3703704,0.6508436
372,1.854997,0.3713714,0.6366901
373,1.859996,0.3723724,0.6334445
374,1.864996,0.3733734,0.6390698
375,1.869997,0.3743744,0.648052
376,1.874996,0.3753754,0.6541378
377,1.879997,0.3763764,0.6584129
378,1.884996,0.3773774,0.6569993
379,1.889996,0.3783784,0.6622875
380,1.894997,0.3793794,0.6636815
381,1.899996,0.3803804,0.6592805
382,1.904996,0.3813814,0.6402674
383,1.909997,0.3823824,0.6402991
384,1.914996,0.3833834,0.6394076
385,1.919997,0.3843844,0.6419337
386,1.924996,0.3853854,0.6465328
387,1.929996,0.3863864,0.6496785
388,1.934997,0.3873874,0.6517811
389,1.939996,0.3883884,0.654671
390,1.944996,0.3893894,0.6580563
391,1.949997,0.3903904,0.6589491
392,1.954996,0.3913914,0.6443474
393,1.959997,0.3923924,0.6459973
394,1.964996,0.3933934,0.6493697
395,1.969996,0.3943944,0.652916
396,1.974997,0.3953954,0.6553607
397,1.979996,0.3963964,0.6603742
398,1.984996,0.3973974,0.6644177
399,1.989997,0.3983984,0.6700771
400,1.994996,0.3993994,0.6745162
401,1.999997,0.4004004,0.6701527
402,2.004996,0.4014014,0.6693604
403,2.009996,0.4024024,0.6715639
404,2.014997,0.4034034,0.6722577
405,2.019996,0.4044044,0.6742814
406,2.024996,0.4054054,0.6816201
407,2.029997,0.4064064,0.6825731
408,2.034996,0.4074074,0.6853483
409,2.039997,0.4084084,0.6914344
410,2.044996,0.4094094,0.6909907
411,2.049996,0.4104104,0.6880252
412,2.054997,0.4114114,0.7049963
413,2.059996,0.4124124,0.7061825
414,2.064996,0.4134134,0.704577
415,2.069997,0.4144144,0.7165523
416,2.074996,0.4154154,0.7025168
417,2.079997,0.4164164,0.7113023
418,2.084996,0.4174174,0.7383897
419,2.089996,0.4184184,0.7227697
420,2.094997,0.4194194,0.7198126
421,2.099996,0.4204204,0.7334087
422,2.104996,0.4214214,0.7065399
423,2.109997,0.4224224,0.7013752
424,2.114996,0.4234234,0.711391
425,2.119997,0.4244244,0.7302003
426,2.124996,0.4254254,0.726243
427,2.129996,0.4264264,0.7295098
428,2.134997,0.4274274,0.7266467
429,2.139996,0.4284284,0.7282002
430,2.144996,0.4294294,0.75263
431,2.149997,0.4304304,0.7079713
432,2.154996,0.4314314,0.6974032
433,2.159997,0.4324324,0.7014964
434,2.164996,0.4334334,0.7083027
435,2.169996,0.4344344,0.7108288
436,2.174997,0.4354354,0.7361319
437,2.179996,0.4364364,0.724818
438,2.184996,0.4374374,0.7207069
439,2.189997,0.4384384,0.7195892
440,2.194996,0.4394394,0.7222905
441,2.199997,0.4404404,0.7270188
442,2.204996,0.4414414,0.7405312
443,2.209996,0.4424424,0.7577264
444,2.214997,0.4434434,0.7471135
445,2.219996,0.4444444,0.7511425
446,2.224996,0.4454454,0.7496645
447,2.229997,0.4464464,0.7530711
448,2.234996,0.4474474,0.7469795
449,2.239997,0.4484484,0.7216933
450,2.244996,0.4494494,0.731674
451,2.249996,0.4504505,0.7515266
452,2.254997,0.4514515,0.7334614
453,2.259996,0.4524525,0.7133391
454,2.264996,0.4534535,0.7165759
455,2.269997,0.4544545,0.7304888
456,2.274996,0.4554555,0.7249885
457,2.279997,0.4564565,0.7557878
458,2.284996,0.4574575,0.7542582
459,2.289996,0.4584585,0.7576435
460,2.294997,0.4594595,0.7086627
461,2.299996,0.4604605,0.7060354
462,2.304996,0.4614615,0.7086196
463,2.309997,0.4624625,0.7124088
464,2.314996,0.4634635,0.6947532
465,2.319997,0.4644645,0.6884153
466,2.324996,0.4654655,0.6948862
467,2.329996,0.4664665,0.6990314
468,2.334997,0.4674675,0.7267735
469,2.339996,0.4684685,0.7192869
470,2.344996,0.4694695,0.7130661
471,2.349997,0.4704705,0.7196362
472,2.354996,0.4714715,0.7217681
473,2.359997,0.4724725,0.7242386
474,2.364996,0.4734735,0.7177181
475,2.369996,0.4744745,0.7221036
476,2.374997,0.4754755,0.7268741
477,2.379996,0.4764765,0.7319324
478,2.384996,0.4774775,0.7280555
479,2.389997,0.4784785,0.7290711
480,2.394996,0.4794795,0.7159047
481,2.399997,0.4804805,0.7204649
482,2.404996,0.4814815,0.6878994
483,2.409996,0.4824825,0.6746721
484,2.414997,0.4834835,0.6766627
485,2.419996,0.4844845,0.6815982
486,2.424996,0.4854855,0.6864915
487,2.429997,0.4864865,0.6916416
488,2.434996,0.4874875,0.6966388
489,2.439997,0.4884885,0.7028205
490,2.444996,0.4894895,0.7105191
491,2.449996,0.4904905,0.72247
492,2.454997,0.4914915,0.7439191
493,2.459996,0.4924925,0.7442026
494,2.464996,0.4934935,0.7359507
495,2.469997,0.4944945,0.7393248
496,2.474996,0.4954955,0.7035477
497,2.479997,0.4964965,0.7086058
498,2.484997,0.4974975,0.713547
499,2.489996,0.4984985,0.7035208
500,2.494997,0.4994995,0.6927195
501,2.499996,0.5005005,0.6910801
502,2.504996,0.5015015,0.6940284
503,2.509997,0.5025025,0.6978388
504,2.514996,0.5035035,0.7039692
505,2.519997,0.5045045,0.7086675
506,2.524996,0.5055055,0.7124374
507,2.529996,0.5065065,0.7167635
508,2.534997,0.5075075,0.7150705
509,2.539996,0.5085085,0.7018018
510,2.544996,0.5095095,0.6996951
511,2.549997,0.5105105,0.7025938
512,2.554996,0.5115115,0.7020593
513,2.559997,0.5125125,0.7067275
514,2.564996,0.5135135,0.7119823
515,2.569996,0.5145145,0.7141776
516,2.574997,0.5155155,0.7135649
517,2.579996,0.5165165,0.7157309
518,2.584996,0.5175175,0.7196412
519,2.589997,0.5185185,0.7264121
520,2.594996,0.5195195,0.7479
521,2.599997,0.5205205,0.7535098
522,2.604996,0.5215215,0.7411771
523,2.609996,0.5225225,0.7356493
524,2.614997,0.5235235,0.7390721
525,2.619996,0.5245245,0.7320819
526,2.624996,0.5255255,0.7265093
527,2.629997,0.5265265,0.7288492
528,2.634996,0.5275275,0.7330706
529,2.639997,0.5285285,0.736305
530,2.644996,0.5295295,0.7449183
531,2.649996,0.5305305,0.7575085
532,2.654997,0.5315315,0.7476068
533,2.659996,0.5325325,0.7541192
534,2.664996,0.5335335,0.7383733
535,2.669997,0.5345345,0.748064
536,2.674996,0.5355355,0.7503307
537,2.679997,0.5365365,0.7599661
538,2.684996,0.5375375,0.766871
539,2.689996,0.5385385,0.7530842
540,2.694997,0.5395395,0.7552688
541,2.699996,0.5405405,0.757005
542,2.704996,0.5415415,0.7589703
543,2.709997,0.5425425,0.7701337
544,2.714996,0.5435435,0.7758379
545,2.719997,0.5445445,0.7755861
546,2.724996,0.5455455,0.8019114
547,2.729996,0.5465465,0.7886605
548,2.734997,0.5475475,0.7862461
549,2.739996,0.5485485,0.7985973
550,2.744996,0.5495495,0.8157787
551,2.749997,0.5505506,0.8103435
552,2.754996,0.5515516,0.8169916
553,2.759997,0.5525526,0.8057573
554,2.764996,0.5535536,0.8120162
555,2.769996,0.5545546,0.8021128
556,2.774997,0.5555556,0.8385675
557,2.779996,0.5565566,0.8232856
558,2.784996,0.5575576,0.8021297
559,2.789997,0.5585586,0.7995267
560,2.794996,0.5595596,0.8178244
561,2.799997,0.5605606,0.8060482
562,2.804996,0.5615616,0.7936912
563,2.809996,0.5625626,0.7730489
564,2.814997,0.5635636,0.7801559
565,2.819996,0.5645646,0.7752514
566,2.824996,0.5655656,0.770822
567,2.829997,0.5665666,0.7778885
568,2.834996,0.5675676,0.7844253
569,2.839997,0.5685686,0.7994521
570,2.844996,0.5695696,0.8017292
571,2.849996,0.5705706,0.8111966
572,2.854997,0.5715716,0.8373139
573,2.859996,0.5725726,0.8133066
574,2.864996,0.5735736,0.8111243
575,2.869997,0.5745746,0.8201196
576,2.874996,0.5755756,0.8088462
577,2.879997,0.5765766,0.8077526
578,2.884996,0.5775776,0.8124647
579,2.889996,0.5785786,0.8104842
580,2.894997,0.5795796,0.7957199
581,2.899996,0.5805806,0.8111925
582,2.904996,0.5815816,0.819277
583,2.909997,0.5825826,0.8111665
584,2.914996,0.5835836,0.80549
585,2.919997,0.5845846,0.8054593
586,2.924996,0.5855856,0.8065462
587,2.929996,0.5865866,0.7956946
588,2.934997,0.5875876,0.800488
589,2.939996,0.5885886,0.8029416
590,2.944996,0.5895896,0.8044558
591,2.949997,0.5905906,0.8105679
592,2.954996,0.5915916,0.8277369
593,2.959997,0.5925926,0.8257115
594,2.964996,0.5935936,0.81741
595,2.969996,0.5945946,0.8155155
596,2.974997,0.5955956,0.8169324
597,2.979996,0.5965966,0.8169243
598,2.984996,0.5975976,0.8275614
599,2.989997,0.5985986,0.8407025
600,2.994996,0.5995996,0.8635905
601,2.999997,0.6006006,0.8532856
602,3.004996,0.6016016,0.8541653
603,3.009996,0.6026026,0.8589807
604,3.014997,0.6036036,0.8487837
605,3.019996,0.6046046,0.8547096
606,3.024996,0.6056056,0.8753958
607,3.029996,0.6066066,0.8934026
608,3.034996,0.6076076,0.8839612
609,3.039997,0.6086086,0.8624392
610,3.044996,0.6096096,0.9001603
611,3.049996,0.6106106,0.8620872
612,3.054997,0.6116116,0.8617787
613,3.059996,0.6126126,0.840548
614,3.064996,0.6136136,0.8759849
615,3.069997,0.6146146,0.8945765
616,3.074996,0.6156156,0.8768647
617,3.079997,0.6166166,0.8767371
618,3.084996,0.6176176,0.9072716
619,3.089996,0.6186186,0.9074454
620,3.094997,0.6196196,0.8795133
621,3.099996,0.6206206,0.8673041
622,3.104996,0.6216216,0.8983681
623,3.109997,0.6226226,0.9057508
624,3.114996,0.6236236,0.87361
625,3.119997,0.6246246,0.8660512
626,3.124996,0.6256256,0.9015644
627,3.129996,0.6266266,0.8763156
628,3.134997,0.6276276,0.8756728
629,3.139996,0.6286286,0.870626
630,3.144996,0.6296296,0.8733404
631,3.149997,0.6306306,0.874316
632,3.154996,0.6316316,0.8766413
633,3.159997,0.6326326,0.8758476
634,3.164997,0.6336336,0.8629031
635,3.169996,0.6346346,0.8580699
636,3.174997,0.6356356,0.8613935
637,3.179996,0.6366366,0.8532326
638,3.184996,0.6376376,0.8732998
639,3.189997,0.6386386,0.8782759
640,3.194996,0.6396396,0.8721313
641,3.199997,0.6406406,0.8803329
642,3.204996,0.6416416,0.892539
643,3.209996,0.6426426,0.8794141
644,3.214997,0.6436436,0.8966947
645,3.219996,0.6446446,0.8824079
646,3.224996,0.6456456,0.8920352
647,3.229997,0.6466466,0.8657978
648,3.234996,0.6476476,0.85829
649,3.239997,0.6486486,0.8892982
650,3.244996,0.6496496,0.8791411
651,3.249996,0.6506507,0.8594007
652,3.254997,0.6516517,0.8510773
653,3.259996,0.6526527,0.8503997
654,3.264996,0.6536537,0.8451595
655,3.269997,0.6546547,0.8564019
656,3.274996,0.6556557,0.8593593
657,3.279997,0.6566567,0.8597093
658,3.284996,0.6576577,0.8644915
659,3.289996,0.6586587,0.8689711
660,3.294997,0.6596597,0.8735654
661,3.299996,0.6606607,0.8686063
662,3.304996,0.6616617,0.8725402
663,3.309997,0.6626627,0.8803306
664,3.314996,0.6636637,0.8837817
665,3.319997,0.6646647,0.8813396
666,3.324996,0.6656657,0.8908401
667,3.329996,0.6666667,0.8594534
668,3.334997,0.6676677,0.8608727
669,3.339996,0.6686687,0.86215
670,3.344996,0.6696697,0.868556
671,3.349996,0.6706707,0.8642306
672,3.354996,0.6716717,0.8610678
673,3.359997,0.6726727,0.8619013
674,3.364996,0.6736737,0.8662179
675,3.369996,0.6746747,0.8696177
676,3.374997,0.6756757,0.8713028
677,3.379996,0.6766767,0.8733397
678,3.384996,0.6776777,0.8777471
679,3.389997,0.6786787,0.8793395
680,3.394996,0.6796797,0.8708656
681,3.399997,0.6806807,0.8721998
682,3.404996,0.6816817,0.8774154
683,3.409996,0.6826827,0.8842351
684,3.414997,0.6836837,0.8959057
685,3.419996,0.6846847,0.8895435
686,3.424996,0.6856857,0.8894298
687,3.429997,0.6866867,0.8761375
688,3.434996,0.6876877,0.8754406
689,3.439997,0.6886887,0.8832438
690,3.444996,0.6896897,0.8857479
691,3.449996,0.6906907,0.8878422
692,3.454997,0.6916917,0.9140725
693,3.459996,0.6926927,0.9181249
694,3.464996,0.6936937,0.9229109
695,3.469997,0.6946947,0.9041193
696,3.474996,0.6956957,0.9067223
697,3.479997,0.6966967,0.8726807
698,3.484997,0.6976977,0.9233537
699,3.489996,0.6986987,0.9331646
