[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,5 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/13/19 1:42 AM 0.235128 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,-1.811981E-4
2,0.004997,0.001001001,0.001952171
3,0.009996,0.002002002,0.004067659
4,0.014996,0.003003003,0.006327152
5,0.019997,0.004004004,0.008453369
6,0.024996,0.005005005,0.01064849
7,0.029997,0.006006006,0.01270413
8,0.034996,0.007007007,0.01499033
9,0.039996,0.008008008,0.01708007
10,0.044997,0.009009009,0.01932812
11,0.049996,0.01001001,0.02146888
12,0.054996,0.01101101,0.02365923
13,0.059997,0.01201201,0.02576256
14,0.064996,0.01301301,0.02802682
15,0.069997,0.01401401,0.03016686
16,0.074996,0.01501502,0.03230047
17,0.079996,0.01601602,0.03450632
18,0.084997,0.01701702,0.03670073
19,0.089996,0.01801802,0.03876519
20,0.094996,0.01901902,0.0410254
21,0.099997,0.02002002,0.04318714
22,0.104996,0.02102102,0.04538727
23,0.109997,0.02202202,0.04744697
24,0.114996,0.02302302,0.04968858
25,0.119996,0.02402402,0.05177164
26,0.124997,0.02502503,0.05403113
27,0.129996,0.02602603,0.05619788
28,0.134996,0.02702703,0.05839634
29,0.139997,0.02802803,0.06050467
30,0.144996,0.02902903,0.06277537
31,0.149997,0.03003003,0.06486344
32,0.154996,0.03103103,0.06707501
33,0.159996,0.03203203,0.06918478
34,0.164997,0.03303303,0.07141018
35,0.169996,0.03403403,0.07351041
36,0.174996,0.03503504,0.07578754
37,0.179997,0.03603604,0.07791138
38,0.184996,0.03703704,0.08005047
39,0.189997,0.03803804,0.08229375
40,0.194996,0.03903904,0.08451581
41,0.199996,0.04004004,0.08661675
42,0.204997,0.04104104,0.08888268
43,0.209996,0.04204204,0.09093666
44,0.214996,0.04304304,0.09320807
45,0.219997,0.04404404,0.09532714
46,0.224996,0.04504504,0.09746623
47,0.229997,0.04604604,0.09972739
48,0.234996,0.04704705,0.1019208
49,0.239996,0.04804805,0.1039968
50,0.244997,0.04904905,0.1063001
51,0.249996,0.05005005,0.1083953
52,0.254996,0.05105105,0.1106579
53,0.259997,0.05205205,0.1128418
54,0.264996,0.05305305,0.1150103
55,0.269997,0.05405406,0.1170788
56,0.274996,0.05505506,0.1194918
57,0.279996,0.05605606,0.1217277
58,0.284997,0.05705706,0.1237757
59,0.289996,0.05805806,0.1263254
60,0.294996,0.05905906,0.128458
61,0.299997,0.06006006,0.1304939
62,0.304996,0.06106106,0.1328883
63,0.309997,0.06206206,0.1349349
64,0.314996,0.06306306,0.1370821
65,0.319996,0.06406406,0.1393197
66,0.324997,0.06506506,0.1415465
67,0.329996,0.06606606,0.143693
68,0.334996,0.06706706,0.1459248
69,0.339997,0.06806806,0.1480649
70,0.344996,0.06906907,0.1502316
71,0.349997,0.07007007,0.1524692
72,0.354996,0.07107107,0.1547196
73,0.359996,0.07207207,0.1568613
74,0.364997,0.07307307,0.1590931
75,0.369996,0.07407407,0.1612494
76,0.374996,0.07507508,0.163538
77,0.379997,0.07607608,0.1656852
78,0.384996,0.07707708,0.1680088
79,0.389997,0.07807808,0.1702342
80,0.394996,0.07907908,0.1724465
81,0.399996,0.08008008,0.1749163
82,0.404997,0.08108108,0.1770775
83,0.409996,0.08208209,0.1792166
84,0.414996,0.08308309,0.1815078
85,0.419997,0.08408409,0.1835868
86,0.424996,0.08508509,0.1859128
87,0.429997,0.08608609,0.1880398
88,0.434996,0.08708709,0.1902618
89,0.439996,0.08808809,0.1924498
90,0.444997,0.08908909,0.1947076
91,0.449996,0.09009009,0.1969442
92,0.454996,0.09109109,0.1992233
93,0.459997,0.09209209,0.2013509
94,0.464996,0.09309309,0.203577
95,0.469997,0.0940941,0.2059634
96,0.474996,0.0950951,0.208122
97,0.479996,0.0960961,0.210197
98,0.484997,0.0970971,0.2128537
99,0.489996,0.0980981,0.2148881
100,0.494996,0.0990991,0.2170687
101,0.499996,0.1001001,0.2196035
102,0.504996,0.1011011,0.2216809
103,0.509997,0.1021021,0.2239566
104,0.514996,0.1031031,0.2264884
105,0.519996,0.1041041,0.2284098
106,0.524997,0.1051051,0.2307334
107,0.529996,0.1061061,0.2329285
108,0.534996,0.1071071,0.2351758
109,0.539997,0.1081081,0.2373555
110,0.544996,0.1091091,0.239754
111,0.549997,0.1101101,0.2419403
112,0.554996,0.1111111,0.2442069
113,0.559996,0.1121121,0.2464519
114,0.564997,0.1131131,0.2486908
115,0.569996,0.1141141,0.2509601
116,0.574996,0.1151151,0.2532301
117,0.579997,0.1161161,0.2555594
118,0.584996,0.1171171,0.2580349
119,0.589997,0.1181181,0.2601318
120,0.594996,0.1191191,0.2628
121,0.599996,0.1201201,0.2650228
122,0.604997,0.1211211,0.2671075
123,0.609996,0.1221221,0.269505
124,0.614996,0.1231231,0.2716346
125,0.619997,0.1241241,0.2738817
126,0.624996,0.1251251,0.2762005
127,0.629997,0.1261261,0.2783298
128,0.634996,0.1271271,0.2806339
129,0.639996,0.1281281,0.2829909
130,0.644997,0.1291291,0.2852356
131,0.649996,0.1301301,0.2874489
132,0.654996,0.1311311,0.2897675
133,0.659996,0.1321321,0.2920415
134,0.664996,0.1331331,0.2943978
135,0.669997,0.1341341,0.2966027
136,0.674996,0.1351351,0.2989621
137,0.679996,0.1361361,0.3012662
138,0.684997,0.1371371,0.3034687
139,0.689996,0.1381381,0.3058045
140,0.694996,0.1391391,0.3089113
141,0.699997,0.1401401,0.3108816
142,0.704996,0.1411411,0.3135602
143,0.709997,0.1421421,0.3160422
144,0.714996,0.1431431,0.3180432
145,0.719996,0.1441441,0.3204253
146,0.724997,0.1451451,0.3227246
147,0.729996,0.1461461,0.3248818
148,0.734996,0.1471471,0.327246
149,0.739997,0.1481481,0.3294306
150,0.744996,0.1491491,0.3316932
151,0.749997,0.1501502,0.3339453
152,0.754996,0.1511512,0.3362389
153,0.759996,0.1521522,0.3383961
154,0.764997,0.1531532,0.3408773
155,0.769996,0.1541542,0.3430457
156,0.774996,0.1551552,0.345396
157,0.779997,0.1561562,0.3476255
158,0.784996,0.1571572,0.3498783
159,0.789997,0.1581582,0.3523645
160,0.794996,0.1591592,0.3546085
161,0.799996,0.1601602,0.3568451
162,0.804997,0.1611612,0.3595521
163,0.809996,0.1621622,0.3617084
164,0.814996,0.1631632,0.3640223
165,0.819997,0.1641642,0.3665442
166,0.824996,0.1651652,0.3686841
167,0.829997,0.1661662,0.3709891
168,0.834996,0.1671672,0.3734639
169,0.839996,0.1681682,0.3755696
170,0.844997,0.1691692,0.3779299
171,0.849996,0.1701702,0.380208
172,0.854996,0.1711712,0.3826501
173,0.859997,0.1721722,0.3848763
174,0.864996,0.1731732,0.3872046
175,0.869997,0.1741742,0.3894463
176,0.874996,0.1751752,0.3922663
177,0.879996,0.1761762,0.394278
178,0.884997,0.1771772,0.3966453
179,0.889996,0.1781782,0.3991005
180,0.894996,0.1791792,0.4012828
181,0.899997,0.1801802,0.4036722
182,0.904996,0.1811812,0.4061852
183,0.909997,0.1821822,0.4082553
184,0.914996,0.1831832,0.4108088
185,0.919996,0.1841842,0.4131074
186,0.924997,0.1851852,0.4153578
187,0.929996,0.1861862,0.4181209
188,0.934996,0.1871872,0.4202845
189,0.939997,0.1881882,0.4224546
190,0.944996,0.1891892,0.4249139
191,0.949997,0.1901902,0.427166
192,0.954997,0.1911912,0.4294701
193,0.959996,0.1921922,0.4317765
194,0.964997,0.1931932,0.4342878
195,0.969996,0.1941942,0.4364953
196,0.974996,0.1951952,0.4388189
197,0.979997,0.1961962,0.441119
198,0.984996,0.1971972,0.4436734
199,0.989997,0.1981982,0.4458539
200,0.994996,0.1991992,0.447916
201,0.999996,0.2002002,0.4506652
202,1.004997,0.2012012,0.4527776
203,1.009996,0.2022022,0.4548688
204,1.014996,0.2032032,0.4574597
205,1.019997,0.2042042,0.4593267
206,1.024996,0.2052052,0.4615302
207,1.029997,0.2062062,0.4638782
208,1.034996,0.2072072,0.4657671
209,1.039996,0.2082082,0.4684002
210,1.044997,0.2092092,0.4706905
211,1.049996,0.2102102,0.472621
212,1.054996,0.2112112,0.4751477
213,1.059997,0.2122122,0.4768856
214,1.064996,0.2132132,0.4791181
215,1.069997,0.2142142,0.4816196
216,1.074996,0.2152152,0.4840212
217,1.079996,0.2162162,0.486465
218,1.084997,0.2172172,0.4888382
219,1.089996,0.2182182,0.4910131
220,1.094996,0.2192192,0.4934545
221,1.099997,0.2202202,0.4962404
222,1.104996,0.2212212,0.49862
223,1.109997,0.2222222,0.5012898
224,1.114997,0.2232232,0.5038295
225,1.119996,0.2242242,0.5060329
226,1.124997,0.2252252,0.5087993
227,1.129996,0.2262262,0.510989
228,1.134996,0.2272272,0.5134506
229,1.139997,0.2282282,0.5157962
230,1.144996,0.2292292,0.518292
231,1.149997,0.2302302,0.5204158
232,1.154997,0.2312312,0.5229304
233,1.159996,0.2322322,0.5253823
234,1.164997,0.2332332,0.5279627
235,1.169996,0.2342342,0.5302205
236,1.174996,0.2352352,0.5323238
237,1.179997,0.2362362,0.5357823
238,1.184996,0.2372372,0.5379369
239,1.189997,0.2382382,0.5402274
240,1.194996,0.2392392,0.5432448
241,1.199996,0.2402402,0.5454335
242,1.204997,0.2412412,0.5479498
243,1.209996,0.2422422,0.5506544
244,1.214996,0.2432432,0.5531006
245,1.219997,0.2442442,0.55598
246,1.224996,0.2452452,0.558913
247,1.229997,0.2462462,0.5608635
248,1.234996,0.2472472,0.5636821
249,1.239996,0.2482482,0.5659463
250,1.244997,0.2492492,0.5683722
251,1.249996,0.2502503,0.5707526
252,1.254996,0.2512513,0.5728083
253,1.259997,0.2522523,0.5756729
254,1.264996,0.2532533,0.5773408
255,1.269997,0.2542543,0.5797296
256,1.274996,0.2552553,0.5821555
257,1.279996,0.2562563,0.5850804
258,1.284997,0.2572573,0.5863452
259,1.289996,0.2582583,0.5881765
260,1.294996,0.2592593,0.5910006
261,1.299997,0.2602603,0.5936859
262,1.304996,0.2612613,0.5954788
263,1.309997,0.2622623,0.5979886
264,1.314996,0.2632633,0.6009727
265,1.319996,0.2642643,0.604151
266,1.324997,0.2652653,0.6056638
267,1.329996,0.2662663,0.6082537
268,1.334996,0.2672673,0.6117344
269,1.339997,0.2682683,0.6141059
270,1.344996,0.2692693,0.6152928
271,1.349997,0.2702703,0.618897
272,1.354996,0.2712713,0.6218331
273,1.359996,0.2722723,0.6242917
274,1.364997,0.2732733,0.6265745
275,1.369996,0.2742743,0.6276007
276,1.374996,0.2752753,0.6271489
277,1.379997,0.2762763,0.6310763
278,1.384996,0.2772773,0.6341426
279,1.389997,0.2782783,0.6353018
280,1.394996,0.2792793,0.6378832
281,1.399996,0.2802803,0.6431055
282,1.404997,0.2812813,0.6436214
283,1.409996,0.2822823,0.6435742
284,1.414996,0.2832833,0.6462789
285,1.419997,0.2842843,0.6476414
286,1.424996,0.2852853,0.6541686
287,1.429997,0.2862863,0.6567001
288,1.434996,0.2872873,0.6592147
289,1.439996,0.2882883,0.6625075
290,1.444997,0.2892893,0.6683581
291,1.449996,0.2902903,0.6726038
292,1.454996,0.2912913,0.67224
293,1.459997,0.2922923,0.6659062
294,1.464996,0.2932933,0.6702592
295,1.469997,0.2942943,0.6730468
296,1.474996,0.2952953,0.6766322
297,1.479996,0.2962963,0.6773999
298,1.484997,0.2972973,0.6869617
299,1.489996,0.2982983,0.6856511
300,1.494996,0.2992993,0.687614
301,1.499997,0.3003003,0.6867285
302,1.504996,0.3013013,0.6863229
303,1.509997,0.3023023,0.6893754
304,1.514996,0.3033033,0.7026491
305,1.519996,0.3043043,0.7045422
306,1.524997,0.3053053,0.7063735
307,1.529996,0.3063063,0.7209318
308,1.534996,0.3073073,0.735178
309,1.539997,0.3083083,0.7316155
310,1.544996,0.3093093,0.7284014
311,1.549997,0.3103103,0.7246642
312,1.554996,0.3113113,0.7253807
313,1.559996,0.3123123,0.7276361
314,1.564997,0.3133133,0.7310038
315,1.569996,0.3143143,0.7318738
316,1.574996,0.3153153,0.7320988
317,1.579997,0.3163163,0.734468
318,1.584996,0.3173173,0.7363806
319,1.589997,0.3183183,0.7443936
320,1.594996,0.3193193,0.745419
321,1.599996,0.3203203,0.7499883
322,1.604997,0.3213213,0.7595799
323,1.609996,0.3223223,0.751219
324,1.614996,0.3233233,0.7379909
325,1.619997,0.3243243,0.7330754
326,1.624996,0.3253253,0.7371027
327,1.629997,0.3263263,0.72084
328,1.634996,0.3273273,0.7175088
329,1.639996,0.3283283,0.7172945
330,1.644997,0.3293293,0.7157061
331,1.649996,0.3303303,0.7154541
332,1.654996,0.3313313,0.7194743
333,1.659997,0.3323323,0.7220676
334,1.664996,0.3333333,0.7300742
335,1.669997,0.3343343,0.7380338
336,1.674996,0.3353353,0.7402925
337,1.679996,0.3363363,0.7464597
338,1.684997,0.3373373,0.7462623
339,1.689996,0.3383383,0.7476101
340,1.694996,0.3393393,0.7519705
341,1.699997,0.3403403,0.7555845
342,1.704996,0.3413413,0.7450438
343,1.709997,0.3423423,0.735482
344,1.714996,0.3433433,0.7390957
345,1.719996,0.3443443,0.7403769
346,1.724997,0.3453453,0.7380638
347,1.729996,0.3463463,0.7388413
348,1.734996,0.3473473,0.7412682
349,1.739997,0.3483483,0.7439728
350,1.744996,0.3493493,0.7471178
351,1.749997,0.3503504,0.7514913
352,1.754996,0.3513514,0.7551937
353,1.759996,0.3523524,0.7609279
354,1.764997,0.3533534,0.7685997
355,1.769996,0.3543544,0.7749872
356,1.774996,0.3553554,0.7805226
357,1.779997,0.3563564,0.7951815
358,1.784996,0.3573574,0.7886755
359,1.789997,0.3583584,0.7849154
360,1.794996,0.3593594,0.7836814
361,1.799996,0.3603604,0.7712882
362,1.804997,0.3613614,0.759944
363,1.809996,0.3623624,0.7540424
364,1.814996,0.3633634,0.7529659
365,1.819997,0.3643644,0.7565138
366,1.824996,0.3653654,0.7572174
367,1.829997,0.3663664,0.7594256
368,1.834996,0.3673674,0.762712
369,1.839996,0.3683684,0.7656808
370,1.844997,0.3693694,0.7689476
371,1.849996,0.3703704,0.7682724
372,1.854996,0.3713714,0.7689412
373,1.859997,0.3723724,0.7715807
374,1.864996,0.3733734,0.7727628
375,1.869997,0.3743744,0.7759924
376,1.874996,0.3753754,0.7813334
377,1.879996,0.3763764,0.7854526
378,1.884997,0.3773774,0.7888501
379,1.889996,0.3783784,0.798775
380,1.894996,0.3793794,0.804225
381,1.899996,0.3803804,0.8102534
382,1.904996,0.3813814,0.8108642
383,1.909997,0.3823824,0.8081288
384,1.914996,0.3833834,0.8094027
385,1.919996,0.3843844,0.7968967
386,1.924997,0.3853854,0.78934
387,1.929996,0.3863864,0.7909651
388,1.934996,0.3873874,0.7933478
389,1.939997,0.3883884,0.7961833
390,1.944996,0.3893894,0.8022921
391,1.949997,0.3903904,0.8033938
392,1.954996,0.3913914,0.8050733
393,1.959996,0.3923924,0.8252122
394,1.964997,0.3933934,0.8644431
395,1.969996,0.3943944,0.8453577
396,1.974996,0.3953954,0.8457932
397,1.979997,0.3963964,0.8457038
398,1.984996,0.3973974,0.8443429
399,1.989997,0.3983984,0.8470418
400,1.994996,0.3993994,0.834523
401,1.999996,0.4004004,0.8421242
402,2.004997,0.4014014,0.8550153
403,2.009996,0.4024024,0.8287976
404,2.014996,0.4034034,0.8343604
405,2.019997,0.4044044,0.8550739
406,2.024996,0.4054054,0.8533595
407,2.029997,0.4064064,0.8551664
408,2.034996,0.4074074,0.8540492
409,2.039996,0.4084084,0.8529923
410,2.044997,0.4094094,0.8570936
411,2.049996,0.4104104,0.8548357
412,2.054996,0.4114114,0.8573267
413,2.059996,0.4124124,0.8648477
414,2.064996,0.4134134,0.8924742
415,2.069997,0.4144144,0.9022155
416,2.074996,0.4154154,0.9113328
417,2.079996,0.4164164,0.9033446
418,2.084997,0.4174174,0.8804498
419,2.089996,0.4184184,0.9426301
420,2.094996,0.4194194,0.8705852
421,2.099997,0.4204204,0.8689213
422,2.104996,0.4214214,0.8606343
423,2.109997,0.4224224,0.8574266
424,2.114996,0.4234234,0.8620348
425,2.119996,0.4244244,0.8561893
426,2.124997,0.4254254,0.8629293
427,2.129996,0.4264264,0.8983498
428,2.134996,0.4274274,0.9189398
429,2.139997,0.4284284,0.9177268
430,2.144996,0.4294294,0.9195857
431,2.149997,0.4304304,0.8884866
432,2.154996,0.4314314,0.8838184
433,2.159996,0.4324324,0.8888717
434,2.164997,0.4334334,0.9138262
435,2.169996,0.4344344,0.8742793
436,2.174996,0.4354354,0.9099915
437,2.179997,0.4364364,0.8948433
438,2.184996,0.4374374,0.8962178
439,2.189997,0.4384384,0.8576736
440,2.194996,0.4394394,0.8595414
441,2.199996,0.4404404,0.8701959
442,2.204997,0.4414414,0.9323175
443,2.209996,0.4424424,0.8721037
444,2.214996,0.4434434,0.8801825
445,2.219996,0.4444444,0.9057317
446,2.224996,0.4454454,0.9701281
447,2.229997,0.4464464,0.9073541
448,2.234996,0.4474474,0.9924681
449,2.239996,0.4484484,0.953728
450,2.244997,0.4494494,0.9169939
451,2.249996,0.4504505,0.8957524
452,2.254996,0.4514515,0.8704975
453,2.259997,0.4524525,0.8743281
454,2.264996,0.4534535,0.8971994
455,2.269997,0.4544545,0.9698844
456,2.274996,0.4554555,0.9411716
457,2.279996,0.4564565,0.9454346
458,2.284997,0.4574575,0.9517815
459,2.289996,0.4584585,0.9539766
460,2.294996,0.4594595,0.9784372
461,2.299997,0.4604605,0.9199009
462,2.304996,0.4614615,0.9175577
463,2.309997,0.4624625,0.9271789
464,2.314996,0.4634635,0.9308989
465,2.319996,0.4644645,0.9365821
466,2.324997,0.4654655,0.9115489
467,2.329996,0.4664665,0.9162879
468,2.334996,0.4674675,0.9252443
469,2.339997,0.4684685,0.9030645
470,2.344996,0.4694695,0.8859696
471,2.349997,0.4704705,0.8871436
472,2.354996,0.4714715,0.8916326
473,2.359996,0.4724725,0.8929601
474,2.364997,0.4734735,0.9038045
475,2.369996,0.4744745,0.9081042
476,2.374996,0.4754755,0.8879113
477,2.379997,0.4764765,0.8848281
478,2.384996,0.4774775,0.8893089
479,2.389997,0.4784785,0.8936954
480,2.394997,0.4794795,0.8990932
481,2.399996,0.4804805,0.8968134
482,2.404997,0.4814815,0.8975105
483,2.409996,0.4824825,0.9016507
484,2.414996,0.4834835,0.9026265
485,2.419997,0.4844845,0.9091554
486,2.424996,0.4854855,0.8964088
487,2.429997,0.4864865,0.8895624
488,2.434996,0.4874875,0.8924596
489,2.439996,0.4884885,0.8959424
490,2.444997,0.4894895,0.9167039
491,2.449996,0.4904905,0.9332647
492,2.454996,0.4914915,0.9258733
493,2.459997,0.4924925,0.9176252
494,2.464996,0.4934935,0.9264338
495,2.469997,0.4944945,0.9119899
496,2.474996,0.4954955,0.9178259
497,2.479996,0.4964965,0.8915415
498,2.484997,0.4974975,0.8930721
499,2.489996,0.4984985,0.9289198
500,2.494996,0.4994995,0.9305732
501,2.499997,0.5005005,0.917063
502,2.504996,0.5015015,0.9178145
503,2.509997,0.5025025,0.9435837
504,2.514996,0.5035035,0.9319267
505,2.519996,0.5045045,0.9413235
506,2.524997,0.5055055,0.9444175
507,2.529996,0.5065065,0.9278288
508,2.534996,0.5075075,0.9268482
509,2.539997,0.5085085,0.9297137
510,2.544996,0.5095095,0.9353797
511,2.549997,0.5105105,0.9259763
512,2.554997,0.5115115,0.9246399
513,2.559996,0.5125125,0.9256043
514,2.564997,0.5135135,0.9314938
515,2.569996,0.5145145,0.9261503
516,2.574996,0.5155155,0.9187367
517,2.579997,0.5165165,0.9331827
518,2.584996,0.5175175,0.9454434
519,2.589997,0.5185185,0.9474063
520,2.594996,0.5195195,0.9463801
521,2.599996,0.5205205,0.9530041
522,2.604997,0.5215215,0.9599757
523,2.609996,0.5225225,0.9602787
524,2.614996,0.5235235,0.925658
525,2.619997,0.5245245,0.9616828
526,2.624996,0.5255255,0.9455352
527,2.629997,0.5265265,0.9445107
528,2.634996,0.5275275,0.9953532
529,2.639996,0.5285285,0.9880524
530,2.644997,0.5295295,0.9115691
531,2.649996,0.5305305,0.9056602
532,2.654996,0.5315315,0.9089532
533,2.659997,0.5325325,0.9083796
534,2.664996,0.5335335,0.9081764
535,2.669997,0.5345345,0.9194582
536,2.674996,0.5355355,0.923825
537,2.679996,0.5365365,0.9111118
538,2.684997,0.5375375,0.9148207
539,2.689996,0.5385385,0.9184587
540,2.694996,0.5395395,0.9163496
541,2.699997,0.5405405,0.9194801
542,2.704996,0.5415415,0.9157159
543,2.709997,0.5425425,0.9136069
544,2.714997,0.5435435,0.9175162
545,2.719996,0.5445445,0.9140074
546,2.724997,0.5455455,0.9153593
547,2.729996,0.5465465,0.924072
548,2.734996,0.5475475,0.9325361
549,2.739997,0.5485485,0.9346721
550,2.744996,0.5495495,0.9580169
551,2.749997,0.5505506,0.9788003
552,2.754997,0.5515516,0.9716182
553,2.759996,0.5525526,0.9389122
554,2.764997,0.5535536,0.9303586
555,2.769996,0.5545546,0.9228566
556,2.774996,0.5555556,0.938189
557,2.779997,0.5565566,0.9523997
558,2.784996,0.5575576,0.9720268
559,2.789997,0.5585586,0.9409254
560,2.794996,0.5595596,0.9734697
561,2.799996,0.5605606,0.9825172
562,2.804997,0.5615616,0.9519739
563,2.809996,0.5625626,0.9321444
564,2.814996,0.5635636,0.9746048
565,2.819997,0.5645646,0.988622
566,2.824996,0.5655656,0.9945521
567,2.829997,0.5665666,0.9963524
568,2.834996,0.5675676,0.9771802
569,2.839996,0.5685686,1.018163
570,2.844997,0.5695696,0.9890258
571,2.849996,0.5705706,1.000773
572,2.854996,0.5715716,0.9557405
573,2.859997,0.5725726,0.9911203
574,2.864996,0.5735736,1.011188
575,2.869997,0.5745746,0.9711518
576,2.874996,0.5755756,0.9660912
577,2.879996,0.5765766,0.9611726
578,2.884997,0.5775776,1.007945
579,2.889996,0.5785786,0.9739401
580,2.894996,0.5795796,0.9723446
581,2.899997,0.5805806,0.9685235
582,2.904996,0.5815816,0.9619451
583,2.909997,0.5825826,0.9508755
584,2.914996,0.5835836,0.9367535
585,2.919996,0.5845846,0.9533608
586,2.924997,0.5855856,0.9808719
587,2.929996,0.5865866,1.002186
588,2.934996,0.5875876,1.013145
589,2.939997,0.5885886,0.9816082
590,2.944996,0.5895896,0.9881711
591,2.949997,0.5905906,0.98734
592,2.954996,0.5915916,0.9643891
593,2.959996,0.5925926,0.9743659
594,2.964997,0.5935936,0.9829154
595,2.969996,0.5945946,0.9707944
596,2.974996,0.5955956,0.9911973
597,2.979997,0.5965966,1.028075
598,2.984996,0.5975976,0.995856
599,2.989997,0.5985986,0.9496186
600,2.994996,0.5995996,0.9535606
601,2.999996,0.6006006,0.9493132
602,3.004997,0.6016016,0.9494383
603,3.009996,0.6026026,0.9374456
604,3.014996,0.6036036,1.024386
605,3.019997,0.6046046,0.9794428
606,3.024996,0.6056056,0.9574695
607,3.029997,0.6066066,0.9479361
608,3.034996,0.6076076,0.9448309
609,3.039996,0.6086086,0.948946
610,3.044997,0.6096096,0.9651234
611,3.049996,0.6106106,0.9382818
612,3.054996,0.6116116,0.9333224
613,3.059997,0.6126126,0.9496877
614,3.064996,0.6136136,0.9445148
615,3.069997,0.6146146,0.9477289
616,3.074996,0.6156156,0.9450958
617,3.079996,0.6166166,0.9510047
618,3.084997,0.6176176,0.9627461
619,3.089996,0.6186186,1.023279
620,3.094996,0.6196196,0.9725769
621,3.099997,0.6206206,0.9801221
622,3.104996,0.6216216,0.9908147
623,3.109997,0.6226226,0.9780951
624,3.114996,0.6236236,0.9445424
625,3.119996,0.6246246,0.9250965
626,3.124997,0.6256256,0.9279206
627,3.129996,0.6266266,0.9363472
628,3.134996,0.6276276,0.9366715
629,3.139997,0.6286286,0.946394
630,3.144996,0.6296296,0.9508812
631,3.149997,0.6306306,0.9625869
632,3.154996,0.6316316,0.952177
633,3.159996,0.6326326,0.9740386
634,3.164997,0.6336336,1.003698
635,3.169996,0.6346346,0.9640477
636,3.174996,0.6356356,0.9627137
637,3.179997,0.6366366,0.9954734
638,3.184996,0.6376376,1.009461
639,3.189997,0.6386386,0.9751256
640,3.194996,0.6396396,0.9593997
641,3.199996,0.6406406,0.9593697
642,3.204997,0.6416416,0.9627542
643,3.209996,0.6426426,0.9847205
644,3.214996,0.6436436,0.9917376
645,3.219997,0.6446446,0.98247
646,3.224996,0.6456456,0.9854112
647,3.229997,0.6466466,0.9936249
648,3.234996,0.6476476,1.007767
649,3.239996,0.6486486,1.036434
650,3.244997,0.6496496,1.019881
651,3.249996,0.6506507,0.9607258
652,3.254996,0.6516517,0.9705336
653,3.259997,0.6526527,0.9780633
654,3.264996,0.6536537,0.9331844
655,3.269997,0.6546547,0.9222286
656,3.274996,0.6556557,0.9279051
657,3.279996,0.6566567,0.9867094
658,3.284997,0.6576577,0.9961419
659,3.289996,0.6586587,0.9774215
660,3.294996,0.6596597,0.9773412
661,3.299997,0.6606607,0.9648764
662,3.304996,0.6616617,1.000501
663,3.309997,0.6626627,0.9507813
664,3.314996,0.6636637,0.9577854
665,3.319996,0.6646647,0.9727759
666,3.324997,0.6656657,1.041517
667,3.329996,0.6666667,1.032733
668,3.334996,0.6676677,0.9907181
669,3.339997,0.6686687,1.039043
670,3.344996,0.6696697,1.049273
671,3.349997,0.6706707,1.044338
672,3.354996,0.6716717,0.96263
673,3.359996,0.6726727,0.9782543
674,3.364997,0.6736737,1.021176
675,3.369996,0.6746747,1.026036
676,3.374996,0.6756757,1.030951
677,3.379997,0.6766767,1.046336
678,3.384996,0.6776777,1.059749
679,3.389997,0.6786787,1.062862
680,3.394996,0.6796797,1.040489
681,3.399996,0.6806807,1.034986
682,3.404997,0.6816817,1.084086
683,3.409996,0.6826827,0.9758453
684,3.414996,0.6836837,0.9691508
685,3.419997,0.6846847,1.0576
686,3.424996,0.6856857,1.059892
687,3.429997,0.6866867,0.9687624
688,3.434996,0.6876877,0.9940174
689,3.439996,0.6886887,1.034303
690,3.444997,0.6896897,1.062731
691,3.449996,0.6906907,1.0745
692,3.454996,0.6916917,1.103133
693,3.459997,0.6926927,1.020407
694,3.464996,0.6936937,1.053524
695,3.469997,0.6946947,1.029444
696,3.474996,0.6956957,1.042578
697,3.479996,0.6966967,0.9646294
698,3.484997,0.6976977,1.01584
699,3.489996,0.6986987,1.035055
700,3.494996,0.6996997,1.061219
701,3.499997,0.7007007,1.010692
