[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,5 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/13/19 1:47 AM 0.645333 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,6.41346E-5
2,0.004997,0.001001001,3.304482E-4
3,0.009996,0.002002002,5.679131E-4
4,0.014997,0.003003003,8.358955E-4
5,0.019996,0.004004004,0.001098394
6,0.024996,0.005005005,0.001336575
7,0.029997,0.006006006,0.001610279
8,0.034996,0.007007007,0.0018785
9,0.039997,0.008008008,0.002138376
10,0.044996,0.009009009,0.002389669
11,0.049996,0.01001001,0.00264883
12,0.054997,0.01101101,0.002907991
13,0.059996,0.01201201,0.003181934
14,0.064996,0.01301301,0.003455639
15,0.069997,0.01401401,0.00369525
16,0.074996,0.01501502,0.003980637
17,0.079997,0.01601602,0.004212141
18,0.084996,0.01701702,0.004482746
19,0.089996,0.01801802,0.004744291
20,0.094997,0.01901902,0.005024672
21,0.099996,0.02002002,0.005279064
22,0.104996,0.02102102,0.005504131
23,0.109997,0.02202202,0.00578618
24,0.114996,0.02302302,0.006033182
25,0.119997,0.02402402,0.00630784
26,0.124996,0.02502503,0.006588936
27,0.129996,0.02602603,0.006825447
28,0.134997,0.02702703,0.007091045
29,0.139996,0.02802803,0.007350206
30,0.144996,0.02902903,0.007620811
31,0.149997,0.03003003,0.007863045
32,0.154996,0.03103103,0.008149862
33,0.159997,0.03203203,0.008388758
34,0.164996,0.03303303,0.008644581
35,0.169996,0.03403403,0.008911133
36,0.174997,0.03503504,0.009185791
37,0.179996,0.03603604,0.009432793
38,0.184996,0.03703704,0.009716511
39,0.189997,0.03803804,0.009957075
40,0.194996,0.03903904,0.01022339
41,0.199997,0.04004004,0.0105021
42,0.204997,0.04104104,0.01073289
43,0.209996,0.04204204,0.01099372
44,0.214997,0.04304304,0.01128626
45,0.219996,0.04404404,0.01154542
46,0.224996,0.04504504,0.01178026
47,0.229997,0.04604604,0.01205254
48,0.234996,0.04704705,0.01231098
49,0.239997,0.04804805,0.01258564
50,0.244996,0.04904905,0.01282525
51,0.249996,0.05005005,0.01310802
52,0.254997,0.05105105,0.01333642
53,0.259996,0.05205205,0.0136199
54,0.264996,0.05305305,0.0138793
55,0.269997,0.05405406,0.01412868
56,0.274996,0.05505506,0.01440644
57,0.279997,0.05605606,0.01466322
58,0.284996,0.05705706,0.01491523
59,0.289996,0.05805806,0.01516461
60,0.294997,0.05905906,0.0154376
61,0.299996,0.06006006,0.01570749
62,0.304996,0.06106106,0.015944
63,0.309997,0.06206206,0.01622343
64,0.314996,0.06306306,0.01649475
65,0.319997,0.06406406,0.01674104
66,0.324996,0.06506506,0.01699615
67,0.329996,0.06606606,0.01724887
68,0.334997,0.06706706,0.01751614
69,0.339996,0.06806806,0.01779413
70,0.344996,0.06906907,0.01803303
71,0.349997,0.07007007,0.01831174
72,0.354996,0.07107107,0.01855302
73,0.359997,0.07207207,0.01883745
74,0.364996,0.07307307,0.01908612
75,0.369996,0.07407407,0.01933312
76,0.374997,0.07507508,0.01962328
77,0.379996,0.07607608,0.01988554
78,0.384996,0.07707708,0.0201416
79,0.389997,0.07807808,0.02038288
80,0.394996,0.07907908,0.02066255
81,0.399997,0.08008008,0.02091026
82,0.404997,0.08108108,0.02117038
83,0.409996,0.08208209,0.02142715
84,0.414997,0.08308309,0.02169609
85,0.419996,0.08408409,0.02194881
86,0.424996,0.08508509,0.02220392
87,0.429997,0.08608609,0.02245569
88,0.434996,0.08708709,0.02272964
89,0.439997,0.08808809,0.02300763
90,0.444996,0.08908909,0.02323818
91,0.449996,0.09009009,0.02350235
92,0.454997,0.09109109,0.02377701
93,0.459996,0.09209209,0.02403212
94,0.464996,0.09309309,0.02430773
95,0.469997,0.0940941,0.02454734
96,0.474996,0.0950951,0.02481222
97,0.479997,0.0960961,0.0250771
98,0.484996,0.0970971,0.02534604
99,0.489996,0.0980981,0.02557349
100,0.494997,0.0990991,0.0258491
101,0.499996,0.1001001,0.02610898
102,0.504996,0.1011011,0.02639914
103,0.509997,0.1021021,0.02662587
104,0.514996,0.1031031,0.0269134
105,0.519997,0.1041041,0.02715898
106,0.524996,0.1051051,0.02743268
107,0.529996,0.1061061,0.02768469
108,0.534997,0.1071071,0.02794456
109,0.539996,0.1081081,0.0282104
110,0.544996,0.1091091,0.02847695
111,0.549997,0.1101101,0.02873039
112,0.554996,0.1111111,0.02899528
113,0.559997,0.1121121,0.02925134
114,0.564996,0.1131131,0.02948523
115,0.569996,0.1141141,0.02976489
116,0.574997,0.1151151,0.03004599
117,0.579996,0.1161161,0.03029943
118,0.584996,0.1171171,0.03052855
119,0.589997,0.1181181,0.03081059
120,0.594996,0.1191191,0.03106499
121,0.599997,0.1201201,0.03133059
122,0.604997,0.1211211,0.03159881
123,0.609996,0.1221221,0.03185391
124,0.614997,0.1231231,0.03208947
125,0.619996,0.1241241,0.03238201
126,0.624996,0.1251251,0.03262663
127,0.629997,0.1261261,0.03288341
128,0.634996,0.1271271,0.03315639
129,0.639997,0.1281281,0.03341794
130,0.644996,0.1291291,0.03366256
131,0.649996,0.1301301,0.03393483
132,0.654997,0.1311311,0.03419232
133,0.659996,0.1321321,0.03444839
134,0.664996,0.1331331,0.03469872
135,0.669997,0.1341341,0.03497887
136,0.674996,0.1351351,0.03524065
137,0.679997,0.1361361,0.03551936
138,0.684996,0.1371371,0.03574777
139,0.689996,0.1381381,0.0360198
140,0.694997,0.1391391,0.03628635
141,0.699996,0.1401401,0.03653741
142,0.704996,0.1411411,0.0368073
143,0.709997,0.1421421,0.03707695
144,0.714996,0.1431431,0.03732085
145,0.719997,0.1441441,0.03758883
146,0.724996,0.1451451,0.0378449
147,0.729996,0.1461461,0.03809118
148,0.734997,0.1471471,0.0383575
149,0.739996,0.1481481,0.03863883
150,0.744996,0.1491491,0.03888893
151,0.749996,0.1501502,0.03914022
152,0.754996,0.1511512,0.03939676
153,0.759997,0.1521522,0.03968287
154,0.764996,0.1531532,0.03991365
155,0.769996,0.1541542,0.04018188
156,0.774997,0.1551552,0.04046535
157,0.779996,0.1561562,0.04068732
158,0.784996,0.1571572,0.04095697
159,0.789997,0.1581582,0.04123092
160,0.794996,0.1591592,0.04151368
161,0.799997,0.1601602,0.04174447
162,0.804996,0.1611612,0.04201078
163,0.809996,0.1621622,0.0422554
164,0.814997,0.1631632,0.04254794
165,0.819996,0.1641642,0.04277134
166,0.824996,0.1651652,0.04304695
167,0.829997,0.1661662,0.04331493
168,0.834996,0.1671672,0.04358721
169,0.839997,0.1681682,0.04382777
170,0.844996,0.1691692,0.0441041
171,0.849996,0.1701702,0.04435015
172,0.854997,0.1711712,0.04462409
173,0.859996,0.1721722,0.04488564
174,0.864996,0.1731732,0.04511976
175,0.869997,0.1741742,0.0453887
176,0.874996,0.1751752,0.04563808
177,0.879997,0.1761762,0.04593563
178,0.884996,0.1771772,0.04616642
179,0.889996,0.1781782,0.0464499
180,0.894997,0.1791792,0.04667425
181,0.899996,0.1801802,0.04695773
182,0.904996,0.1811812,0.04721117
183,0.909997,0.1821822,0.04746079
184,0.914996,0.1831832,0.04775
185,0.919997,0.1841842,0.04800606
186,0.924996,0.1851852,0.04824901
187,0.929996,0.1861862,0.0485146
188,0.934997,0.1871872,0.04879737
189,0.939996,0.1881882,0.04904437
190,0.944996,0.1891892,0.04930687
191,0.949997,0.1901902,0.04957175
192,0.954996,0.1911912,0.04982519
193,0.959997,0.1921922,0.05010152
194,0.964996,0.1931932,0.05033636
195,0.969996,0.1941942,0.05061269
196,0.974997,0.1951952,0.05087018
197,0.979996,0.1961962,0.05114412
198,0.984996,0.1971972,0.05138302
199,0.989997,0.1981982,0.05166411
200,0.994996,0.1991992,0.05192661
201,0.999997,0.2002002,0.05219889
202,1.004996,0.2012012,0.05243683
203,1.009996,0.2022022,0.052701
204,1.014997,0.2032032,0.05297327
205,1.019996,0.2042042,0.05321527
206,1.024996,0.2052052,0.05349326
207,1.029997,0.2062062,0.05375886
208,1.034996,0.2072072,0.05400014
209,1.039997,0.2082082,0.05426764
210,1.044996,0.2092092,0.05453253
211,1.049996,0.2102102,0.0547812
212,1.054997,0.2112112,0.05504608
213,1.059996,0.2122122,0.05531812
214,1.064996,0.2132132,0.05556107
215,1.069997,0.2142142,0.05583501
216,1.074996,0.2152152,0.05609107
217,1.079997,0.2162162,0.05637693
218,1.084996,0.2172172,0.05660868
219,1.089996,0.2182182,0.056849
220,1.094997,0.2192192,0.05713344
221,1.099996,0.2202202,0.05741143
222,1.104996,0.2212212,0.05764627
223,1.109997,0.2222222,0.05788827
224,1.114996,0.2232232,0.05817604
225,1.119997,0.2242242,0.05843997
226,1.124996,0.2252252,0.05868721
227,1.129996,0.2262262,0.05894303
228,1.134997,0.2272272,0.05922508
229,1.139996,0.2282282,0.05947447
230,1.144996,0.2292292,0.05976462
231,1.149997,0.2302302,0.05999136
232,1.154996,0.2312312,0.0602715
233,1.159997,0.2322322,0.06052518
234,1.164996,0.2332332,0.06080461
235,1.169996,0.2342342,0.06103778
236,1.174997,0.2352352,0.06131077
237,1.179996,0.2362362,0.06156039
238,1.184996,0.2372372,0.06182528
239,1.189997,0.2382382,0.06208682
240,1.194996,0.2392392,0.0623486
241,1.199997,0.2402402,0.06261349
242,1.204996,0.2412412,0.06285238
243,1.209996,0.2422422,0.06313419
244,1.214997,0.2432432,0.06339097
245,1.219996,0.2442442,0.06366229
246,1.224996,0.2452452,0.06391025
247,1.229997,0.2462462,0.06417274
248,1.234996,0.2472472,0.06443763
249,1.239997,0.2482482,0.06469607
250,1.244996,0.2492492,0.06495523
251,1.249996,0.2502503,0.06521845
252,1.254997,0.2512513,0.06548262
253,1.259996,0.2522523,0.06571889
254,1.264996,0.2532533,0.06599522
255,1.269997,0.2542543,0.0662601
256,1.274996,0.2552553,0.06650066
257,1.279997,0.2562563,0.06677532
258,1.284996,0.2572573,0.06702733
259,1.289996,0.2582583,0.06731153
260,1.294997,0.2592593,0.06755543
261,1.299996,0.2602603,0.06782103
262,1.304996,0.2612613,0.06808448
263,1.309997,0.2622623,0.0683713
264,1.314996,0.2632633,0.06858659
265,1.319997,0.2642643,0.06886435
266,1.324996,0.2652653,0.06912851
267,1.329996,0.2662663,0.06937885
268,1.334997,0.2672673,0.06964135
269,1.339996,0.2682683,0.06990457
270,1.344996,0.2692693,0.07014108
271,1.349997,0.2702703,0.07041073
272,1.354996,0.2712713,0.07067633
273,1.359997,0.2722723,0.07093811
274,1.364997,0.2732733,0.07120228
275,1.369996,0.2742743,0.07147264
276,1.374997,0.2752753,0.07172298
277,1.379996,0.2762763,0.07199764
278,1.384996,0.2772773,0.0722456
279,1.389997,0.2782783,0.07251191
280,1.394996,0.2792793,0.07274938
281,1.399997,0.2802803,0.07303691
282,1.404996,0.2812813,0.07327104
283,1.409996,0.2822823,0.07356763
284,1.414997,0.2832833,0.07381606
285,1.419996,0.2842843,0.07407045
286,1.424996,0.2852853,0.07432246
287,1.429997,0.2862863,0.07458735
288,1.434996,0.2872873,0.07485533
289,1.439997,0.2882883,0.07509351
290,1.444996,0.2892893,0.07538033
291,1.449996,0.2902903,0.07562661
292,1.454997,0.2912913,0.07590699
293,1.459996,0.2922923,0.07615304
294,1.464996,0.2932933,0.07641149
295,1.469997,0.2942943,0.07666183
296,1.474996,0.2952953,0.07694936
297,1.479997,0.2962963,0.07719064
298,1.484996,0.2972973,0.07747674
299,1.489996,0.2982983,0.0777173
300,1.494997,0.2992993,0.07798791
301,1.499996,0.3003003,0.07822514
302,1.504996,0.3013013,0.07851362
303,1.509997,0.3023023,0.07875156
304,1.514996,0.3033033,0.07899714
305,1.519997,0.3043043,0.07929111
306,1.524996,0.3053053,0.07954717
307,1.529996,0.3063063,0.07980561
308,1.534997,0.3073073,0.08006406
309,1.539996,0.3083083,0.08032632
310,1.544996,0.3093093,0.08058643
311,1.549997,0.3103103,0.08085203
312,1.554996,0.3113113,0.08111048
313,1.559997,0.3123123,0.08135509
314,1.564997,0.3133133,0.08163714
315,1.569996,0.3143143,0.08187366
316,1.574997,0.3153153,0.08215952
317,1.579996,0.3163163,0.08240008
318,1.584996,0.3173173,0.08267546
319,1.589997,0.3183183,0.08292007
320,1.594996,0.3193193,0.08317614
321,1.599997,0.3203203,0.08345485
322,1.604996,0.3213213,0.08369374
323,1.609996,0.3223223,0.08398366
324,1.614997,0.3233233,0.08424854
325,1.619996,0.3243243,0.08451104
326,1.624996,0.3253253,0.08476377
327,1.629997,0.3263263,0.08504176
328,1.634996,0.3273273,0.08527732
329,1.639997,0.3283283,0.08553743
330,1.644996,0.3293293,0.08580947
331,1.649996,0.3303303,0.08606315
332,1.654997,0.3313313,0.0863328
333,1.659996,0.3323323,0.08658957
334,1.664996,0.3333333,0.08683991
335,1.669997,0.3343343,0.08711219
336,1.674996,0.3353353,0.08735418
337,1.679997,0.3363363,0.08762717
338,1.684996,0.3373373,0.08786297
339,1.689996,0.3383383,0.08814812
340,1.694997,0.3393393,0.08842278
341,1.699996,0.3403403,0.08868933
342,1.704996,0.3413413,0.08892989
343,1.709996,0.3423423,0.08919239
344,1.714996,0.3433433,0.08947253
345,1.719997,0.3443443,0.08973598
346,1.724996,0.3453453,0.08996749
347,1.729996,0.3463463,0.09025502
348,1.734997,0.3473473,0.09049654
349,1.739996,0.3483483,0.09077668
350,1.744996,0.3493493,0.09101486
351,1.749997,0.3503504,0.09127498
352,1.754996,0.3513514,0.09154701
353,1.759997,0.3523524,0.09180784
354,1.764996,0.3533534,0.09207368
355,1.769996,0.3543544,0.09231162
356,1.774997,0.3553554,0.09259534
357,1.779996,0.3563564,0.09285283
358,1.784996,0.3573574,0.09311533
359,1.789997,0.3583584,0.09336305
360,1.794996,0.3593594,0.09364104
361,1.799997,0.3603604,0.09389138
362,1.804996,0.3613614,0.09414983
363,1.809996,0.3623624,0.09440899
364,1.814997,0.3633634,0.09468603
365,1.819996,0.3643644,0.09491992
366,1.824996,0.3653654,0.09520268
367,1.829997,0.3663664,0.09545541
368,1.834996,0.3673674,0.09573507
369,1.839997,0.3683684,0.09599352
370,1.844996,0.3693694,0.09625101
371,1.849996,0.3703704,0.09647608
372,1.854997,0.3713714,0.09676456
373,1.859996,0.3723724,0.09704804
374,1.864996,0.3733734,0.09730411
375,1.869997,0.3743744,0.09755039
376,1.874996,0.3753754,0.09780145
377,1.879997,0.3763764,0.09806132
378,1.884996,0.3773774,0.09833431
379,1.889996,0.3783784,0.09857321
380,1.894997,0.3793794,0.09885859
381,1.899996,0.3803804,0.09909987
382,1.904996,0.3813814,0.09939075
383,1.909997,0.3823824,0.09962392
384,1.914996,0.3833834,0.09990263
385,1.919997,0.3843844,0.1001489
386,1.924996,0.3853854,0.1004155
387,1.929996,0.3863864,0.1006875
388,1.934997,0.3873874,0.1009192
389,1.939996,0.3883884,0.1012149
390,1.944996,0.3893894,0.1014659
391,1.949997,0.3903904,0.1017244
392,1.954996,0.3913914,0.1019983
393,1.959997,0.3923924,0.1022413
394,1.964996,0.3933934,0.102494
395,1.969996,0.3943944,0.1027522
396,1.974997,0.3953954,0.1030278
397,1.979996,0.3963964,0.1032755
398,1.984996,0.3973974,0.1035526
399,1.989997,0.3983984,0.1037908
400,1.994996,0.3993994,0.1040711
401,1.999997,0.4004004,0.1043344
402,2.004996,0.4014014,0.1045895
403,2.009996,0.4024024,0.1048577
404,2.014997,0.4034034,0.1051121
405,2.019996,0.4044044,0.1053662
406,2.024996,0.4054054,0.1056037
407,2.029997,0.4064064,0.1058855
408,2.034996,0.4074074,0.1061456
409,2.039997,0.4084084,0.1064095
410,2.044996,0.4094094,0.1066697
411,2.049996,0.4104104,0.1069436
412,2.054997,0.4114114,0.1071906
413,2.059996,0.4124124,0.1074612
414,2.064996,0.4134134,0.1077106
415,2.069997,0.4144144,0.1079745
416,2.074996,0.4154154,0.1082323
417,2.079997,0.4164164,0.1085117
418,2.084996,0.4174174,0.1087677
419,2.089996,0.4184184,0.1090212
420,2.094997,0.4194194,0.1092885
421,2.099996,0.4204204,0.109529
422,2.104996,0.4214214,0.1098053
423,2.109997,0.4224224,0.1100605
424,2.114996,0.4234234,0.1103051
425,2.119997,0.4244244,0.1105821
426,2.124996,0.4254254,0.1108487
427,2.129996,0.4264264,0.111095
428,2.134997,0.4274274,0.1113744
429,2.139996,0.4284284,0.1116254
430,2.144996,0.4294294,0.1118832
431,2.149997,0.4304304,0.1121707
432,2.154996,0.4314314,0.1124032
433,2.159997,0.4324324,0.112659
434,2.164996,0.4334334,0.112941
435,2.169996,0.4344344,0.1132002
436,2.174997,0.4354354,0.1134732
437,2.179996,0.4364364,0.113708
438,2.184996,0.4374374,0.113982
439,2.189997,0.4384384,0.1142364
440,2.194996,0.4394394,0.1145108
441,2.199997,0.4404404,0.1147733
442,2.204996,0.4414414,0.1150057
443,2.209996,0.4424424,0.1152649
444,2.214997,0.4434434,0.11555
445,2.219996,0.4444444,0.1158135
446,2.224996,0.4454454,0.116097
447,2.229997,0.4464464,0.1163294
448,2.234996,0.4474474,0.1166024
449,2.239997,0.4484484,0.1168656
450,2.244996,0.4494494,0.1171265
451,2.249996,0.4504505,0.1173677
452,2.254997,0.4514515,0.1176474
453,2.259996,0.4524525,0.1179073
454,2.264996,0.4534535,0.1181569
455,2.269997,0.4544545,0.1184154
456,2.274996,0.4554555,0.1186988
457,2.279997,0.4564565,0.1189384
458,2.284996,0.4574575,0.1192002
459,2.289996,0.4584585,0.1194675
460,2.294997,0.4594595,0.1197348
461,2.299996,0.4604605,0.1199722
462,2.304996,0.4614615,0.1202378
463,2.309997,0.4624625,0.1204994
464,2.314996,0.4634635,0.1207945
465,2.319997,0.4644645,0.121026
466,2.324996,0.4654655,0.1212764
467,2.329996,0.4664665,0.1215534
468,2.334997,0.4674675,0.121819
469,2.339996,0.4684685,0.122071
470,2.344996,0.4694695,0.122309
471,2.349997,0.4704705,0.122586
472,2.354996,0.4714715,0.122834
473,2.359997,0.4724725,0.1231322
474,2.364996,0.4734735,0.1233644
475,2.369996,0.4744745,0.1236286
476,2.374997,0.4754755,0.1238945
477,2.379996,0.4764765,0.1241715
478,2.384996,0.4774775,0.1244047
479,2.389997,0.4784785,0.1246672
480,2.394996,0.4794795,0.1249287
481,2.399997,0.4804805,0.1252034
482,2.404996,0.4814815,0.1254649
483,2.409996,0.4824825,0.1257162
484,2.414997,0.4834835,0.1259875
485,2.419996,0.4844845,0.1262426
486,2.424996,0.4854855,0.1264977
487,2.429997,0.4864865,0.1267586
488,2.434996,0.4874875,0.1270373
489,2.439997,0.4884885,0.1272566
490,2.444997,0.4894895,0.1275468
491,2.449996,0.4904905,0.1278207
492,2.454997,0.4914915,0.128083
493,2.459996,0.4924925,0.1283309
494,2.464996,0.4934935,0.1285844
495,2.469997,0.4944945,0.1288395
496,2.474996,0.4954955,0.1291192
497,2.479997,0.4964965,0.1294003
498,2.484996,0.4974975,0.1296179
499,2.489996,0.4984985,0.1298723
500,2.494997,0.4994995,0.130151
501,2.499996,0.5005005,0.1304183
502,2.504996,0.5015015,0.1306915
503,2.509997,0.5025025,0.1309392
504,2.514996,0.5035035,0.1312115
505,2.519997,0.5045045,0.1314666
506,2.524996,0.5055055,0.1317356
507,2.529996,0.5065065,0.1319582
508,2.534997,0.5075075,0.1322532
509,2.539996,0.5085085,0.1325026
510,2.544996,0.5095095,0.1327903
511,2.549997,0.5105105,0.1330323
512,2.554996,0.5115115,0.133316
513,2.559997,0.5125125,0.1335647
514,2.564996,0.5135135,0.1338036
515,2.569996,0.5145145,0.1340969
516,2.574997,0.5155155,0.1343553
517,2.579996,0.5165165,0.134582
518,2.584996,0.5175175,0.1348665
519,2.589997,0.5185185,0.1351166
520,2.594996,0.5195195,0.1353693
521,2.599997,0.5205205,0.1356561
522,2.604996,0.5215215,0.1359317
523,2.609996,0.5225225,0.1361558
524,2.614997,0.5235235,0.1364264
525,2.619996,0.5245245,0.1367052
526,2.624996,0.5255255,0.1369848
527,2.629997,0.5265265,0.1371741
528,2.634996,0.5275275,0.1374609
529,2.639997,0.5285285,0.1377444
530,2.644997,0.5295295,0.1380029
531,2.649996,0.5305305,0.1382434
532,2.654997,0.5315315,0.1385131
533,2.659996,0.5325325,0.1387749
534,2.664996,0.5335335,0.1390138
535,2.669997,0.5345345,0.1392899
536,2.674996,0.5355355,0.1395645
537,2.679997,0.5365365,0.1398165
538,2.684996,0.5375375,0.1400473
539,2.689996,0.5385385,0.1403594
540,2.694997,0.5395395,0.1406159
541,2.699996,0.5405405,0.1408825
542,2.704996,0.5415415,0.1411142
543,2.709997,0.5425425,0.1414132
544,2.714996,0.5435435,0.1416407
545,2.719997,0.5445445,0.1419113
546,2.724996,0.5455455,0.1421697
547,2.729996,0.5465465,0.1424248
548,2.734997,0.5475475,0.1426702
549,2.739996,0.5485485,0.142961
550,2.744996,0.5495495,0.1432309
551,2.749997,0.5505506,0.1434648
552,2.754996,0.5515516,0.1437421
553,2.759997,0.5525526,0.1440151
554,2.764996,0.5535536,0.1442652
555,2.769996,0.5545546,0.1445067
556,2.774997,0.5555556,0.1447797
557,2.779996,0.5565566,0.1450291
558,2.784996,0.5575576,0.1452899
559,2.789997,0.5585586,0.1455524
560,2.794996,0.5595596,0.1458213
561,2.799997,0.5605606,0.1461115
562,2.804996,0.5615616,0.1463113
563,2.809996,0.5625626,0.1466143
564,2.814997,0.5635636,0.1468883
565,2.819996,0.5645646,0.1471198
566,2.824996,0.5655656,0.1473789
567,2.829997,0.5665666,0.1476536
568,2.834996,0.5675676,0.1479201
569,2.839997,0.5685686,0.148159
570,2.844996,0.5695696,0.1484499
571,2.849996,0.5705706,0.1487036
572,2.854997,0.5715716,0.1489618
573,2.859996,0.5725726,0.1491959
574,2.864996,0.5735736,0.1494868
575,2.869997,0.5745746,0.1497371
576,2.874996,0.5755756,0.1499987
577,2.879997,0.5765766,0.1502564
578,2.884996,0.5775776,0.1505179
579,2.889996,0.5785786,0.1507609
580,2.894997,0.5795796,0.151042
581,2.899996,0.5805806,0.1513159
582,2.904996,0.5815816,0.1515677
583,2.909997,0.5825826,0.1518157
584,2.914996,0.5835836,0.1520944
585,2.919997,0.5845846,0.1523721
586,2.924996,0.5855856,0.1525998
587,2.929996,0.5865866,0.1528475
588,2.934997,0.5875876,0.1531506
589,2.939996,0.5885886,0.1533742
590,2.944996,0.5895896,0.1536529
591,2.949997,0.5905906,0.153899
592,2.954996,0.5915916,0.1542127
593,2.959997,0.5925926,0.1543996
594,2.964996,0.5935936,0.1546905
595,2.969996,0.5945946,0.1549399
596,2.974997,0.5955956,0.1552122
597,2.979996,0.5965966,0.155473
598,2.984996,0.5975976,0.1557305
599,2.989997,0.5985986,0.1559923
600,2.994996,0.5995996,0.1562498
601,2.999997,0.6006006,0.156543
602,3.004996,0.6016016,0.1567967
603,3.009996,0.6026026,0.1570468
604,3.014997,0.6036036,0.1573012
605,3.019996,0.6046046,0.1575971
606,3.024996,0.6056056,0.1578286
607,3.029997,0.6066066,0.1580763
608,3.034996,0.6076076,0.1583185
609,3.039997,0.6086086,0.1586185
610,3.044996,0.6096096,0.1588573
611,3.049996,0.6106106,0.1591311
612,3.054997,0.6116116,0.1593969
613,3.059996,0.6126126,0.1596577
614,3.064996,0.6136136,0.159898
615,3.069997,0.6146146,0.1601686
616,3.074996,0.6156156,0.1604605
617,3.079997,0.6166166,0.1607075
618,3.084996,0.6176176,0.1609278
619,3.089996,0.6186186,0.1612089
620,3.094997,0.6196196,0.1614769
621,3.099996,0.6206206,0.1617475
622,3.104996,0.6216216,0.1620035
623,3.109997,0.6226226,0.1622772
624,3.114996,0.6236236,0.1625195
625,3.119997,0.6246246,0.1627958
626,3.124996,0.6256256,0.1630638
627,3.129996,0.6266266,0.1633151
628,3.134997,0.6276276,0.1635392
629,3.139996,0.6286286,0.1638269
630,3.144996,0.6296296,0.164099
631,3.149997,0.6306306,0.1643372
632,3.154996,0.6316316,0.1646183
633,3.159997,0.6326326,0.1649034
634,3.164996,0.6336336,0.1651514
635,3.169996,0.6346346,0.1653788
636,3.174997,0.6356356,0.1656818
637,3.179996,0.6366366,0.1659453
638,3.184996,0.6376376,0.1661751
639,3.189997,0.6386386,0.1664467
640,3.194996,0.6396396,0.1667099
641,3.199997,0.6406406,0.1669657
642,3.204997,0.6416416,0.1672177
643,3.209996,0.6426426,0.1675012
644,3.214997,0.6436436,0.1677647
645,3.219996,0.6446446,0.1680295
646,3.224996,0.6456456,0.1682823
647,3.229997,0.6466466,0.1685512
648,3.234996,0.6476476,0.1688054
649,3.239997,0.6486486,0.1690564
650,3.244996,0.6496496,0.1693435
651,3.249996,0.6506507,0.16957
652,3.254997,0.6516517,0.1698399
653,3.259996,0.6526527,0.1701081
654,3.264996,0.6536537,0.1703956
655,3.269997,0.6546547,0.170615
656,3.274996,0.6556557,0.170892
657,3.279997,0.6566567,0.1711423
658,3.284996,0.6576577,0.1714146
659,3.289996,0.6586587,0.1716583
660,3.294997,0.6596597,0.1719306
661,3.299996,0.6606607,0.1721873
662,3.304996,0.6616617,0.1724434
663,3.309997,0.6626627,0.1727188
664,3.314996,0.6636637,0.1729829
665,3.319997,0.6646647,0.1732616
666,3.324996,0.6656657,0.1735036
667,3.329996,0.6666667,0.1737807
668,3.334997,0.6676677,0.1740263
669,3.339996,0.6686687,0.1743009
670,3.344996,0.6696697,0.17453
671,3.349997,0.6706707,0.1748142
672,3.354996,0.6716717,0.1750572
673,3.359997,0.6726727,0.1753368
674,3.364996,0.6736737,0.1755774
675,3.369996,0.6746747,0.1758659
676,3.374997,0.6756757,0.1761177
677,3.379996,0.6766767,0.1763957
678,3.384996,0.6776777,0.1766491
679,3.389997,0.6786787,0.1768978
680,3.394996,0.6796797,0.1771643
681,3.399997,0.6806807,0.1774447
682,3.404997,0.6816817,0.1776631
683,3.409996,0.6826827,0.1779451
684,3.414997,0.6836837,0.178206
685,3.419996,0.6846847,0.1784701
686,3.424996,0.6856857,0.1787252
687,3.429997,0.6866867,0.1790056
688,3.434996,0.6876877,0.1792517
689,3.439997,0.6886887,0.1795263
690,3.444996,0.6896897,0.1797702
691,3.449996,0.6906907,0.1800392
692,3.454997,0.6916917,0.1802976
693,3.459996,0.6926927,0.180568
694,3.464996,0.6936937,0.1807981
695,3.469997,0.6946947,0.1810727
696,3.474996,0.6956957,0.1813612
697,3.479997,0.6966967,0.1816041
698,3.484996,0.6976977,0.1818674
