[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/23/19 8:11 AM 0.463029 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.01832604
2,0.013996,0.0010,0.5524654
3,0.027997,0.0010,0.5917852
4,0.041996,0.0010,0.646765
5,0.055997,0.0010,0.6843266
6,0.069996,0.0010,0.7135415
7,0.083997,0.0010,0.7438328
8,0.097996,0.0010,0.7810183
9,0.111997,0.0010,0.7847304
10,0.125996,0.0010,0.7792168
11,0.139997,0.0010,0.7801018
12,0.153996,0.0010,0.7880495
13,0.167997,0.0010,0.7812228
14,0.181996,0.0010,0.7806535
15,0.195997,0.0010,0.7823434
16,0.209996,0.0010,0.7662244
17,0.223997,0.0010,0.7841454
18,0.237996,0.0010,0.7903774
19,0.251997,0.0010,0.7800384
20,0.265996,0.0010,0.7801862
21,0.279997,0.0010,0.7821589
22,0.293996,0.0010,0.7922785
23,0.307997,0.0010,0.7736213
24,0.321996,0.0010,0.7870891
25,0.335997,0.0010,0.7793453
26,0.349996,0.0010,0.7674162
27,0.363997,0.0010,0.764601
28,0.377996,0.0010,0.77039
29,0.391997,0.0010,0.7634635
30,0.405996,0.0010,0.7520552
31,0.419997,0.0010,0.7761269
32,0.433996,0.0010,0.7803512
33,0.447997,0.0010,0.7577038
34,0.461996,0.0010,0.7780306
35,0.475997,0.0010,0.7782817
36,0.489996,0.0010,0.7682929
37,0.503997,0.0010,0.7615094
38,0.517996,0.0010,0.7792373
39,0.531997,0.0010,0.7719629
40,0.545996,0.0010,0.7670214
41,0.559997,0.0010,0.7752364
42,0.573996,0.0010,0.7783222
43,0.587997,0.0010,0.7702324
44,0.601996,0.0010,0.771209
45,0.615997,0.0010,0.7796938
46,0.629996,0.0010,0.7759473
47,0.643997,0.0010,0.7749407
48,0.657996,0.0010,0.7828789
49,0.671997,0.0010,0.7788024
50,0.685996,0.0010,0.7779105
51,0.699997,0.0010,0.7862499
52,0.713996,0.0010,0.7853162
53,0.727997,0.0010,0.7755761
54,0.741996,0.0010,0.7964637
55,0.755997,0.0010,0.4169886
56,0.769996,0.0010,0.07808685
57,0.783997,0.0010,0.01647305
58,0.797996,0.0010,0.160382
59,0.811997,0.0010,0.2432547
60,0.825996,0.0010,0.379977
61,0.839997,0.0010,0.04592609
62,0.853996,0.0010,0.1615276
63,0.867997,0.0010,0.06837273
64,0.881996,0.0010,0.06214094
65,0.895996,0.0010,0.1063795
66,0.909996,0.0010,0.03754115
67,0.923997,0.0010,0.2709274
68,0.937996,0.0010,0.4783399
69,0.951997,0.0010,0.05414844
