[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,250.0 mA
Step/Sweep Stop Level,250.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,300 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/13/19 7:10 AM 0.032943 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.25,0.3902607
2,0.299996,0.25,0.6990266
3,0.599996,0.25,0.1474795
4,0.899996,0.25,0.5902729
5,1.199997,0.25,0.5130746
6,1.499997,0.25,0.2854755
7,1.799996,0.25,0.6493959
8,2.099996,0.25,0.42292
9,2.399996,0.25,0.248981
10,2.699996,0.25,0.1427951
11,2.999996,0.25,0.1938102
12,3.299997,0.25,0.2546098
13,3.599996,0.25,0.1801777
14,3.899997,0.25,0.156872
15,4.199997,0.25,0.4564161
16,4.499997,0.25,0.1429257
17,4.799997,0.25,0.2050929
18,5.099996,0.25,0.2080572
19,5.399996,0.25,0.1546133
20,5.699996,0.25,0.2833295
21,5.999997,0.25,0.5120111
22,6.299996,0.25,0.2410202
23,6.599997,0.25,0.3098741
24,6.899996,0.25,0.4115405
25,7.199997,0.25,0.1551356
26,7.499997,0.25,0.1511166
27,7.799997,0.25,0.2511806
28,8.099996,0.25,0.4659436
29,8.399996,0.25,0.09440446
30,8.699996,0.25,0.3229241
31,8.999996,0.25,0.3893638
32,9.299996,0.25,0.2167916
33,9.599996,0.25,0.5567768
34,9.899996,0.25,0.189476
35,10.2,0.25,0.3575561
36,10.5,0.25,0.531929
37,10.8,0.25,0.2249346
38,11.1,0.25,0.1508939
39,11.4,0.25,0.310885
40,11.7,0.25,0.1247876
41,12.0,0.25,0.4496772
42,12.3,0.25,0.3180788
43,12.6,0.25,0.1666043
44,12.9,0.25,0.2212625
45,13.2,0.25,0.1529353
46,13.5,0.25,1.539263
47,13.8,0.25,0.1719203
48,14.1,0.25,0.1905584
49,14.4,0.25,0.1781194
50,14.7,0.25,0.1134748
51,15.0,0.25,0.2468278
52,15.3,0.25,0.2575498
53,15.6,0.25,0.369813
54,15.9,0.25,0.1392977
55,16.2,0.25,0.2224472
56,16.5,0.25,0.3922558
57,16.8,0.25,0.1981828
58,17.1,0.25,0.1765585
59,17.4,0.25,1.581008
60,17.7,0.25,0.1717699
61,18.0,0.25,0.3755085
62,18.3,0.25,0.6419487
63,18.6,0.25,0.2366974
64,18.9,0.25,0.4222293
65,19.2,0.25,0.213083
66,19.5,0.25,0.2016735
67,19.8,0.25,0.3162999
68,20.1,0.25,0.3221245
69,20.4,0.25,0.1465523
70,20.7,0.25,0.2781818
71,21.0,0.25,0.168344
72,21.3,0.25,0.1416273
73,21.6,0.25,9.91E37
74,21.9,0.25,0.1532552
75,22.2,0.25,0.3191822
76,22.5,0.25,0.2190855
