[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,500.0 mA
Step/Sweep Stop Level,500.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,300 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/13/19 7:35 AM 0.004237 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.5,0.2610073
2,0.299996,0.5,0.2600794
3,0.599996,0.5,0.259968
4,0.899996,0.5,0.2598469
5,1.199996,0.5,0.2597697
6,1.499996,0.5,0.2596762
7,1.799996,0.5,0.2595949
8,2.099996,0.5,0.2595594
9,2.399997,0.5,0.259521
10,2.699996,0.5,0.2594383
11,2.999997,0.5,0.2593863
12,3.299997,0.5,0.2593846
13,3.599996,0.5,0.2593081
14,3.899997,0.5,0.2591758
15,4.199996,0.5,0.2591262
16,4.499996,0.5,0.2590847
17,4.799996,0.5,0.2590077
18,5.099997,0.5,0.2589183
19,5.399996,0.5,0.2588637
20,5.699996,0.5,0.2588458
21,5.999997,0.5,0.2588003
22,6.299997,0.5,0.2587621
23,6.599996,0.5,0.2587574
24,6.899996,0.5,0.2587361
25,7.199996,0.5,0.2587037
26,7.499996,0.5,0.2587135
27,7.799996,0.5,0.2586687
28,8.099997,0.5,0.258642
29,8.399996,0.5,0.25862
30,8.699996,0.5,0.2586005
31,8.999997,0.5,0.2585721
32,9.299996,0.5,0.2585492
33,9.599996,0.5,0.2585468
34,9.899997,0.5,0.2585258
35,10.2,0.5,0.2585063
36,10.5,0.5,0.2585046
37,10.8,0.5,0.2584844
38,11.1,0.5,0.2584584
39,11.4,0.5,0.2584534
40,11.7,0.5,0.2584064
41,12.0,0.5,0.258399
42,12.3,0.5,0.2583845
43,12.6,0.5,0.2583811
44,12.9,0.5,0.2583787
45,13.2,0.5,0.258321
46,13.5,0.5,0.2583234
47,13.8,0.5,0.2582991
48,14.1,0.5,0.2582877
49,14.4,0.5,0.2583153
50,14.7,0.5,0.2582788
51,15.0,0.5,0.2582698
52,15.3,0.5,0.2582462
53,15.6,0.5,0.2582016
54,15.9,0.5,0.258204
55,16.2,0.5,0.258182
56,16.5,0.5,0.2581918
57,16.8,0.5,0.2581868
58,17.1,0.5,0.2581942
59,17.4,0.5,0.2581577
60,17.7,0.5,0.2581584
61,18.0,0.5,0.2581429
62,18.3,0.5,0.2581308
63,18.6,0.5,0.2581
64,18.9,0.5,0.2580812
65,19.2,0.5,0.2580926
66,19.5,0.5,0.2580853
67,19.8,0.5,0.2580829
68,20.1,0.5,0.2580798
69,20.4,0.5,0.2580504
70,20.7,0.5,0.2580113
71,21.0,0.5,0.2579985
72,21.3,0.5,0.2580009
73,21.6,0.5,0.2580221
74,21.9,0.5,0.2580099
75,22.2,0.5,0.2579668
76,22.5,0.5,0.2579765
