[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,250.0 mA
Step/Sweep Stop Level,250.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,300 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,1000,,
BaseTimestamp,4/13/19 6:12 AM 0.41411 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.25,0.4616089
2,0.299996,0.25,0.4374719
3,0.599997,0.25,0.4332685
4,0.899997,0.25,0.4304678
5,1.199997,0.25,0.428499
6,1.499996,0.25,0.4268651
7,1.799997,0.25,0.4257138
8,2.099996,0.25,0.4248281
9,2.399996,0.25,0.4239066
10,2.699996,0.25,0.4223912
11,2.999996,0.25,0.4208751
12,3.299996,0.25,0.419523
13,3.599996,0.25,0.4184642
14,3.899996,0.25,0.4175925
15,4.199997,0.25,0.4170213
16,4.499997,0.25,0.4165645
17,4.799996,0.25,0.4159634
18,5.099996,0.25,0.4152238
19,5.399996,0.25,0.4145446
20,5.699997,0.25,0.4138718
21,5.999997,0.25,0.4134095
22,6.299996,0.25,0.4129643
23,6.599996,0.25,0.4126995
24,6.899997,0.25,0.4121916
25,7.199996,0.25,0.4116275
26,7.499996,0.25,0.4111531
27,7.799997,0.25,0.4106827
28,8.099996,0.25,0.4105089
29,8.399997,0.25,0.4103787
30,8.699996,0.25,0.4103675
31,8.999997,0.25,0.4100821
32,9.299996,0.25,0.4096076
33,9.599997,0.25,0.40906
34,9.899997,0.25,0.408601
35,10.2,0.25,0.4082484
36,10.5,0.25,0.4078624
37,10.8,0.25,0.4077106
38,11.1,0.25,0.4075992
39,11.4,0.25,0.4073796
40,11.7,0.25,0.4070296
41,12.0,0.25,0.4066484
42,12.3,0.25,0.4064007
43,12.6,0.25,0.4062552
44,12.9,0.25,0.4061236
45,13.2,0.25,0.4059358
46,13.5,0.25,0.4055743
47,13.8,0.25,0.4052062
48,14.1,0.25,0.4049211
49,14.4,0.25,0.4047334
50,14.7,0.25,0.4046805
51,15.0,0.25,0.4044919
52,15.3,0.25,0.4044814
53,15.6,0.25,0.4042296
54,15.9,0.25,0.404098
55,16.2,0.25,0.4039955
56,16.5,0.25,0.4037347
57,16.8,0.25,0.4033554
58,17.1,0.25,0.4030716
59,17.4,0.25,0.4028563
60,17.7,0.25,0.4026883
61,18.0,0.25,0.4026582
62,18.3,0.25,0.4026086
63,18.6,0.25,0.4023519
64,18.9,0.25,0.4022007
65,19.2,0.25,0.4019682
66,19.5,0.25,0.4018238
67,19.8,0.25,0.4018042
68,20.1,0.25,0.4017847
69,20.4,0.25,0.4018066
70,20.7,0.25,0.4016294
71,21.0,0.25,0.4013557
72,21.3,0.25,0.4014847
73,21.6,0.25,0.4013906
74,21.9,0.25,0.4011347
75,22.2,0.25,0.4007161
76,22.5,0.25,0.4005635
