[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 2:37 AM 0.953099 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.06511998
2,0.011997,0.0010,0.4987965
3,0.023997,0.0010,0.5583432
4,0.035997,0.0010,0.5909925
5,0.047997,0.0010,0.6172204
6,0.059997,0.0010,0.660732
7,0.071997,0.0010,0.6662247
8,0.083997,0.0010,0.6990731
9,0.095997,0.0010,0.7135975
10,0.107997,0.0010,0.7264304
11,0.119997,0.0010,0.747767
12,0.131997,0.0010,0.7324917
13,0.143997,0.0010,0.7538552
14,0.155997,0.0010,0.7399783
15,0.167997,0.0010,0.7389522
16,0.179997,0.0010,0.7511973
17,0.191997,0.0010,0.7381387
18,0.203997,0.0010,0.7501941
19,0.215997,0.0010,0.7429788
20,0.227997,0.0010,0.7228618
21,0.239997,0.0010,0.7288363
22,0.251997,0.0010,0.710479
23,0.263997,0.0010,0.7433169
24,0.275997,0.0010,0.7402406
25,0.287997,0.0010,0.7345922
26,0.299997,0.0010,0.7442536
27,0.311997,0.0010,0.7161262
28,0.323997,0.0010,0.7550471
29,0.335997,0.0010,0.7420681
30,0.347997,0.0010,0.7254684
31,0.359997,0.0010,0.7446761
32,0.371997,0.0010,0.7260079
33,0.383997,0.0010,0.7501874
34,0.395997,0.0010,0.7380013
35,0.407997,0.0010,0.7392364
36,0.419997,0.0010,0.7464614
37,0.431997,0.0010,0.7275591
38,0.443997,0.0010,0.7549927
39,0.455997,0.0010,0.7522244
40,0.467997,0.0010,0.7412612
41,0.479997,0.0010,0.749275
42,0.491997,0.0010,0.7299087
43,0.503997,0.0010,0.7518198
44,0.515997,0.0010,0.7338185
45,0.527997,0.0010,0.7316012
46,0.539997,0.0010,0.7368224
47,0.551997,0.0010,0.7219672
48,0.563997,0.0010,0.731993
49,0.575997,0.0010,0.7284925
50,0.587997,0.0010,0.7144806
51,0.599997,0.0010,0.7087493
52,0.611997,0.0010,0.7090402
53,0.623997,0.0010,0.7233884
54,0.635997,0.0010,0.7164609
55,0.647997,0.0010,0.7277434
56,0.659997,0.0010,0.7277532
57,0.671997,0.0010,0.7157514
58,0.683997,0.0010,0.7327054
59,0.695997,0.0010,0.7211287
60,0.707997,0.0010,0.7264621
61,0.719997,0.0010,0.7292085
62,0.731997,0.0010,0.7263694
63,0.743997,0.0010,0.7597101
64,0.755997,0.0010,0.7322812
65,0.767997,0.0010,0.7420444
66,0.779997,0.0010,0.738198
67,0.791997,0.0010,0.7158027
68,0.803997,0.0010,0.7463052
69,0.815997,0.0010,0.723021
70,0.827997,0.0010,0.7420964
71,0.839997,0.0010,0.7350667
72,0.851997,0.0010,0.7223279
73,0.863997,0.0010,0.7498827
74,0.875997,0.0010,0.7198954
75,0.887997,0.0010,0.720603
76,0.899997,0.0010,0.7177618
77,0.911997,0.0010,0.7076685
78,0.923997,0.0010,0.7379355
79,0.935997,0.0010,0.7200594
80,0.947997,0.0010,0.7243974
81,0.959997,0.0010,0.7349033
82,0.971997,0.0010,0.7155533
83,0.983997,0.0010,0.7369101
84,0.995997,0.0010,0.7202382
85,1.007997,0.0010,0.7099988
86,1.019997,0.0010,0.7240984
87,1.031997,0.0010,0.7031112
88,1.043997,0.0010,0.7287884
89,1.055997,0.0010,0.7141321
90,1.067997,0.0010,0.7246559
91,1.079997,0.0010,0.7487111
92,1.091997,0.0010,0.7233348
93,1.103997,0.0010,0.7392015
94,1.115997,0.0010,0.7263012
95,1.127997,0.0010,0.7445941
96,1.139997,0.0010,0.7535057
97,1.151997,0.0010,0.7189121
98,1.163997,0.0010,0.7452848
99,1.175997,0.0010,0.7302873
100,1.187997,0.0010,0.7131181
101,1.199997,0.0010,0.7439759
102,1.211997,0.0010,0.7199221
103,1.223997,0.0010,0.740694
104,1.235997,0.0010,0.7405372
105,1.247997,0.0010,0.7279458
106,1.259997,0.0010,0.7435338
107,1.271997,0.0010,0.7342217
108,1.283997,0.0010,0.7528062
109,1.295997,0.0010,0.7420177
110,1.307997,0.0010,0.738631
111,1.319997,0.0010,0.7487347
112,1.331997,0.0010,0.7368793
113,1.343997,0.0010,0.752461
114,1.355997,0.0010,0.7352316
115,1.367997,0.0010,0.7350974
116,1.379997,0.0010,0.7387164
117,1.391997,0.0010,0.7244852
118,1.403997,0.0010,0.7618365
119,1.415997,0.0010,0.7534051
120,1.427997,0.0010,0.7445958
121,1.439997,0.0010,0.756474
122,1.451997,0.0010,0.7314696
123,1.463997,0.0010,0.7574587
124,1.475997,0.0010,0.74739
125,1.487997,0.0010,0.7235444
126,1.499997,0.0010,0.7286015
127,1.511997,0.0010,0.7106683
128,1.523997,0.0010,0.7369573
129,1.535997,0.0010,0.7409751
130,1.547997,0.0010,0.7557313
131,1.559997,0.0010,0.7583623
132,1.571997,0.0010,0.7231746
133,1.583997,0.0010,0.7471218
134,1.595997,0.0010,0.72349
135,1.607997,0.0010,0.736686
136,1.619997,0.0010,0.7450442
137,1.631997,0.0010,0.7123771
138,1.643997,0.0010,0.7380242
139,1.655997,0.0010,0.7136154
140,1.667997,0.0010,0.7197921
141,1.679997,0.0010,0.7209549
142,1.691997,0.0010,0.7244706
143,1.703997,0.0010,0.7423923
144,1.715997,0.0010,0.723403
145,1.727997,0.0010,0.72736
146,1.739997,0.0010,0.7383621
147,1.751997,0.0010,0.7174571
148,1.763997,0.0010,0.73298
149,1.775997,0.0010,0.7225246
150,1.787997,0.0010,0.7336659
151,1.799997,0.0010,0.001708508
152,1.811997,0.0010,0.005740166
153,1.823997,0.0010,0.006195307
154,1.835997,0.0010,0.03455615
155,1.847997,0.0010,0.007257223
156,1.859997,0.0010,0.01495576
157,1.871997,0.0010,0.007999897
158,1.883997,0.0010,0.0235033
159,1.895997,0.0010,0.01053071
160,1.907997,0.0010,0.007747889
161,1.919997,0.0010,0.003686905
162,1.931997,0.0010,0.004520655
163,1.943997,0.0010,0.002699852
164,1.955997,0.0010,0.008600235
165,1.967997,0.0010,0.006118774
166,1.979997,0.0010,0.005030155
167,1.991997,0.0010,0.006006718
168,2.003997,0.0010,0.009187698
169,2.015997,0.0010,0.01126623
170,2.027997,0.0010,0.006710291
171,2.039997,0.0010,0.221375
172,2.051997,0.0010,0.06703067
173,2.063997,0.0010,0.00451827
174,2.075997,0.0010,0.5153913
175,2.087997,0.0010,0.3719964
176,2.099997,0.0010,0.05305696
177,2.111997,0.0010,0.01702523
178,2.123997,0.0010,0.002146482
179,2.135997,0.0010,0.002219677
180,2.147997,0.0010,0.006774664
181,2.159997,0.0010,0.002523422
182,2.171997,0.0010,0.002564907
183,2.183997,0.0010,0.001128435
184,2.195997,0.0010,0.001104832
185,2.207997,0.0010,0.001908302
186,2.219997,0.0010,0.001935959
187,2.231997,0.0010,0.001996279
188,2.243997,0.0010,0.00311327
189,2.255997,0.0010,0.00168252
190,2.267997,0.0010,8.237362E-4
191,2.279997,0.0010,0.003024817
192,2.291997,0.0010,0.0305779
193,2.303997,0.0010,0.02033615
194,2.315997,0.0010,0.009664774
195,2.327997,0.0010,0.09470248
196,2.339997,0.0010,0.2706101
197,2.351997,0.0010,0.4870508
198,2.363997,0.0010,0.007793427
199,2.375997,0.0010,0.08958673
200,2.387997,0.0010,0.1076076
201,2.399997,0.0010,0.1216063
202,2.411997,0.0010,8.351803E-4
203,2.423997,0.0010,0.001110554
204,2.435997,0.0010,0.002336502
205,2.447997,0.0010,0.01177716
206,2.459997,0.0010,8.804798E-4
207,2.471997,0.0010,4.59671E-4
208,2.483997,0.0010,0.001434803
209,2.495997,0.0010,5.912781E-4
210,2.507997,0.0010,6.88076E-4
211,2.519997,0.0010,7.035732E-4
212,2.531997,0.0010,4.937649E-4
213,2.543997,0.0010,0.00104475
214,2.555997,0.0010,0.002238274
215,2.567997,0.0010,0.002073288
216,2.579997,0.0010,7.660389E-4
217,2.591997,0.0010,0.00596118
218,2.603997,0.0010,0.002002716
219,2.615997,0.0010,0.001593113
220,2.627997,0.0010,0.5128286
221,2.639997,0.0010,0.2580202
222,2.651997,0.0010,0.2548392
223,2.663997,0.0010,0.5793598
224,2.675997,0.0010,0.371139
225,2.687997,0.0010,0.2773466
226,2.699997,0.0010,0.005294085
227,2.711997,0.0010,5.393028E-4
228,2.723997,0.0010,0.002593279
229,2.735997,0.0010,0.001650095
230,2.747997,0.0010,0.002330065
231,2.759997,0.0010,0.001450062
232,2.771997,0.0010,0.001280308
233,2.783997,0.0010,0.001905918
234,2.795997,0.0010,7.555485E-4
235,2.807997,0.0010,0.002107382
236,2.819997,0.0010,0.00120163
237,2.831997,0.0010,0.001926184
238,2.843997,0.0010,0.0548892
239,2.855997,0.0010,0.001592398
240,2.867997,0.0010,0.001269817
241,2.879997,0.0010,0.002305031
242,2.891997,0.0010,0.0227282
243,2.903997,0.0010,8.716583E-4
244,2.915997,0.0010,0.4043376
245,2.927997,0.0010,0.5616696
246,2.939997,0.0010,0.5946846
247,2.951997,0.0010,0.6167564
248,2.963997,0.0010,6.856918E-4
249,2.975997,0.0010,0.0116992
250,2.987997,0.0010,0.002785921
251,2.999997,0.0010,0.007661819
252,3.011997,0.0010,0.003602505
253,3.023997,0.0010,0.02536321
254,3.035997,0.0010,0.001577616
255,3.047997,0.0010,0.001467943
256,3.059997,0.0010,4.687309E-4
257,3.071997,0.0010,4.734993E-4
258,3.083997,0.0010,6.020069E-4
259,3.095997,0.0010,0.001414299
260,3.107997,0.0010,0.001740932
261,3.119997,0.0010,0.001039028
262,3.131997,0.0010,6.546974E-4
263,3.143997,0.0010,8.358955E-4
264,3.155997,0.0010,0.002661705
265,3.167997,0.0010,0.003579855
266,3.179997,0.0010,0.002339125
267,3.191997,0.0010,0.007229567
268,3.203997,0.0010,0.01289845
269,3.215997,0.0010,0.006825686
270,3.227997,0.0010,5.116463E-4
271,3.239997,0.0010,9.553432E-4
272,3.251997,0.0010,0.001517534
273,3.263997,0.0010,0.001653194
274,3.275997,0.0010,0.001914024
275,3.287997,0.0010,0.001171589
276,3.299997,0.0010,0.0362339
277,3.311997,0.0010,0.004401922
278,3.323997,0.0010,0.003738165
279,3.335997,0.0010,0.00100255
280,3.347997,0.0010,9.627342E-4
281,3.359997,0.0010,6.799698E-4
282,3.371997,0.0010,0.001452684
283,3.383997,0.0010,0.001019478
284,3.395997,0.0010,0.001096725
285,3.407997,0.0010,0.005086184
286,3.419997,0.0010,0.002451897
287,3.431997,0.0010,0.01560736
288,3.443997,0.0010,0.002123833
289,3.455997,0.0010,0.001710892
290,3.467997,0.0010,0.00155735
291,3.479997,0.0010,0.01712275
292,3.491997,0.0010,0.002610445
293,3.503997,0.0010,0.001348495
294,3.515997,0.0010,0.00203681
295,3.527997,0.0010,5.936623E-4
296,3.539997,0.0010,0.001546144
297,3.551997,0.0010,8.480549E-4
298,3.563997,0.0010,0.002707958
299,3.575997,0.0010,0.01370692
300,3.587997,0.0010,0.001819849
301,3.599997,0.0010,0.003766537
302,3.611997,0.0010,0.003310919
303,3.623997,0.0010,0.001058578
304,3.635997,0.0010,0.001843452
305,3.647997,0.0010,0.001440525
306,3.659997,0.0010,0.02967119
307,3.671997,0.0010,0.002369881
308,3.683997,0.0010,0.005823135
309,3.695997,0.0010,0.001144648
310,3.707997,0.0010,5.197525E-4
311,3.719997,0.0010,8.187294E-4
312,3.731997,0.0010,0.001361609
313,3.743997,0.0010,0.007638216
314,3.755997,0.0010,0.002222061
315,3.767997,0.0010,0.004036427
316,3.779997,0.0010,9.357929E-4
317,3.791997,0.0010,0.026366
318,3.803997,0.0010,6.766319E-4
319,3.815997,0.0010,8.635521E-4
320,3.827997,0.0010,0.01722431
321,3.839997,0.0010,0.02072716
322,3.851997,0.0010,0.01807833
323,3.863997,0.0010,0.003968239
324,3.875997,0.0010,0.003210068
325,3.887997,0.0010,0.001446962
326,3.899997,0.0010,0.00202632
327,3.911997,0.0010,9.944439E-4
328,3.923997,0.0010,0.2640548
329,3.935997,0.0010,0.001342058
330,3.947997,0.0010,0.003839016
331,3.959997,0.0010,8.261204E-4
332,3.971997,0.0010,0.001185179
333,3.983997,0.0010,7.350445E-4
334,3.995997,0.0010,0.001216888
335,4.007997,0.0010,0.00299716
336,4.019997,0.0010,0.002712727
337,4.031997,0.0010,0.005759001
338,4.043997,0.0010,0.001238823
339,4.055997,0.0010,0.5161145
340,4.067997,0.0010,0.5795848
341,4.079997,0.0010,0.002929688
342,4.091997,0.0010,9.03368E-4
343,4.103997,0.0010,0.004004717
344,4.115997,0.0010,0.003032207
345,4.127997,0.0010,0.004528761
346,4.139997,0.0010,0.007967234
347,4.151997,0.0010,0.009777546
348,4.163997,0.0010,0.009181261
349,4.175997,0.0010,0.1096852
350,4.187997,0.0010,0.002582788
351,4.199997,0.0010,7.076263E-4
352,4.211997,0.0010,0.001268864
353,4.223997,0.0010,0.001147032
354,4.235997,0.0010,0.002006769
355,4.247997,0.0010,0.1065147
356,4.259997,0.0010,0.001665592
357,4.271997,0.0010,9.391308E-4
358,4.283997,0.0010,6.38485E-4
359,4.295997,0.0010,0.004714727
360,4.307997,0.0010,0.001611948
361,4.319997,0.0010,0.003155708
362,4.331997,0.0010,0.001692295
363,4.343997,0.0010,7.994175E-4
364,4.355997,0.0010,0.002730608
365,4.367997,0.0010,0.002444744
366,4.379997,0.0010,0.001139879
367,4.391997,0.0010,0.01099062
368,4.403997,0.0010,0.003298521
369,4.415997,0.0010,0.001991272
370,4.427997,0.0010,0.001119375
371,4.439997,0.0010,0.001842499
372,4.451997,0.0010,9.708405E-4
373,4.463997,0.0010,0.00629282
374,4.475997,0.0010,0.001116991
375,4.487997,0.0010,0.002490997
376,4.499997,0.0010,0.002175808
377,4.511997,0.0010,0.00121212
378,4.523997,0.0010,0.0148623
379,4.535997,0.0010,0.001919031
380,4.547997,0.0010,6.513596E-4
381,4.559997,0.0010,0.001070738
382,4.571997,0.0010,0.001660585
383,4.583997,0.0010,0.06715083
384,4.595997,0.0010,0.001497984
385,4.607997,0.0010,0.001365662
386,4.619997,0.0010,9.009838E-4
387,4.631997,0.0010,5.710125E-4
388,4.643997,0.0010,0.001199961
389,4.655997,0.0010,0.003054142
390,4.667997,0.0010,0.06178021
391,4.679997,0.0010,0.001815796
392,4.691997,0.0010,0.001360893
393,4.703997,0.0010,0.003783703
394,4.715997,0.0010,0.003911972
395,4.727997,0.0010,0.003030539
396,4.739997,0.0010,0.02539182
397,4.751997,0.0010,0.001680851
398,4.763997,0.0010,0.001249552
399,4.775997,0.0010,0.002416134
400,4.787997,0.0010,0.001597166
401,4.799997,0.0010,8.00848E-4
402,4.811997,0.0010,0.003544092
403,4.823997,0.0010,6.141663E-4
404,4.835997,0.0010,0.002512217
405,4.847997,0.0010,7.002354E-4
406,4.859997,0.0010,0.001933575
407,4.871997,0.0010,0.003262997
408,4.883997,0.0010,0.0145998
409,4.895997,0.0010,0.08238459
410,4.907997,0.0010,8.058548E-4
411,4.919997,0.0010,9.975433E-4
412,4.931997,0.0010,0.002637148
413,4.943997,0.0010,0.001509428
414,4.955997,0.0010,0.006787539
415,4.967997,0.0010,0.1489313
416,4.979997,0.0010,0.001946688
417,4.991997,0.0010,0.002863884
418,5.003997,0.0010,0.01854372
419,5.015997,0.0010,0.01793528
420,5.027997,0.0010,9.171963E-4
421,5.039997,0.0010,0.001883268
422,5.051997,0.0010,0.006342411
423,5.063997,0.0010,0.001523256
424,5.075997,0.0010,0.001059294
425,5.087997,0.0010,4.825592E-4
426,5.099997,0.0010,0.001526594
427,5.111997,0.0010,0.001415968
428,5.123997,0.0010,0.1348252
429,5.135997,0.0010,0.007683754
430,5.147997,0.0010,0.003650427
431,5.159997,0.0010,0.04238057
432,5.171997,0.0010,0.004160643
433,5.183997,0.0010,0.002005816
434,5.195997,0.0010,0.001822233
435,5.207997,0.0010,0.003088236
436,5.219997,0.0010,0.002941847
437,5.231997,0.0010,0.005795479
438,5.243997,0.0010,0.009563208
439,5.255997,0.0010,0.001436234
440,5.267997,0.0010,0.002467394
441,5.279997,0.0010,0.01884294
442,5.291997,0.0010,8.504391E-4
443,5.303997,0.0010,5.953312E-4
444,5.315997,0.0010,8.52108E-4
445,5.327997,0.0010,9.77993E-4
446,5.339997,0.0010,6.206036E-4
447,5.351997,0.0010,0.002797365
448,5.363997,0.0010,4.758835E-4
449,5.375997,0.0010,4.181862E-4
450,5.387997,0.0010,0.001477003
451,5.399997,0.0010,0.001056194
452,5.411997,0.0010,0.007865667
453,5.423997,0.0010,5.099773E-4
454,5.435997,0.0010,0.004203796
455,5.447997,0.0010,3.287792E-4
456,5.459997,0.0010,4.029274E-4
457,5.471997,0.0010,0.001334667
458,5.483997,0.0010,5.612373E-4
459,5.495997,0.0010,0.001190186
460,5.507997,0.0010,5.409718E-4
461,5.519997,0.0010,5.629063E-4
462,5.531997,0.0010,0.002279758
463,5.543997,0.0010,5.254745E-4
464,5.555997,0.0010,5.369186E-4
465,5.567997,0.0010,0.001517534
466,5.579997,0.0010,0.05404329
467,5.591997,0.0010,0.1498802
468,5.603997,0.0010,0.05275726
469,5.615997,0.0010,0.002018929
470,5.627997,0.0010,0.001238108
471,5.639997,0.0010,0.007725239
472,5.651997,0.0010,0.01133919
473,5.663997,0.0010,0.09468293
474,5.675997,0.0010,0.004478455
475,5.687997,0.0010,0.2188034
476,5.699997,0.0010,0.01333404
477,5.711997,0.0010,0.002606392
478,5.723997,0.0010,0.0547235
479,5.735997,0.0010,0.06971598
480,5.747997,0.0010,0.0402267
481,5.759997,0.0010,0.03622079
482,5.771997,0.0010,0.01117277
483,5.783997,0.0010,0.02306223
484,5.795997,0.0010,0.05348611
485,5.807997,0.0010,0.0718708
486,5.819997,0.0010,0.01108336
487,5.831997,0.0010,0.030617
488,5.843997,0.0010,0.01916957
489,5.855997,0.0010,0.03774428
490,5.867997,0.0010,0.5076706
491,5.879997,0.0010,0.5767457
492,5.891997,0.0010,0.5937736
493,5.903997,0.0010,0.638917
494,5.915997,0.0010,0.03451371
495,5.927997,0.0010,0.008997679
496,5.939997,0.0010,0.001464844
497,5.951997,0.0010,0.001871824
498,5.963997,0.0010,0.04428434
499,5.975997,0.0010,0.002274752
500,5.987997,0.0010,0.008350134
501,5.999997,0.0010,0.002204895
502,6.011997,0.0010,7.214546E-4
503,6.023997,0.0010,0.001708508
504,6.035997,0.0010,7.748604E-4
505,6.047997,0.0010,0.001170635
506,6.059997,0.0010,0.001661301
507,6.071997,0.0010,9.269714E-4
508,6.083997,0.0010,0.00377059
509,6.095997,0.0010,0.001665592
510,6.107997,0.0010,0.01163006
511,6.119997,0.0010,0.002901316
512,6.131997,0.0010,0.002176523
513,6.143997,0.0010,0.006677866
514,6.155997,0.0010,0.00130868
515,6.167997,0.0010,0.001496553
516,6.179997,0.0010,0.007130384
517,6.191997,0.0010,0.002829075
518,6.203997,0.0010,0.02972484
519,6.215997,0.0010,5.645752E-4
520,6.227997,0.0010,0.006633282
521,6.239997,0.0010,0.00159812
522,6.251997,0.0010,0.001459837
523,6.263997,0.0010,0.002000332
524,6.275997,0.0010,0.00174427
525,6.287997,0.0010,6.563663E-4
526,6.299997,0.0010,6.0606E-4
527,6.311997,0.0010,0.001139879
528,6.323997,0.0010,0.001718998
529,6.335997,0.0010,6.830692E-4
530,6.347997,0.0010,0.001177073
531,6.359997,0.0010,0.001434803
532,6.371997,0.0010,0.00126338
533,6.383997,0.0010,0.003075123
534,6.395997,0.0010,6.361008E-4
535,6.407997,0.0010,0.002370834
536,6.419997,0.0010,9.407997E-4
537,6.431997,0.0010,0.001609325
538,6.443997,0.0010,0.003453732
539,6.455997,0.0010,0.001811028
540,6.467997,0.0010,0.001771212
541,6.479997,0.0010,0.001280308
542,6.491997,0.0010,0.001381874
543,6.503997,0.0010,0.002821684
544,6.515997,0.0010,0.06360412
545,6.527997,0.0010,0.002616167
546,6.539997,0.0010,0.004894495
547,6.551997,0.0010,0.002417088
548,6.563997,0.0010,4.994869E-4
549,6.575997,0.0010,0.001294136
550,6.587997,0.0010,7.886887E-4
551,6.599997,0.0010,4.889965E-4
552,6.611997,0.0010,9.570122E-4
553,6.623997,0.0010,0.02232051
554,6.635997,0.0010,0.002525091
555,6.647997,0.0010,0.0135777
556,6.659997,0.0010,0.001248598
557,6.671997,0.0010,0.008878946
558,6.683997,0.0010,0.008956909
559,6.695997,0.0010,0.001217842
560,6.707997,0.0010,0.001863718
561,6.719997,0.0010,0.001204014
562,6.731997,0.0010,0.004544258
563,6.743997,0.0010,0.009595633
564,6.755997,0.0010,0.1400406
565,6.767997,0.0010,0.002526045
566,6.779997,0.0010,0.004539251
567,6.791997,0.0010,0.002061129
568,6.803997,0.0010,9.162426E-4
569,6.815997,0.0010,8.392334E-4
570,6.827997,0.0010,0.001475334
571,6.839997,0.0010,8.814335E-4
572,6.851997,0.0010,4.255772E-4
573,6.863997,0.0010,8.831024E-4
574,6.875997,0.0010,0.002226114
575,6.887997,0.0010,0.001437902
576,6.899997,0.0010,0.001092672
577,6.911997,0.0010,6.067753E-4
578,6.923997,0.0010,0.0208838
579,6.935997,0.0010,0.002217293
580,6.947997,0.0010,0.00273633
581,6.959997,0.0010,0.002193689
582,6.971997,0.0010,0.001395702
583,6.983997,0.0010,8.983612E-4
584,6.995997,0.0010,0.002794981
585,7.007997,0.0010,5.531311E-4
586,7.019997,0.0010,0.01025867
587,7.031997,0.0010,0.01006436
588,7.043997,0.0010,0.007678032
589,7.055997,0.0010,0.001473665
590,7.067997,0.0010,7.936954E-4
591,7.079997,0.0010,0.001375437
592,7.091997,0.0010,0.002364159
593,7.103997,0.0010,0.001147032
594,7.115997,0.0010,0.002053976
595,7.127997,0.0010,0.002471447
596,7.139997,0.0010,8.497238E-4
597,7.151997,0.0010,0.002841234
598,7.163997,0.0010,0.00213027
599,7.175997,0.0010,0.001133204
600,7.187997,0.0010,0.002051353
601,7.199997,0.0010,9.85384E-4
602,7.211997,0.0010,9.529591E-4
603,7.223997,0.0010,0.008263826
604,7.235997,0.0010,0.002543688
605,7.247997,0.0010,0.005823135
606,7.259997,0.0010,0.002698898
607,7.271997,0.0010,0.001868725
608,7.283997,0.0010,9.586811E-4
609,7.295997,0.0010,0.007452965
610,7.307997,0.0010,0.008959532
611,7.319997,0.0010,0.1549015
612,7.331997,0.0010,0.003422022
613,7.343997,0.0010,0.001413584
614,7.355997,0.0010,0.005127668
615,7.367997,0.0010,0.001117945
616,7.379997,0.0010,0.001282692
617,7.391997,0.0010,0.007531881
618,7.403997,0.0010,0.003904819
619,7.415997,0.0010,0.003629208
620,7.427997,0.0010,0.001004934
621,7.439997,0.0010,0.001775265
622,7.451997,0.0010,7.171631E-4
623,7.463997,0.0010,0.008907318
624,7.475997,0.0010,0.02108216
625,7.487997,0.0010,0.01306581
626,7.499997,0.0010,0.001030922
627,7.511997,0.0010,0.001619101
628,7.523997,0.0010,0.003031254
629,7.535997,0.0010,0.001213789
630,7.547997,0.0010,0.00408268
631,7.559997,0.0010,0.00125432
632,7.571997,0.0010,0.001106501
633,7.583997,0.0010,0.01099062
634,7.595997,0.0010,0.01407981
635,7.607997,0.0010,6.49929E-4
636,7.619997,0.0010,0.009370565
637,7.631997,0.0010,0.005411148
638,7.643997,0.0010,0.002973557
639,7.655997,0.0010,0.004839897
640,7.667997,0.0010,0.006100893
641,7.679997,0.0010,0.004599571
642,7.691997,0.0010,0.001103163
643,7.703997,0.0010,6.0606E-4
644,7.715997,0.0010,5.841255E-4
645,7.727997,0.0010,0.002503157
646,7.739997,0.0010,0.003355503
647,7.751997,0.0010,0.006363392
648,7.763997,0.0010,5.979538E-4
649,7.775997,0.0010,6.523132E-4
650,7.787997,0.0010,0.003299475
651,7.799997,0.0010,0.003825903
652,7.811997,0.0010,0.005100727
653,7.823997,0.0010,0.003322124
654,7.835997,0.0010,0.003097057
655,7.847997,0.0010,0.01001883
656,7.859997,0.0010,0.0138669
657,7.871997,0.0010,0.009963751
658,7.883997,0.0010,0.1495039
659,7.895997,0.0010,0.1548901
660,7.907997,0.0010,0.002823353
661,7.919997,0.0010,0.002836227
662,7.931997,0.0010,0.003256321
663,7.943997,0.0010,0.002814293
664,7.955997,0.0010,0.004094839
665,7.967997,0.0010,0.005307913
666,7.979997,0.0010,0.0010674
667,7.991997,0.0010,8.928776E-4
668,8.003997,0.0010,0.002104998
669,8.015997,0.0010,0.009062529
670,8.027997,0.0010,0.01135969
671,8.039997,0.0010,0.004213572
672,8.051997,0.0010,0.006898165
673,8.063997,0.0010,0.008048534
674,8.075997,0.0010,0.002445459
675,8.087997,0.0010,0.006489277
676,8.099997,0.0010,0.002811193
677,8.111997,0.0010,0.006693363
678,8.123997,0.0010,0.006942034
679,8.135997,0.0010,7.610321E-4
680,8.147997,0.0010,0.02573776
681,8.159997,0.0010,0.07453585
682,8.171997,0.0010,0.001256704
683,8.183997,0.0010,9.455681E-4
684,8.195997,0.0010,0.004809141
685,8.207997,0.0010,0.002970457
686,8.219997,0.0010,0.01503611
687,8.231997,0.0010,0.003867388
688,8.243997,0.0010,0.008419991
689,8.255997,0.0010,0.001008987
690,8.267997,0.0010,0.002196789
691,8.279997,0.0010,8.132458E-4
692,8.291997,0.0010,0.001353502
693,8.303997,0.0010,0.001758814
694,8.315997,0.0010,0.004539251
695,8.327997,0.0010,0.02695251
696,8.339997,0.0010,8.497238E-4
697,8.351997,0.0010,0.005087852
698,8.363997,0.0010,0.002270699
699,8.375997,0.0010,0.005659819
700,8.387997,0.0010,0.002369165
701,8.399997,0.0010,0.001825571
702,8.411997,0.0010,0.003043413
703,8.423997,0.0010,0.001881599
704,8.435997,0.0010,0.002450466
705,8.447997,0.0010,0.002029419
706,8.459997,0.0010,0.00502038
707,8.471997,0.0010,0.003223181
708,8.483997,0.0010,0.01079655
709,8.495997,0.0010,0.004923582
710,8.507997,0.0010,0.006068468
711,8.519997,0.0010,0.006156206
712,8.531997,0.0010,0.0923779
713,8.543997,0.0010,0.00113821
714,8.555997,0.0010,7.653236E-4
715,8.567997,0.0010,9.431839E-4
716,8.579997,0.0010,8.544922E-4
717,8.591997,0.0010,0.005196571
718,8.603997,0.0010,7.424355E-4
719,8.615997,0.0010,0.002649546
720,8.627997,0.0010,0.005890608
721,8.639997,0.0010,7.798672E-4
722,8.651997,0.0010,0.007628441
723,8.663997,0.0010,0.002941132
724,8.675997,0.0010,0.006556749
