[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 7:19 AM 0.916495 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.1313682
2,0.009996,0.0010,0.4697385
3,0.019996,0.0010,0.5121183
4,0.029997,0.0010,0.5530217
5,0.039996,0.0010,0.5659144
6,0.049996,0.0010,0.5876887
7,0.059997,0.0010,0.603013
8,0.069996,0.0010,0.625771
9,0.079996,0.0010,0.6355934
10,0.089997,0.0010,0.6642566
11,0.099996,0.0010,0.6574082
12,0.109996,0.0010,0.6551332
13,0.119997,0.0010,0.6589916
14,0.129996,0.0010,0.6591623
15,0.139996,0.0010,0.655004
16,0.149997,0.0010,0.6633482
17,0.159996,0.0010,0.6421721
18,0.169996,0.0010,0.6473591
19,0.179997,0.0010,0.6516297
20,0.189996,0.0010,0.6542296
21,0.199996,0.0010,0.6361458
22,0.209997,0.0010,0.6467521
23,0.219996,0.0010,0.6446609
24,0.229996,0.0010,0.6399021
25,0.239997,0.0010,0.6352975
26,0.249996,0.0010,0.6539037
27,0.259996,0.0010,0.6472714
28,0.269997,0.0010,0.6474111
29,0.279996,0.0010,0.655905
30,0.289996,0.0010,0.6545212
31,0.299997,0.0010,0.6495082
32,0.309996,0.0010,0.6601121
33,0.319996,0.0010,0.6586649
34,0.329997,0.0010,0.6588812
35,0.339996,0.0010,0.6464379
36,0.349996,0.0010,0.6535139
37,0.359997,0.0010,0.6555142
38,0.369996,0.0010,0.6645231
39,0.379996,0.0010,0.6624823
40,0.389997,0.0010,0.6636262
41,0.399996,0.0010,0.6559212
42,0.409996,0.0010,0.6732893
43,0.419997,0.0010,0.6504004
44,0.429996,0.0010,0.6528151
45,0.439996,0.0010,0.653383
46,0.449997,0.0010,0.646771
47,0.459996,0.0010,0.6498902
48,0.469996,0.0010,0.6686141
49,0.479997,0.0010,0.6584945
50,0.489996,0.0010,0.669616
51,0.499996,0.0010,0.6589656
52,0.509997,0.0010,0.6611562
53,0.519996,0.0010,0.647265
54,0.529996,0.0010,0.6622725
55,0.539997,0.0010,0.6605029
56,0.549996,0.0010,0.6589892
57,0.559996,0.0010,0.6625562
58,0.569997,0.0010,0.6656258
59,0.579996,0.0010,0.6571245
60,0.589996,0.0010,0.655688
61,0.599997,0.0010,0.6617517
62,0.609996,0.0010,0.6523089
63,0.619996,0.0010,0.6513965
64,0.629997,0.0010,0.6593971
65,0.639996,0.0010,0.6427751
66,0.649996,0.0010,0.6554825
67,0.659997,0.0010,0.6543572
68,0.669996,0.0010,0.6582971
69,0.679996,0.0010,0.6416993
70,0.689997,0.0010,0.6376369
71,0.699996,0.0010,0.640964
72,0.709996,0.0010,0.6439109
73,0.719997,0.0010,0.6253178
74,0.729996,0.0010,0.6483626
75,0.739996,0.0010,0.6483796
76,0.749997,0.0010,0.6462321
77,0.759996,0.0010,0.6469977
78,0.769996,0.0010,0.6458576
79,0.779997,0.0010,0.6463556
80,0.789996,0.0010,0.6705365
81,0.799996,0.0010,0.6579664
82,0.809997,0.0010,0.6502371
83,0.819996,0.0010,0.6452913
84,0.829996,0.0010,0.6525145
85,0.839997,0.0010,0.6481433
86,0.849996,0.0010,0.6585691
87,0.859996,0.0010,0.6494424
88,0.869997,0.0010,0.6492677
89,0.879996,0.0010,0.6531904
90,0.889996,0.0010,0.6804531
91,0.899997,0.0010,0.6694915
92,0.909996,0.0010,0.6703391
93,0.919996,0.0010,0.6882465
94,0.929997,0.0010,0.6796851
95,0.939996,0.0010,0.6696329
96,0.949996,0.0010,0.661339
97,0.959997,0.0010,0.6470463
98,0.969996,0.0010,0.6598034
99,0.979996,0.0010,0.6495049
100,0.989997,0.0010,0.661036
101,0.999996,0.0010,0.6475852
102,1.009996,0.0010,0.6457863
103,1.019997,0.0010,0.6363759
104,1.029996,0.0010,0.6338108
105,1.039996,0.0010,0.6308477
106,1.049997,0.0010,0.6429725
107,1.059996,0.0010,0.6429954
108,1.069996,0.0010,0.6565282
109,1.079997,0.0010,0.6528947
110,1.089996,0.0010,0.6471415
111,1.099996,0.0010,0.6476085
112,1.109997,0.0010,0.6494937
113,1.119996,0.0010,0.6412404
114,1.129996,0.0010,0.6392708
115,1.139997,0.0010,0.6448169
116,1.149996,0.0010,0.6593378
117,1.159996,0.0010,0.6452336
118,1.169997,0.0010,0.6518271
119,1.179996,0.0010,0.6452003
120,1.189996,0.0010,0.6438248
121,1.199997,0.0010,0.6327593
122,1.209996,0.0010,0.6478264
123,1.219996,0.0010,0.6360004
124,1.229997,0.0010,0.6463501
125,1.239996,0.0010,0.6444716
126,1.249996,0.0010,0.6436923
127,1.259997,0.0010,0.6339083
128,1.269996,0.0010,0.64729
129,1.279996,0.0010,0.6479678
130,1.289997,0.0010,0.651242
131,1.299996,0.0010,0.6558197
132,1.309996,0.0010,0.6503556
133,1.319997,0.0010,0.6317959
134,1.329996,0.0010,0.6388223
135,1.339996,0.0010,0.6432683
136,1.349997,0.0010,0.6424565
137,1.359996,0.0010,0.6509757
138,1.369996,0.0010,0.6553988
139,1.379997,0.0010,0.6489711
140,1.389996,0.0010,0.6526356
141,1.399996,0.0010,0.6564779
142,1.409997,0.0010,0.6514843
143,1.419996,0.0010,0.6528208
144,1.429996,0.0010,0.6590745
145,1.439997,0.0010,0.6395721
146,1.449996,0.0010,0.6495318
147,1.459996,0.0010,0.6512666
148,1.469997,0.0010,0.6555588
149,1.479996,0.0010,6.074905E-4
150,1.489996,0.0010,0.001265764
151,1.499997,0.0010,9.431839E-4
152,1.509996,0.0010,5.466938E-4
153,1.519996,0.0010,0.001094341
154,1.529997,0.0010,0.00184083
155,1.539996,0.0010,0.001130819
156,1.549996,0.0010,0.002046585
157,1.559997,0.0010,0.005374432
158,1.569996,0.0010,8.399487E-4
159,1.579996,0.0010,0.002035856
160,1.589997,0.0010,8.699894E-4
161,1.599996,0.0010,6.344318E-4
162,1.609996,0.0010,6.449223E-4
163,1.619997,0.0010,9.496212E-4
164,1.629996,0.0010,0.004203796
165,1.639996,0.0010,0.001363277
166,1.649997,0.0010,4.174709E-4
167,1.659996,0.0010,6.196499E-4
168,1.669996,0.0010,4.556179E-4
169,1.679997,0.0010,5.230904E-4
170,1.689996,0.0010,3.898144E-4
171,1.699996,0.0010,8.95977E-4
172,1.709997,0.0010,4.677773E-4
173,1.719996,0.0010,3.995895E-4
174,1.729996,0.0010,7.431507E-4
175,1.739997,0.0010,4.711151E-4
176,1.749996,0.0010,4.029274E-4
177,1.759996,0.0010,3.533363E-4
178,1.769997,0.0010,6.449223E-4
179,1.779996,0.0010,7.70092E-4
180,1.789996,0.0010,0.1067221
181,1.799997,0.0010,0.002184629
182,1.809996,0.0010,0.005875826
183,1.819996,0.0010,5.56469E-4
184,1.829997,0.0010,0.003169298
185,1.839996,0.0010,0.2153449
186,1.849996,0.0010,0.008989334
187,1.859997,0.0010,0.003336668
188,1.869996,0.0010,9.806156E-4
189,1.879996,0.0010,9.064674E-4
190,1.889997,0.0010,4.620552E-4
191,1.899996,0.0010,0.001199007
192,1.909996,0.0010,0.001651525
193,1.919997,0.0010,9.968281E-4
194,1.929996,0.0010,7.019043E-4
195,1.939996,0.0010,3.945827E-4
196,1.949997,0.0010,0.001521587
197,1.959996,0.0010,4.069805E-4
198,1.969996,0.0010,3.142357E-4
199,1.979997,0.0010,2.710819E-4
200,1.989996,0.0010,5.133152E-4
201,1.999996,0.0010,3.702641E-4
202,2.009997,0.0010,5.092621E-4
203,2.019996,0.0010,0.001139641
204,2.029996,0.0010,0.001269817
205,2.039997,0.0010,2.996922E-4
206,2.049996,0.0010,6.594658E-4
207,2.059996,0.0010,0.002331734
208,2.069997,0.0010,0.1821251
209,2.079996,0.0010,0.004071236
210,2.089996,0.0010,0.004123211
211,2.099997,0.0010,0.001050472
212,2.109996,0.0010,0.003316402
213,2.119996,0.0010,7.815361E-4
214,2.129997,0.0010,0.001743555
215,2.139996,0.0010,0.005684853
216,2.149996,0.0010,0.003401041
217,2.159997,0.0010,9.586811E-4
218,2.169996,0.0010,4.21524E-4
219,2.179996,0.0010,7.343292E-4
220,2.189997,0.0010,0.001660585
221,2.199996,0.0010,8.001328E-4
222,2.209996,0.0010,3.273487E-4
223,2.219997,0.0010,8.065701E-4
224,2.229996,0.0010,9.219646E-4
225,2.239996,0.0010,4.832745E-4
226,2.249997,0.0010,6.587505E-4
227,2.259996,0.0010,3.395081E-4
228,2.269996,0.0010,4.28915E-4
229,2.279997,0.0010,3.476143E-4
230,2.289996,0.0010,7.116795E-4
231,2.299996,0.0010,0.00134778
232,2.309997,0.0010,4.954338E-4
233,2.319996,0.0010,3.881454E-4
234,2.329996,0.0010,0.001333952
235,2.339997,0.0010,6.668568E-4
236,2.349996,0.0010,9.675026E-4
237,2.359996,0.0010,0.007607937
238,2.369997,0.0010,0.00222373
239,2.379996,0.0010,0.001651525
240,2.389996,0.0010,0.008534193
241,2.399997,0.0010,0.001406193
242,2.409996,0.0010,0.001395702
243,2.419996,0.0010,0.004426241
244,2.429997,0.0010,0.006109715
245,2.439996,0.0010,0.00176692
246,2.449996,0.0010,6.644726E-4
247,2.459997,0.0010,0.001901865
248,2.469996,0.0010,0.003706455
249,2.479996,0.0010,0.0014534
250,2.489997,0.0010,9.350777E-4
251,2.499996,0.0010,8.59499E-4
252,2.509996,0.0010,3.540516E-4
253,2.519997,0.0010,5.578995E-4
254,2.529996,0.0010,5.571842E-4
255,2.539996,0.0010,4.076958E-4
256,2.549997,0.0010,8.308887E-4
257,2.559996,0.0010,8.416176E-4
258,2.569996,0.0010,7.009506E-4
259,2.579997,0.0010,0.003115654
260,2.589996,0.0010,2.996922E-4
261,2.599996,0.0010,3.726482E-4
262,2.609997,0.0010,6.182194E-4
263,2.619996,0.0010,8.749962E-4
264,2.629996,0.0010,0.001272202
265,2.639997,0.0010,0.002864599
266,2.649996,0.0010,9.543896E-4
267,2.659996,0.0010,0.002961397
268,2.669997,0.0010,7.667542E-4
269,2.679996,0.0010,9.276867E-4
270,2.689996,0.0010,0.002349615
271,2.699997,0.0010,0.001190186
272,2.709996,0.0010,0.002001762
273,2.719996,0.0010,4.012585E-4
274,2.729997,0.0010,7.090569E-4
275,2.739996,0.0010,0.001051188
276,2.749996,0.0010,0.00124383
277,2.759997,0.0010,6.587505E-4
278,2.769996,0.0010,0.001274586
279,2.779996,0.0010,6.196499E-4
280,2.789997,0.0010,9.016991E-4
281,2.799996,0.0010,6.678104E-4
282,2.809996,0.0010,3.638268E-4
283,2.819997,0.0010,5.595684E-4
284,2.829996,0.0010,2.784729E-4
285,2.839996,0.0010,5.197525E-4
286,2.849997,0.0010,4.832745E-4
287,2.859996,0.0010,3.564358E-4
288,2.869996,0.0010,4.370213E-4
289,2.879997,0.0010,3.962517E-4
290,2.889996,0.0010,9.951591E-4
291,2.899996,0.0010,7.505417E-4
292,2.909997,0.0010,9.162426E-4
293,2.919996,0.0010,6.091595E-4
294,2.929996,0.0010,0.001777649
295,2.939997,0.0010,0.001739264
296,2.949996,0.0010,0.02817631
297,2.959996,0.0010,0.004633427
298,2.969997,0.0010,5.538464E-4
299,2.979996,0.0010,0.001930237
300,2.989996,0.0010,0.004362822
301,2.999997,0.0010,6.155968E-4
302,3.009996,0.0010,0.002135038
303,3.019996,0.0010,0.001503706
304,3.029997,0.0010,0.001003265
305,3.039996,0.0010,0.001028538
306,3.049996,0.0010,3.945827E-4
307,3.059997,0.0010,0.003118992
308,3.069996,0.0010,4.15802E-4
309,3.079996,0.0010,6.29425E-4
310,3.089997,0.0010,5.538464E-4
311,3.099996,0.0010,0.00222683
312,3.109996,0.0010,0.007911921
313,3.119997,0.0010,5.409718E-4
314,3.129996,0.0010,0.001256704
315,3.139996,0.0010,4.191399E-4
316,3.149997,0.0010,9.357929E-4
317,3.159996,0.0010,5.936623E-4
318,3.169996,0.0010,9.627342E-4
319,3.179997,0.0010,0.003659248
320,3.189996,0.0010,0.003964901
321,3.199996,0.0010,0.001342058
322,3.209997,0.0010,0.004111767
323,3.219996,0.0010,0.002534866
324,3.229996,0.0010,0.04290056
325,3.239997,0.0010,8.749962E-4
326,3.249996,0.0010,4.930496E-4
327,3.259996,0.0010,0.004568577
328,3.269997,0.0010,0.00148344
329,3.279996,0.0010,7.140636E-4
330,3.289996,0.0010,4.21524E-4
331,3.299997,0.0010,0.001400471
332,3.309996,0.0010,0.004018545
333,3.319996,0.0010,0.001018763
334,3.329997,0.0010,8.659363E-4
335,3.339996,0.0010,0.001856327
336,3.349996,0.0010,5.214214E-4
337,3.359997,0.0010,7.309914E-4
338,3.369996,0.0010,6.921291E-4
339,3.379996,0.0010,0.001088619
340,3.389997,0.0010,8.065701E-4
341,3.399996,0.0010,7.977486E-4
342,3.409996,0.0010,0.00118041
343,3.419997,0.0010,0.002274036
344,3.429996,0.0010,9.586811E-4
345,3.439996,0.0010,0.001381159
346,3.449997,0.0010,0.001104116
347,3.459996,0.0010,9.85384E-4
348,3.469996,0.0010,9.975433E-4
349,3.479997,0.0010,5.970001E-4
350,3.489996,0.0010,0.008855343
351,3.499996,0.0010,0.005933523
352,3.509997,0.0010,0.001365662
353,3.519996,0.0010,4.67062E-4
354,3.529996,0.0010,0.002522707
355,3.539997,0.0010,0.007052183
356,3.549996,0.0010,0.001627207
357,3.559996,0.0010,6.44207E-4
358,3.569997,0.0010,4.751682E-4
359,3.579996,0.0010,0.003172636
360,3.589996,0.0010,0.002201796
361,3.599997,0.0010,6.661415E-4
362,3.609996,0.0010,4.043579E-4
363,3.619996,0.0010,0.00162077
364,3.629997,0.0010,3.159046E-4
365,3.639996,0.0010,2.923012E-4
366,3.649996,0.0010,7.522106E-4
367,3.659997,0.0010,7.603168E-4
368,3.669996,0.0010,5.466938E-4
369,3.679996,0.0010,5.180836E-4
370,3.689997,0.0010,0.002123594
371,3.699996,0.0010,0.001112223
372,3.709996,0.0010,5.807877E-4
373,3.719997,0.0010,4.191399E-4
374,3.729996,0.0010,7.56979E-4
375,3.739996,0.0010,5.092621E-4
376,3.749997,0.0010,0.003045797
377,3.759996,0.0010,5.555153E-4
378,3.769996,0.0010,0.00111866
379,3.779997,0.0010,0.00197506
380,3.789996,0.0010,0.002291918
381,3.799996,0.0010,7.758141E-4
382,3.809997,0.0010,0.002490044
383,3.819996,0.0010,0.00317502
384,3.829996,0.0010,9.276867E-4
385,3.839997,0.0010,0.001178026
386,3.849996,0.0010,0.00165081
387,3.859996,0.0010,0.003923416
388,3.869997,0.0010,0.004464388
389,3.879996,0.0010,0.001644373
390,3.889996,0.0010,0.001054525
391,3.899997,0.0010,0.002403259
392,3.909996,0.0010,7.684231E-4
393,3.919996,0.0010,4.053116E-4
394,3.929997,0.0010,0.001163244
395,3.939996,0.0010,5.149841E-4
396,3.949996,0.0010,6.482601E-4
397,3.959997,0.0010,8.025169E-4
398,3.969996,0.0010,0.003307581
399,3.979996,0.0010,7.765293E-4
400,3.989997,0.0010,7.18832E-4
401,3.999996,0.0010,0.002943516
402,4.009996,0.0010,3.597736E-4
403,4.019997,0.0010,0.001832724
404,4.029996,0.0010,9.317398E-4
405,4.039996,0.0010,4.832745E-4
406,4.049997,0.0010,0.003605604
407,4.059996,0.0010,0.001635313
408,4.069996,0.0010,9.829998E-4
409,4.079997,0.0010,0.001230001
410,4.089996,0.0010,6.043911E-4
411,4.099996,0.0010,0.001526594
412,4.109997,0.0010,0.001190901
413,4.119996,0.0010,0.001061678
414,4.129996,0.0010,8.301735E-4
415,4.139997,0.0010,0.005222559
416,4.149996,0.0010,5.629063E-4
417,4.159996,0.0010,0.002209902
418,4.169997,0.0010,0.001170635
419,4.179996,0.0010,6.830692E-4
420,4.189996,0.0010,0.003815413
421,4.199997,0.0010,8.52108E-4
422,4.209996,0.0010,5.173683E-4
423,4.219996,0.0010,8.602142E-4
424,4.229997,0.0010,3.702641E-4
425,4.239996,0.0010,0.001921415
426,4.249996,0.0010,8.065701E-4
427,4.259997,0.0010,6.725788E-4
428,4.269996,0.0010,3.769398E-4
429,4.279996,0.0010,5.605221E-4
430,4.289997,0.0010,5.977154E-4
431,4.299996,0.0010,9.081364E-4
432,4.309996,0.0010,7.286072E-4
433,4.319997,0.0010,0.0198524
434,4.329996,0.0010,0.001415968
435,4.339996,0.0010,0.00228548
436,4.349997,0.0010,5.946159E-4
437,4.359996,0.0010,0.001455784
438,4.369996,0.0010,0.002064466
439,4.379997,0.0010,0.01872373
440,4.389996,0.0010,0.002065897
441,4.399996,0.0010,0.002337456
442,4.409997,0.0010,8.203983E-4
443,4.419996,0.0010,0.008131266
444,4.429996,0.0010,0.004481554
445,4.439997,0.0010,0.002272367
446,4.449996,0.0010,0.001979828
447,4.459996,0.0010,0.001527309
448,4.469997,0.0010,6.685257E-4
449,4.479996,0.0010,7.748604E-4
450,4.489996,0.0010,0.00144434
451,4.499997,0.0010,7.789135E-4
452,4.509996,0.0010,5.85556E-4
453,4.519996,0.0010,0.001152754
454,4.529997,0.0010,6.465912E-4
455,4.539996,0.0010,6.911755E-4
456,4.549996,0.0010,3.654957E-4
457,4.559997,0.0010,6.408691E-4
458,4.569996,0.0010,4.572868E-4
459,4.579996,0.0010,0.001143932
460,4.589997,0.0010,0.02248335
461,4.599996,0.0010,4.718304E-4
462,4.609996,0.0010,0.002912521
463,4.619997,0.0010,0.002326012
464,4.629996,0.0010,7.822514E-4
465,4.639996,0.0010,0.001647472
466,4.649997,0.0010,0.004362106
467,4.659996,0.0010,0.002463341
468,4.669996,0.0010,0.001893759
469,4.679997,0.0010,4.451275E-4
470,4.689996,0.0010,0.001732111
471,4.699996,0.0010,0.001407146
472,4.709997,0.0010,5.197525E-4
473,4.719996,0.0010,7.6437E-4
474,4.729996,0.0010,5.612373E-4
475,4.739997,0.0010,6.506443E-4
476,4.749996,0.0010,4.53949E-4
477,4.759996,0.0010,5.173683E-4
478,4.769997,0.0010,6.00338E-4
479,4.779996,0.0010,0.001126051
480,4.789996,0.0010,4.768372E-4
481,4.799997,0.0010,8.554459E-4
482,4.809996,0.0010,4.849434E-4
483,4.819996,0.0010,7.390976E-4
484,4.829997,0.0010,3.507137E-4
485,4.839996,0.0010,6.270409E-4
486,4.849996,0.0010,6.523132E-4
487,4.859997,0.0010,0.001404524
488,4.869996,0.0010,0.005698681
489,4.879996,0.0010,7.636547E-4
490,4.889997,0.0010,0.002216339
491,4.899996,0.0010,0.002897263
492,4.909996,0.0010,7.555485E-4
493,4.919997,0.0010,7.302761E-4
494,4.929996,0.0010,0.00292325
495,4.939996,0.0010,0.002813578
496,4.949997,0.0010,0.002910137
497,4.959996,0.0010,4.053116E-4
498,4.969996,0.0010,0.008003712
499,4.979997,0.0010,0.003521204
500,4.989996,0.0010,0.002548695
501,4.999996,0.0010,6.155968E-4
502,5.009997,0.0010,8.611679E-4
503,5.019996,0.0010,5.946159E-4
504,5.029996,0.0010,4.913807E-4
505,5.039997,0.0010,0.001488209
506,5.049996,0.0010,0.001039028
507,5.059996,0.0010,0.001063347
508,5.069997,0.0010,4.880428E-4
509,5.079996,0.0010,0.001489878
510,5.089996,0.0010,2.777576E-4
511,5.099997,0.0010,3.631115E-4
512,5.109996,0.0010,4.451275E-4
513,5.119996,0.0010,5.278587E-4
514,5.129997,0.0010,8.335114E-4
515,5.139996,0.0010,7.870197E-4
516,5.149996,0.0010,0.001403809
517,5.159997,0.0010,5.791187E-4
518,5.169996,0.0010,0.001065731
519,5.179996,0.0010,3.662109E-4
520,5.189997,0.0010,9.732246E-4
521,5.199996,0.0010,7.350445E-4
522,5.209996,0.0010,0.003380537
523,5.219997,0.0010,6.270409E-4
524,5.229996,0.0010,9.391308E-4
525,5.239996,0.0010,0.001247883
526,5.249997,0.0010,6.034374E-4
527,5.259996,0.0010,7.076263E-4
528,5.269996,0.0010,6.051064E-4
529,5.279997,0.0010,0.001200676
530,5.289996,0.0010,0.005493164
531,5.299996,0.0010,2.670288E-4
532,5.309997,0.0010,5.56469E-4
533,5.319996,0.0010,4.825592E-4
534,5.329996,0.0010,5.018711E-4
535,5.339997,0.0010,8.65221E-4
536,5.349996,0.0010,9.92775E-4
537,5.359996,0.0010,0.001497269
538,5.369997,0.0010,0.002247095
539,5.379996,0.0010,0.001714945
540,5.389996,0.0010,0.00101614
541,5.399997,0.0010,0.006243944
542,5.409996,0.0010,9.601116E-4
543,5.419996,0.0010,7.1311E-4
544,5.429997,0.0010,7.984638E-4
545,5.439996,0.0010,6.992817E-4
546,5.449996,0.0010,7.147789E-4
547,5.459997,0.0010,0.002043247
548,5.469996,0.0010,0.002810955
549,5.479996,0.0010,8.187294E-4
550,5.489997,0.0010,0.002469778
551,5.499996,0.0010,4.191399E-4
552,5.509996,0.0010,3.840923E-4
553,5.519997,0.0010,2.889633E-4
554,5.529996,0.0010,5.0354E-4
555,5.539996,0.0010,5.247593E-4
556,5.549997,0.0010,2.882481E-4
557,5.559996,0.0010,2.436638E-4
558,5.569996,0.0010,3.054142E-4
559,5.579997,0.0010,4.060268E-4
560,5.589996,0.0010,0.001768589
561,5.599996,0.0010,2.906322E-4
562,5.609997,0.0010,3.314018E-4
563,5.619996,0.0010,0.001057625
564,5.629996,0.0010,0.003624439
565,5.639997,0.0010,4.312992E-4
566,5.649996,0.0010,0.00122261
567,5.659996,0.0010,6.773472E-4
568,5.669997,0.0010,0.001120329
569,5.679996,0.0010,0.002614498
570,5.689996,0.0010,8.912086E-4
571,5.699997,0.0010,0.001100779
572,5.709996,0.0010,0.001417637
573,5.719996,0.0010,0.001206398
574,5.729997,0.0010,0.002797365
575,5.739996,0.0010,0.006308794
576,5.749996,0.0010,0.001060963
577,5.759997,0.0010,6.017685E-4
578,5.769996,0.0010,0.001183748
579,5.779996,0.0010,2.882481E-4
580,5.789997,0.0010,3.590584E-4
581,5.799996,0.0010,4.394054E-4
582,5.809996,0.0010,3.962517E-4
583,5.819997,0.0010,4.165173E-4
584,5.829996,0.0010,4.751682E-4
585,5.839996,0.0010,4.060268E-4
586,5.849997,0.0010,0.01942182
587,5.859996,0.0010,3.304482E-4
588,5.869996,0.0010,4.012585E-4
589,5.879997,0.0010,4.003048E-4
590,5.889996,0.0010,0.001065731
591,5.899996,0.0010,0.01247811
592,5.909997,0.0010,0.002274752
593,5.919996,0.0010,6.539822E-4
594,5.929996,0.0010,4.930496E-4
595,5.939997,0.0010,0.001507759
596,5.949996,0.0010,0.003285646
597,5.959996,0.0010,9.121895E-4
598,5.969997,0.0010,0.003192186
599,5.979996,0.0010,0.001668692
600,5.989996,0.0010,0.002005816
601,5.999997,0.0010,5.605221E-4
602,6.009996,0.0010,0.006596565
603,6.019996,0.0010,8.075237E-4
604,6.029997,0.0010,0.004783869
605,6.039996,0.0010,7.650852E-4
606,6.049996,0.0010,3.33786E-4
607,6.059997,0.0010,3.361702E-4
608,6.069996,0.0010,3.125668E-4
609,6.079996,0.0010,0.001850605
610,6.089997,0.0010,2.524853E-4
611,6.099996,0.0010,3.402233E-4
612,6.109996,0.0010,6.432533E-4
613,6.119997,0.0010,4.248619E-4
614,6.129996,0.0010,4.897118E-4
615,6.139996,0.0010,8.814335E-4
616,6.149997,0.0010,5.197525E-4
617,6.159996,0.0010,8.227825E-4
618,6.169996,0.0010,5.507469E-4
619,6.179997,0.0010,0.005042076
620,6.189996,0.0010,9.715557E-4
621,6.199996,0.0010,0.001246929
622,6.209997,0.0010,4.08411E-4
623,6.219996,0.0010,0.001689911
624,6.229996,0.0010,0.001848221
625,6.239997,0.0010,4.637241E-4
626,6.249996,0.0010,5.807877E-4
627,6.259996,0.0010,8.115768E-4
628,6.269997,0.0010,0.002347231
629,6.279996,0.0010,0.001271486
630,6.289996,0.0010,9.992123E-4
631,6.299997,0.0010,0.001397371
632,6.309996,0.0010,7.090569E-4
633,6.319996,0.0010,0.00159955
634,6.329997,0.0010,3.166199E-4
635,6.339996,0.0010,3.020763E-4
636,6.349996,0.0010,3.044605E-4
637,6.359997,0.0010,3.192425E-4
638,6.369996,0.0010,3.483295E-4
639,6.379996,0.0010,2.679825E-4
640,6.389997,0.0010,3.418922E-4
641,6.399996,0.0010,4.637241E-4
642,6.409996,0.0010,3.061295E-4
643,6.419997,0.0010,5.962849E-4
644,6.429996,0.0010,6.945133E-4
645,6.439996,0.0010,5.385876E-4
646,6.449997,0.0010,4.394054E-4
647,6.459996,0.0010,4.994869E-4
648,6.469996,0.0010,0.002425909
649,6.479997,0.0010,7.708073E-4
650,6.489996,0.0010,0.001801014
651,6.499996,0.0010,0.04464984
652,6.509997,0.0010,0.002540588
653,6.519996,0.0010,0.001451015
654,6.529996,0.0010,0.002458334
655,6.539997,0.0010,0.003079176
656,6.549996,0.0010,0.001017094
657,6.559996,0.0010,5.524158E-4
658,6.569997,0.0010,0.003192186
659,6.579996,0.0010,0.001787424
660,6.589996,0.0010,5.629063E-4
661,6.599997,0.0010,7.302761E-4
662,6.609996,0.0010,2.946854E-4
663,6.619996,0.0010,3.26395E-4
664,6.629997,0.0010,4.262924E-4
665,6.639996,0.0010,4.141331E-4
666,6.649996,0.0010,4.856586E-4
667,6.659997,0.0010,4.198551E-4
668,6.669996,0.0010,9.748936E-4
669,6.679996,0.0010,3.988743E-4
670,6.689997,0.0010,7.050037E-4
671,6.699996,0.0010,0.001745939
672,6.709996,0.0010,5.881786E-4
673,6.719997,0.0010,3.273487E-4
674,6.729996,0.0010,3.101826E-4
675,6.739996,0.0010,4.029274E-4
676,6.749997,0.0010,3.151894E-4
677,6.759996,0.0010,3.054142E-4
678,6.769996,0.0010,4.434586E-4
679,6.779997,0.0010,9.975433E-4
680,6.789996,0.0010,0.003732443
681,6.799996,0.0010,4.954338E-4
682,6.809997,0.0010,0.00110817
683,6.819996,0.0010,7.879734E-4
684,6.829996,0.0010,5.693436E-4
685,6.839997,0.0010,0.00115037
686,6.849996,0.0010,0.001287699
687,6.859996,0.0010,0.00697279
688,6.869997,0.0010,0.002012491
689,6.879996,0.0010,5.41687E-4
690,6.889996,0.0010,0.001199961
691,6.899997,0.0010,3.297329E-4
692,6.909996,0.0010,7.610321E-4
693,6.919996,0.0010,5.173683E-4
694,6.929997,0.0010,7.221699E-4
695,6.939996,0.0010,4.410744E-4
696,6.949996,0.0010,6.31094E-4
697,6.959997,0.0010,0.05463529
698,6.969996,0.0010,3.159046E-4
699,6.979996,0.0010,0.007716894
700,6.989997,0.0010,8.277893E-4
