[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 6:05 AM 0.545947 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.02292204
2,0.013996,0.0010,0.5599141
3,0.027997,0.0010,0.6127281
4,0.041996,0.0010,0.6440055
5,0.055997,0.0010,0.6913569
6,0.069996,0.0010,0.7325025
7,0.083997,0.0010,0.7657511
8,0.097996,0.0010,0.7802308
9,0.111997,0.0010,0.7987916
10,0.125996,0.0010,0.8091576
11,0.139997,0.0010,0.8013372
12,0.153996,0.0010,0.8244777
13,0.167997,0.0010,0.8204954
14,0.181996,0.0010,0.8042257
15,0.195997,0.0010,0.7980897
16,0.209996,0.0010,0.8195002
17,0.223997,0.0010,0.7979093
18,0.237996,0.0010,0.8078992
19,0.251997,0.0010,0.8137736
20,0.265996,0.0010,0.8157098
21,0.279997,0.0010,0.7947674
22,0.293996,0.0010,0.8154302
23,0.307997,0.0010,0.8057184
24,0.321996,0.0010,0.7778306
25,0.335997,0.0010,0.7967539
26,0.349996,0.0010,0.8126271
27,0.363997,0.0010,0.7964818
28,0.377996,0.0010,0.797698
29,0.391997,0.0010,0.8270638
30,0.405996,0.0010,0.8192303
31,0.419997,0.0010,0.7980864
32,0.433996,0.0010,0.8137574
33,0.447997,0.0010,0.8215201
34,0.461996,0.0010,0.7961965
35,0.475997,0.0010,0.8182416
36,0.489996,0.0010,0.8235838
37,0.503997,0.0010,0.8068843
38,0.517996,0.0010,0.8118918
39,0.531997,0.0010,0.8165693
40,0.545996,0.0010,0.8243768
41,0.559997,0.0010,0.7999942
42,0.573996,0.0010,0.8089473
43,0.587997,0.0010,0.8211594
44,0.601996,0.0010,0.7939832
45,0.615997,0.0010,0.8216403
46,0.629996,0.0010,0.8120503
47,0.643997,0.0010,0.8050733
48,0.657996,0.0010,0.8099482
49,0.671997,0.0010,0.8236699
50,0.685996,0.0010,0.8079486
51,0.699997,0.0010,0.7995205
52,0.713996,0.0010,0.8163826
53,0.727997,0.0010,0.8154156
54,0.741996,0.0010,0.7941985
55,0.755997,0.0010,0.8035603
56,0.769996,0.0010,0.8048921
57,0.783997,0.0010,0.796303
58,0.797996,0.0010,0.8041615
59,0.811997,0.0010,0.8144715
60,0.825996,0.0010,0.8133543
61,0.839997,0.0010,0.7857454
62,0.853996,0.0010,0.8130846
63,0.867997,0.0010,0.8000624
64,0.881996,0.0010,0.7803235
65,0.895997,0.0010,0.8065438
66,0.909996,0.0010,0.8198545
67,0.923997,0.0010,0.8080528
68,0.937996,0.0010,0.8010325
69,0.951997,0.0010,0.8240876
70,0.965996,0.0010,0.8154342
71,0.979997,0.0010,0.7982318
72,0.993996,0.0010,0.8255339
73,1.007997,0.0010,0.8074205
74,1.021996,0.0010,0.7867918
75,1.035997,0.0010,0.7913411
76,1.049996,0.0010,0.814508
77,1.063997,0.0010,0.7989209
78,1.077996,0.0010,0.8038521
79,1.091997,0.0010,0.8187461
80,1.105996,0.0010,0.8204288
81,1.119997,0.0010,0.7976704
82,1.133996,0.0010,0.8227143
83,1.147997,0.0010,0.8241339
84,1.161996,0.0010,0.804415
85,1.175997,0.0010,0.8189337
86,1.189996,0.0010,0.8253908
87,1.203997,0.0010,0.817338
88,1.217996,0.0010,0.802141
89,1.231997,0.0010,0.8279469
90,1.245996,0.0010,0.8157513
91,1.259997,0.0010,0.8041339
92,1.273996,0.0010,0.8217452
93,1.287997,0.0010,0.8274188
94,1.301996,0.0010,0.7992141
95,1.315997,0.0010,0.806479
96,1.329996,0.0010,0.8096802
97,1.343997,0.0010,0.7959592
98,1.357996,0.0010,0.8020735
99,1.371997,0.0010,0.8343
100,1.385996,0.0010,0.8312936
101,1.399997,0.0010,0.8102741
102,1.413996,0.0010,0.8289723
103,1.427997,0.0010,0.8092601
104,1.441996,0.0010,0.791605
105,1.455997,0.0010,0.8084102
106,1.469996,0.0010,0.821568
107,1.483997,0.0010,0.7992418
108,1.497996,0.0010,0.7954156
109,1.511997,0.0010,0.05635548
110,1.525996,0.0010,0.1175585
111,1.539997,0.0010,0.001160145
112,1.553996,0.0010,0.03048444
113,1.567997,0.0010,8.21352E-4
114,1.581996,0.0010,5.35965E-4
115,1.595997,0.0010,4.019737E-4
116,1.609996,0.0010,0.01665068
117,1.623997,0.0010,6.904602E-4
118,1.637996,0.0010,0.004214287
119,1.651997,0.0010,0.04200649
120,1.665996,0.0010,6.101131E-4
121,1.679997,0.0010,0.007967234
122,1.693996,0.0010,0.001280308
123,1.707997,0.0010,0.009388447
124,1.721996,0.0010,0.001247883
125,1.735997,0.0010,0.002812624
126,1.749996,0.0010,9.765625E-4
127,1.763997,0.0010,8.935928E-4
128,1.777996,0.0010,0.2475736
129,1.791997,0.0010,0.03591847
130,1.805996,0.0010,0.01269937
131,1.819997,0.0010,0.001810789
132,1.833996,0.0010,0.003946066
133,1.847997,0.0010,9.634495E-4
134,1.861996,0.0010,4.53949E-4
135,1.875997,0.0010,0.02340746
136,1.889996,0.0010,9.098053E-4
137,1.903997,0.0010,5.824566E-4
138,1.917996,0.0010,0.001758814
139,1.931997,0.0010,0.1940067
140,1.945996,0.0010,0.003600836
141,1.959997,0.0010,0.1813695
142,1.973996,0.0010,0.001074791
143,1.987997,0.0010,0.001153469
144,2.001996,0.0010,0.001485825
145,2.015997,0.0010,0.001382828
146,2.029996,0.0010,0.02656388
147,2.043997,0.0010,0.002485275
148,2.057996,0.0010,0.001050472
149,2.071997,0.0010,0.4131126
150,2.085996,0.0010,0.001365662
151,2.099997,0.0010,0.03250575
152,2.113996,0.0010,6.69241E-4
153,2.127997,0.0010,0.001434803
154,2.141996,0.0010,0.002219677
155,2.155997,0.0010,4.816055E-4
156,2.169996,0.0010,0.00139904
157,2.183997,0.0010,0.001837015
158,2.197996,0.0010,0.002356052
159,2.211997,0.0010,0.03112292
160,2.225996,0.0010,0.001470566
161,2.239997,0.0010,0.01714134
162,2.253996,0.0010,0.001373768
163,2.267997,0.0010,0.002836227
164,2.281996,0.0010,0.2889156
165,2.295997,0.0010,0.001288414
166,2.309996,0.0010,0.003124714
167,2.323997,0.0010,9.448528E-4
168,2.337996,0.0010,0.05712318
169,2.351997,0.0010,0.06444311
170,2.365996,0.0010,0.005455732
171,2.379997,0.0010,0.001384258
172,2.393996,0.0010,0.001792192
173,2.407997,0.0010,4.930496E-4
174,2.421996,0.0010,0.001634598
175,2.435997,0.0010,0.001606226
176,2.449996,0.0010,0.002244711
177,2.463997,0.0010,0.001329899
178,2.477996,0.0010,0.001147985
179,2.491997,0.0010,0.01365733
180,2.505996,0.0010,0.03081584
181,2.519997,0.0010,0.00241065
182,2.533996,0.0010,0.002165079
183,2.547997,0.0010,7.255077E-4
184,2.561996,0.0010,0.001252651
185,2.575997,0.0010,0.06323004
186,2.589996,0.0010,0.001983881
187,2.603997,0.0010,0.09387136
188,2.617996,0.0010,0.004729509
189,2.631997,0.0010,0.005224228
190,2.645996,0.0010,0.001087666
191,2.659997,0.0010,0.002428532
192,2.673996,0.0010,0.001186132
193,2.687997,0.0010,0.06115484
194,2.701996,0.0010,0.001240492
195,2.715997,0.0010,5.10931E-4
196,2.729996,0.0010,0.06236959
197,2.743997,0.0010,3.726482E-4
198,2.757996,0.0010,5.099773E-4
199,2.771997,0.0010,7.610321E-4
200,2.785996,0.0010,0.0101831
201,2.799997,0.0010,0.01105809
202,2.813996,0.0010,0.002415419
203,2.827997,0.0010,5.936623E-4
204,2.841996,0.0010,0.008102894
205,2.855997,0.0010,0.0306201
206,2.869996,0.0010,9.732246E-4
207,2.883997,0.0010,0.003555298
208,2.897996,0.0010,0.001632929
209,2.911997,0.0010,0.02803302
210,2.925996,0.0010,0.001126766
211,2.939997,0.0010,0.002554417
212,2.953996,0.0010,5.140305E-4
213,2.967997,0.0010,4.832745E-4
214,2.981996,0.0010,6.864071E-4
215,2.995997,0.0010,6.29425E-4
216,3.009996,0.0010,0.01441216
217,3.023997,0.0010,0.004804134
218,3.037996,0.0010,0.001028538
219,3.051997,0.0010,9.081364E-4
220,3.065996,0.0010,0.004364729
221,3.079997,0.0010,0.02725554
222,3.093996,0.0010,0.006985664
223,3.107997,0.0010,0.01966906
224,3.121996,0.0010,0.001658916
225,3.135997,0.0010,0.001219511
226,3.149996,0.0010,7.083416E-4
227,3.163997,0.0010,0.001158476
228,3.177996,0.0010,8.018017E-4
229,3.191997,0.0010,0.03742719
230,3.205996,0.0010,0.001867771
231,3.219997,0.0010,0.002776861
232,3.233996,0.0010,0.001037359
233,3.247997,0.0010,0.01002526
234,3.261996,0.0010,0.04256153
235,3.275997,0.0010,0.007179976
236,3.289996,0.0010,9.520054E-4
237,3.303997,0.0010,6.141663E-4
238,3.317996,0.0010,4.508495E-4
239,3.331997,0.0010,8.065701E-4
240,3.345996,0.0010,6.0606E-4
241,3.359997,0.0010,0.00514555
242,3.373996,0.0010,0.001029253
243,3.387997,0.0010,5.652905E-4
244,3.401996,0.0010,9.219646E-4
245,3.415997,0.0010,0.09165001
246,3.429996,0.0010,0.004194021
247,3.443997,0.0010,6.530285E-4
248,3.457996,0.0010,7.498264E-4
249,3.471997,0.0010,9.171963E-4
250,3.485996,0.0010,7.376671E-4
251,3.499997,0.0010,0.001671076
252,3.513996,0.0010,0.001480103
253,3.527997,0.0010,0.001511812
254,3.541996,0.0010,0.01096129
255,3.555997,0.0010,0.02254868
256,3.569996,0.0010,0.07168508
257,3.583997,0.0010,8.172989E-4
258,3.597996,0.0010,0.001624107
259,3.611997,0.0010,6.847382E-4
260,3.625996,0.0010,0.04675412
261,3.639997,0.0010,5.531311E-4
262,3.653996,0.0010,8.642673E-4
263,3.667997,0.0010,4.792213E-4
264,3.681996,0.0010,0.001013041
265,3.695997,0.0010,0.05497742
266,3.709996,0.0010,5.507469E-4
267,3.723997,0.0010,7.278919E-4
268,3.737996,0.0010,0.3618538
269,3.751997,0.0010,0.08835769
270,3.765996,0.0010,0.001006603
271,3.779997,0.0010,7.529259E-4
272,3.793996,0.0010,0.001707792
273,3.807997,0.0010,0.009973288
274,3.821996,0.0010,0.001993656
275,3.835997,0.0010,0.008959293
276,3.849996,0.0010,5.588531E-4
277,3.863997,0.0010,0.002014875
278,3.877996,0.0010,4.785061E-4
279,3.891997,0.0010,0.04549289
280,3.905996,0.0010,0.05760741
281,3.919997,0.0010,5.443096E-4
282,3.933996,0.0010,0.002293587
283,3.947997,0.0010,6.027222E-4
284,3.961996,0.0010,0.001840115
285,3.975997,0.0010,0.1280992
286,3.989996,0.0010,7.035732E-4
287,4.003997,0.0010,0.001590014
288,4.017996,0.0010,0.1530764
289,4.031997,0.0010,6.709099E-4
290,4.045996,0.0010,0.001031637
291,4.059997,0.0010,0.0560596
292,4.073996,0.0010,6.449223E-4
293,4.087997,0.0010,4.036427E-4
294,4.101996,0.0010,5.970001E-4
295,4.115997,0.0010,0.5008717
296,4.129996,0.0010,5.376339E-4
297,4.143997,0.0010,0.004696846
298,4.157996,0.0010,4.589558E-4
299,4.171997,0.0010,4.856586E-4
300,4.185996,0.0010,5.824566E-4
301,4.199997,0.0010,4.498959E-4
302,4.213996,0.0010,5.247593E-4
303,4.227997,0.0010,5.264282E-4
304,4.241996,0.0010,3.817081E-4
305,4.255997,0.0010,3.507137E-4
306,4.269996,0.0010,4.167557E-4
307,4.283997,0.0010,0.001567125
308,4.297996,0.0010,0.003344059
309,4.311997,0.0010,4.15802E-4
310,4.325996,0.0010,0.009771824
311,4.339997,0.0010,0.1643808
312,4.353996,0.0010,0.001154423
313,4.367997,0.0010,0.001497984
314,4.381996,0.0010,0.001489878
315,4.395997,0.0010,0.475224
316,4.409996,0.0010,0.001095057
317,4.423997,0.0010,0.001137257
318,4.437996,0.0010,4.653931E-4
319,4.451997,0.0010,7.083416E-4
320,4.465996,0.0010,0.002304077
321,4.479997,0.0010,5.028248E-4
322,4.493996,0.0010,4.580021E-4
323,4.507997,0.0010,9.334087E-4
324,4.521996,0.0010,4.296303E-4
325,4.535997,0.0010,4.6134E-4
326,4.549996,0.0010,0.001107216
327,4.563997,0.0010,7.579327E-4
328,4.577996,0.0010,0.05101967
329,4.591997,0.0010,6.668568E-4
330,4.605996,0.0010,0.001168966
331,4.619997,0.0010,0.001949072
332,4.633996,0.0010,8.618832E-4
333,4.647997,0.0010,0.03452253
334,4.661996,0.0010,5.888939E-4
335,4.675997,0.0010,7.953644E-4
336,4.689996,0.0010,8.757114E-4
337,4.703997,0.0010,0.002182961
338,4.717996,0.0010,3.330708E-4
339,4.731997,0.0010,0.003062963
340,4.745996,0.0010,0.07853031
341,4.759997,0.0010,4.093647E-4
342,4.773996,0.0010,3.881454E-4
343,4.787997,0.0010,3.256798E-4
344,4.801996,0.0010,3.175735E-4
345,4.815997,0.0010,0.03500676
346,4.829996,0.0010,0.02706695
347,4.843997,0.0010,5.352497E-4
348,4.857996,0.0010,0.001973391
349,4.871997,0.0010,8.196831E-4
350,4.885996,0.0010,0.01237679
351,4.899997,0.0010,5.085468E-4
352,4.913996,0.0010,6.074905E-4
353,4.927997,0.0010,3.361702E-4
354,4.941996,0.0010,5.953312E-4
355,4.955997,0.0010,9.381771E-4
356,4.969996,0.0010,7.278919E-4
357,4.983997,0.0010,7.090569E-4
358,4.997996,0.0010,4.734993E-4
359,5.011997,0.0010,0.0043118
360,5.025996,0.0010,0.001487494
361,5.039997,0.0010,7.309914E-4
362,5.053996,0.0010,6.82354E-4
363,5.067997,0.0010,3.79324E-4
364,5.081996,0.0010,4.808903E-4
365,5.095997,0.0010,0.1300833
366,5.109996,0.0010,7.367134E-4
367,5.123997,0.0010,4.661083E-4
368,5.137996,0.0010,4.386902E-4
369,5.151997,0.0010,0.007135391
370,5.165996,0.0010,3.962517E-4
371,5.179997,0.0010,0.00114131
372,5.193996,0.0010,5.824566E-4
373,5.207997,0.0010,6.840229E-4
374,5.221996,0.0010,5.531311E-4
375,5.235997,0.0010,0.001007318
376,5.249996,0.0010,0.001179695
377,5.263997,0.0010,0.002426863
378,5.277996,0.0010,5.409718E-4
379,5.291997,0.0010,7.221699E-4
380,5.305996,0.0010,0.009635448
381,5.319997,0.0010,0.165169
382,5.333996,0.0010,0.01987123
383,5.347997,0.0010,4.961491E-4
384,5.361996,0.0010,0.005108833
385,5.375997,0.0010,3.931522E-4
386,5.389996,0.0010,7.407665E-4
387,5.403997,0.0010,0.002714396
388,5.417996,0.0010,9.074211E-4
389,5.431997,0.0010,0.01915145
390,5.445996,0.0010,0.006542206
391,5.459997,0.0010,8.115768E-4
392,5.473996,0.0010,8.318424E-4
393,5.487997,0.0010,0.3215404
394,5.501996,0.0010,0.00116086
395,5.515997,0.0010,0.007403374
396,5.529996,0.0010,6.88076E-4
397,5.543997,0.0010,7.417202E-4
398,5.557996,0.0010,5.125999E-4
399,5.571997,0.0010,6.303787E-4
400,5.585996,0.0010,7.758141E-4
401,5.599997,0.0010,0.007078409
402,5.613996,0.0010,0.001433849
403,5.627997,0.0010,5.075932E-4
404,5.641996,0.0010,7.400513E-4
405,5.655997,0.0010,4.076958E-4
406,5.669996,0.0010,0.001811743
407,5.683997,0.0010,0.01142859
408,5.697996,0.0010,0.0510838
409,5.711997,0.0010,9.813309E-4
410,5.725996,0.0010,0.001008034
411,5.739997,0.0010,0.008930922
412,5.753996,0.0010,0.01072907
413,5.767997,0.0010,0.009386778
414,5.781996,0.0010,0.001797915
415,5.795997,0.0010,0.001543522
416,5.809996,0.0010,0.009865999
417,5.823997,0.0010,8.399487E-4
418,5.837996,0.0010,6.473064E-4
419,5.851997,0.0010,0.001234055
420,5.865996,0.0010,4.377365E-4
421,5.879997,0.0010,0.02286792
422,5.893996,0.0010,8.018017E-4
423,5.907997,0.0010,0.03012776
424,5.921996,0.0010,0.01644254
425,5.935997,0.0010,0.003029585
426,5.949996,0.0010,0.006088734
427,5.963997,0.0010,9.887218E-4
428,5.977996,0.0010,5.784035E-4
429,5.991997,0.0010,7.944107E-4
430,6.005996,0.0010,0.00637722
431,6.019997,0.0010,6.49929E-4
432,6.033996,0.0010,0.001654148
433,6.047997,0.0010,7.758141E-4
434,6.061996,0.0010,0.001353502
435,6.075997,0.0010,8.635521E-4
436,6.089996,0.0010,0.00187993
437,6.103997,0.0010,0.0014956
438,6.117996,0.0010,0.002631426
439,6.131997,0.0010,7.944107E-4
440,6.145996,0.0010,0.008519888
441,6.159997,0.0010,0.001517534
442,6.173996,0.0010,0.001045465
443,6.187997,0.0010,0.004131317
444,6.201996,0.0010,0.004961014
445,6.215997,0.0010,3.604889E-4
446,6.229996,0.0010,0.01011157
447,6.243997,0.0010,9.682178E-4
448,6.257996,0.0010,0.001486778
449,6.271997,0.0010,0.001393318
450,6.285996,0.0010,0.00219202
451,6.299997,0.0010,8.196831E-4
452,6.313996,0.0010,0.07309484
453,6.327997,0.0010,7.205009E-4
454,6.341996,0.0010,7.677078E-4
455,6.355997,0.0010,0.001252651
456,6.369996,0.0010,0.001154423
457,6.383997,0.0010,0.02303362
458,6.397996,0.0010,0.001381874
459,6.411997,0.0010,0.007018328
460,6.425996,0.0010,5.426407E-4
461,6.439997,0.0010,4.799366E-4
462,6.453996,0.0010,3.004074E-4
463,6.467997,0.0010,0.001068354
464,6.481996,0.0010,0.002547741
465,6.495997,0.0010,5.733967E-4
466,6.509996,0.0010,0.1128702
467,6.523997,0.0010,0.117331
468,6.537996,0.0010,0.1028781
469,6.551997,0.0010,0.003612995
470,6.565996,0.0010,0.008126497
471,6.579997,0.0010,0.03429914
472,6.593996,0.0010,0.001040697
473,6.607997,0.0010,0.02872682
474,6.621996,0.0010,9.975433E-4
475,6.635997,0.0010,0.002139091
476,6.649996,0.0010,0.001562357
477,6.663997,0.0010,6.580353E-4
478,6.677996,0.0010,0.04964662
479,6.691997,0.0010,0.001124382
480,6.705996,0.0010,0.01243782
481,6.719997,0.0010,9.47237E-4
482,6.733996,0.0010,5.986691E-4
483,6.747997,0.0010,0.003960848
484,6.761996,0.0010,0.1101573
485,6.775997,0.0010,6.766319E-4
486,6.789996,0.0010,0.05456638
487,6.803997,0.0010,0.02526307
488,6.817996,0.0010,0.002074957
489,6.831997,0.0010,0.001139879
490,6.845996,0.0010,0.001077175
491,6.859997,0.0010,8.871555E-4
492,6.873996,0.0010,9.903908E-4
493,6.887997,0.0010,0.003886938
494,6.901996,0.0010,0.001855612
495,6.915997,0.0010,8.065701E-4
496,6.929996,0.0010,8.382797E-4
497,6.943997,0.0010,0.04157925
498,6.957996,0.0010,4.272461E-4
499,6.971997,0.0010,9.243488E-4
500,6.985996,0.0010,0.001049519
501,6.999997,0.0010,5.85556E-4
502,7.013996,0.0010,0.001455069
503,7.027997,0.0010,0.02324653
504,7.041996,0.0010,0.001574516
505,7.055997,0.0010,0.003869057
506,7.069996,0.0010,7.002354E-4
507,7.083997,0.0010,0.218611
508,7.097996,0.0010,0.009210348
509,7.111997,0.0010,0.5320077
510,7.125996,0.0010,0.00320363
511,7.139997,0.0010,0.001516819
512,7.153996,0.0010,0.001815796
513,7.167997,0.0010,0.001298189
514,7.181996,0.0010,8.115768E-4
515,7.195997,0.0010,9.796619E-4
516,7.209996,0.0010,5.311966E-4
517,7.223997,0.0010,0.001159191
518,7.237996,0.0010,9.675026E-4
519,7.251997,0.0010,0.04436445
520,7.265996,0.0010,9.34124E-4
521,7.279997,0.0010,6.523132E-4
522,7.293996,0.0010,0.001006603
523,7.307997,0.0010,9.253025E-4
524,7.321996,0.0010,7.798672E-4
525,7.335997,0.0010,0.001220942
526,7.349996,0.0010,0.002955675
527,7.363997,0.0010,0.00121212
528,7.377996,0.0010,0.001159191
529,7.391997,0.0010,0.002259493
530,7.405996,0.0010,7.944107E-4
531,7.419997,0.0010,8.862019E-4
532,7.433996,0.0010,0.001428127
533,7.447997,0.0010,0.05587196
534,7.461996,0.0010,0.004384995
535,7.475997,0.0010,6.067753E-4
536,7.489996,0.0010,6.222725E-4
537,7.503997,0.0010,6.814003E-4
538,7.517996,0.0010,0.001177073
539,7.531997,0.0010,0.001980782
540,7.545996,0.0010,0.001156092
541,7.559997,0.0010,5.197525E-4
542,7.573996,0.0010,0.005944967
543,7.587997,0.0010,7.488728E-4
544,7.601996,0.0010,7.1311E-4
545,7.615997,0.0010,0.002012491
546,7.629996,0.0010,0.001958847
547,7.643997,0.0010,0.002885103
548,7.657996,0.0010,0.03632379
549,7.671997,0.0010,0.002251387
550,7.685996,0.0010,7.309914E-4
551,7.699997,0.0010,0.0133729
552,7.713996,0.0010,0.001781702
553,7.727997,0.0010,0.00128603
554,7.741996,0.0010,0.2269847
555,7.755997,0.0010,0.1357415
556,7.769996,0.0010,7.610321E-4
557,7.783997,0.0010,9.081364E-4
558,7.797996,0.0010,0.02233648
559,7.811997,0.0010,0.001182079
560,7.825996,0.0010,0.001610994
561,7.839997,0.0010,4.303455E-4
562,7.853996,0.0010,3.101826E-4
563,7.867997,0.0010,8.733273E-4
564,7.881996,0.0010,0.002650261
565,7.895997,0.0010,0.005468845
566,7.909996,0.0010,0.003149033
567,7.923997,0.0010,0.00178647
568,7.937996,0.0010,0.2845583
569,7.951997,0.0010,0.002482891
570,7.965996,0.0010,0.002858162
571,7.979997,0.0010,9.064674E-4
572,7.993996,0.0010,0.001584291
573,8.007997,0.0010,0.001303196
574,8.021996,0.0010,0.3108211
575,8.035997,0.0010,5.87225E-4
576,8.049996,0.0010,6.856918E-4
577,8.063997,0.0010,2.32935E-4
578,8.077996,0.0010,2.403259E-4
579,8.091997,0.0010,2.865791E-4
580,8.105996,0.0010,2.410412E-4
581,8.119997,0.0010,2.679825E-4
582,8.133996,0.0010,4.961491E-4
583,8.147997,0.0010,3.256798E-4
584,8.161996,0.0010,0.00485611
585,8.175997,0.0010,6.101131E-4
586,8.189996,0.0010,0.006632328
587,8.203997,0.0010,0.007613897
588,8.217996,0.0010,9.54628E-4
589,8.231997,0.0010,0.02492595
590,8.245996,0.0010,0.002303362
591,8.259997,0.0010,5.922318E-4
592,8.273996,0.0010,8.392334E-4
593,8.287997,0.0010,6.425381E-4
594,8.301996,0.0010,0.001743555
595,8.315997,0.0010,8.480549E-4
596,8.329996,0.0010,0.05947876
597,8.343997,0.0010,5.662441E-4
598,8.357996,0.0010,3.240108E-4
599,8.371997,0.0010,2.858639E-4
600,8.385996,0.0010,3.004074E-4
601,8.399997,0.0010,3.28064E-4
602,8.413996,0.0010,4.003048E-4
603,8.427997,0.0010,4.191399E-4
604,8.441996,0.0010,4.630089E-4
605,8.455997,0.0010,4.441738E-4
606,8.469996,0.0010,0.01242304
607,8.483997,0.0010,8.780956E-4
608,8.497996,0.0010,0.0151515
609,8.511997,0.0010,0.00205946
610,8.525996,0.0010,5.865097E-4
611,8.539997,0.0010,4.849434E-4
612,8.553996,0.0010,4.08411E-4
613,8.567997,0.0010,0.3242526
614,8.581996,0.0010,8.065701E-4
615,8.595997,0.0010,7.660389E-4
616,8.609996,0.0010,5.605221E-4
617,8.623997,0.0010,0.01531148
618,8.637996,0.0010,4.677773E-4
619,8.651997,0.0010,5.0354E-4
620,8.665996,0.0010,2.915859E-4
621,8.679997,0.0010,5.953312E-4
622,8.693996,0.0010,0.001004934
623,8.707997,0.0010,0.4678562
624,8.721996,0.0010,0.5964959
625,8.735997,0.0010,0.6609399
626,8.749996,0.0010,0.6964984
627,8.763997,0.0010,0.7134962
628,8.777996,0.0010,0.751502
629,8.791997,0.0010,0.7756295
630,8.805996,0.0010,0.7777827
631,8.819997,0.0010,0.7910931
632,8.833996,0.0010,0.799015
633,8.847997,0.0010,0.7862847
634,8.861996,0.0010,0.7742507
635,8.875997,0.0010,0.8008361
636,8.889996,0.0010,0.7906756
637,8.903997,0.0010,0.7746594
638,8.917996,0.0010,0.7949355
639,8.931997,0.0010,0.8025351
640,8.945996,0.0010,0.7800901
641,8.959997,0.0010,0.8071225
642,8.973996,0.0010,0.7996116
643,8.987997,0.0010,0.7874191
644,9.001996,0.0010,0.7816291
645,9.015997,0.0010,0.7999675
646,9.029996,0.0010,0.7955604
647,9.043997,0.0010,0.7866261
648,9.057996,0.0010,0.8158422
649,9.071997,0.0010,0.7860475
650,9.085996,0.0010,0.7675645
651,9.099997,0.0010,0.7686021
652,9.113996,0.0010,0.7864423
653,9.127997,0.0010,0.7702262
654,9.141996,0.0010,0.7724755
655,9.155997,0.0010,0.8016639
656,9.169996,0.0010,0.7914815
657,9.183997,0.0010,0.777266
658,9.197996,0.0010,0.7900281
659,9.211997,0.0010,0.7876344
660,9.225996,0.0010,0.7714038
661,9.239997,0.0010,0.7931838
662,9.253996,0.0010,0.7815228
663,9.267997,0.0010,0.789088
664,9.281996,0.0010,0.7921729
665,9.295997,0.0010,0.7977395
666,9.309996,0.0010,0.802387
667,9.323997,0.0010,0.7849069
668,9.337996,0.0010,0.8034613
669,9.351997,0.0010,0.8015599
670,9.365996,0.0010,0.7869551
671,9.379997,0.0010,0.8004589
672,9.393996,0.0010,0.7975755
673,9.407997,0.0010,0.7792671
674,9.421996,0.0010,0.8098938
675,9.435997,0.0010,0.806803
676,9.449996,0.0010,0.7959015
677,9.463997,0.0010,0.790544
678,9.477996,0.0010,0.8024902
679,9.491997,0.0010,0.809828
680,9.505996,0.0010,0.7816193
681,9.519997,0.0010,0.8020077
682,9.533996,0.0010,0.7995694
683,9.547997,0.0010,0.8010302
684,9.561996,0.0010,0.8013754
685,9.575997,0.0010,0.8164856
686,9.589996,0.0010,0.8015087
687,9.603997,0.0010,0.7908981
688,9.617996,0.0010,0.8200486
689,9.631997,0.0010,0.8267102
690,9.645996,0.0010,0.7961445
691,9.659997,0.0010,0.8070216
692,9.673996,0.0010,0.8189273
693,9.687997,0.0010,0.8074505
694,9.701996,0.0010,0.8047166
695,9.715997,0.0010,0.8027308
696,9.729996,0.0010,0.8025925
697,9.743997,0.0010,0.7842422
698,9.757996,0.0010,0.8061466
699,9.771997,0.0010,0.7938704
700,9.785996,0.0010,0.7771254
701,9.799997,0.0010,0.7979467
702,9.813996,0.0010,0.8145616
703,9.827997,0.0010,0.7904871
704,9.841996,0.0010,0.7863474
705,9.855997,0.0010,0.8055787
706,9.869996,0.0010,0.7895713
707,9.883997,0.0010,0.8001697
708,9.897996,0.0010,0.8137777
709,9.911997,0.0010,0.7977428
710,9.925996,0.0010,0.7844567
711,9.939997,0.0010,0.7954459
712,9.953996,0.0010,0.8114457
