[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 6:10 AM 0.446359 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.04758024
2,0.013997,0.0010,0.5470243
3,0.027996,0.0010,0.5993896
4,0.041997,0.0010,0.6468129
5,0.055996,0.0010,0.6776044
6,0.069997,0.0010,0.7195029
7,0.083996,0.0010,0.7504961
8,0.097997,0.0010,0.7403431
9,0.111996,0.0010,0.7732413
10,0.125997,0.0010,0.7585909
11,0.139996,0.0010,0.7495341
12,0.153997,0.0010,0.7612998
13,0.167996,0.0010,0.774981
14,0.181997,0.0010,0.7677577
15,0.195996,0.0010,0.7749696
16,0.209997,0.0010,0.7969217
17,0.223996,0.0010,0.7772617
18,0.237997,0.0010,0.7638674
19,0.251996,0.0010,0.7786243
20,0.265996,0.0010,0.7819052
21,0.279996,0.0010,0.7496705
22,0.293997,0.0010,0.769923
23,0.307996,0.0010,0.7742553
24,0.321997,0.0010,0.7648442
25,0.335996,0.0010,0.7631989
26,0.349997,0.0010,0.7815688
27,0.363996,0.0010,0.7885864
28,0.377997,0.0010,0.7673125
29,0.391996,0.0010,0.7645297
30,0.405997,0.0010,0.7710948
31,0.419996,0.0010,0.7471437
32,0.433997,0.0010,0.7614226
33,0.447996,0.0010,0.7817352
34,0.461997,0.0010,0.759944
35,0.475996,0.0010,0.759203
36,0.489997,0.0010,0.773057
37,0.503996,0.0010,0.7646117
38,0.517997,0.0010,0.75421
39,0.531996,0.0010,0.7718041
40,0.545997,0.0010,0.7746551
41,0.559996,0.0010,0.7540143
42,0.573997,0.0010,0.7795067
43,0.587996,0.0010,0.7800672
44,0.601997,0.0010,0.7739425
45,0.615996,0.0010,0.744967
46,0.629997,0.0010,0.7757649
47,0.643996,0.0010,0.7723525
48,0.657997,0.0010,0.7452748
49,0.671996,0.0010,0.7825038
50,0.685997,0.0010,0.7584236
51,0.699996,0.0010,0.7348211
52,0.713997,0.0010,0.7638252
53,0.727996,0.0010,0.7651033
54,0.741997,0.0010,0.7366452
55,0.755996,0.0010,0.7446826
56,0.769997,0.0010,0.7721541
57,0.783996,0.0010,0.753967
58,0.797997,0.0010,0.7457387
59,0.811996,0.0010,0.7698119
60,0.825997,0.0010,0.7664251
61,0.839996,0.0010,0.7376771
62,0.853997,0.0010,0.7467213
63,0.867996,0.0010,0.753304
64,0.881997,0.0010,0.7653365
65,0.895996,0.0010,0.7565403
66,0.909997,0.0010,0.7726686
67,0.923996,0.0010,0.7708883
68,0.937997,0.0010,0.744693
69,0.951996,0.0010,0.7698882
70,0.965997,0.0010,0.7697761
71,0.979996,0.0010,0.7445982
72,0.993997,0.0010,0.7583482
73,1.007996,0.0010,0.7620523
74,1.021997,0.0010,0.7544456
75,1.035996,0.0010,0.7618971
76,1.049997,0.0010,0.7799582
77,1.063996,0.0010,0.7865682
78,1.077996,0.0010,0.7624936
79,1.091996,0.0010,0.7845011
80,1.105997,0.0010,0.7710955
81,1.119996,0.0010,0.7432737
82,1.133997,0.0010,0.7606142
83,1.147996,0.0010,0.7812877
84,1.161997,0.0010,0.7745583
85,1.175996,0.0010,0.7702732
86,1.189997,0.0010,0.7971249
87,1.203996,0.0010,0.7919614
88,1.217997,0.0010,0.7847204
89,1.231996,0.0010,0.804045
90,1.245997,0.0010,0.8084471
91,1.259996,0.0010,0.7765856
92,1.273996,0.0010,0.8051257
93,1.287996,0.0010,0.8148668
94,1.301997,0.0010,0.7896652
95,1.315996,0.0010,0.7926211
96,1.329997,0.0010,0.7992756
97,1.343996,0.0010,0.8064899
98,1.357997,0.0010,0.7826827
99,1.371996,0.0010,0.7998803
100,1.385997,0.0010,0.7831264
101,1.399996,0.0010,0.7715561
102,1.413997,0.0010,0.7903316
103,1.427996,0.0010,0.7940683
104,1.441997,0.0010,0.7809536
105,1.455996,0.0010,0.7782886
106,1.469997,0.0010,0.8028359
107,1.483996,0.0010,0.7746389
108,1.497997,0.0010,0.770062
109,1.511996,0.0010,0.002156258
110,1.525997,0.0010,4.312992E-4
111,1.539996,0.0010,0.001349449
112,1.553997,0.0010,3.995895E-4
113,1.567996,0.0010,4.677773E-4
114,1.581997,0.0010,4.28915E-4
115,1.595996,0.0010,6.263256E-4
116,1.609997,0.0010,4.262924E-4
117,1.623996,0.0010,0.001995325
118,1.637997,0.0010,0.06639624
119,1.651996,0.0010,0.001049519
120,1.665997,0.0010,0.001048803
121,1.679996,0.0010,0.001349449
122,1.693997,0.0010,6.00338E-4
123,1.707996,0.0010,0.001480103
124,1.721997,0.0010,6.74963E-4
125,1.735996,0.0010,7.431507E-4
126,1.749997,0.0010,0.001603603
127,1.763996,0.0010,6.563663E-4
128,1.777997,0.0010,4.59671E-4
129,1.791996,0.0010,5.133152E-4
130,1.805997,0.0010,4.198551E-4
131,1.819996,0.0010,4.336834E-4
132,1.833997,0.0010,4.742146E-4
133,1.847996,0.0010,3.833771E-4
134,1.861997,0.0010,4.758835E-4
135,1.875996,0.0010,5.888939E-4
136,1.889997,0.0010,4.427433E-4
137,1.903996,0.0010,8.091927E-4
138,1.917997,0.0010,3.840923E-4
139,1.931996,0.0010,4.336834E-4
140,1.945997,0.0010,0.002863884
141,1.959996,0.0010,0.001330614
142,1.973997,0.0010,4.434586E-4
143,1.987996,0.0010,4.630089E-4
144,2.001997,0.0010,5.953312E-4
145,2.015996,0.0010,3.614426E-4
146,2.029997,0.0010,9.381771E-4
147,2.043996,0.0010,4.937649E-4
148,2.057997,0.0010,4.734993E-4
149,2.071996,0.0010,5.702972E-4
150,2.085996,0.0010,3.564358E-4
151,2.099996,0.0010,5.56469E-4
152,2.113997,0.0010,4.370213E-4
153,2.127996,0.0010,4.825592E-4
154,2.141997,0.0010,6.432533E-4
155,2.155996,0.0010,4.849434E-4
156,2.169997,0.0010,5.483627E-4
157,2.183996,0.0010,0.001181126
158,2.197997,0.0010,0.09230137
159,2.211996,0.0010,0.001413584
160,2.225997,0.0010,0.003750324
161,2.239996,0.0010,0.001108885
162,2.253997,0.0010,4.799366E-4
163,2.267996,0.0010,9.999275E-4
164,2.281997,0.0010,9.634495E-4
165,2.295996,0.0010,9.934902E-4
166,2.309997,0.0010,0.001350164
167,2.323996,0.0010,4.620552E-4
168,2.337997,0.0010,0.002300739
169,2.351996,0.0010,3.79324E-4
170,2.365997,0.0010,3.809929E-4
171,2.379996,0.0010,5.068779E-4
172,2.393997,0.0010,3.573895E-4
173,2.407996,0.0010,4.687309E-4
174,2.421997,0.0010,4.060268E-4
175,2.435996,0.0010,5.409718E-4
176,2.449997,0.0010,5.085468E-4
177,2.463996,0.0010,0.00100565
178,2.477997,0.0010,0.02346659
179,2.491996,0.0010,7.693768E-4
180,2.505997,0.0010,0.0015347
181,2.519996,0.0010,6.051064E-4
182,2.533997,0.0010,0.04276276
183,2.547996,0.0010,7.31945E-4
184,2.561997,0.0010,4.003048E-4
185,2.575996,0.0010,4.661083E-4
186,2.589997,0.0010,6.401539E-4
187,2.603996,0.0010,3.79324E-4
188,2.617997,0.0010,4.880428E-4
189,2.631996,0.0010,5.140305E-4
190,2.645996,0.0010,0.006656647
191,2.659996,0.0010,6.799698E-4
192,2.673997,0.0010,3.273487E-4
193,2.687996,0.0010,4.799366E-4
194,2.701997,0.0010,6.38485E-4
195,2.715996,0.0010,0.001269817
196,2.729997,0.0010,4.427433E-4
197,2.743996,0.0010,0.001559019
198,2.757997,0.0010,0.06779766
199,2.771996,0.0010,0.001343727
200,2.785997,0.0010,0.003669024
201,2.799996,0.0010,5.426407E-4
202,2.813997,0.0010,6.425381E-4
203,2.827996,0.0010,0.001215219
204,2.841997,0.0010,4.401207E-4
205,2.855996,0.0010,3.712177E-4
206,2.869997,0.0010,4.110336E-4
207,2.883996,0.0010,5.18322E-4
208,2.897997,0.0010,3.817081E-4
209,2.911996,0.0010,6.334782E-4
210,2.925997,0.0010,5.888939E-4
211,2.939996,0.0010,7.903576E-4
212,2.953997,0.0010,4.093647E-4
213,2.967996,0.0010,4.427433E-4
214,2.981997,0.0010,5.402565E-4
215,2.995996,0.0010,0.001739502
216,3.009997,0.0010,5.004406E-4
217,3.023996,0.0010,0.00116992
218,3.037997,0.0010,3.890991E-4
219,3.051996,0.0010,0.001043081
220,3.065997,0.0010,0.001100063
221,3.079996,0.0010,3.695488E-4
222,3.093997,0.0010,5.922318E-4
223,3.107996,0.0010,0.002398252
224,3.121997,0.0010,8.270741E-4
225,3.135996,0.0010,4.019737E-4
226,3.149997,0.0010,4.377365E-4
227,3.163996,0.0010,3.712177E-4
228,3.177997,0.0010,8.146763E-4
229,3.191996,0.0010,7.123947E-4
230,3.205997,0.0010,5.433559E-4
231,3.219996,0.0010,3.881454E-4
232,3.233997,0.0010,4.661083E-4
233,3.247996,0.0010,0.001032591
234,3.261997,0.0010,7.140636E-4
235,3.275996,0.0010,0.001600504
236,3.289997,0.0010,4.785061E-4
237,3.303996,0.0010,0.001626492
238,3.317997,0.0010,3.874302E-4
239,3.331996,0.0010,8.52108E-4
240,3.345997,0.0010,0.002961397
241,3.359996,0.0010,0.002414703
242,3.373997,0.0010,5.676746E-4
243,3.387996,0.0010,8.97646E-4
244,3.401997,0.0010,4.849434E-4
245,3.415996,0.0010,4.866123E-4
246,3.429997,0.0010,4.839897E-4
247,3.443996,0.0010,4.377365E-4
248,3.457996,0.0010,4.718304E-4
249,3.471996,0.0010,0.02471876
250,3.485997,0.0010,7.171631E-4
251,3.499996,0.0010,3.418922E-4
252,3.513997,0.0010,5.075932E-4
253,3.527996,0.0010,4.467964E-4
254,3.541997,0.0010,6.31094E-4
255,3.555996,0.0010,0.001227617
256,3.569997,0.0010,9.438992E-4
257,3.583996,0.0010,0.02941179
258,3.597997,0.0010,9.789467E-4
259,3.611996,0.0010,0.001390934
260,3.625997,0.0010,0.2670608
261,3.639996,0.0010,0.001766205
262,3.653997,0.0010,0.0672915
263,3.667996,0.0010,0.001312017
264,3.681997,0.0010,3.621578E-4
265,3.695996,0.0010,4.343987E-4
266,3.709997,0.0010,5.18322E-4
267,3.723996,0.0010,8.804798E-4
268,3.737997,0.0010,7.066727E-4
269,3.751996,0.0010,3.216267E-4
270,3.765997,0.0010,6.904602E-4
271,3.779996,0.0010,6.44207E-4
272,3.793997,0.0010,9.944439E-4
273,3.807996,0.0010,5.0354E-4
274,3.821997,0.0010,3.614426E-4
275,3.835996,0.0010,0.001061678
276,3.849997,0.0010,5.004406E-4
277,3.863996,0.0010,0.02542162
278,3.877997,0.0010,4.694462E-4
279,3.891996,0.0010,0.1140928
280,3.905997,0.0010,0.001440287
281,3.919996,0.0010,0.001235723
282,3.933997,0.0010,4.28915E-4
283,3.947996,0.0010,0.002144814
284,3.961997,0.0010,4.279613E-4
285,3.975996,0.0010,5.018711E-4
286,3.989997,0.0010,5.044937E-4
287,4.003996,0.0010,5.62191E-4
288,4.017996,0.0010,0.001139879
289,4.031996,0.0010,4.67062E-4
290,4.045997,0.0010,5.514622E-4
291,4.059996,0.0010,3.631115E-4
292,4.073997,0.0010,6.401539E-4
293,4.087996,0.0010,4.482269E-4
294,4.101997,0.0010,4.003048E-4
295,4.115996,0.0010,0.001957178
296,4.129997,0.0010,0.001018763
297,4.143996,0.0010,0.001259327
298,4.157997,0.0010,5.555153E-4
299,4.171996,0.0010,4.580021E-4
300,4.185997,0.0010,0.002692461
301,4.199996,0.0010,6.067753E-4
302,4.213997,0.0010,0.001646757
303,4.227996,0.0010,0.001605272
304,4.241997,0.0010,4.336834E-4
305,4.255996,0.0010,6.084442E-4
306,4.269997,0.0010,4.775524E-4
307,4.283996,0.0010,9.438992E-4
308,4.297997,0.0010,5.953312E-4
309,4.311996,0.0010,4.262924E-4
310,4.325997,0.0010,5.099773E-4
311,4.339996,0.0010,7.505417E-4
312,4.353997,0.0010,8.497238E-4
313,4.367996,0.0010,4.320145E-4
314,4.381997,0.0010,5.044937E-4
315,4.395996,0.0010,0.003137827
316,4.409997,0.0010,7.050037E-4
317,4.423996,0.0010,0.006236553
318,4.437997,0.0010,0.00109601
319,4.451996,0.0010,9.748936E-4
320,4.465997,0.0010,0.001485109
321,4.479996,0.0010,0.001121998
322,4.493997,0.0010,0.005631208
323,4.507996,0.0010,0.001182795
324,4.521997,0.0010,0.001270533
325,4.535996,0.0010,9.0909E-4
326,4.549997,0.0010,5.629063E-4
327,4.563996,0.0010,8.831024E-4
328,4.577997,0.0010,3.864765E-4
329,4.591996,0.0010,0.001738548
330,4.605997,0.0010,6.74963E-4
331,4.619996,0.0010,5.702972E-4
332,4.633997,0.0010,4.677773E-4
333,4.647996,0.0010,4.839897E-4
334,4.661997,0.0010,7.431507E-4
335,4.675996,0.0010,5.733967E-4
336,4.689997,0.0010,0.001333952
337,4.703996,0.0010,0.003098011
338,4.717997,0.0010,7.758141E-4
339,4.731996,0.0010,0.00216198
340,4.745997,0.0010,8.52108E-4
341,4.759996,0.0010,7.050037E-4
342,4.773997,0.0010,0.001532316
343,4.787996,0.0010,9.820461E-4
344,4.801997,0.0010,0.001316071
345,4.815996,0.0010,9.162426E-4
346,4.829997,0.0010,4.279613E-4
347,4.843996,0.0010,6.246567E-4
348,4.857997,0.0010,5.962849E-4
349,4.871996,0.0010,4.255772E-4
350,4.885997,0.0010,7.376671E-4
351,4.899996,0.0010,6.840229E-4
352,4.913997,0.0010,0.003622055
353,4.927996,0.0010,4.832745E-4
354,4.941997,0.0010,9.03368E-4
355,4.955996,0.0010,9.374619E-4
356,4.969997,0.0010,7.441044E-4
357,4.983996,0.0010,0.001272202
358,4.997997,0.0010,6.196499E-4
359,5.011996,0.0010,0.001590729
360,5.025997,0.0010,8.1563E-4
361,5.039996,0.0010,0.003510714
362,5.053997,0.0010,0.00362277
363,5.067996,0.0010,0.00916338
364,5.081997,0.0010,2.939701E-4
365,5.095996,0.0010,4.208088E-4
366,5.109997,0.0010,0.001459837
367,5.123996,0.0010,4.53949E-4
368,5.137997,0.0010,7.390976E-4
369,5.151996,0.0010,0.001606226
370,5.165997,0.0010,0.001921415
371,5.179996,0.0010,4.792213E-4
372,5.193997,0.0010,0.001616716
373,5.207996,0.0010,8.227825E-4
374,5.221997,0.0010,8.075237E-4
375,5.235996,0.0010,0.001701117
376,5.249997,0.0010,0.001988888
377,5.263996,0.0010,0.036587
378,5.277997,0.0010,7.457733E-4
379,5.291996,0.0010,5.977154E-4
380,5.305997,0.0010,6.108284E-4
381,5.319996,0.0010,9.057522E-4
382,5.333997,0.0010,0.001179695
383,5.347996,0.0010,0.001559734
384,5.361997,0.0010,3.621578E-4
385,5.375996,0.0010,5.693436E-4
386,5.389996,0.0010,0.001354218
387,5.403996,0.0010,0.001652479
388,5.417997,0.0010,0.001031637
389,5.431996,0.0010,7.872581E-4
390,5.445997,0.0010,0.00327754
391,5.459996,0.0010,0.002188683
392,5.473997,0.0010,0.001537085
393,5.487996,0.0010,8.041859E-4
394,5.501997,0.0010,8.406639E-4
395,5.515996,0.0010,8.952618E-4
396,5.529997,0.0010,0.04197216
397,5.543996,0.0010,0.05395985
398,5.557997,0.0010,4.630089E-4
399,5.571996,0.0010,3.921986E-4
400,5.585996,0.0010,3.972054E-4
401,5.599996,0.0010,3.550053E-4
402,5.613997,0.0010,3.418922E-4
403,5.627996,0.0010,6.88076E-4
404,5.641997,0.0010,4.360676E-4
405,5.655996,0.0010,4.825592E-4
406,5.669997,0.0010,0.004971504
407,5.683996,0.0010,5.824566E-4
408,5.697997,0.0010,5.588531E-4
409,5.711996,0.0010,8.423328E-4
410,5.725997,0.0010,5.953312E-4
411,5.739996,0.0010,8.95977E-4
412,5.753997,0.0010,5.514622E-4
413,5.767996,0.0010,4.458427E-4
414,5.781997,0.0010,0.002377272
415,5.795996,0.0010,0.00334239
416,5.809997,0.0010,0.002281427
417,5.823996,0.0010,3.881454E-4
418,5.837997,0.0010,3.881454E-4
419,5.851996,0.0010,3.435612E-4
420,5.865997,0.0010,3.881454E-4
421,5.879996,0.0010,3.726482E-4
422,5.893997,0.0010,4.28915E-4
423,5.907996,0.0010,7.33614E-4
424,5.921997,0.0010,3.597736E-4
425,5.935996,0.0010,5.531311E-4
426,5.949997,0.0010,4.360676E-4
427,5.963996,0.0010,4.785061E-4
428,5.977997,0.0010,6.189346E-4
429,5.991996,0.0010,0.003722668
430,6.005997,0.0010,3.881454E-4
431,6.019996,0.0010,4.23193E-4
432,6.033997,0.0010,4.093647E-4
433,6.047996,0.0010,4.417896E-4
434,6.061997,0.0010,0.002939463
435,6.075996,0.0010,9.732246E-4
436,6.089997,0.0010,0.003682137
437,6.103996,0.0010,3.931522E-4
438,6.117997,0.0010,3.314018E-4
439,6.131996,0.0010,3.678799E-4
440,6.145997,0.0010,3.452301E-4
441,6.159996,0.0010,4.076958E-4
442,6.173997,0.0010,3.507137E-4
443,6.187996,0.0010,4.606247E-4
444,6.201997,0.0010,4.174709E-4
445,6.215996,0.0010,4.661083E-4
446,6.229997,0.0010,0.001587391
447,6.243996,0.0010,0.002300024
448,6.257997,0.0010,6.506443E-4
449,6.271996,0.0010,7.886887E-4
450,6.285997,0.0010,4.360676E-4
451,6.299996,0.0010,3.881454E-4
452,6.313997,0.0010,5.497932E-4
453,6.327996,0.0010,5.385876E-4
454,6.341997,0.0010,0.00143075
455,6.355996,0.0010,0.001388311
456,6.369997,0.0010,0.001198292
457,6.383996,0.0010,4.491806E-4
458,6.397996,0.0010,3.459454E-4
459,6.411996,0.0010,3.921986E-4
460,6.425997,0.0010,5.18322E-4
461,6.439996,0.0010,3.287792E-4
462,6.453997,0.0010,4.515648E-4
463,6.467996,0.0010,0.008527994
464,6.481997,0.0010,3.533363E-4
465,6.495996,0.0010,4.427433E-4
466,6.509997,0.0010,9.698868E-4
467,6.523996,0.0010,7.035732E-4
468,6.537997,0.0010,8.544922E-4
469,6.551996,0.0010,4.694462E-4
470,6.565997,0.0010,5.426407E-4
471,6.579996,0.0010,3.77655E-4
472,6.593996,0.0010,6.685257E-4
473,6.607996,0.0010,5.369186E-4
474,6.621997,0.0010,0.001140594
475,6.635996,0.0010,0.002312183
476,6.649997,0.0010,6.539822E-4
477,6.663996,0.0010,3.499985E-4
478,6.677997,0.0010,3.345013E-4
479,6.691996,0.0010,3.671646E-4
480,6.705997,0.0010,3.28064E-4
481,6.719996,0.0010,3.523827E-4
482,6.733997,0.0010,3.361702E-4
483,6.747996,0.0010,6.830692E-4
484,6.761997,0.0010,6.668568E-4
485,6.775996,0.0010,5.197525E-4
486,6.789997,0.0010,9.520054E-4
487,6.803996,0.0010,0.02108121
488,6.817997,0.0010,0.00142169
489,6.831996,0.0010,7.302761E-4
490,6.845997,0.0010,4.117489E-4
491,6.859996,0.0010,4.003048E-4
492,6.873997,0.0010,7.286072E-4
493,6.887996,0.0010,6.213188E-4
494,6.901997,0.0010,6.027222E-4
495,6.915996,0.0010,5.49078E-4
496,6.929997,0.0010,7.984638E-4
497,6.943996,0.0010,3.938675E-4
498,6.957997,0.0010,3.499985E-4
499,6.971996,0.0010,3.564358E-4
500,6.985997,0.0010,3.151894E-4
501,6.999996,0.0010,3.938675E-4
502,7.013997,0.0010,3.330708E-4
503,7.027996,0.0010,0.001537085
504,7.041997,0.0010,3.685951E-4
505,7.055996,0.0010,5.402565E-4
506,7.069997,0.0010,7.660389E-4
507,7.083996,0.0010,0.03450608
508,7.097997,0.0010,8.041859E-4
509,7.111996,0.0010,6.539822E-4
510,7.125997,0.0010,4.718304E-4
511,7.139996,0.0010,0.001506329
512,7.153997,0.0010,0.001613379
513,7.167996,0.0010,0.001975775
514,7.181997,0.0010,3.573895E-4
515,7.195996,0.0010,3.972054E-4
516,7.209997,0.0010,4.320145E-4
517,7.223996,0.0010,2.95639E-4
518,7.237997,0.0010,3.604889E-4
519,7.251996,0.0010,3.597736E-4
520,7.265997,0.0010,3.972054E-4
521,7.279996,0.0010,3.385544E-4
522,7.293997,0.0010,3.840923E-4
523,7.307996,0.0010,2.946854E-4
524,7.321997,0.0010,3.142357E-4
525,7.335996,0.0010,9.407997E-4
526,7.349997,0.0010,5.595684E-4
527,7.363996,0.0010,6.530285E-4
528,7.377997,0.0010,5.385876E-4
529,7.391996,0.0010,8.187294E-4
530,7.405997,0.0010,4.336834E-4
531,7.419996,0.0010,4.360676E-4
532,7.433997,0.0010,4.653931E-4
533,7.447996,0.0010,4.141331E-4
534,7.461997,0.0010,5.49078E-4
535,7.475996,0.0010,4.343987E-4
536,7.489997,0.0010,3.743172E-4
537,7.503996,0.0010,3.712177E-4
538,7.517997,0.0010,2.963543E-4
539,7.531996,0.0010,3.597736E-4
540,7.545997,0.0010,3.988743E-4
541,7.559996,0.0010,3.533363E-4
542,7.573997,0.0010,3.175735E-4
543,7.587996,0.0010,0.001101494
544,7.601996,0.0010,4.1008E-4
545,7.615996,0.0010,4.556179E-4
546,7.629997,0.0010,5.710125E-4
547,7.643996,0.0010,0.001294136
548,7.657997,0.0010,5.41687E-4
549,7.671996,0.0010,0.001684904
550,7.685997,0.0010,5.578995E-4
551,7.699996,0.0010,4.150867E-4
552,7.713997,0.0010,5.962849E-4
553,7.727996,0.0010,6.458759E-4
554,7.741997,0.0010,4.498959E-4
555,7.755996,0.0010,3.712177E-4
556,7.769997,0.0010,3.378391E-4
557,7.783996,0.0010,3.435612E-4
558,7.797997,0.0010,3.223419E-4
559,7.811996,0.0010,3.354549E-4
560,7.825997,0.0010,4.491806E-4
561,7.839996,0.0010,3.533363E-4
562,7.853997,0.0010,3.28064E-4
563,7.867996,0.0010,5.636215E-4
564,7.881997,0.0010,3.216267E-4
565,7.895996,0.0010,4.808903E-4
566,7.909997,0.0010,9.617805E-4
567,7.923996,0.0010,4.589558E-4
568,7.937997,0.0010,8.716583E-4
569,7.951996,0.0010,4.856586E-4
570,7.965997,0.0010,8.041859E-4
571,7.979996,0.0010,7.367134E-4
572,7.993997,0.0010,4.687309E-4
573,8.007996,0.0010,4.262924E-4
574,8.021997,0.0010,4.491806E-4
575,8.035996,0.0010,5.87225E-4
576,8.049996,0.0010,3.638268E-4
577,8.063996,0.0010,3.061295E-4
578,8.077997,0.0010,3.054142E-4
579,8.091996,0.0010,3.426075E-4
580,8.105997,0.0010,3.166199E-4
581,8.119996,0.0010,3.604889E-4
582,8.133997,0.0010,3.273487E-4
583,8.147996,0.0010,3.564358E-4
584,8.161997,0.0010,3.41177E-4
585,8.175996,0.0010,4.441738E-4
586,8.189997,0.0010,7.090569E-4
587,8.203996,0.0010,0.001391649
588,8.217997,0.0010,8.366108E-4
589,8.231996,0.0010,4.262924E-4
590,8.245997,0.0010,4.508495E-4
591,8.259996,0.0010,0.001470566
592,8.273997,0.0010,4.889965E-4
593,8.287996,0.0010,4.1008E-4
594,8.301997,0.0010,3.995895E-4
595,8.315996,0.0010,3.614426E-4
596,8.329997,0.0010,4.532337E-4
597,8.343996,0.0010,3.817081E-4
598,8.357997,0.0010,3.068447E-4
599,8.371996,0.0010,3.962517E-4
600,8.385997,0.0010,3.459454E-4
601,8.399996,0.0010,3.418922E-4
602,8.413997,0.0010,3.216267E-4
603,8.427996,0.0010,3.182888E-4
604,8.441997,0.0010,3.321171E-4
605,8.455996,0.0010,3.483295E-4
606,8.469997,0.0010,5.044937E-4
607,8.483996,0.0010,6.530285E-4
608,8.497997,0.0010,5.652905E-4
609,8.511996,0.0010,4.532337E-4
610,8.525997,0.0010,4.711151E-4
611,8.539996,0.0010,4.069805E-4
612,8.553997,0.0010,6.067753E-4
613,8.567996,0.0010,5.443096E-4
614,8.581997,0.0010,5.824566E-4
615,8.595996,0.0010,4.906654E-4
616,8.609997,0.0010,5.011559E-4
617,8.623996,0.0010,3.013611E-4
618,8.637997,0.0010,3.314018E-4
619,8.651996,0.0010,0.009326696
620,8.665997,0.0010,0.5769837
621,8.679996,0.0010,0.6217682
622,8.693997,0.0010,0.6776021
623,8.707996,0.0010,0.7120881
624,8.721997,0.0010,0.7215545
625,8.735996,0.0010,0.7706008
626,8.749997,0.0010,0.7839558
627,8.763996,0.0010,0.7739711
628,8.777997,0.0010,0.7802353
629,8.791996,0.0010,0.7950068
630,8.805997,0.0010,0.8063128
631,8.819996,0.0010,0.7838826
632,8.833997,0.0010,0.8121572
633,8.847996,0.0010,0.8060772
634,8.861997,0.0010,0.7820904
635,8.875996,0.0010,0.790612
636,8.889997,0.0010,0.7967162
637,8.903996,0.0010,0.7758527
638,8.917997,0.0010,0.7795668
639,8.931996,0.0010,0.7953432
640,8.945997,0.0010,0.7847059
641,8.959996,0.0010,0.7724752
642,8.973997,0.0010,0.7864528
643,8.987996,0.0010,0.7977943
644,9.001997,0.0010,0.7515328
645,9.015996,0.0010,0.8025095
646,9.029997,0.0010,0.7858093
647,9.043996,0.0010,0.7655113
648,9.057997,0.0010,0.7814143
649,9.071996,0.0010,0.7798388
650,9.085997,0.0010,0.773819
651,9.099996,0.0010,0.7622051
652,9.113997,0.0010,0.7849586
653,9.127996,0.0010,0.776597
654,9.141997,0.0010,0.7510884
655,9.155996,0.0010,0.7773867
656,9.169997,0.0010,0.7802052
657,9.183996,0.0010,0.7567947
658,9.197997,0.0010,0.7768781
659,9.211996,0.0010,0.7860935
660,9.225997,0.0010,0.7754319
661,9.239996,0.0010,0.7624862
662,9.253996,0.0010,0.7809901
663,9.267996,0.0010,0.7851982
664,9.281997,0.0010,0.7747364
665,9.295996,0.0010,0.7868338
666,9.309997,0.0010,0.7905672
667,9.323996,0.0010,0.7748899
668,9.337997,0.0010,0.7816362
669,9.351996,0.0010,0.7914472
670,9.365997,0.0010,0.7848871
671,9.379996,0.0010,0.7746201
672,9.393997,0.0010,0.780046
673,9.407996,0.0010,0.7770779
674,9.421997,0.0010,0.7760048
675,9.435996,0.0010,0.779279
676,9.449997,0.0010,0.7761104
677,9.463996,0.0010,0.7547007
678,9.477997,0.0010,0.7725191
679,9.491996,0.0010,0.7835066
680,9.505997,0.0010,0.7671752
681,9.519996,0.0010,0.7733917
682,9.533997,0.0010,0.7802022
683,9.547996,0.0010,0.7733934
684,9.561997,0.0010,0.7466772
685,9.575996,0.0010,0.7830086
686,9.589997,0.0010,0.7741618
687,9.603996,0.0010,0.7519927
688,9.617997,0.0010,0.7660506
689,9.631996,0.0010,0.7859132
690,9.645997,0.0010,0.759016
691,9.659996,0.0010,0.7522333
692,9.673997,0.0010,0.7809489
693,9.687996,0.0010,0.7675724
