[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 6:35 AM 0.84027 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.06678057
2,0.013996,0.0010,0.5146236
3,0.027997,0.0010,0.5583594
4,0.041996,0.0010,0.6109226
5,0.055997,0.0010,0.6402714
6,0.069996,0.0010,0.6672518
7,0.083997,0.0010,0.7134078
8,0.097996,0.0010,0.7303963
9,0.111997,0.0010,0.7232366
10,0.125996,0.0010,0.7439332
11,0.139997,0.0010,0.7437422
12,0.153996,0.0010,0.7397544
13,0.167997,0.0010,0.7599318
14,0.181996,0.0010,0.765902
15,0.195997,0.0010,0.7548027
16,0.209996,0.0010,0.7406652
17,0.223997,0.0010,0.7537334
18,0.237996,0.0010,0.755954
19,0.251997,0.0010,0.7336323
20,0.265996,0.0010,0.7539666
21,0.279997,0.0010,0.7588861
22,0.293996,0.0010,0.7256131
23,0.307997,0.0010,0.7307284
24,0.321996,0.0010,0.7334073
25,0.335997,0.0010,0.7426348
26,0.349996,0.0010,0.7449813
27,0.363997,0.0010,0.7489762
28,0.377996,0.0010,0.7510309
29,0.391997,0.0010,0.7104096
30,0.405996,0.0010,0.7423031
31,0.419997,0.0010,0.7399626
32,0.433996,0.0010,0.7232521
33,0.447997,0.0010,0.7211087
34,0.461996,0.0010,0.7321692
35,0.475997,0.0010,0.737395
36,0.489996,0.0010,0.7265816
37,0.503997,0.0010,0.7337103
38,0.517996,0.0010,0.7292838
39,0.531997,0.0010,0.7175784
40,0.545996,0.0010,0.7253335
41,0.559997,0.0010,0.725028
42,0.573996,0.0010,0.7186296
43,0.587997,0.0010,0.7328093
44,0.601996,0.0010,0.7375948
45,0.615997,0.0010,0.7356498
46,0.629996,0.0010,0.7295635
47,0.643997,0.0010,0.7421701
48,0.657996,0.0010,0.7340224
49,0.671997,0.0010,0.7123418
50,0.685996,0.0010,0.7346065
51,0.699997,0.0010,0.7294707
52,0.713996,0.0010,0.7156827
53,0.727997,0.0010,0.723846
54,0.741996,0.0010,0.7372553
55,0.755997,0.0010,0.7405312
56,0.769996,0.0010,0.721904
57,0.783997,0.0010,0.7289946
58,0.797996,0.0010,0.7226305
59,0.811997,0.0010,0.6971555
60,0.825996,0.0010,0.7057924
61,0.839997,0.0010,0.726861
62,0.853996,0.0010,0.7032411
63,0.867997,0.0010,0.7356994
64,0.881996,0.0010,0.7368531
65,0.895997,0.0010,0.739665
66,0.909996,0.0010,0.7299998
67,0.923997,0.0010,0.745476
68,0.937996,0.0010,0.7500567
69,0.951997,0.0010,0.7264874
70,0.965996,0.0010,0.7422106
71,0.979997,0.0010,0.7323885
72,0.993996,0.0010,0.7321048
73,1.007997,0.0010,0.7342694
74,1.021996,0.0010,0.739146
75,1.035997,0.0010,0.7321138
76,1.049996,0.0010,0.7114506
77,1.063997,0.0010,0.7269659
78,1.077996,0.0010,0.721246
79,1.091997,0.0010,0.6945703
80,1.105996,0.0010,0.7193844
81,1.119997,0.0010,0.7205472
82,1.133996,0.0010,0.7033987
83,1.147997,0.0010,0.7156844
84,1.161996,0.0010,0.7216814
85,1.175997,0.0010,0.7155066
86,1.189996,0.0010,0.7045159
87,1.203997,0.0010,0.7301524
88,1.217996,0.0010,0.7420578
89,1.231997,0.0010,0.7187257
90,1.245996,0.0010,0.7333431
91,1.259997,0.0010,0.7339873
92,1.273996,0.0010,0.7189002
93,1.287997,0.0010,0.7218359
94,1.301996,0.0010,0.7330101
95,1.315997,0.0010,0.7208567
96,1.329996,0.0010,0.7161663
97,1.343997,0.0010,0.7284429
98,1.357996,0.0010,0.7323673
99,1.371997,0.0010,0.7153993
100,1.385996,0.0010,0.7309885
101,1.399997,0.0010,0.7358911
102,1.413996,0.0010,0.7139871
103,1.427997,0.0010,0.7298753
104,1.441996,0.0010,0.7440746
105,1.455997,0.0010,0.731658
106,1.469996,0.0010,9.162426E-4
107,1.483997,0.0010,7.70092E-4
108,1.497996,0.0010,0.001459122
109,1.511997,0.0010,7.896423E-4
110,1.525996,0.0010,4.816055E-4
111,1.539997,0.0010,3.759861E-4
112,1.553996,0.0010,3.905296E-4
113,1.567997,0.0010,3.759861E-4
114,1.581996,0.0010,0.07755208
115,1.595997,0.0010,0.0132401
116,1.609996,0.0010,7.545948E-4
117,1.623997,0.0010,0.08984923
118,1.637996,0.0010,3.77655E-4
119,1.651997,0.0010,4.775524E-4
120,1.665996,0.0010,6.563663E-4
121,1.679997,0.0010,0.00112915
122,1.693996,0.0010,6.620884E-4
123,1.707997,0.0010,0.001489162
124,1.721996,0.0010,6.415844E-4
125,1.735997,0.0010,0.005549192
126,1.749996,0.0010,4.5228E-4
127,1.763997,0.0010,7.936954E-4
128,1.777996,0.0010,5.385876E-4
129,1.791997,0.0010,6.0606E-4
130,1.805996,0.0010,0.001025915
131,1.819997,0.0010,0.003442287
132,1.833996,0.0010,4.467964E-4
133,1.847997,0.0010,4.603863E-4
134,1.861996,0.0010,4.971027E-4
135,1.875997,0.0010,0.05347323
136,1.889996,0.0010,3.767014E-4
137,1.903997,0.0010,6.82354E-4
138,1.917996,0.0010,4.029274E-4
139,1.931997,0.0010,5.352497E-4
140,1.945996,0.0010,0.001306295
141,1.959997,0.0010,0.004475117
142,1.973996,0.0010,8.676052E-4
143,1.987997,0.0010,5.400181E-4
144,2.001996,0.0010,6.513596E-4
145,2.015997,0.0010,4.417896E-4
146,2.029996,0.0010,3.499985E-4
147,2.043997,0.0010,0.001196623
148,2.057996,0.0010,0.002418518
149,2.071997,0.0010,0.001283646
150,2.085996,0.0010,4.134178E-4
151,2.099997,0.0010,0.001726389
152,2.113996,0.0010,0.001080513
153,2.127997,0.0010,0.2403054
154,2.141996,0.0010,0.003108501
155,2.155997,0.0010,6.620884E-4
156,2.169996,0.0010,6.651878E-4
157,2.183997,0.0010,0.2376258
158,2.197996,0.0010,0.2769756
159,2.211997,0.0010,6.546974E-4
160,2.225996,0.0010,6.465912E-4
161,2.239997,0.0010,4.987717E-4
162,2.253996,0.0010,7.829666E-4
163,2.267997,0.0010,0.006299973
164,2.281996,0.0010,3.459454E-4
165,2.295997,0.0010,3.881454E-4
166,2.309996,0.0010,4.208088E-4
167,2.323997,0.0010,3.328323E-4
168,2.337996,0.0010,3.79324E-4
169,2.351997,0.0010,0.001049519
170,2.365996,0.0010,3.557205E-4
171,2.379997,0.0010,8.993149E-4
172,2.393996,0.0010,4.191399E-4
173,2.407997,0.0010,0.2521467
174,2.421996,0.0010,0.002709389
175,2.435997,0.0010,0.004429579
176,2.449996,0.0010,5.831718E-4
177,2.463997,0.0010,0.001021862
178,2.477996,0.0010,0.00781846
179,2.491997,0.0010,4.124641E-4
180,2.505996,0.0010,6.506443E-4
181,2.519997,0.0010,8.285046E-4
182,2.533996,0.0010,0.004181623
183,2.547997,0.0010,0.002619267
184,2.561996,0.0010,0.001211166
185,2.575997,0.0010,5.848408E-4
186,2.589996,0.0010,4.336834E-4
187,2.603997,0.0010,5.831718E-4
188,2.617996,0.0010,6.141663E-4
189,2.631997,0.0010,5.092621E-4
190,2.645996,0.0010,0.004420519
191,2.659997,0.0010,3.287792E-4
192,2.673996,0.0010,7.717609E-4
193,2.687997,0.0010,4.043579E-4
194,2.701996,0.0010,0.003595114
195,2.715997,0.0010,9.438992E-4
196,2.729996,0.0010,3.864765E-4
197,2.743997,0.0010,0.006560802
198,2.757996,0.0010,0.1842737
199,2.771997,0.0010,7.026196E-4
200,2.785996,0.0010,5.466938E-4
201,2.799997,0.0010,4.856586E-4
202,2.813996,0.0010,5.636215E-4
203,2.827997,0.0010,3.955364E-4
204,2.841996,0.0010,0.1594317
205,2.855997,0.0010,0.01420045
206,2.869996,0.0010,4.21524E-4
207,2.883997,0.0010,6.718636E-4
208,2.897996,0.0010,6.685257E-4
209,2.911997,0.0010,5.028248E-4
210,2.925996,0.0010,0.00104475
211,2.939997,0.0010,5.619526E-4
212,2.953996,0.0010,3.914833E-4
213,2.967997,0.0010,5.35965E-4
214,2.981996,0.0010,3.881454E-4
215,2.995997,0.0010,0.1510704
216,3.009996,0.0010,0.3400607
217,3.023997,0.0010,0.001075506
218,3.037996,0.0010,0.002031088
219,3.051997,0.0010,4.467964E-4
220,3.065996,0.0010,8.676052E-4
221,3.079997,0.0010,0.005108833
222,3.093996,0.0010,0.001008987
223,3.107997,0.0010,0.1251543
224,3.121996,0.0010,0.1000695
225,3.135997,0.0010,3.638268E-4
226,3.149996,0.0010,0.03923917
227,3.163997,0.0010,5.221367E-4
228,3.177996,0.0010,0.001178026
229,3.191997,0.0010,0.09582591
230,3.205996,0.0010,0.07071424
231,3.219997,0.0010,4.370213E-4
232,3.233996,0.0010,0.03382468
233,3.247997,0.0010,4.880428E-4
234,3.261996,0.0010,0.132669
235,3.275997,0.0010,6.38485E-4
236,3.289996,0.0010,8.254051E-4
237,3.303997,0.0010,0.1688721
238,3.317996,0.0010,0.2819912
239,3.331997,0.0010,6.766319E-4
240,3.345996,0.0010,6.864071E-4
241,3.359997,0.0010,4.117489E-4
242,3.373996,0.0010,0.001714945
243,3.387997,0.0010,0.0988102
244,3.401996,0.0010,9.357929E-4
245,3.415997,0.0010,7.309914E-4
246,3.429996,0.0010,7.002354E-4
247,3.443997,0.0010,0.0241437
248,3.457996,0.0010,4.150867E-4
249,3.471997,0.0010,4.303455E-4
250,3.485996,0.0010,3.972054E-4
251,3.499997,0.0010,0.01269007
252,3.513996,0.0010,6.539822E-4
253,3.527997,0.0010,0.004448175
254,3.541996,0.0010,4.491806E-4
255,3.555997,0.0010,4.734993E-4
256,3.569996,0.0010,4.572868E-4
257,3.583997,0.0010,0.08126187
258,3.597996,0.0010,9.407997E-4
259,3.611997,0.0010,0.02105069
260,3.625996,0.0010,0.004011869
261,3.639997,0.0010,0.001822948
262,3.653996,0.0010,0.001031637
263,3.667997,0.0010,0.06534934
264,3.681996,0.0010,0.003134489
265,3.695997,0.0010,4.734993E-4
266,3.709996,0.0010,8.001328E-4
267,3.723997,0.0010,9.269714E-4
268,3.737996,0.0010,3.638268E-4
269,3.751997,0.0010,0.001822233
270,3.765996,0.0010,0.001684904
271,3.779997,0.0010,8.122921E-4
272,3.793996,0.0010,0.00103569
273,3.807997,0.0010,9.016991E-4
274,3.821996,0.0010,5.571842E-4
275,3.835997,0.0010,3.864765E-4
276,3.849996,0.0010,0.06381941
277,3.863997,0.0010,9.276867E-4
278,3.877996,0.0010,0.001250982
279,3.891997,0.0010,0.001385212
280,3.905996,0.0010,0.01324677
281,3.919997,0.0010,4.971027E-4
282,3.933996,0.0010,0.01012921
283,3.947997,0.0010,0.03083396
284,3.961996,0.0010,0.0111618
285,3.975997,0.0010,0.1105328
286,3.989996,0.0010,0.002152205
287,4.003997,0.0010,6.456375E-4
288,4.017996,0.0010,0.001654863
289,4.031997,0.0010,3.418922E-4
290,4.045996,0.0010,5.710125E-4
291,4.059997,0.0010,4.417896E-4
292,4.073996,0.0010,0.001382589
293,4.087997,0.0010,4.751682E-4
294,4.101996,0.0010,0.004636765
295,4.115997,0.0010,7.481575E-4
296,4.129996,0.0010,0.2821229
297,4.143997,0.0010,5.514622E-4
298,4.157996,0.0010,0.227742
299,4.171997,0.0010,4.23193E-4
300,4.185996,0.0010,4.239082E-4
301,4.199997,0.0010,6.49929E-4
302,4.213996,0.0010,4.792213E-4
303,4.227997,0.0010,0.3622775
304,4.241996,0.0010,0.00123477
305,4.255997,0.0010,0.07596445
306,4.269996,0.0010,0.002061844
307,4.283997,0.0010,0.002555132
308,4.297996,0.0010,6.44207E-4
309,4.311997,0.0010,0.001020193
310,4.325996,0.0010,3.945827E-4
311,4.339997,0.0010,7.431507E-4
312,4.353996,0.0010,0.0589087
313,4.367997,0.0010,0.004366159
314,4.381996,0.0010,0.06052566
315,4.395997,0.0010,0.001263142
316,4.409996,0.0010,7.367134E-4
317,4.423997,0.0010,4.498959E-4
318,4.437996,0.0010,0.005750656
319,4.451997,0.0010,4.482269E-4
320,4.465996,0.0010,3.931522E-4
321,4.479997,0.0010,9.0909E-4
322,4.493996,0.0010,6.570816E-4
323,4.507997,0.0010,0.1106515
324,4.521996,0.0010,4.873276E-4
325,4.535997,0.0010,0.06670046
326,4.549996,0.0010,0.008713722
327,4.563997,0.0010,0.3590348
328,4.577996,0.0010,5.125999E-4
329,4.591997,0.0010,0.002900362
330,4.605996,0.0010,6.222725E-4
331,4.619997,0.0010,5.571842E-4
332,4.633996,0.0010,9.334087E-4
333,4.647997,0.0010,6.523132E-4
334,4.661996,0.0010,4.08411E-4
335,4.675997,0.0010,3.817081E-4
336,4.689996,0.0010,0.2375185
337,4.703997,0.0010,0.003261089
338,4.717996,0.0010,0.001280308
339,4.731997,0.0010,3.995895E-4
340,4.745996,0.0010,5.214214E-4
341,4.759997,0.0010,5.555153E-4
342,4.773996,0.0010,5.865097E-4
343,4.787997,0.0010,5.676746E-4
344,4.801996,0.0010,4.117489E-4
345,4.815997,0.0010,0.1035104
346,4.829996,0.0010,0.03949904
347,4.843997,0.0010,0.1955428
348,4.857996,0.0010,0.1419737
349,4.871997,0.0010,0.001288414
350,4.885996,0.0010,9.202957E-4
351,4.899997,0.0010,0.001028538
352,4.913996,0.0010,0.001155138
353,4.927997,0.0010,0.001095772
354,4.941996,0.0010,0.004546642
355,4.955997,0.0010,0.01501298
356,4.969996,0.0010,7.309914E-4
357,4.983997,0.0010,0.3901784
358,4.997996,0.0010,6.952286E-4
359,5.011997,0.0010,0.433615
360,5.025996,0.0010,0.3880627
361,5.039997,0.0010,0.01882529
362,5.053996,0.0010,6.563663E-4
363,5.067997,0.0010,0.5680263
364,5.081996,0.0010,0.3843944
365,5.095997,0.0010,0.1960199
366,5.109996,0.0010,0.002065182
367,5.123997,0.0010,3.621578E-4
368,5.137996,0.0010,4.515648E-4
369,5.151997,0.0010,0.2814443
370,5.165996,0.0010,0.2400665
371,5.179997,0.0010,0.2480006
372,5.193996,0.0010,0.1076329
373,5.207997,0.0010,0.488606
374,5.221996,0.0010,0.4760361
375,5.235997,0.0010,0.07206774
376,5.249996,0.0010,0.1927633
377,5.263997,0.0010,0.07166815
378,5.277996,0.0010,4.076958E-4
379,5.291997,0.0010,9.610653E-4
380,5.305996,0.0010,0.3152888
381,5.319997,0.0010,4.410744E-4
382,5.333996,0.0010,0.005701065
383,5.347997,0.0010,0.00796628
384,5.361996,0.0010,0.3267708
385,5.375997,0.0010,7.846355E-4
386,5.389996,0.0010,0.004423141
387,5.403997,0.0010,0.02884889
388,5.417996,0.0010,4.954338E-4
389,5.431997,0.0010,3.945827E-4
390,5.445996,0.0010,3.564358E-4
391,5.459997,0.0010,4.59671E-4
392,5.473996,0.0010,0.1967983
393,5.487997,0.0010,3.824234E-4
394,5.501996,0.0010,0.02966475
395,5.515997,0.0010,0.02646351
396,5.529996,0.0010,6.759167E-4
397,5.543997,0.0010,3.638268E-4
398,5.557996,0.0010,0.1155167
399,5.571997,0.0010,9.310246E-4
400,5.585996,0.0010,4.069805E-4
401,5.599997,0.0010,4.758835E-4
402,5.613996,0.0010,8.676052E-4
403,5.627997,0.0010,0.00232935
404,5.641996,0.0010,3.979206E-4
405,5.655997,0.0010,3.345013E-4
406,5.669996,0.0010,4.012585E-4
407,5.683997,0.0010,0.05081058
408,5.697996,0.0010,5.733967E-4
409,5.711997,0.0010,0.4539297
410,5.725996,0.0010,0.1750267
411,5.739997,0.0010,8.59499E-4
412,5.753996,0.0010,0.001323462
413,5.767997,0.0010,4.580021E-4
414,5.781996,0.0010,7.610321E-4
415,5.795997,0.0010,3.361702E-4
416,5.809996,0.0010,4.53949E-4
417,5.823997,0.0010,3.094673E-4
418,5.837996,0.0010,3.77655E-4
419,5.851997,0.0010,6.091595E-4
420,5.865996,0.0010,4.816055E-4
421,5.879997,0.0010,3.013611E-4
422,5.893996,0.0010,7.70092E-4
423,5.907997,0.0010,6.44207E-4
424,5.921996,0.0010,0.232161
425,5.935997,0.0010,8.237362E-4
426,5.949996,0.0010,3.507137E-4
427,5.963997,0.0010,3.149509E-4
428,5.977996,0.0010,4.751682E-4
429,5.991997,0.0010,4.987717E-4
430,6.005996,0.0010,0.1011574
431,6.019997,0.0010,0.001312733
432,6.033996,0.0010,3.597736E-4
433,6.047997,0.0010,3.402233E-4
434,6.061996,0.0010,3.597736E-4
435,6.075997,0.0010,5.595684E-4
436,6.089996,0.0010,0.001451015
437,6.103997,0.0010,0.1466618
438,6.117996,0.0010,4.28915E-4
439,6.131997,0.0010,7.586479E-4
440,6.145996,0.0010,0.1991324
441,6.159997,0.0010,5.905628E-4
442,6.173996,0.0010,4.758835E-4
443,6.187997,0.0010,3.216267E-4
444,6.201996,0.0010,3.004074E-4
445,6.215997,0.0010,3.71933E-4
446,6.229996,0.0010,3.247261E-4
447,6.243997,0.0010,2.794266E-4
448,6.257996,0.0010,3.321171E-4
449,6.271997,0.0010,4.117489E-4
450,6.285996,0.0010,3.573895E-4
451,6.299997,0.0010,5.149841E-4
452,6.313996,0.0010,7.367134E-4
453,6.327997,0.0010,3.759861E-4
454,6.341996,0.0010,3.483295E-4
455,6.355997,0.0010,4.782677E-4
456,6.369996,0.0010,0.0145092
457,6.383997,0.0010,8.237362E-4
458,6.397996,0.0010,8.773804E-4
459,6.411997,0.0010,4.141331E-4
460,6.425996,0.0010,3.678799E-4
461,6.439997,0.0010,3.232956E-4
462,6.453996,0.0010,5.376339E-4
463,6.467997,0.0010,3.33786E-4
464,6.481996,0.0010,3.297329E-4
465,6.495997,0.0010,3.223419E-4
466,6.509996,0.0010,2.834797E-4
467,6.523997,0.0010,3.621578E-4
468,6.537996,0.0010,2.727509E-4
469,6.551997,0.0010,3.013611E-4
470,6.565996,0.0010,6.263256E-4
471,6.579997,0.0010,6.189346E-4
472,6.593996,0.0010,0.01362038
473,6.607997,0.0010,5.247593E-4
474,6.621996,0.0010,3.297329E-4
475,6.635997,0.0010,6.74963E-4
476,6.649996,0.0010,7.708073E-4
477,6.663997,0.0010,0.06098056
478,6.677996,0.0010,5.524158E-4
479,6.691997,0.0010,0.01819563
480,6.705996,0.0010,0.001268864
481,6.719997,0.0010,3.125668E-4
482,6.733996,0.0010,4.329681E-4
483,6.747997,0.0010,3.597736E-4
484,6.761996,0.0010,0.001061678
485,6.775997,0.0010,3.101826E-4
486,6.789996,0.0010,3.149509E-4
487,6.803997,0.0010,3.492832E-4
488,6.817996,0.0010,7.164478E-4
489,6.831997,0.0010,3.452301E-4
490,6.845996,0.0010,7.147789E-4
491,6.859997,0.0010,0.001355171
492,6.873996,0.0010,0.001144648
493,6.887997,0.0010,0.001549959
494,6.901996,0.0010,4.134178E-4
495,6.915997,0.0010,4.069805E-4
496,6.929996,0.0010,6.270409E-4
497,6.943997,0.0010,4.653931E-4
498,6.957996,0.0010,0.02817225
499,6.971997,0.0010,0.002023697
500,6.985996,0.0010,0.001156092
501,6.999997,0.0010,4.124641E-4
502,7.013996,0.0010,3.068447E-4
503,7.027997,0.0010,0.009627819
504,7.041996,0.0010,0.4099414
505,7.055997,0.0010,3.483295E-4
506,7.069996,0.0010,0.01163054
507,7.083997,0.0010,0.001182079
508,7.097996,0.0010,0.04987955
509,7.111997,0.0010,0.002061844
510,7.125996,0.0010,6.952286E-4
511,7.139997,0.0010,7.157326E-4
512,7.153996,0.0010,4.208088E-4
513,7.167997,0.0010,4.191399E-4
514,7.181996,0.0010,6.084442E-4
515,7.195997,0.0010,3.988743E-4
516,7.209996,0.0010,5.896091E-4
517,7.223997,0.0010,4.239082E-4
518,7.237996,0.0010,0.4189334
519,7.251997,0.0010,0.3527234
520,7.265996,0.0010,0.001395702
521,7.279997,0.0010,3.972054E-4
522,7.293996,0.0010,0.09410262
523,7.307997,0.0010,3.044605E-4
524,7.321996,0.0010,7.033348E-4
525,7.335997,0.0010,5.807877E-4
526,7.349996,0.0010,5.393028E-4
527,7.363997,0.0010,3.314018E-4
528,7.377996,0.0010,4.5228E-4
529,7.391997,0.0010,4.603863E-4
530,7.405996,0.0010,0.001179457
531,7.419997,0.0010,0.07270551
532,7.433996,0.0010,0.001654863
533,7.447997,0.0010,7.562637E-4
534,7.461996,0.0010,4.603863E-4
535,7.475997,0.0010,6.263256E-4
536,7.489996,0.0010,5.726814E-4
537,7.503997,0.0010,3.800392E-4
538,7.517996,0.0010,3.800392E-4
539,7.531997,0.0010,9.253025E-4
540,7.545996,0.0010,0.194186
541,7.559997,0.0010,4.913807E-4
542,7.573996,0.0010,0.3615868
543,7.587997,0.0010,0.0354383
544,7.601996,0.0010,0.02040792
545,7.615997,0.0010,9.860992E-4
546,7.629996,0.0010,9.975433E-4
547,7.643997,0.0010,6.00338E-4
548,7.657996,0.0010,0.004601002
549,7.671997,0.0010,0.3305912
550,7.685996,0.0010,0.484061
551,7.699997,0.0010,0.003009319
552,7.713996,0.0010,4.124641E-4
553,7.727997,0.0010,0.00122261
554,7.741996,0.0010,0.01193452
555,7.755997,0.0010,5.0354E-4
556,7.769996,0.0010,4.222393E-4
557,7.783997,0.0010,3.345013E-4
558,7.797996,0.0010,0.5339503
559,7.811997,0.0010,0.078969
560,7.825996,0.0010,0.001605272
561,7.839997,0.0010,4.248619E-4
562,7.853996,0.0010,0.3169332
563,7.867997,0.0010,3.426075E-4
564,7.881996,0.0010,8.845329E-4
565,7.895997,0.0010,4.751682E-4
566,7.909996,0.0010,3.459454E-4
567,7.923997,0.0010,0.08157969
568,7.937996,0.0010,0.01020718
569,7.951997,0.0010,0.01229358
570,7.965996,0.0010,0.001113653
571,7.979997,0.0010,0.001455069
572,7.993996,0.0010,6.327629E-4
573,8.007997,0.0010,3.671646E-4
574,8.021996,0.0010,4.451275E-4
575,8.035997,0.0010,4.758835E-4
576,8.049996,0.0010,0.004990101
577,8.063997,0.0010,0.002219439
578,8.077996,0.0010,0.02118564
579,8.091997,0.0010,4.701614E-4
580,8.105996,0.0010,7.863045E-4
581,8.119997,0.0010,0.001406193
582,8.133996,0.0010,4.589558E-4
583,8.147997,0.0010,3.752708E-4
584,8.161996,0.0010,4.208088E-4
585,8.175997,0.0010,3.28064E-4
586,8.189996,0.0010,2.720356E-4
587,8.203997,0.0010,8.845329E-4
588,8.217996,0.0010,3.223419E-4
589,8.231997,0.0010,0.001041412
590,8.245996,0.0010,4.661083E-4
591,8.259997,0.0010,9.219646E-4
592,8.273996,0.0010,5.443096E-4
593,8.287997,0.0010,9.455681E-4
594,8.301996,0.0010,0.006110668
595,8.315997,0.0010,0.05533051
596,8.329996,0.0010,0.2148039
597,8.343997,0.0010,4.043579E-4
598,8.357996,0.0010,6.921291E-4
599,8.371997,0.0010,4.043579E-4
600,8.385996,0.0010,4.556179E-4
601,8.399997,0.0010,0.3200133
602,8.413996,0.0010,0.05793118
603,8.427997,0.0010,3.540516E-4
604,8.441996,0.0010,3.962517E-4
605,8.455997,0.0010,3.240108E-4
606,8.469996,0.0010,3.557205E-4
607,8.483997,0.0010,3.995895E-4
608,8.497996,0.0010,5.230904E-4
609,8.511997,0.0010,0.200253
610,8.525996,0.0010,0.07090425
611,8.539997,0.0010,0.05105686
612,8.553996,0.0010,8.00848E-4
613,8.567997,0.0010,7.734299E-4
614,8.581996,0.0010,0.002789974
615,8.595997,0.0010,3.921986E-4
616,8.609996,0.0010,0.002570629
617,8.623997,0.0010,8.804798E-4
618,8.637996,0.0010,8.5783E-4
619,8.651997,0.0010,0.3358026
620,8.665996,0.0010,5.311966E-4
621,8.679997,0.0010,0.003212452
622,8.693996,0.0010,3.371239E-4
623,8.707997,0.0010,0.197042
624,8.721996,0.0010,0.5895257
625,8.735997,0.0010,0.6372011
626,8.749996,0.0010,0.6520956
627,8.763997,0.0010,0.7005599
628,8.777996,0.0010,0.7207024
629,8.791997,0.0010,0.7245243
630,8.805996,0.0010,0.7554493
631,8.819997,0.0010,0.7593153
632,8.833996,0.0010,0.7391531
633,8.847997,0.0010,0.7449665
634,8.861996,0.0010,0.7523992
635,8.875997,0.0010,0.7475543
636,8.889996,0.0010,0.7410984
637,8.903997,0.0010,0.7565975
638,8.917996,0.0010,0.7606404
639,8.931997,0.0010,0.7389224
640,8.945996,0.0010,0.764858
641,8.959997,0.0010,0.7487431
642,8.973996,0.0010,0.7477446
643,8.987997,0.0010,0.7326314
644,9.001996,0.0010,0.7513714
645,9.015997,0.0010,0.7491348
646,9.029996,0.0010,0.7255723
647,9.043997,0.0010,0.7568932
648,9.057996,0.0010,0.7435617
649,9.071997,0.0010,0.7247956
650,9.085996,0.0010,0.7488129
651,9.099997,0.0010,0.7434669
652,9.113996,0.0010,0.736485
653,9.127997,0.0010,0.732867
654,9.141996,0.0010,0.7430401
655,9.155997,0.0010,0.7333651
656,9.169996,0.0010,0.7347789
657,9.183997,0.0010,0.7548301
658,9.197996,0.0010,0.7424097
659,9.211997,0.0010,0.7225158
660,9.225996,0.0010,0.7286639
661,9.239997,0.0010,0.739397
662,9.253996,0.0010,0.72703
663,9.267997,0.0010,0.7343068
664,9.281996,0.0010,0.7504411
665,9.295997,0.0010,0.740042
666,9.309996,0.0010,0.7438056
667,9.323997,0.0010,0.7563195
668,9.337996,0.0010,0.7510116
669,9.351997,0.0010,0.7248046
670,9.365996,0.0010,0.7507012
671,9.379997,0.0010,0.750385
672,9.393996,0.0010,0.7324672
673,9.407997,0.0010,0.7315874
674,9.421996,0.0010,0.7578967
675,9.435997,0.0010,0.7584524
676,9.449996,0.0010,0.7287648
677,9.463997,0.0010,0.7508523
678,9.477996,0.0010,0.7580988
679,9.491997,0.0010,0.7392199
680,9.505996,0.0010,0.7420213
681,9.519997,0.0010,0.7453997
682,9.533996,0.0010,0.733443
683,9.547997,0.0010,0.739852
684,9.561996,0.0010,0.7425811
685,9.575997,0.0010,0.7347145
686,9.589996,0.0010,0.7278018
687,9.603997,0.0010,0.7457263
688,9.617996,0.0010,0.7381206
689,9.631997,0.0010,0.7229042
690,9.645996,0.0010,0.7450583
691,9.659997,0.0010,0.7578795
692,9.673996,0.0010,0.7432961
693,9.687997,0.0010,0.7475512
694,9.701996,0.0010,0.7695119
695,9.715997,0.0010,0.7496727
696,9.729996,0.0010,0.7276216
697,9.743997,0.0010,0.7602334
698,9.757996,0.0010,0.7580283
699,9.771997,0.0010,0.73613
700,9.785996,0.0010,0.7550731
701,9.799997,0.0010,0.760958
702,9.813996,0.0010,0.7606518
