[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 7:23 AM 0.739327 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.2535598
2,0.009997,0.0010,0.3316393
3,0.019996,0.0010,0.3790753
4,0.029996,0.0010,0.3828149
5,0.039997,0.0010,0.4191384
6,0.049996,0.0010,0.412869
7,0.059996,0.0010,0.4413104
8,0.069997,0.0010,0.4229608
9,0.079996,0.0010,0.4382758
10,0.089996,0.0010,0.4347677
11,0.099997,0.0010,0.4528987
12,0.109996,0.0010,0.4479373
13,0.119996,0.0010,0.4496028
14,0.129997,0.0010,0.4233468
15,0.139996,0.0010,0.4380517
16,0.149996,0.0010,0.4197145
17,0.159997,0.0010,0.4417059
18,0.169996,0.0010,0.4306798
19,0.179996,0.0010,0.4535666
20,0.189997,0.0010,0.43365
21,0.199996,0.0010,0.4559908
22,0.209996,0.0010,0.4326725
23,0.219997,0.0010,0.4663453
24,0.229996,0.0010,0.4382498
25,0.239996,0.0010,0.4595144
26,0.249997,0.0010,0.4411097
27,0.259996,0.0010,0.4562712
28,0.269996,0.0010,0.4383814
29,0.279997,0.0010,0.4571843
30,0.289996,0.0010,0.447943
31,0.299996,0.0010,0.4676645
32,0.309997,0.0010,0.4375577
33,0.319996,0.0010,0.4553652
34,0.329996,0.0010,0.4403899
35,0.339997,0.0010,0.4499903
36,0.349996,0.0010,0.4393711
37,0.359996,0.0010,0.460001
38,0.369997,0.0010,0.4517612
39,0.379996,0.0010,0.4640737
40,0.389996,0.0010,0.4347816
41,0.399997,0.0010,0.4594948
42,0.409996,0.0010,0.4309251
43,0.419996,0.0010,0.452564
44,0.429997,0.0010,0.4331024
45,0.439996,0.0010,0.4592731
46,0.449996,0.0010,0.4236572
47,0.459997,0.0010,0.4419904
48,0.469996,0.0010,0.4366608
49,0.479996,0.0010,0.4443691
50,0.489997,0.0010,0.4250968
51,0.499996,0.0010,0.4456105
52,0.509996,0.0010,0.4269207
53,0.519997,0.0010,0.4505582
54,0.529996,0.0010,0.4327221
55,0.539996,0.0010,0.457485
56,0.549997,0.0010,0.4461572
57,0.559996,0.0010,0.4726164
58,0.569996,0.0010,0.4537933
59,0.579997,0.0010,0.459815
60,0.589996,0.0010,0.4442854
61,0.599996,0.0010,0.4569957
62,0.609997,0.0010,0.4358971
63,0.619996,0.0010,0.4478762
64,0.629996,0.0010,0.4327822
65,0.639997,0.0010,0.4553351
66,0.649996,0.0010,0.4460175
67,0.659996,0.0010,0.4624465
68,0.669997,0.0010,0.4475327
69,0.679996,0.0010,0.4479463
70,0.689996,0.0010,0.4481549
71,0.699997,0.0010,0.4509578
72,0.709996,0.0010,0.4326222
73,0.719996,0.0010,0.4343398
74,0.729997,0.0010,0.4195471
75,0.739996,0.0010,0.4390681
76,0.749996,0.0010,0.4288259
77,0.759997,0.0010,0.4476733
78,0.769996,0.0010,0.4414883
79,0.779996,0.0010,0.4558868
80,0.789997,0.0010,0.4453602
81,0.799996,0.0010,0.4517491
82,0.809996,0.0010,0.4240146
83,0.819997,0.0010,0.4522178
84,0.829996,0.0010,0.4409237
85,0.839996,0.0010,0.4475472
86,0.849997,0.0010,0.4391379
87,0.859996,0.0010,0.4598117
88,0.869996,0.0010,0.4375324
89,0.879997,0.0010,0.4500389
90,0.889996,0.0010,0.4314678
91,0.899996,0.0010,0.4464984
92,0.909997,0.0010,0.4260781
93,0.919996,0.0010,0.4521561
94,0.929996,0.0010,0.4278426
95,0.939997,0.0010,0.4548137
96,0.949996,0.0010,0.4404881
97,0.959996,0.0010,0.4499545
98,0.969997,0.0010,0.4490349
99,0.979996,0.0010,0.4600058
100,0.989996,0.0010,0.4456429
101,0.999997,0.0010,0.4650307
102,1.009996,0.0010,0.4323614
103,1.019996,0.0010,0.4564328
104,1.029997,0.0010,0.4249594
105,1.039996,0.0010,0.4427392
106,1.049996,0.0010,0.4296098
107,1.059997,0.0010,0.4421682
108,1.069996,0.0010,0.422873
109,1.079996,0.0010,0.448817
110,1.089997,0.0010,0.4280734
111,1.099996,0.0010,0.4282856
112,1.109996,0.0010,0.4174168
113,1.119997,0.0010,0.436708
114,1.129996,0.0010,0.4264014
115,1.139996,0.0010,0.4377315
116,1.149997,0.0010,0.4233589
117,1.159996,0.0010,0.4383743
118,1.169996,0.0010,0.4170318
119,1.179997,0.0010,0.4416142
120,1.189996,0.0010,0.4280255
121,1.199996,0.0010,0.4468966
122,1.209997,0.0010,0.4427223
123,1.219996,0.0010,0.4478788
124,1.229996,0.0010,0.4395831
125,1.239997,0.0010,0.4447672
126,1.249996,0.0010,0.4472401
127,1.259996,0.0010,0.4337101
128,1.269997,0.0010,0.4177532
129,1.279996,0.0010,0.4490316
130,1.289996,0.0010,0.4347012
131,1.299997,0.0010,0.444006
132,1.309996,0.0010,0.4233606
133,1.319996,0.0010,0.4475114
134,1.329997,0.0010,0.436682
135,1.339996,0.0010,0.4306366
136,1.349996,0.0010,0.4208136
137,1.359997,0.0010,0.4334581
138,1.369996,0.0010,0.4247189
139,1.379996,0.0010,0.4416833
140,1.389997,0.0010,0.4185355
141,1.399996,0.0010,0.4500031
142,1.409996,0.0010,0.4348581
143,1.419997,0.0010,0.4503436
144,1.429996,0.0010,0.4258871
145,1.439996,0.0010,0.458714
146,1.449997,0.0010,0.4322608
147,1.459996,0.0010,0.4538794
148,1.469996,0.0010,0.439115
149,1.479997,0.0010,0.4565992
150,1.489996,0.0010,0.4471037
151,1.499996,0.0010,0.452148
152,1.509997,0.0010,0.4368362
153,1.519996,0.0010,0.4350994
154,1.529996,0.0010,0.4070072
155,1.539997,0.0010,0.4313011
156,1.549996,0.0010,0.4214838
157,1.559996,0.0010,0.4335468
158,1.569997,0.0010,0.4128892
159,1.579996,0.0010,0.4286518
160,1.589996,0.0010,0.4167604
161,1.599997,0.0010,0.43031
162,1.609996,0.0010,0.4256361
163,1.619996,0.0010,0.4517679
164,1.629997,0.0010,0.4295561
165,1.639996,0.0010,0.4526997
166,1.649996,0.0010,0.4246449
167,1.659997,0.0010,0.4493437
168,1.669996,0.0010,0.442369
169,1.679996,0.0010,0.4547672
170,1.689997,0.0010,0.4393897
171,1.699996,0.0010,0.4634221
172,1.709996,0.0010,0.4569016
173,1.719997,0.0010,0.4516289
174,1.729996,0.0010,0.4312785
175,1.739996,0.0010,0.4517403
176,1.749997,0.0010,0.4352586
177,1.759996,0.0010,0.4561946
178,1.769996,0.0010,0.4364448
179,1.779997,0.0010,0.4388056
180,1.789996,0.0010,0.4278841
181,1.799996,0.0010,0.4535162
182,1.809997,0.0010,0.4321079
183,1.819996,0.0010,0.4439149
184,1.829996,0.0010,0.4353251
185,1.839997,0.0010,0.4439321
186,1.849996,0.0010,0.4202304
187,1.859996,0.0010,0.4453456
188,1.869997,0.0010,0.431818
189,1.879996,0.0010,0.4453423
190,1.889996,0.0010,0.4338751
191,1.899997,0.0010,0.4568512
192,1.909996,0.0010,0.4370937
193,1.919996,0.0010,0.4483304
194,1.929997,0.0010,0.4325783
195,1.939996,0.0010,0.452672
196,1.949996,0.0010,0.4417977
197,1.959997,0.0010,0.4571762
198,1.969996,0.0010,0.4443448
199,1.979996,0.0010,0.4597247
200,1.989997,0.0010,0.4519384
201,1.999996,0.0010,0.4645936
202,2.009996,0.0010,0.4511764
203,2.019997,0.0010,0.4592664
204,2.029996,0.0010,0.4389932
205,2.039996,0.0010,0.4594405
206,2.049997,0.0010,0.4316368
207,2.059996,0.0010,0.4447575
208,2.069996,0.0010,0.4311941
209,2.079997,0.0010,0.4454219
210,2.089996,0.0010,0.4326653
211,2.099996,0.0010,0.4436412
212,2.109997,0.0010,0.4329398
213,2.119996,0.0010,0.4472222
214,2.129996,0.0010,0.4382069
215,2.139997,0.0010,0.4476757
216,2.149996,0.0010,0.4410503
217,2.159996,0.0010,0.4546089
218,2.169997,0.0010,0.4372442
219,2.179996,0.0010,0.4538021
220,2.189996,0.0010,0.4450719
221,2.199997,0.0010,0.4480746
222,2.209996,0.0010,0.4315352
223,2.219996,0.0010,0.4413054
224,2.229997,0.0010,0.4235775
225,2.239996,0.0010,0.4455121
226,2.249996,0.0010,0.430337
227,2.259997,0.0010,0.448935
228,2.269996,0.0010,0.4408131
229,2.279996,0.0010,0.4509864
230,2.289997,0.0010,0.4330812
231,2.299996,0.0010,0.4495711
232,2.309996,0.0010,0.4370263
233,2.319997,0.0010,0.4539459
234,2.329996,0.0010,0.4332201
235,2.339996,0.0010,0.4610295
236,2.349997,0.0010,0.4397187
237,2.359996,0.0010,0.4523251
238,2.369996,0.0010,0.4344413
239,2.379997,0.0010,0.4408221
240,2.389996,0.0010,0.4286683
241,2.399996,0.0010,0.4487553
242,2.409997,0.0010,0.4376285
243,2.419996,0.0010,0.4479997
244,2.429996,0.0010,0.424948
245,2.439997,0.0010,0.4318228
246,2.449996,0.0010,0.4199102
247,2.459996,0.0010,0.4404361
248,2.469997,0.0010,0.4344964
249,2.479996,0.0010,0.4445746
250,2.489996,0.0010,0.4297771
251,2.499997,0.0010,0.4340439
252,2.509996,0.0010,0.4215732
253,2.519996,0.0010,0.4377365
254,2.529997,0.0010,0.4254413
255,2.539996,0.0010,0.4436979
256,2.549996,0.0010,0.4323289
257,2.559997,0.0010,0.4474604
258,2.569996,0.0010,0.4361627
259,2.579996,0.0010,0.4507596
260,2.589997,0.0010,0.4417684
261,2.599996,0.0010,0.4520888
262,2.609996,0.0010,0.4416533
263,2.619997,0.0010,0.4564636
264,2.629996,0.0010,0.4471452
265,2.639996,0.0010,0.4483232
266,2.649997,0.0010,0.4279094
267,2.659996,0.0010,0.4510245
268,2.669996,0.0010,0.4298308
269,2.679997,0.0010,0.4353414
270,2.689996,0.0010,0.4317017
271,2.699996,0.0010,0.4437101
272,2.709997,0.0010,0.4394231
273,2.719996,0.0010,0.452755
274,2.729996,0.0010,0.4413874
275,2.739997,0.0010,0.4477115
276,2.749996,0.0010,0.4438295
277,2.759996,0.0010,0.4494224
278,2.769997,0.0010,0.4384904
279,2.779996,0.0010,0.4587376
280,2.789996,0.0010,0.44874
281,2.799997,0.0010,0.4603763
282,2.809996,0.0010,0.4475141
283,2.819996,0.0010,0.4561338
284,2.829997,0.0010,0.4279199
285,2.839996,0.0010,0.4565465
286,2.849996,0.0010,0.4477503
287,2.859997,0.0010,0.4541125
288,2.869996,0.0010,0.42665
289,2.879996,0.0010,0.4347994
290,2.889997,0.0010,0.4298096
291,2.899996,0.0010,0.439337
292,2.909996,0.0010,0.434247
293,2.919997,0.0010,0.4520862
294,2.929996,0.0010,0.4363489
295,2.939996,0.0010,0.4452205
296,2.949997,0.0010,0.4504452
297,2.959996,0.0010,0.4615974
298,2.969996,0.0010,0.4414501
299,2.979997,0.0010,0.4492135
300,2.989996,0.0010,0.4328301
301,2.999996,0.0010,0.4548509
302,3.009997,0.0010,0.4407952
303,3.019996,0.0010,0.4603236
304,3.029996,0.0010,0.4406798
305,3.039997,0.0010,0.2281103
306,3.049996,0.0010,0.4069269
307,3.059996,0.0010,0.4270856
308,3.069997,0.0010,0.4315758
309,3.079996,0.0010,0.4433405
310,3.089996,0.0010,0.4461288
311,3.099997,0.0010,0.4546933
312,3.109996,0.0010,0.4478219
313,3.119996,0.0010,0.463829
314,3.129997,0.0010,0.4430513
315,3.139996,0.0010,0.4626243
316,3.149996,0.0010,0.4613602
317,3.159997,0.0010,0.4710069
318,3.169996,0.0010,0.4573834
319,3.179996,0.0010,0.4703512
320,3.189997,0.0010,0.4500122
321,3.199996,0.0010,0.4764566
322,3.209996,0.0010,0.4522016
323,3.219997,0.0010,0.4694746
324,3.229996,0.0010,0.4534764
325,3.239996,0.0010,0.4571445
326,3.249997,0.0010,0.4583728
327,3.259996,0.0010,0.4674737
328,3.269996,0.0010,0.4466779
329,3.279997,0.0010,0.454041
330,3.289996,0.0010,0.4570696
331,3.299996,0.0010,0.475039
332,3.309997,0.0010,0.4441164
333,3.319996,0.0010,0.4558656
334,3.329996,0.0010,0.446254
335,3.339997,0.0010,0.4624164
336,3.349996,0.0010,0.4430497
337,3.359996,0.0010,0.4637301
338,3.369997,0.0010,0.4428425
339,3.379996,0.0010,0.4425664
340,3.389996,0.0010,0.437804
341,3.399997,0.0010,0.4622693
342,3.409996,0.0010,0.4445
343,3.419996,0.0010,0.4622643
344,3.429997,0.0010,0.4541898
345,3.439996,0.0010,0.4590325
346,3.449996,0.0010,0.4423292
347,3.459997,0.0010,0.4469883
348,3.469996,0.0010,0.4382613
349,3.479996,0.0010,0.4599969
350,3.489997,0.0010,0.4477406
351,3.499996,0.0010,0.4534235
352,3.509996,0.0010,0.4392564
353,3.519997,0.0010,0.45508
354,3.529996,0.0010,0.4470248
355,3.539996,0.0010,0.4571469
356,3.549997,0.0010,0.4512486
357,3.559996,0.0010,0.4700613
358,3.569996,0.0010,0.4535413
359,3.579997,0.0010,0.4681659
360,3.589996,0.0010,0.4563198
361,3.599996,0.0010,0.4585719
362,3.609997,0.0010,0.4556878
363,3.619996,0.0010,0.4682398
364,3.629996,0.0010,0.4582655
365,3.639997,0.0010,0.4748423
366,3.649996,0.0010,0.450845
367,3.659996,0.0010,0.4567976
368,3.669997,0.0010,0.4540555
369,3.679996,0.0010,0.4709597
370,3.689996,0.0010,0.4443643
371,3.699997,0.0010,0.4613042
372,3.709996,0.0010,0.4566448
373,3.719996,0.0010,0.4616876
374,3.729997,0.0010,0.4473882
375,3.739996,0.0010,0.4677532
376,3.749996,0.0010,0.4512203
377,3.759997,0.0010,0.4642882
378,3.769996,0.0010,0.4601748
379,3.779996,0.0010,0.4625878
380,3.789997,0.0010,0.4536259
381,3.799996,0.0010,0.4666831
382,3.809996,0.0010,0.4586978
383,3.819997,0.0010,0.4680343
384,3.829996,0.0010,0.4589512
385,3.839996,0.0010,0.4638648
386,3.849997,0.0010,0.4519255
387,3.859996,0.0010,0.4629614
388,3.869996,0.0010,0.4424112
389,3.879997,0.0010,0.4660926
390,3.889996,0.0010,0.4502194
391,3.899996,0.0010,0.4544642
392,3.909997,0.0010,0.4470892
393,3.919996,0.0010,0.4631426
394,3.929996,0.0010,0.4529092
395,3.939997,0.0010,0.461894
396,3.949996,0.0010,0.4634855
397,3.959996,0.0010,0.4669261
398,3.969997,0.0010,0.4367957
399,3.979996,0.0010,0.4553986
400,3.989996,0.0010,0.448488
401,3.999997,0.0010,0.4550102
402,4.009996,0.0010,0.4433625
403,4.019996,0.0010,0.4565992
404,4.029997,0.0010,0.4491804
405,4.039996,0.0010,0.459568
406,4.049996,0.0010,0.4418092
407,4.059997,0.0010,0.459239
408,4.069996,0.0010,0.4526453
409,4.079996,0.0010,0.4640939
410,4.089997,0.0010,0.4456177
411,4.099996,0.0010,0.4605615
412,4.109996,0.0010,0.4559438
413,4.119997,0.0010,0.4674728
414,4.129996,0.0010,0.459182
415,4.139996,0.0010,0.4613276
416,4.149997,0.0010,0.4486992
417,4.159996,0.0010,0.4675808
418,4.169996,0.0010,0.4594533
419,4.179997,0.0010,0.4760773
420,4.189996,0.0010,0.4563832
421,4.199996,0.0010,0.4591081
422,4.209997,0.0010,0.4402721
423,4.219996,0.0010,0.4466755
424,4.229996,0.0010,0.4512324
425,4.239997,0.0010,0.4569869
426,4.249996,0.0010,0.4377267
427,4.259996,0.0010,0.451664
428,4.269997,0.0010,0.4468105
429,4.279996,0.0010,0.4694738
430,4.289996,0.0010,0.4437735
431,4.299997,0.0010,0.4496856
432,4.309996,0.0010,0.4450102
433,4.319996,0.0010,0.4464447
434,4.329997,0.0010,0.4436274
435,4.339996,0.0010,0.4616349
436,4.349996,0.0010,0.4456878
437,4.359997,0.0010,0.4462376
438,4.369996,0.0010,0.4382613
439,4.379996,0.0010,0.4488895
440,4.389997,0.0010,0.4419465
441,4.399996,0.0010,0.4606013
442,4.409996,0.0010,0.4539175
443,4.419997,0.0010,0.4678457
444,4.429996,0.0010,0.4572232
445,4.439996,0.0010,0.4721103
446,4.449997,0.0010,0.4470119
447,4.459996,0.0010,0.4608078
448,4.469996,0.0010,0.4546454
449,4.479997,0.0010,0.4723449
450,4.489996,0.0010,0.4664361
451,4.499996,0.0010,0.4724653
452,4.509997,0.0010,0.4693317
453,4.519996,0.0010,0.475775
454,4.529996,0.0010,0.4668019
455,4.539997,0.0010,0.4733491
456,4.549996,0.0010,0.4541345
457,4.559996,0.0010,0.4746482
458,4.569997,0.0010,0.4761121
459,4.579996,0.0010,0.475035
460,4.589996,0.0010,0.4666035
461,4.599997,0.0010,0.4866476
462,4.609996,0.0010,0.4735165
463,4.619996,0.0010,0.4786568
464,4.629997,0.0010,0.4748993
465,4.639996,0.0010,0.4784293
466,4.649996,0.0010,0.4642785
467,4.659997,0.0010,0.4791157
468,4.669996,0.0010,0.4587255
469,4.679996,0.0010,0.4691026
470,4.689997,0.0010,0.4624391
471,4.699996,0.0010,0.4793944
472,4.709996,0.0010,0.4807537
473,4.719997,0.0010,0.4863091
474,4.729996,0.0010,0.4699645
475,4.739996,0.0010,0.4903061
476,4.749997,0.0010,0.4805961
477,4.759996,0.0010,0.47542
478,4.769996,0.0010,0.4552677
479,4.779997,0.0010,0.4728389
480,4.789996,0.0010,0.4603827
481,4.799996,0.0010,0.4801955
482,4.809997,0.0010,0.4561379
483,4.819996,0.0010,0.4766736
484,4.829996,0.0010,0.4565523
485,4.839997,0.0010,0.4697337
486,4.849996,0.0010,0.4629931
487,4.859996,0.0010,0.4618964
488,4.869997,0.0010,0.4483371
489,4.879996,0.0010,0.4543822
490,4.889996,0.0010,0.438592
491,4.899997,0.0010,0.4517272
492,4.909996,0.0010,0.4442391
493,4.919996,0.0010,0.4633539
494,4.929997,0.0010,0.4474084
495,4.939996,0.0010,0.4558382
496,4.949996,0.0010,0.4470055
497,4.959997,0.0010,0.461391
498,4.969996,0.0010,0.443104
499,4.979996,0.0010,0.4602211
500,4.989997,0.0010,0.4476595
501,4.999996,0.0010,0.4569194
502,5.009996,0.0010,0.4555666
503,5.019997,0.0010,0.4682536
504,5.029996,0.0010,0.452755
505,5.039996,0.0010,0.471678
506,5.049997,0.0010,0.4659667
507,5.059996,0.0010,0.4822874
508,5.069996,0.0010,0.4765306
509,5.079997,0.0010,0.4672835
510,5.089996,0.0010,0.4630127
511,5.099996,0.0010,0.486599
512,5.109997,0.0010,0.464808
513,5.119996,0.0010,0.4733312
514,5.129996,0.0010,0.4617095
515,5.139997,0.0010,0.474298
516,5.149996,0.0010,0.4648049
517,5.159996,0.0010,0.4872692
518,5.169997,0.0010,0.4643881
519,5.179996,0.0010,0.4654052
520,5.189996,0.0010,0.4519913
521,5.199997,0.0010,0.4579155
522,5.209996,0.0010,0.4545472
523,5.219996,0.0010,0.4650381
524,5.229997,0.0010,0.4500341
525,5.239996,0.0010,0.4576466
526,5.249996,0.0010,0.4478283
527,5.259997,0.0010,0.4575295
528,5.269996,0.0010,0.4409373
529,5.279996,0.0010,0.4494712
530,5.289997,0.0010,0.4270651
531,5.299996,0.0010,0.4344599
532,5.309996,0.0010,0.4314215
533,5.319997,0.0010,0.443023
534,5.329996,0.0010,0.4404247
535,5.339996,0.0010,0.4543822
536,5.349997,0.0010,0.4466748
537,5.359996,0.0010,0.4573581
538,5.369996,0.0010,0.4311452
539,5.379997,0.0010,0.4413128
540,5.389996,0.0010,0.4457202
541,5.399996,0.0010,0.4404233
542,5.409997,0.0010,0.438704
543,5.419996,0.0010,0.4527979
544,5.429996,0.0010,0.4543173
545,5.439997,0.0010,0.4547112
546,5.449996,0.0010,0.4450808
547,5.459996,0.0010,0.457948
548,5.469997,0.0010,0.4503932
549,5.479996,0.0010,0.4564142
550,5.489996,0.0010,0.4532189
551,5.499997,0.0010,0.4627633
552,5.509996,0.0010,0.4593778
553,5.519996,0.0010,0.4550736
554,5.529997,0.0010,0.4434404
555,5.539996,0.0010,0.4487538
556,5.549996,0.0010,0.4475319
557,5.559997,0.0010,0.4464302
558,5.569996,0.0010,0.450212
559,5.579996,0.0010,0.4461005
560,5.589997,0.0010,0.4299071
561,5.599996,0.0010,0.437804
562,5.609996,0.0010,0.4240193
563,5.619997,0.0010,0.416286
564,5.629996,0.0010,0.4141939
565,5.639996,0.0010,0.4225538
566,5.649997,0.0010,0.4159594
567,5.659996,0.0010,0.4341569
568,5.669996,0.0010,0.4204252
569,5.679997,0.0010,0.4309268
570,5.689996,0.0010,0.42681
571,5.699996,0.0010,0.4441025
572,5.709997,0.0010,0.4338579
573,5.719996,0.0010,0.4453659
574,5.729996,0.0010,0.4298949
575,5.739997,0.0010,0.4519312
576,5.749996,0.0010,0.4352252
577,5.759996,0.0010,0.4367144
578,5.769997,0.0010,0.4337506
579,5.779996,0.0010,0.4351733
580,5.789996,0.0010,0.4239893
581,5.799997,0.0010,0.4315946
582,5.809996,0.0010,0.4245727
583,5.819996,0.0010,0.4384611
584,5.829997,0.0010,0.4347889
585,5.839996,0.0010,0.4300492
586,5.849996,0.0010,0.4197526
587,5.859997,0.0010,0.4358678
588,5.869996,0.0010,0.4257336
589,5.879996,0.0010,0.435261
590,5.889997,0.0010,0.4312282
591,5.899996,0.0010,0.438674
592,5.909996,0.0010,0.4359045
593,5.919997,0.0010,0.4546626
594,5.929996,0.0010,0.4403102
595,5.939996,0.0010,0.4492998
596,5.949997,0.0010,0.4387999
597,5.959996,0.0010,0.4394906
598,5.969996,0.0010,0.4227521
599,5.979997,0.0010,0.4355016
600,5.989996,0.0010,0.4362261
601,5.999996,0.0010,0.440588
602,6.009997,0.0010,0.4317725
603,6.019996,0.0010,0.4369719
604,6.029996,0.0010,0.4197729
605,6.039997,0.0010,0.4378095
606,6.049996,0.0010,0.4313922
607,6.059996,0.0010,0.4368598
608,6.069997,0.0010,0.4226797
609,6.079996,0.0010,0.4456673
610,6.089996,0.0010,0.4296601
611,6.099997,0.0010,0.4370816
612,6.109996,0.0010,0.4263902
613,6.119996,0.0010,0.4436395
614,6.129997,0.0010,0.4403069
615,6.139996,0.0010,0.451668
616,6.149996,0.0010,0.4392176
617,6.159997,0.0010,0.4638429
618,6.169996,0.0010,0.4399202
619,6.179996,0.0010,0.454067
620,6.189997,0.0010,0.4386635
621,6.199996,0.0010,0.4435258
622,6.209996,0.0010,0.4325995
623,6.219997,0.0010,0.4491997
624,6.229996,0.0010,0.4464586
625,6.239996,0.0010,0.4517248
626,6.249997,0.0010,0.4421527
627,6.259996,0.0010,0.4411731
628,6.269996,0.0010,0.4302135
629,6.279997,0.0010,0.4350498
630,6.289996,0.0010,0.4273968
631,6.299996,0.0010,0.450892
632,6.309997,0.0010,0.4478033
633,6.319996,0.0010,0.4449711
634,6.329996,0.0010,0.4261081
635,6.339997,0.0010,0.4482183
636,6.349996,0.0010,0.4429545
637,6.359996,0.0010,0.4467852
638,6.369997,0.0010,0.4289079
639,6.379996,0.0010,0.4429872
640,6.389996,0.0010,0.4336281
641,6.399997,0.0010,0.4531531
642,6.409996,0.0010,0.432719
643,6.419996,0.0010,0.4346445
644,6.429997,0.0010,0.4340708
645,6.439996,0.0010,0.4525299
646,6.449996,0.0010,0.4480007
647,6.459997,0.0010,0.4543417
648,6.469996,0.0010,0.451247
649,6.479996,0.0010,0.4524665
650,6.489997,0.0010,0.4458785
651,6.499996,0.0010,0.4621141
652,6.509996,0.0010,0.4412112
653,6.519997,0.0010,0.4597962
654,6.529996,0.0010,0.4357321
655,6.539996,0.0010,0.4456341
656,6.549997,0.0010,0.4461319
657,6.559996,0.0010,0.4498661
658,6.569996,0.0010,0.02345538
659,6.579997,0.0010,0.2583139
660,6.589996,0.0010,0.3701832
661,6.599996,0.0010,8.797646E-4
662,6.609997,0.0010,0.2883728
663,6.619996,0.0010,0.1410687
664,6.629996,0.0010,0.408659
665,6.639997,0.0010,0.4514184
666,6.649996,0.0010,0.4524665
667,6.659996,0.0010,0.4724002
668,6.669997,0.0010,0.4421496
669,6.679996,0.0010,0.456531
670,6.689996,0.0010,0.4488032
671,6.699997,0.0010,0.4531562
672,6.709996,0.0010,0.4440897
673,6.719996,0.0010,0.4651802
674,6.729997,0.0010,0.4526908
675,6.739996,0.0010,0.4584687
676,6.749996,0.0010,0.4501698
677,6.759997,0.0010,0.4653695
678,6.769996,0.0010,0.4553003
679,6.779996,0.0010,0.4691968
680,6.789997,0.0010,0.4560494
681,6.799996,0.0010,0.4607296
682,6.809996,0.0010,0.4478593
683,6.819997,0.0010,0.4564044
684,6.829996,0.0010,0.4474514
685,6.839996,0.0010,0.4590569
686,6.849997,0.0010,0.4602268
687,6.859996,0.0010,0.4731054
688,6.869996,0.0010,0.4658415
689,6.879997,0.0010,0.00186038
690,6.889996,0.0010,0.00163126
691,6.899996,0.0010,0.3709145
692,6.909997,0.0010,0.460218
693,6.919996,0.0010,0.4787242
694,6.929996,0.0010,0.4676411
695,6.939997,0.0010,0.4800143
696,6.949996,0.0010,0.4630792
697,6.959996,0.0010,0.4748228
698,6.969997,0.0010,0.4594901
699,6.979996,0.0010,0.01747513
700,6.989996,0.0010,0.3352797
701,6.999997,0.0010,0.4482849
702,7.009996,0.0010,0.4578683
703,7.019996,0.0010,0.004199982
704,7.029997,0.0010,0.07385421
705,7.039996,0.0010,0.4273641
706,7.049996,0.0010,0.4421284
707,7.059997,0.0010,0.4598205
708,7.069996,0.0010,0.4667945
709,7.079996,0.0010,0.4787583
710,7.089997,0.0010,0.4667773
711,7.099996,0.0010,0.4783187
712,7.109996,0.0010,0.4706893
713,7.119997,0.0010,0.477936
714,7.129996,0.0010,0.4573548
715,7.139996,0.0010,0.4688385
716,7.149997,0.0010,0.4531751
717,7.159996,0.0010,4.684925E-4
718,7.169996,0.0010,0.08592939
719,7.179997,0.0010,0.2235656
720,7.189996,0.0010,3.230572E-4
721,7.199996,0.0010,4.336834E-4
722,7.209997,0.0010,3.426075E-4
723,7.219996,0.0010,2.784729E-4
724,7.229996,0.0010,2.02179E-4
725,7.239997,0.0010,4.441738E-4
726,7.249996,0.0010,0.129087
727,7.259996,0.0010,2.777576E-4
728,7.269997,0.0010,2.524853E-4
729,7.279996,0.0010,2.980232E-4
730,7.289996,0.0010,0.3201208
731,7.299997,0.0010,0.4206283
732,7.309996,0.0010,0.4263673
733,7.319996,0.0010,0.4513566
734,7.329997,0.0010,0.450187
735,7.339996,0.0010,0.4617655
736,7.349996,0.0010,0.4522495
737,7.359997,0.0010,0.460218
