[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 7:30 AM 0.75769 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,0.02436471
2,0.009996,0.0010,0.5606484
3,0.019997,0.0010,0.6119058
4,0.029996,0.0010,0.6348283
5,0.039996,0.0010,0.6712155
6,0.049997,0.0010,0.6898205
7,0.059996,0.0010,0.723017
8,0.069996,0.0010,0.7418935
9,0.079997,0.0010,0.7631416
10,0.089996,0.0010,0.7711527
11,0.099996,0.0010,0.8045776
12,0.109997,0.0010,0.7989333
13,0.119996,0.0010,0.810612
14,0.129996,0.0010,0.8104527
15,0.139997,0.0010,0.8287432
16,0.149996,0.0010,0.8115926
17,0.159996,0.0010,0.8282411
18,0.169997,0.0010,0.8253324
19,0.179996,0.0010,0.8382404
20,0.189996,0.0010,0.8164129
21,0.199997,0.0010,0.8294973
22,0.209996,0.0010,0.8143852
23,0.219996,0.0010,0.8296721
24,0.229997,0.0010,0.8123765
25,0.239996,0.0010,0.822701
26,0.249996,0.0010,0.815443
27,0.259997,0.0010,0.8279333
28,0.269996,0.0010,0.8235743
29,0.279996,0.0010,0.8373435
30,0.289997,0.0010,0.8235726
31,0.299996,0.0010,0.8342626
32,0.309996,0.0010,0.8180802
33,0.319997,0.0010,0.8389618
34,0.329996,0.0010,0.8174515
35,0.339996,0.0010,0.8417659
36,0.349997,0.0010,0.8330381
37,0.359996,0.0010,0.8468592
38,0.369996,0.0010,0.8284557
39,0.379997,0.0010,0.8295176
40,0.389996,0.0010,0.812614
41,0.399996,0.0010,0.8272338
42,0.409997,0.0010,0.8215814
43,0.419996,0.0010,0.8367658
44,0.429996,0.0010,0.8207014
45,0.439997,0.0010,0.8280299
46,0.449996,0.0010,0.8164284
47,0.459996,0.0010,0.8354909
48,0.469997,0.0010,0.8213863
49,0.479996,0.0010,0.8293812
50,0.489996,0.0010,0.8100114
51,0.499997,0.0010,0.8290024
52,0.509996,0.0010,0.8265057
53,0.519996,0.0010,0.8263757
54,0.529997,0.0010,0.8114626
55,0.539996,0.0010,0.8304212
56,0.549996,0.0010,0.8052602
57,0.559997,0.0010,0.8217893
58,0.569996,0.0010,0.8233647
59,0.579996,0.0010,0.8342218
60,0.589997,0.0010,0.8191795
61,0.599996,0.0010,0.820127
62,0.609996,0.0010,0.8036172
63,0.619997,0.0010,0.8276098
64,0.629996,0.0010,0.824966
65,0.639996,0.0010,0.8378928
66,0.649997,0.0010,0.8247736
67,0.659996,0.0010,0.8466375
68,0.669996,0.0010,0.8275797
69,0.679997,0.0010,0.8317714
70,0.689996,0.0010,0.8124247
71,0.699996,0.0010,0.8315561
72,0.709997,0.0010,0.8107905
73,0.719996,0.0010,0.8333542
74,0.729996,0.0010,0.8126926
75,0.739997,0.0010,0.8295817
76,0.749996,0.0010,0.8174188
77,0.759996,0.0010,0.8365626
78,0.769997,0.0010,0.8126812
79,0.779996,0.0010,0.8250732
80,0.789996,0.0010,0.8237596
81,0.799997,0.0010,0.8334696
82,0.809996,0.0010,0.8260207
83,0.819996,0.0010,0.8366244
84,0.829997,0.0010,0.8064959
85,0.839996,0.0010,0.8281047
86,0.849996,0.0010,0.8168859
87,0.859997,0.0010,0.8296793
88,0.869996,0.0010,0.8187537
89,0.879996,0.0010,0.83232
90,0.889997,0.0010,0.8069549
91,0.899996,0.0010,0.8195834
92,0.909996,0.0010,0.7977469
93,0.919997,0.0010,0.8192194
94,0.929996,0.0010,0.8132906
95,0.939996,0.0010,0.8174832
96,0.949997,0.0010,0.8035798
97,0.959996,0.0010,0.8312237
98,0.969996,0.0010,0.8150311
99,0.979997,0.0010,0.836236
100,0.989996,0.0010,0.8162539
101,0.999996,0.0010,0.827002
102,1.009997,0.0010,0.805871
103,1.019996,0.0010,0.8356276
104,1.029996,0.0010,0.815027
105,1.039997,0.0010,0.8303993
106,1.049996,0.0010,0.8113692
107,1.059996,0.0010,0.8314619
108,1.069997,0.0010,0.8149133
109,1.079996,0.0010,0.839191
110,1.089996,0.0010,0.8311832
111,1.099997,0.0010,0.8432837
112,1.109996,0.0010,0.8181591
113,1.119996,0.0010,0.8293519
114,1.129997,0.0010,0.8207142
115,1.139996,0.0010,0.8272409
116,1.149996,0.0010,0.810585
117,1.159997,0.0010,0.8197474
118,1.169996,0.0010,0.8034296
119,1.179996,0.0010,0.8264155
120,1.189997,0.0010,0.8065479
121,1.199996,0.0010,0.8285434
122,1.209996,0.0010,0.8036554
123,1.219997,0.0010,0.8288147
124,1.229996,0.0010,0.8058474
125,1.239996,0.0010,0.8288383
126,1.249997,0.0010,0.8093591
127,1.259996,0.0010,0.8208866
128,1.269996,0.0010,0.8076034
129,1.279997,0.0010,0.8264358
130,1.289996,0.0010,0.8166349
131,1.299996,0.0010,0.820399
132,1.309997,0.0010,0.8095241
133,1.319996,0.0010,0.8340187
134,1.329996,0.0010,0.8213286
135,1.339997,0.0010,0.8403325
136,1.349996,0.0010,0.8242998
137,1.359996,0.0010,0.8403642
138,1.369997,0.0010,0.8348653
139,1.379996,0.0010,0.8508129
140,1.389996,0.0010,0.8276222
141,1.399997,0.0010,0.8481414
142,1.409996,0.0010,0.828259
143,1.419996,0.0010,0.8319039
144,1.429997,0.0010,0.8206933
145,1.439996,0.0010,0.8330495
146,1.449996,0.0010,0.8256559
147,1.459997,0.0010,0.8374808
148,1.469996,0.0010,0.8142462
149,1.479996,0.0010,0.8384981
150,1.489997,0.0010,0.8200393
151,1.499996,0.0010,0.8320737
152,1.509996,0.0010,0.8193462
153,1.519997,0.0010,0.8375678
154,1.529996,0.0010,0.8214188
155,1.539996,0.0010,0.83533
156,1.549997,0.0010,0.8219826
157,1.559996,0.0010,0.8449621
158,1.569996,0.0010,0.8244088
159,1.579997,0.0010,0.8509185
160,1.589996,0.0010,0.8247874
161,1.599996,0.0010,0.8376563
162,1.609997,0.0010,0.8249221
163,1.619996,0.0010,0.8403082
164,1.629996,0.0010,0.8203163
165,1.639997,0.0010,0.8409379
166,1.649996,0.0010,0.8263791
167,1.659996,0.0010,0.8340366
168,1.669997,0.0010,0.808804
169,1.679996,0.0010,0.8357315
170,1.689996,0.0010,0.8123775
171,1.699997,0.0010,0.8332632
172,1.709996,0.0010,0.8088732
173,1.719996,0.0010,0.8223221
174,1.729997,0.0010,0.8023319
175,1.739996,0.0010,0.8370478
176,1.749996,0.0010,0.8126447
177,1.759997,0.0010,0.82182
178,1.769996,0.0010,0.8008506
179,1.779996,0.0010,0.8226457
180,1.789997,0.0010,0.8045418
181,1.799996,0.0010,0.6017432
182,1.809996,0.0010,0.1754436
183,1.819997,0.0010,0.7616971
184,1.829996,0.0010,0.7994208
185,1.839996,0.0010,0.8262076
186,1.849997,0.0010,0.8062277
187,1.859996,0.0010,0.0390203
188,1.869996,0.0010,0.3318813
189,1.879997,0.0010,0.7750242
190,1.889996,0.0010,0.08260274
191,1.899996,0.0010,0.7543571
192,1.909997,0.0010,0.7955964
193,1.919996,0.0010,0.8159533
194,1.929996,0.0010,0.8106167
195,1.939997,0.0010,0.8318486
196,1.949996,0.0010,0.001496315
197,1.959996,0.0010,0.005787849
198,1.969997,0.0010,0.7032161
199,1.979996,0.0010,0.0284481
200,1.989996,0.0010,0.3428302
201,1.999997,0.0010,0.75668
202,2.009996,0.0010,0.7867174
203,2.019996,0.0010,0.8152716
204,2.029997,0.0010,0.8018029
205,2.039996,0.0010,0.8269689
206,2.049996,0.0010,0.8176253
207,2.059997,0.0010,0.3868725
208,2.069996,0.0010,0.7446325
209,2.079996,0.0010,0.2895539
210,2.089997,0.0010,0.749579
211,2.099996,0.0010,0.007447958
212,2.109996,0.0010,0.6899531
213,2.119997,0.0010,0.34797
214,2.129996,0.0010,0.7433479
215,2.139996,0.0010,0.02371454
216,2.149997,0.0010,0.006681681
217,2.159996,0.0010,0.4469745
218,2.169996,0.0010,0.7372227
219,2.179997,0.0010,0.2103198
220,2.189996,0.0010,0.7299216
221,2.199996,0.0010,0.7891412
222,2.209997,0.0010,0.7837691
223,2.219996,0.0010,0.8090966
224,2.229996,0.0010,0.01986265
225,2.239997,0.0010,0.7209508
226,2.249996,0.0010,0.3467343
227,2.259996,0.0010,0.7609665
228,2.269997,0.0010,0.7993476
229,2.279996,0.0010,0.5324821
230,2.289996,0.0010,0.6338949
231,2.299997,0.0010,0.8032703
232,2.309996,0.0010,0.8085823
233,2.319996,0.0010,0.8318095
234,2.329997,0.0010,0.8227448
235,2.339996,0.0010,0.8466635
236,2.349996,0.0010,0.8215301
237,2.359997,0.0010,0.5693088
238,2.369996,0.0010,0.512569
239,2.379996,0.0010,0.09814239
240,2.389997,0.0010,0.6157284
241,2.399996,0.0010,0.09480786
242,2.409996,0.0010,0.72752
243,2.419997,0.0010,4.019737E-4
244,2.429996,0.0010,3.972054E-4
245,2.439996,0.0010,0.3727558
246,2.449997,0.0010,0.7438776
247,2.459996,0.0010,0.07177472
248,2.469996,0.0010,0.7142196
249,2.479997,0.0010,0.7950163
250,2.489996,0.0010,0.8069525
251,2.499996,0.0010,0.01271677
252,2.509997,0.0010,0.1740568
253,2.519996,0.0010,0.296201
254,2.529996,0.0010,0.5260577
255,2.539997,0.0010,0.7819426
256,2.549996,0.0010,0.0315063
257,2.559996,0.0010,0.6369181
258,2.569997,0.0010,0.7841704
259,2.579996,0.0010,0.8270185
260,2.589996,0.0010,0.8105631
261,2.599997,0.0010,0.8337433
262,2.609996,0.0010,0.8261662
263,2.619996,0.0010,0.6789227
264,2.629997,0.0010,0.701808
265,2.639996,0.0010,0.8311677
266,2.649996,0.0010,0.339859
267,2.659997,0.0010,0.03341246
268,2.669996,0.0010,0.3692522
269,2.679996,0.0010,0.08755565
270,2.689997,0.0010,0.6832347
271,2.699996,0.0010,0.0146246
272,2.709996,0.0010,4.954338E-4
273,2.719997,0.0010,0.4264495
274,2.729996,0.0010,0.7435567
275,2.739996,0.0010,0.00162816
276,2.749997,0.0010,0.6079342
277,2.759996,0.0010,0.7712047
278,2.769996,0.0010,0.7837543
279,2.779997,0.0010,0.004244328
280,2.789996,0.0010,0.5977709
281,2.799996,0.0010,0.3142526
282,2.809997,0.0010,0.3049879
283,2.819996,0.0010,0.7621057
284,2.829996,0.0010,0.7788844
285,2.839997,0.0010,0.5208879
286,2.849996,0.0010,0.1967235
287,2.859996,0.0010,0.6819818
288,2.869997,0.0010,0.787014
289,2.879996,0.0010,0.4693375
290,2.889996,0.0010,4.897118E-4
291,2.899997,0.0010,0.01664114
292,2.909996,0.0010,0.52438
293,2.919996,0.0010,0.1300812
294,2.929997,0.0010,0.5006635
295,2.939996,0.0010,7.667542E-4
296,2.949996,0.0010,0.03856516
297,2.959997,0.0010,0.2264678
298,2.969996,0.0010,0.2490377
299,2.979996,0.0010,0.3572323
300,2.989997,0.0010,4.97818E-4
301,2.999996,0.0010,3.921986E-4
302,3.009996,0.0010,0.6482084
303,3.019997,0.0010,0.08210802
304,3.029996,0.0010,0.2462606
305,3.039996,0.0010,0.7111597
306,3.049997,0.0010,0.732095
307,3.059996,0.0010,0.6423407
308,3.069996,0.0010,0.7547843
309,3.079997,0.0010,0.1732142
310,3.089996,0.0010,0.1585424
311,3.099996,0.0010,0.7016659
312,3.109997,0.0010,0.07715821
313,3.119996,0.0010,0.1710522
314,3.129996,0.0010,0.7326434
315,3.139997,0.0010,0.8013561
316,3.149996,0.0010,0.7980118
317,3.159996,0.0010,0.8300977
318,3.169997,0.0010,0.3062563
319,3.179996,0.0010,5.838871E-4
320,3.189996,0.0010,0.1523585
321,3.199997,0.0010,0.05050635
322,3.209996,0.0010,0.06938195
323,3.219996,0.0010,0.5729048
324,3.229997,0.0010,0.4678848
325,3.239996,0.0010,0.3049481
326,3.249996,0.0010,0.5559068
327,3.259997,0.0010,0.06323218
328,3.269996,0.0010,4.003048E-4
329,3.279996,0.0010,0.05379367
330,3.289997,0.0010,0.2554841
331,3.299996,0.0010,0.6334951
332,3.309996,0.0010,0.006938457
333,3.319997,0.0010,0.6910174
334,3.329996,0.0010,0.7177043
335,3.339996,0.0010,0.5066409
336,3.349997,0.0010,0.7472618
337,3.359996,0.0010,0.3489888
338,3.369996,0.0010,0.04586625
339,3.379997,0.0010,0.636831
340,3.389996,0.0010,0.7565427
341,3.399996,0.0010,0.8022416
342,3.409997,0.0010,0.7657359
343,3.419996,0.0010,0.8278959
344,3.429996,0.0010,0.8236563
345,3.439997,0.0010,0.8499215
346,3.449996,0.0010,0.8338952
347,3.459996,0.0010,0.008881092
348,3.469997,0.0010,0.128638
349,3.479996,0.0010,0.7751031
350,3.489996,0.0010,0.009952784
351,3.499997,0.0010,0.07882786
352,3.509996,0.0010,0.3129747
353,3.519996,0.0010,0.7737429
354,3.529997,0.0010,0.05013347
355,3.539996,0.0010,0.4051819
356,3.549996,0.0010,0.01881933
357,3.559997,0.0010,0.06892133
358,3.569996,0.0010,0.001496315
359,3.579996,0.0010,0.593801
360,3.589997,0.0010,0.02882504
361,3.599996,0.0010,0.1875117
362,3.609996,0.0010,0.6918299
363,3.619997,0.0010,0.1137331
364,3.629996,0.0010,0.6970882
365,3.639996,0.0010,0.01516485
366,3.649997,0.0010,0.7062604
367,3.659996,0.0010,0.4444673
368,3.669996,0.0010,0.7332025
369,3.679997,0.0010,0.7754426
370,3.689996,0.0010,0.5780592
371,3.699996,0.0010,0.797647
372,3.709997,0.0010,0.7969768
373,3.719996,0.0010,0.8345201
374,3.729996,0.0010,0.8100164
375,3.739997,0.0010,0.2051067
376,3.749996,0.0010,0.07970691
377,3.759996,0.0010,0.5661702
378,3.769997,0.0010,0.7724893
379,3.779996,0.0010,0.2256985
380,3.789996,0.0010,0.7485096
381,3.799997,0.0010,0.8267982
382,3.809996,0.0010,0.2235706
383,3.819996,0.0010,0.1731005
384,3.829997,0.0010,0.6549902
385,3.839996,0.0010,0.1684465
386,3.849996,0.0010,0.08805609
387,3.859997,0.0010,0.4037097
388,3.869996,0.0010,0.7471097
389,3.879996,0.0010,0.04281378
390,3.889997,0.0010,0.1169083
391,3.899996,0.0010,0.002742767
392,3.909996,0.0010,0.686681
393,3.919997,0.0010,0.03717351
394,3.929996,0.0010,0.1146984
395,3.939996,0.0010,0.2816801
396,3.949997,0.0010,0.731137
397,3.959996,0.0010,0.03309226
398,3.969996,0.0010,0.6225152
399,3.979997,0.0010,0.7597771
400,3.989996,0.0010,0.7707407
401,3.999996,0.0010,0.8080411
402,4.009997,0.0010,0.8102202
403,4.019996,0.0010,0.8459663
404,4.029996,0.0010,0.5316484
405,4.039997,0.0010,0.8146744
406,4.049996,0.0010,0.8236239
407,4.059996,0.0010,0.2748642
408,4.069997,0.0010,0.1718371
409,4.079996,0.0010,0.1965261
410,4.089996,0.0010,0.06214762
411,4.099997,0.0010,0.05450702
412,4.109996,0.0010,0.7082486
413,4.119996,0.0010,0.2040212
414,4.129997,0.0010,0.3973861
415,4.139996,0.0010,0.356133
416,4.149996,0.0010,0.1293962
417,4.159997,0.0010,0.04343772
418,4.169996,0.0010,0.2083704
419,4.179996,0.0010,0.0427568
420,4.189997,0.0010,0.6472456
421,4.199996,0.0010,0.7503443
422,4.209996,0.0010,0.7556481
423,4.219997,0.0010,0.1237242
424,4.229996,0.0010,0.7185159
425,4.239996,0.0010,0.7896953
426,4.249997,0.0010,0.4767871
427,4.259996,0.0010,0.7880297
428,4.269996,0.0010,0.7902119
429,4.279997,0.0010,0.8209639
430,4.289996,0.0010,0.8032322
431,4.299996,0.0010,0.27987
432,4.309997,0.0010,0.04983044
433,4.319996,0.0010,0.7296357
434,4.329996,0.0010,0.796308
435,4.339997,0.0010,0.3132281
436,4.349996,0.0010,0.4528098
437,4.359996,0.0010,0.012851
438,4.369997,0.0010,4.255772E-4
439,4.379996,0.0010,0.1003938
440,4.389996,0.0010,0.3405154
441,4.399997,0.0010,6.277561E-4
442,4.409996,0.0010,0.005476713
443,4.419996,0.0010,0.06749296
444,4.429997,0.0010,0.2237427
445,4.439996,0.0010,0.1311553
446,4.449996,0.0010,0.6689591
447,4.459997,0.0010,8.740425E-4
448,4.469996,0.0010,0.6276615
449,4.479996,0.0010,0.7142699
450,4.489997,0.0010,0.4715822
451,4.499996,0.0010,0.30897
452,4.509996,0.0010,0.716253
453,4.519997,0.0010,0.7725112
454,4.529996,0.0010,0.4721284
455,4.539996,0.0010,0.1025524
456,4.549997,0.0010,0.7281237
457,4.559996,0.0010,0.7816477
458,4.569996,0.0010,0.7808912
459,4.579997,0.0010,0.1064873
460,4.589996,0.0010,0.3327141
461,4.599996,0.0010,0.7589908
462,4.609997,0.0010,0.7745612
463,4.619996,0.0010,0.8055794
464,4.629996,0.0010,0.2825365
465,4.639997,0.0010,0.002978325
466,4.649996,0.0010,0.1884582
467,4.659996,0.0010,0.001539469
468,4.669997,0.0010,0.006637096
469,4.679996,0.0010,0.03560543
470,4.689996,0.0010,7.326603E-4
471,4.699997,0.0010,6.847382E-4
472,4.709996,0.0010,0.4756813
473,4.719996,0.0010,0.0205524
474,4.729997,0.0010,0.2955906
475,4.739996,0.0010,0.5096164
476,4.749996,0.0010,0.5782161
477,4.759997,0.0010,0.7239125
478,4.769996,0.0010,0.739881
479,4.779996,0.0010,0.1993332
480,4.789997,0.0010,0.7120178
481,4.799996,0.0010,0.7932141
482,4.809996,0.0010,0.4038389
483,4.819997,0.0010,0.7805378
484,4.829996,0.0010,0.7911358
485,4.839996,0.0010,0.8424003
486,4.849997,0.0010,0.001503706
487,4.859996,0.0010,0.01500487
488,4.869996,0.0010,0.01121688
489,4.879997,0.0010,0.7297738
490,4.889996,0.0010,0.4019685
491,4.899996,0.0010,0.02402592
492,4.909997,0.0010,0.03070045
493,4.919996,0.0010,0.7140701
494,4.929996,0.0010,0.06434202
495,4.939997,0.0010,0.1908517
496,4.949996,0.0010,0.4726133
497,4.959996,0.0010,0.008149147
498,4.969997,0.0010,5.369186E-4
499,4.979996,0.0010,0.4640968
500,4.989996,0.0010,0.4496143
501,4.999997,0.0010,0.07519698
502,5.009996,0.0010,0.7038822
503,5.019996,0.0010,0.7745342
504,5.029997,0.0010,0.7762656
505,5.039996,0.0010,0.8162212
506,5.049996,0.0010,0.8129811
507,5.059997,0.0010,0.2856426
508,5.069996,0.0010,0.7764151
509,5.079996,0.0010,0.8506105
510,5.089997,0.0010,0.8246403
511,5.099996,0.0010,0.8561752
512,5.109996,0.0010,0.832128
513,5.119997,0.0010,0.8520226
514,5.129996,0.0010,0.8095825
515,5.139996,0.0010,0.8357811
516,5.149997,0.0010,0.8212163
517,5.159996,0.0010,0.8436046
518,5.169996,0.0010,0.8226967
519,5.179997,0.0010,0.8520453
520,5.189996,0.0010,0.201206
521,5.199996,0.0010,0.2182536
522,5.209997,0.0010,0.024055
523,5.219996,0.0010,0.01953602
524,5.229996,0.0010,0.3930385
525,5.239997,0.0010,0.7940168
526,5.249996,0.0010,0.807297
527,5.259996,0.0010,0.3840775
528,5.269997,0.0010,0.7797887
529,5.279996,0.0010,0.8150537
530,5.289996,0.0010,0.5013688
531,5.299997,0.0010,0.8070834
532,5.309996,0.0010,0.8223126
533,5.319996,0.0010,0.8741336
534,5.329997,0.0010,0.8523533
535,5.339996,0.0010,0.6263175
536,5.349996,0.0010,0.6899726
537,5.359997,0.0010,0.3039715
538,5.369996,0.0010,0.001211166
539,5.379996,0.0010,0.7243218
540,5.389997,0.0010,0.8173678
541,5.399996,0.0010,0.8573289
542,5.409996,0.0010,0.8379796
543,5.419997,0.0010,0.8697445
544,5.429996,0.0010,0.8428099
545,5.439996,0.0010,0.5523295
546,5.449997,0.0010,0.7949789
547,5.459996,0.0010,0.8477578
548,5.469996,0.0010,0.8163326
549,5.479997,0.0010,0.8453667
550,5.489996,0.0010,0.8252156
551,5.499996,0.0010,0.8570487
552,5.509997,0.0010,0.8189538
553,5.519996,0.0010,0.8461695
554,5.529996,0.0010,0.8213148
555,5.539997,0.0010,0.8477027
556,5.549996,0.0010,0.8235118
557,5.559996,0.0010,0.851536
558,5.569997,0.0010,0.8282924
559,5.579996,0.0010,0.8666101
560,5.589996,0.0010,0.8400109
561,5.599997,0.0010,0.6698921
562,5.609996,0.0010,0.1886296
563,5.619996,0.0010,0.7958677
564,5.629997,0.0010,0.7019217
565,5.639996,0.0010,0.3040137
566,5.649996,0.0010,0.1899173
567,5.659997,0.0010,0.5820355
568,5.669996,0.0010,0.78828
569,5.679996,0.0010,0.845998
570,5.689997,0.0010,0.8323629
571,5.699996,0.0010,0.8669934
572,5.709996,0.0010,0.8446119
573,5.719997,0.0010,0.8601515
574,5.729996,0.0010,0.8277073
575,5.739996,0.0010,0.8602068
576,5.749997,0.0010,0.8383169
577,5.759996,0.0010,0.8671861
578,5.769996,0.0010,0.8268981
579,5.779997,0.0010,0.8586516
580,5.789996,0.0010,0.841011
581,5.799996,0.0010,0.8602433
582,5.809997,0.0010,0.8340237
583,5.819996,0.0010,0.859422
584,5.829996,0.0010,0.8296418
585,5.839997,0.0010,0.852159
586,5.849996,0.0010,0.8303237
587,5.859996,0.0010,0.8541114
588,5.869997,0.0010,0.8353715
589,5.879996,0.0010,0.5967164
590,5.889996,0.0010,0.04239774
591,5.899997,0.0010,0.7734749
592,5.909996,0.0010,0.4215763
593,5.919996,0.0010,0.01370716
594,5.929997,0.0010,0.03520083
595,5.939996,0.0010,0.4538693
596,5.949996,0.0010,0.0169239
597,5.959997,0.0010,0.7353888
598,5.969996,0.0010,0.7879598
599,5.979996,0.0010,0.8308346
600,5.989997,0.0010,0.8134677
601,5.999996,0.0010,0.8538287
602,6.009996,0.0010,0.8406267
603,6.019997,0.0010,0.8608713
604,6.029996,0.0010,0.7887862
605,6.039996,0.0010,0.8514636
606,6.049997,0.0010,0.8290546
607,6.059996,0.0010,0.8567879
608,6.069996,0.0010,0.8349035
609,6.079997,0.0010,0.8463027
610,6.089996,0.0010,0.8322761
611,6.099996,0.0010,0.8599005
612,6.109997,0.0010,0.8379397
613,6.119996,0.0010,0.8717017
614,6.129996,0.0010,0.8396518
615,6.139997,0.0010,0.7874489
616,6.149996,0.0010,0.03452063
617,6.159996,0.0010,0.7543693
618,6.169997,0.0010,0.03652906
619,6.179996,0.0010,0.1470759
620,6.189996,0.0010,0.001668692
621,6.199997,0.0010,0.1655128
622,6.209996,0.0010,0.06887341
623,6.219996,0.0010,0.001619816
624,6.229997,0.0010,0.08910418
625,6.239996,0.0010,0.7267025
626,6.249996,0.0010,0.7534926
627,6.259997,0.0010,0.7909985
628,6.269996,0.0010,0.7912796
629,6.279996,0.0010,0.8324449
630,6.289997,0.0010,0.8193672
631,6.299996,0.0010,0.85235
632,6.309996,0.0010,0.827692
633,6.319997,0.0010,0.8557591
634,6.329996,0.0010,0.8223524
635,6.339996,0.0010,0.8411572
636,6.349997,0.0010,0.821171
637,6.359996,0.0010,0.842762
638,6.369996,0.0010,0.8108401
639,6.379997,0.0010,0.8360655
640,6.389996,0.0010,0.8240261
641,6.399996,0.0010,0.8496566
642,6.409997,0.0010,0.8207362
643,6.419996,0.0010,0.8393981
644,6.429996,0.0010,0.3388669
645,6.439997,0.0010,0.104193
646,6.449996,0.0010,0.02800775
647,6.459996,0.0010,0.04209232
648,6.469997,0.0010,4.572868E-4
649,6.479996,0.0010,3.743172E-4
650,6.489996,0.0010,0.1859345
651,6.499997,0.0010,0.01396227
652,6.509996,0.0010,0.6532173
653,6.519996,0.0010,0.7512867
654,6.529997,0.0010,0.622694
655,6.539996,0.0010,0.48788
656,6.549996,0.0010,5.190372E-4
657,6.559997,0.0010,0.01789403
658,6.569996,0.0010,0.5084505
659,6.579996,0.0010,0.7318308
660,6.589997,0.0010,0.6905112
661,6.599996,0.0010,0.7756727
662,6.609996,0.0010,0.7675023
663,6.619997,0.0010,0.8184645
664,6.629996,0.0010,0.810235
665,6.639996,0.0010,0.8371906
666,6.649997,0.0010,0.8153503
667,6.659996,0.0010,0.848767
668,6.669996,0.0010,0.8268242
669,6.679997,0.0010,0.8472776
670,6.689996,0.0010,0.815486
671,6.699996,0.0010,0.83969
672,6.709997,0.0010,0.001357555
673,6.719996,0.0010,0.7393904
674,6.729996,0.0010,4.866123E-4
675,6.739997,0.0010,5.369186E-4
676,6.749996,0.0010,3.752708E-4
677,6.759996,0.0010,3.695488E-4
678,6.769997,0.0010,3.483295E-4
679,6.779996,0.0010,0.03361487
680,6.789996,0.0010,0.3584049
681,6.799997,0.0010,0.001658201
682,6.809996,0.0010,0.01250648
683,6.819996,0.0010,3.604889E-4
684,6.829997,0.0010,3.142357E-4
685,6.839996,0.0010,0.001112223
686,6.849996,0.0010,4.124641E-4
687,6.859997,0.0010,0.04372048
688,6.869996,0.0010,0.08141088
689,6.879996,0.0010,5.002022E-4
690,6.889997,0.0010,2.889633E-4
691,6.899996,0.0010,5.304813E-4
692,6.909996,0.0010,3.256798E-4
693,6.919997,0.0010,0.1052589
694,6.929996,0.0010,0.6087849
695,6.939996,0.0010,0.6675966
696,6.949997,0.0010,0.6720231
697,6.959996,0.0010,0.7181447
698,6.969996,0.0010,0.7315507
699,6.979997,0.0010,0.776001
700,6.989996,0.0010,0.7753167
701,6.999996,0.0010,0.8068421
702,7.009997,0.0010,0.4759023
703,7.019996,0.0010,0.1236811
704,7.029996,0.0010,0.3616889
705,7.039997,0.0010,4.262924E-4
706,7.049996,0.0010,6.489754E-4
707,7.059996,0.0010,0.06001973
708,7.069997,0.0010,0.01989508
709,7.079996,0.0010,0.007459164
710,7.089996,0.0010,3.654957E-4
711,7.099997,0.0010,3.297329E-4
712,7.109996,0.0010,3.41177E-4
713,7.119996,0.0010,3.395081E-4
714,7.129997,0.0010,2.996922E-4
715,7.139996,0.0010,2.930164E-4
716,7.149996,0.0010,3.361702E-4
717,7.159997,0.0010,0.1971135
718,7.169996,0.0010,8.821487E-4
719,7.179996,0.0010,4.734993E-4
720,7.189997,0.0010,3.101826E-4
721,7.199996,0.0010,3.597736E-4
722,7.209996,0.0010,3.857613E-4
723,7.219997,0.0010,5.645752E-4
724,7.229996,0.0010,0.5629876
725,7.239996,0.0010,0.6443133
726,7.249997,0.0010,0.6581986
727,7.259996,0.0010,0.713455
728,7.269996,0.0010,0.7161889
729,7.279997,0.0010,0.7582407
730,7.289996,0.0010,0.7646968
731,7.299996,0.0010,0.8056679
732,7.309997,0.0010,0.5496898
733,7.319996,0.0010,0.01967168
