[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 7:32 AM 0.996504 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,0.005139589
2,0.009997,0.0010,0.5615892
3,0.019996,0.0010,0.591363
4,0.029997,0.0010,0.6391838
5,0.039997,0.0010,0.6610982
6,0.049996,0.0010,0.7074606
7,0.059997,0.0010,0.7117343
8,0.069996,0.0010,0.7569504
9,0.079996,0.0010,0.7643912
10,0.089997,0.0010,0.8032167
11,0.099996,0.0010,0.7955427
12,0.109996,0.0010,0.8273308
13,0.119997,0.0010,0.8048987
14,0.129996,0.0010,0.8370132
15,0.139996,0.0010,0.8111501
16,0.149997,0.0010,0.8360472
17,0.159996,0.0010,0.8087044
18,0.169996,0.0010,0.8288128
19,0.179997,0.0010,0.8109655
20,0.189996,0.0010,0.8331563
21,0.199996,0.0010,0.8065627
22,0.209997,0.0010,0.8443224
23,0.219996,0.0010,0.817862
24,0.229996,0.0010,0.8353565
25,0.239997,0.0010,0.8062499
26,0.249996,0.0010,0.839865
27,0.259996,0.0010,0.8137312
28,0.269997,0.0010,0.8368483
29,0.279996,0.0010,0.8256757
30,0.289996,0.0010,0.8478234
31,0.299997,0.0010,0.8241758
32,0.309996,0.0010,0.8441632
33,0.319996,0.0010,0.8210235
34,0.329997,0.0010,0.8475993
35,0.339996,0.0010,0.8210046
36,0.349996,0.0010,0.8375309
37,0.359997,0.0010,0.805795
38,0.369996,0.0010,0.8489885
39,0.379996,0.0010,0.8360415
40,0.389997,0.0010,0.864352
41,0.399996,0.0010,0.8356636
42,0.409996,0.0010,0.8586929
43,0.419997,0.0010,0.8167489
44,0.429996,0.0010,0.8558331
45,0.439996,0.0010,0.8229156
46,0.449997,0.0010,0.8568153
47,0.459996,0.0010,0.8307366
48,0.469996,0.0010,0.8490624
49,0.479997,0.0010,0.8230481
50,0.489996,0.0010,0.8466794
51,0.499996,0.0010,0.8299551
52,0.509997,0.0010,0.8524611
53,0.519996,0.0010,0.8306408
54,0.529996,0.0010,0.8605926
55,0.539997,0.0010,0.8330457
56,0.549996,0.0010,0.8550293
57,0.559996,0.0010,0.8275859
58,0.569997,0.0010,0.8578706
59,0.579996,0.0010,0.8333585
60,0.589996,0.0010,0.8527179
61,0.599997,0.0010,0.8172381
62,0.609996,0.0010,0.8483126
63,0.619996,0.0010,0.8344676
64,0.629997,0.0010,0.8622589
65,0.639996,0.0010,0.8353248
66,0.649996,0.0010,0.8586612
67,0.659997,0.0010,0.833344
68,0.669996,0.0010,0.8496864
69,0.679996,0.0010,0.830163
70,0.689997,0.0010,0.8453486
71,0.699996,0.0010,0.8220837
72,0.709996,0.0010,0.8511457
73,0.719997,0.0010,0.8310146
74,0.729996,0.0010,0.848835
75,0.739996,0.0010,0.8261518
76,0.749997,0.0010,0.8432784
77,0.759996,0.0010,0.824136
78,0.769996,0.0010,0.8441777
79,0.779997,0.0010,0.8265882
80,0.789996,0.0010,0.8503795
81,0.799996,0.0010,0.8250973
82,0.809997,0.0010,0.852865
83,0.819996,0.0010,0.8383148
84,0.829996,0.0010,0.8660614
85,0.839997,0.0010,0.8312681
86,0.849996,0.0010,0.8539505
87,0.859996,0.0010,0.8244205
88,0.869997,0.0010,0.8445337
89,0.879996,0.0010,0.831424
90,0.889996,0.0010,0.8682487
91,0.899997,0.0010,0.8301225
92,0.909996,0.0010,0.8532946
93,0.919996,0.0010,0.8357019
94,0.929997,0.0010,0.8644786
95,0.939996,0.0010,0.8408678
96,0.949996,0.0010,0.8715482
97,0.959997,0.0010,0.8358197
98,0.969996,0.0010,0.8701093
99,0.979996,0.0010,0.8488138
100,0.989997,0.0010,0.8724728
101,0.999996,0.0010,0.8482614
102,1.009996,0.0010,0.8819878
103,1.019997,0.0010,0.8477762
104,1.029996,0.0010,0.8585086
105,1.039996,0.0010,0.8295724
106,1.049997,0.0010,0.868269
107,1.059996,0.0010,0.8343425
108,1.069996,0.0010,0.8636785
109,1.079997,0.0010,0.8373804
110,1.089996,0.0010,0.8766556
111,1.099996,0.0010,0.8594453
112,1.109997,0.0010,0.873559
113,1.119996,0.0010,0.8399024
114,1.129996,0.0010,0.8557494
115,1.139997,0.0010,0.8482947
116,1.149996,0.0010,0.8777938
117,1.159996,0.0010,0.8498757
118,1.169997,0.0010,0.8626294
119,1.179996,0.0010,0.8474026
120,1.189996,0.0010,0.8707032
121,1.199997,0.0010,0.8528795
122,1.209996,0.0010,0.8683372
123,1.219996,0.0010,0.8498247
124,1.229997,0.0010,0.870167
125,1.239996,0.0010,0.8394752
126,1.249996,0.0010,0.8640213
127,1.259997,0.0010,0.8412471
128,1.269996,0.0010,0.8588595
129,1.279996,0.0010,0.8404412
130,1.289997,0.0010,0.8653619
131,1.299996,0.0010,0.05379319
132,1.309996,0.0010,0.7902274
133,1.319997,0.0010,0.7736933
134,1.329996,0.0010,0.1075876
135,1.339996,0.0010,0.6093831
136,1.349997,0.0010,0.001126766
137,1.359996,0.0010,0.21418
138,1.369996,0.0010,0.6398621
139,1.379997,0.0010,0.0287044
140,1.389996,0.0010,0.07177544
141,1.399996,0.0010,0.02627015
142,1.409997,0.0010,0.6142759
143,1.419996,0.0010,0.7570567
144,1.429996,0.0010,0.803628
145,1.439997,0.0010,0.2365575
146,1.449996,0.0010,0.7669821
147,1.459996,0.0010,0.8054845
148,1.469997,0.0010,0.4486804
149,1.479996,0.0010,0.1065986
150,1.489996,0.0010,0.5473201
151,1.499997,0.0010,0.7782319
152,1.509996,0.0010,0.005328178
153,1.519996,0.0010,0.03143668
154,1.529997,0.0010,0.4201822
155,1.539996,0.0010,0.7611761
156,1.549996,0.0010,0.803627
157,1.559997,0.0010,0.2451692
158,1.569996,0.0010,0.00170207
159,1.579996,0.0010,0.01077342
160,1.589997,0.0010,0.2913551
161,1.599996,0.0010,3.540516E-4
162,1.609996,0.0010,0.004256487
163,1.619997,0.0010,0.5741112
164,1.629996,0.0010,0.01372194
165,1.639996,0.0010,0.6664631
166,1.649997,0.0010,0.01446295
167,1.659996,0.0010,0.01217413
168,1.669996,0.0010,0.002980947
169,1.679997,0.0010,0.07532907
170,1.689996,0.0010,0.4409187
171,1.699996,0.0010,0.6950717
172,1.709997,0.0010,0.7410855
173,1.719996,0.0010,0.5405765
174,1.729996,0.0010,0.7599003
175,1.739997,0.0010,0.7729084
176,1.749996,0.0010,0.4299591
177,1.759996,0.0010,0.7692904
178,1.769997,0.0010,0.8246512
179,1.779996,0.0010,0.8135209
180,1.789996,0.0010,0.8525188
181,1.799997,0.0010,0.6002629
182,1.809996,0.0010,0.5212238
183,1.819996,0.0010,0.4408131
184,1.829997,0.0010,0.8167269
185,1.839996,0.0010,0.02911067
186,1.849996,0.0010,0.003800631
187,1.859997,0.0010,0.1088858
188,1.869996,0.0010,0.002874374
189,1.879996,0.0010,3.256798E-4
190,1.889997,0.0010,0.03380609
191,1.899996,0.0010,4.987717E-4
192,1.909996,0.0010,0.01613593
193,1.919997,0.0010,0.6450565
194,1.929996,0.0010,0.07262611
195,1.939996,0.0010,0.07934046
196,1.949997,0.0010,0.04183984
197,1.959996,0.0010,0.09907818
198,1.969996,0.0010,0.004094839
199,1.979997,0.0010,0.6503637
200,1.989996,0.0010,0.7287927
201,1.999996,0.0010,0.5704753
202,2.009997,0.0010,0.7541139
203,2.019996,0.0010,0.02781296
204,2.029996,0.0010,0.7257571
205,2.039997,0.0010,0.7649679
206,2.049996,0.0010,0.8057721
207,2.059996,0.0010,0.8038929
208,2.069997,0.0010,0.8467858
209,2.079996,0.0010,0.829613
210,2.089996,0.0010,0.8560929
211,2.099997,0.0010,0.8392296
212,2.109996,0.0010,0.8737044
213,2.119996,0.0010,0.8490462
214,2.129997,0.0010,0.04044008
215,2.139996,0.0010,0.02110028
216,2.149996,0.0010,0.001013756
217,2.159997,0.0010,9.050369E-4
218,2.169996,0.0010,0.002815008
219,2.179996,0.0010,0.02786589
220,2.189997,0.0010,0.1349831
221,2.199996,0.0010,0.6971843
222,2.209996,0.0010,0.01474738
223,2.219997,0.0010,0.277091
224,2.229996,0.0010,0.01081324
225,2.239996,0.0010,0.6782222
226,2.249997,0.0010,0.2287502
227,2.259996,0.0010,0.6837709
228,2.269996,0.0010,0.4010115
229,2.279997,0.0010,0.6434827
230,2.289996,0.0010,0.7811747
231,2.299996,0.0010,0.7862065
232,2.309997,0.0010,0.8268011
233,2.319996,0.0010,0.8149176
234,2.329996,0.0010,0.8585889
235,2.339997,0.0010,0.8451853
236,2.349996,0.0010,0.8709438
237,2.359996,0.0010,0.8444669
238,2.369997,0.0010,0.87655
239,2.379996,0.0010,0.8441703
240,2.389996,0.0010,0.8736744
241,2.399997,0.0010,0.8496881
242,2.409996,0.0010,0.8601391
243,2.419996,0.0010,0.001061678
244,2.429997,0.0010,0.08275771
245,2.439996,0.0010,5.376339E-4
246,2.449996,0.0010,0.002491713
247,2.459997,0.0010,0.001286745
248,2.469996,0.0010,4.451275E-4
249,2.479996,0.0010,0.3697696
250,2.489997,0.0010,4.53949E-4
251,2.499996,0.0010,0.03080392
252,2.509996,0.0010,0.2949245
253,2.519997,0.0010,0.6994185
254,2.529996,0.0010,0.0677526
255,2.539996,0.0010,0.1234231
256,2.549997,0.0010,0.3702507
257,2.559996,0.0010,0.7241712
258,2.569996,0.0010,0.782465
259,2.579997,0.0010,0.00173378
260,2.589996,0.0010,0.142458
261,2.599996,0.0010,0.7498248
262,2.609997,0.0010,0.8241515
263,2.619996,0.0010,0.8179626
264,2.629996,0.0010,0.8528559
265,2.639997,0.0010,0.8308051
266,2.649996,0.0010,0.8648298
267,2.659996,0.0010,0.8449895
268,2.669997,0.0010,0.8733511
269,2.679996,0.0010,0.8267848
270,2.689996,0.0010,0.5609303
271,2.699997,0.0010,0.008418798
272,2.709996,0.0010,0.4464047
273,2.719996,0.0010,0.08585835
274,2.729997,0.0010,5.483627E-4
275,2.739996,0.0010,0.2893841
276,2.749996,0.0010,0.05631685
277,2.759997,0.0010,0.01971173
278,2.769996,0.0010,0.01108313
279,2.779996,0.0010,0.6330657
280,2.789997,0.0010,0.4832942
281,2.799996,0.0010,0.6480846
282,2.809996,0.0010,0.5945437
283,2.819997,0.0010,0.5396154
284,2.829996,0.0010,0.5230737
285,2.839996,0.0010,0.7530203
286,2.849997,0.0010,0.8016732
287,2.859996,0.0010,0.7927423
288,2.869996,0.0010,0.4270446
289,2.879997,0.0010,0.2992396
290,2.889996,0.0010,0.4942255
291,2.899996,0.0010,0.7803996
292,2.909997,0.0010,0.8277915
293,2.919996,0.0010,0.03762627
294,2.929996,0.0010,0.6470788
295,2.939997,0.0010,0.7993557
296,2.949996,0.0010,0.8302906
297,2.959996,0.0010,0.8142016
298,2.969997,0.0010,0.8430696
299,2.979996,0.0010,0.8277915
300,2.989996,0.0010,0.2128637
301,2.999997,0.0010,0.2201412
302,3.009996,0.0010,4.5228E-4
303,3.019996,0.0010,6.31094E-4
304,3.029997,0.0010,0.09782219
305,3.039996,0.0010,0.3111775
306,3.049996,0.0010,0.01356936
307,3.059997,0.0010,0.7015612
308,3.069996,0.0010,0.475647
309,3.079996,0.0010,0.7415073
310,3.089997,0.0010,0.06800294
311,3.099996,0.0010,0.09749484
312,3.109996,0.0010,0.7482378
313,3.119997,0.0010,0.1629376
314,3.129996,0.0010,0.764586
315,3.139996,0.0010,0.5545456
316,3.149997,0.0010,0.6110194
317,3.159996,0.0010,0.07756186
318,3.169996,0.0010,0.5119736
319,3.179997,0.0010,0.7654757
320,3.189996,0.0010,0.6062787
321,3.199996,0.0010,0.791755
322,3.209997,0.0010,0.6898596
323,3.219996,0.0010,0.7975886
324,3.229996,0.0010,0.8333764
325,3.239997,0.0010,0.244581
326,3.249996,0.0010,4.451275E-4
327,3.259996,0.0010,0.1862514
328,3.269997,0.0010,0.02571344
329,3.279996,0.0010,0.6243906
330,3.289996,0.0010,6.992817E-4
331,3.299997,0.0010,0.007057905
332,3.309996,0.0010,0.1472485
333,3.319996,0.0010,0.6960223
334,3.329997,0.0010,8.335114E-4
335,3.339996,0.0010,0.6653037
336,3.349996,0.0010,0.1585405
337,3.359997,0.0010,0.654366
338,3.369996,0.0010,0.0212822
339,3.379996,0.0010,0.09200954
340,3.389997,0.0010,0.5359461
341,3.399996,0.0010,0.1713729
342,3.409996,0.0010,0.7094033
343,3.419997,0.0010,0.001758099
344,3.429996,0.0010,0.679671
345,3.439996,0.0010,0.7365096
346,3.449997,0.0010,0.7791305
347,3.459996,0.0010,0.7742548
348,3.469996,0.0010,0.8113084
349,3.479997,0.0010,0.8054934
350,3.489996,0.0010,0.8434198
351,3.499996,0.0010,0.8423319
352,3.509997,0.0010,0.851903
353,3.519996,0.0010,0.8173218
354,3.529996,0.0010,0.04471779
355,3.539997,0.0010,0.05264759
356,3.549996,0.0010,0.002043247
357,3.559996,0.0010,0.0625689
358,3.569997,0.0010,0.4560335
359,3.579996,0.0010,8.537769E-4
360,3.589996,0.0010,0.01836371
361,3.599997,0.0010,0.2712348
362,3.609996,0.0010,4.262924E-4
363,3.619996,0.0010,0.06946373
364,3.629997,0.0010,0.4217284
365,3.639996,0.0010,0.1684959
366,3.649996,0.0010,0.01024199
367,3.659997,0.0010,0.6611185
368,3.669996,0.0010,0.7403226
369,3.679996,0.0010,0.2753158
370,3.689997,0.0010,0.7321815
371,3.699996,0.0010,0.7525351
372,3.709996,0.0010,0.2721219
373,3.719997,0.0010,0.7259245
374,3.729996,0.0010,0.7852657
375,3.739996,0.0010,0.78584
376,3.749997,0.0010,0.6342063
377,3.759996,0.0010,0.6786983
378,3.769996,0.0010,0.8222778
379,3.779997,0.0010,0.8159606
380,3.789996,0.0010,0.8325412
381,3.799996,0.0010,0.1940813
382,3.809997,0.0010,0.130625
383,3.819996,0.0010,0.09384418
384,3.829996,0.0010,0.09779119
385,3.839997,0.0010,0.05046844
386,3.849996,0.0010,0.7253566
387,3.859996,0.0010,0.6843534
388,3.869997,0.0010,0.006531477
389,3.879996,0.0010,7.302761E-4
390,3.889996,0.0010,0.6997378
391,3.899997,0.0010,0.7500978
392,3.909996,0.0010,6.432533E-4
393,3.919996,0.0010,0.6191761
394,3.929997,0.0010,0.7798023
395,3.939996,0.0010,0.4191585
396,3.949996,0.0010,0.6495073
397,3.959997,0.0010,0.05456829
398,3.969996,0.0010,0.7216222
399,3.979996,0.0010,0.01445246
400,3.989997,0.0010,0.5358696
401,3.999996,0.0010,0.6312425
402,4.009996,0.0010,0.5498884
403,4.019997,0.0010,0.7668545
404,4.029996,0.0010,0.6194434
405,4.039996,0.0010,0.7880158
406,4.049997,0.0010,0.8242271
407,4.059996,0.0010,0.8067226
408,4.069996,0.0010,0.8517883
409,4.079997,0.0010,0.7014351
410,4.089996,0.0010,0.2456582
411,4.099996,0.0010,0.001186132
412,4.109997,0.0010,0.00135994
413,4.119996,0.0010,0.2138078
414,4.129996,0.0010,0.7539277
415,4.139997,0.0010,0.7788112
416,4.149996,0.0010,4.59671E-4
417,4.159996,0.0010,4.394054E-4
418,4.169997,0.0010,0.7084982
419,4.179996,0.0010,0.7596469
420,4.189996,0.0010,0.005938292
421,4.199997,0.0010,0.6094027
422,4.209996,0.0010,0.7873619
423,4.219996,0.0010,0.7849877
424,4.229997,0.0010,0.8290207
425,4.239996,0.0010,0.6164372
426,4.249996,0.0010,0.6932185
427,4.259997,0.0010,0.05357385
428,4.269996,0.0010,0.3560882
429,4.279996,0.0010,0.747623
430,4.289997,0.0010,0.8051407
431,4.299996,0.0010,0.8083291
432,4.309996,0.0010,0.5040884
433,4.319997,0.0010,0.7716987
434,4.329996,0.0010,0.8322024
435,4.339996,0.0010,0.818512
436,4.349997,0.0010,0.8396652
437,4.359996,0.0010,0.8136744
438,4.369996,0.0010,0.8387268
439,4.379997,0.0010,0.003868103
440,4.389996,0.0010,0.01551914
441,4.399996,0.0010,0.483624
442,4.409997,0.0010,0.06122279
443,4.419996,0.0010,0.6518764
444,4.429996,0.0010,0.3193789
445,4.439997,0.0010,0.7474556
446,4.449996,0.0010,0.6577938
447,4.459996,0.0010,0.766844
448,4.469997,0.0010,0.8086929
449,4.479996,0.0010,0.216203
450,4.489996,0.0010,0.3887551
451,4.499997,0.0010,0.7513139
452,4.509996,0.0010,0.7975204
453,4.519996,0.0010,0.03555942
454,4.529997,0.0010,0.7424953
455,4.539996,0.0010,0.7767336
456,4.549996,0.0010,0.4037602
457,4.559997,0.0010,0.6994259
458,4.569996,0.0010,0.8159835
459,4.579996,0.0010,0.8094194
460,4.589997,0.0010,0.7165663
461,4.599996,0.0010,0.7946084
462,4.609996,0.0010,0.5647635
463,4.619997,0.0010,0.6418641
464,4.629996,0.0010,0.8001635
465,4.639996,0.0010,0.793541
466,4.649997,0.0010,0.8213744
467,4.659996,0.0010,0.8020818
468,4.669996,0.0010,8.220673E-4
469,4.679997,0.0010,0.4389656
470,4.689996,0.0010,0.09321451
471,4.699996,0.0010,0.5637121
472,4.709997,0.0010,0.7943761
473,4.719996,0.0010,0.001086235
474,4.729996,0.0010,0.6785579
475,4.739997,0.0010,0.5392456
476,4.749996,0.0010,0.7731643
477,4.759996,0.0010,0.4978728
478,4.769997,0.0010,0.1212862
479,4.779996,0.0010,0.73247
480,4.789996,0.0010,0.8027449
481,4.799997,0.0010,0.7888114
482,4.809996,0.0010,0.8235006
483,4.819996,0.0010,0.798883
484,4.829997,0.0010,0.8324957
485,4.839996,0.0010,0.8106015
486,4.849996,0.0010,0.5472112
487,4.859997,0.0010,0.7790086
488,4.869996,0.0010,0.8314786
489,4.879996,0.0010,0.809962
490,4.889997,0.0010,0.8450041
491,4.899996,0.0010,0.8147388
492,4.909996,0.0010,0.8328159
493,4.919997,0.0010,0.8055999
494,4.929996,0.0010,0.265058
495,4.939996,0.0010,0.3056924
496,4.949997,0.0010,0.002338886
497,4.959996,0.0010,0.007228613
498,4.969996,0.0010,3.149509E-4
499,4.979997,0.0010,2.946854E-4
500,4.989996,0.0010,4.303455E-4
501,4.999996,0.0010,3.004074E-4
502,5.009997,0.0010,0.446563
503,5.019996,0.0010,0.6874115
504,5.029996,0.0010,0.7376521
505,5.039997,0.0010,0.7418923
506,5.049996,0.0010,0.7822416
507,5.059996,0.0010,0.7945085
508,5.069997,0.0010,0.8261843
509,5.079996,0.0010,0.826575
510,5.089996,0.0010,0.8535075
511,5.099997,0.0010,0.8453176
512,5.109996,0.0010,0.874963
513,5.119996,0.0010,0.8364778
514,5.129997,0.0010,0.8474262
515,5.139996,0.0010,0.8212306
516,5.149996,0.0010,0.8495915
517,5.159997,0.0010,0.8173094
518,5.169996,0.0010,0.8439455
519,5.179996,0.0010,0.8082592
520,5.189997,0.0010,0.8341184
521,5.199996,0.0010,0.8160079
522,5.209996,0.0010,0.8447618
523,5.219997,0.0010,0.02120352
524,5.229996,0.0010,0.5259695
525,5.239996,0.0010,0.4885414
526,5.249997,0.0010,0.1486647
527,5.259996,0.0010,0.006459951
528,5.269996,0.0010,0.3001237
529,5.279997,0.0010,0.01305413
530,5.289996,0.0010,0.4945707
531,5.299996,0.0010,0.7622988
532,5.309997,0.0010,0.6891975
533,5.319996,0.0010,0.782326
534,5.329996,0.0010,0.8192124
535,5.339997,0.0010,0.8115385
536,5.349996,0.0010,0.8336008
537,5.359996,0.0010,0.8251615
538,5.369997,0.0010,0.855829
539,5.379996,0.0010,0.8298519
540,5.389996,0.0010,0.8492777
541,5.399997,0.0010,0.8231001
542,5.409996,0.0010,0.8413568
543,5.419996,0.0010,0.8207171
544,5.429997,0.0010,0.8442867
545,5.439996,0.0010,0.8147566
546,5.449996,0.0010,0.8405972
547,5.459997,0.0010,0.8099134
548,5.469996,0.0010,0.8449676
549,5.479996,0.0010,0.8163004
550,5.489997,0.0010,0.06803465
551,5.499996,0.0010,0.003643751
552,5.509996,0.0010,0.2446492
553,5.519997,0.0010,0.1036582
554,5.529996,0.0010,0.007997274
555,5.539996,0.0010,3.247261E-4
556,5.549997,0.0010,5.197525E-4
557,5.559996,0.0010,4.687309E-4
558,5.569996,0.0010,0.6688542
559,5.579997,0.0010,0.5186367
560,5.589996,0.0010,0.1716199
561,5.599996,0.0010,0.6813397
562,5.609997,0.0010,0.7571785
563,5.619996,0.0010,0.7557032
564,5.629996,0.0010,0.7960556
565,5.639997,0.0010,0.7891793
566,5.649996,0.0010,0.8333821
567,5.659996,0.0010,0.814621
568,5.669997,0.0010,0.8481493
569,5.679996,0.0010,0.8332555
570,5.689996,0.0010,0.8542428
571,5.699997,0.0010,0.829236
572,5.709996,0.0010,0.856652
573,5.719996,0.0010,0.8328509
574,5.729997,0.0010,0.847301
575,5.739996,0.0010,0.8253849
576,5.749996,0.0010,0.8611872
577,5.759997,0.0010,0.8404403
578,5.769996,0.0010,0.0753088
579,5.779996,0.0010,0.001034975
580,5.789997,0.0010,9.860992E-4
581,5.799996,0.0010,0.002754211
582,5.809996,0.0010,0.00590992
583,5.819997,0.0010,0.002342939
584,5.829996,0.0010,0.09069586
585,5.839996,0.0010,4.360676E-4
586,5.849997,0.0010,0.4533124
587,5.859996,0.0010,0.07969236
588,5.869996,0.0010,9.0909E-4
589,5.879997,0.0010,0.03641653
590,5.889996,0.0010,0.6755729
591,5.899996,0.0010,0.710392
592,5.909997,0.0010,0.7414203
593,5.919996,0.0010,0.7461278
594,5.929996,0.0010,0.7859108
595,5.939997,0.0010,0.7848821
596,5.949996,0.0010,0.8201661
597,5.959996,0.0010,0.8095477
598,5.969997,0.0010,0.8313224
599,5.979996,0.0010,0.8184104
600,5.989996,0.0010,0.8522954
601,5.999997,0.0010,0.3913591
602,6.009996,0.0010,0.7926049
603,6.019996,0.0010,0.815825
604,6.029997,0.0010,0.8473449
605,6.039996,0.0010,0.8131723
606,6.049996,0.0010,0.03063321
607,6.059997,0.0010,0.02694297
608,6.069996,0.0010,7.984638E-4
609,6.079996,0.0010,0.04858923
610,6.089997,0.0010,7.140636E-4
611,6.099996,0.0010,0.09940577
612,6.109996,0.0010,0.09058118
613,6.119997,0.0010,9.708405E-4
614,6.129996,0.0010,0.4444141
615,6.139996,0.0010,0.5534837
616,6.149997,0.0010,0.7088525
617,6.159996,0.0010,0.7185552
618,6.169996,0.0010,0.765106
619,6.179997,0.0010,0.07984662
620,6.189996,0.0010,0.752562
621,6.199996,0.0010,0.7828233
622,6.209997,0.0010,0.8223119
623,6.219996,0.0010,0.8104155
624,6.229996,0.0010,0.7743587
625,6.239997,0.0010,0.816618
626,6.249996,0.0010,0.8560143
627,6.259996,0.0010,0.8412495
628,6.269997,0.0010,0.8535571
629,6.279996,0.0010,0.206198
630,6.289996,0.0010,0.7987986
631,6.299997,0.0010,0.827213
632,6.309996,0.0010,0.8653505
633,6.319996,0.0010,0.8378484
634,6.329997,0.0010,5.757809E-4
635,6.339996,0.0010,5.264282E-4
636,6.349996,0.0010,4.59671E-4
637,6.359997,0.0010,7.238388E-4
638,6.369996,0.0010,0.01855302
639,6.379996,0.0010,0.07090116
640,6.389997,0.0010,0.01168823
641,6.399996,0.0010,3.273487E-4
642,6.409996,0.0010,0.255374
643,6.419997,0.0010,5.848408E-4
644,6.429996,0.0010,0.0019238
645,6.439996,0.0010,0.4274054
646,6.449997,0.0010,0.001563787
647,6.459996,0.0010,3.938675E-4
648,6.469996,0.0010,3.216267E-4
649,6.479997,0.0010,0.3705285
650,6.489996,0.0010,0.5668347
651,6.499996,0.0010,0.564362
652,6.509997,0.0010,0.7101524
653,6.519996,0.0010,0.6767843
654,6.529996,0.0010,0.7521899
655,6.539997,0.0010,0.7619438
656,6.549996,0.0010,0.8064716
657,6.559996,0.0010,0.8085134
658,6.569997,0.0010,0.440397
659,6.579996,0.0010,0.8011944
660,6.589996,0.0010,0.846283
661,6.599997,0.0010,0.8315842
662,6.609996,0.0010,0.8591919
663,6.619996,0.0010,0.8422074
664,6.629997,0.0010,5.784035E-4
665,6.639996,0.0010,7.684231E-4
666,6.649996,0.0010,0.005680799
667,6.659997,0.0010,6.628036E-4
668,6.669996,0.0010,3.833771E-4
669,6.679996,0.0010,0.1927829
670,6.689997,0.0010,0.02817464
671,6.699996,0.0010,0.6466904
672,6.709996,0.0010,0.3024213
673,6.719997,0.0010,4.742146E-4
674,6.729996,0.0010,3.890991E-4
675,6.739996,0.0010,3.41177E-4
676,6.749997,0.0010,3.590584E-4
677,6.759996,0.0010,3.361702E-4
678,6.769996,0.0010,0.2452211
679,6.779997,0.0010,0.230026
680,6.789996,0.0010,0.6451402
681,6.799996,0.0010,0.004328728
682,6.809997,0.0010,3.590584E-4
683,6.819996,0.0010,0.155683
684,6.829996,0.0010,0.6555765
685,6.839997,0.0010,0.681114
686,6.849996,0.0010,0.7059274
687,6.859996,0.0010,0.5957975
688,6.869997,0.0010,0.686049
689,6.879996,0.0010,0.7425301
690,6.889996,0.0010,0.7852674
691,6.899997,0.0010,0.7856882
692,6.909996,0.0010,0.2119026
693,6.919996,0.0010,0.002082348
694,6.929997,0.0010,0.001079559
695,6.939996,0.0010,0.01052737
696,6.949996,0.0010,0.1885848
697,6.959997,0.0010,0.3495882
698,6.969996,0.0010,4.427433E-4
699,6.979996,0.0010,3.321171E-4
700,6.989997,0.0010,0.5697174
701,6.999996,0.0010,0.5756891
702,7.009996,0.0010,0.003116608
703,7.019997,0.0010,4.491806E-4
704,7.029996,0.0010,5.457401E-4
705,7.039996,0.0010,3.118515E-4
706,7.049997,0.0010,4.59671E-4
707,7.059996,0.0010,0.2887154
708,7.069996,0.0010,0.6645563
709,7.079997,0.0010,0.6968641
710,7.089996,0.0010,0.7373481
711,7.099996,0.0010,0.7442274
712,7.109997,0.0010,0.7870109
713,7.119996,0.0010,0.7764363
714,7.129996,0.0010,0.8203807
715,7.139997,0.0010,0.8079684
716,7.149996,0.0010,0.8246496
717,7.159996,0.0010,0.8053887
718,7.169997,0.0010,0.8524344
719,7.179996,0.0010,0.830138
720,7.189996,0.0010,0.8731472
721,7.199997,0.0010,0.5977402
722,7.209996,0.0010,0.4767869
723,7.219996,0.0010,0.002754927
724,7.229997,0.0010,0.01880002
725,7.239996,0.0010,0.07130647
726,7.249996,0.0010,3.507137E-4
727,7.259997,0.0010,3.945827E-4
728,7.269996,0.0010,0.3605835
729,7.279996,0.0010,0.715796
730,7.289997,0.0010,0.7713094
731,7.299996,0.0010,0.7691295
732,7.309996,0.0010,0.001571894
