[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 7:33 AM 0.020536 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,0.07333708
2,0.009996,0.0010,0.5873413
3,0.019996,0.0010,0.6366091
4,0.029997,0.0010,0.6680489
5,0.039996,0.0010,0.7041736
6,0.049996,0.0010,0.7302532
7,0.059997,0.0010,0.7591743
8,0.069996,0.0010,0.7854376
9,0.079996,0.0010,0.8074791
10,0.089997,0.0010,0.813885
11,0.099996,0.0010,0.8417635
12,0.109996,0.0010,0.8483691
13,0.119997,0.0010,0.8639572
14,0.129996,0.0010,0.8649452
15,0.139996,0.0010,0.877811
16,0.149997,0.0010,0.86888
17,0.159996,0.0010,0.8590496
18,0.169996,0.0010,0.8577147
19,0.179997,0.0010,0.8503501
20,0.189996,0.0010,0.8665426
21,0.199996,0.0010,0.8897436
22,0.209997,0.0010,0.8718791
23,0.219996,0.0010,0.8692114
24,0.229996,0.0010,0.879571
25,0.239997,0.0010,0.8739126
26,0.249996,0.0010,0.8590519
27,0.259996,0.0010,0.8668284
28,0.269997,0.0010,0.8632176
29,0.279996,0.0010,0.8597443
30,0.289996,0.0010,0.8674979
31,0.299997,0.0010,0.8704872
32,0.309996,0.0010,0.8653448
33,0.319996,0.0010,0.8645625
34,0.329997,0.0010,0.8672981
35,0.339996,0.0010,0.8593259
36,0.349996,0.0010,0.8535831
37,0.359997,0.0010,0.8796611
38,0.369996,0.0010,0.8609223
39,0.379996,0.0010,0.8611386
40,0.389997,0.0010,0.8753655
41,0.399996,0.0010,0.8706765
42,0.409996,0.0010,0.8658226
43,0.419997,0.0010,0.8714054
44,0.429996,0.0010,0.8668146
45,0.439996,0.0010,0.8749413
46,0.449997,0.0010,0.882128
47,0.459996,0.0010,0.8700452
48,0.469996,0.0010,0.8643601
49,0.479997,0.0010,0.8711665
50,0.489996,0.0010,0.8508074
51,0.499996,0.0010,0.8499179
52,0.509997,0.0010,0.8671112
53,0.519996,0.0010,0.8520644
54,0.529996,0.0010,0.851213
55,0.539997,0.0010,0.8554657
56,0.549996,0.0010,0.857379
57,0.559996,0.0010,0.8662281
58,0.569997,0.0010,0.8738289
59,0.579996,0.0010,0.8643553
60,0.589996,0.0010,0.8653734
61,0.599997,0.0010,0.8664124
62,0.609996,0.0010,0.8808377
63,0.619996,0.0010,0.8738852
64,0.629997,0.0010,0.871949
65,0.639996,0.0010,0.8724356
66,0.649996,0.0010,0.8687346
67,0.659997,0.0010,0.8618071
68,0.669996,0.0010,0.8711436
69,0.679996,0.0010,0.8803835
70,0.689997,0.0010,0.871758
71,0.699996,0.0010,0.8782458
72,0.709996,0.0010,0.8728449
73,0.719997,0.0010,0.8727086
74,0.729996,0.0010,0.8743782
75,0.739996,0.0010,0.8757343
76,0.749997,0.0010,0.8738647
77,0.759996,0.0010,0.8846304
78,0.769996,0.0010,0.8726242
79,0.779997,0.0010,0.8724811
80,0.789996,0.0010,0.8847482
81,0.799996,0.0010,0.8760633
82,0.809997,0.0010,0.8698194
83,0.819996,0.0010,0.8762901
84,0.829996,0.0010,0.8713825
85,0.839997,0.0010,0.8726444
86,0.849996,0.0010,0.873677
87,0.859996,0.0010,0.8816144
88,0.869997,0.0010,0.8839812
89,0.879996,0.0010,0.8874278
90,0.889996,0.0010,0.8796937
91,0.899997,0.0010,0.8672175
92,0.909996,0.0010,0.8711209
93,0.919996,0.0010,0.8724005
94,0.929997,0.0010,0.8704002
95,0.939996,0.0010,0.8643992
96,0.949996,0.0010,0.8675427
97,0.959997,0.0010,0.8612125
98,0.969996,0.0010,0.8683405
99,0.979996,0.0010,0.8714206
100,0.989997,0.0010,0.8652864
101,0.999996,0.0010,0.871974
102,1.009996,0.0010,0.8855851
103,1.019997,0.0010,0.8826754
104,1.029996,0.0010,0.8684869
105,1.039996,0.0010,0.8633893
106,1.049997,0.0010,0.8718791
107,1.059996,0.0010,0.8809018
108,1.069996,0.0010,0.8738599
109,1.079997,0.0010,0.8685672
110,1.089996,0.0010,0.8708584
111,1.099996,0.0010,0.8798528
112,1.109997,0.0010,0.8762925
113,1.119996,0.0010,0.8752289
114,1.129996,0.0010,0.8874002
115,1.139997,0.0010,0.8752809
116,1.149996,0.0010,0.8774512
117,1.159996,0.0010,0.8740816
118,1.169997,0.0010,0.8727946
119,1.179996,0.0010,0.866514
120,1.189996,0.0010,0.8750625
121,1.199997,0.0010,0.8686695
122,1.209996,0.0010,0.8772082
123,1.219996,0.0010,0.8790762
124,1.229997,0.0010,0.8787577
125,1.239996,0.0010,0.8666074
126,1.249996,0.0010,0.875181
127,1.259997,0.0010,0.8751256
128,1.269996,0.0010,0.8681984
129,1.279996,0.0010,0.860889
130,1.289997,0.0010,0.8718488
131,1.299996,0.0010,0.8698184
132,1.309996,0.0010,0.8674622
133,1.319997,0.0010,0.1492267
134,1.329996,0.0010,0.002833128
135,1.339996,0.0010,0.6928692
136,1.349997,0.0010,0.07118154
137,1.359996,0.0010,0.7922683
138,1.369996,0.0010,0.8733048
139,1.379997,0.0010,0.8774853
140,1.389996,0.0010,0.3354108
141,1.399996,0.0010,0.05247283
142,1.409997,0.0010,0.009532928
143,1.419996,0.0010,0.4681754
144,1.429996,0.0010,0.08823037
145,1.439997,0.0010,0.425523
146,1.449996,0.0010,3.581047E-4
147,1.459996,0.0010,0.1897836
148,1.469997,0.0010,0.02229238
149,1.479996,0.0010,3.499985E-4
150,1.489996,0.0010,0.5831511
151,1.499997,0.0010,5.271435E-4
152,1.509996,0.0010,0.533278
153,1.519996,0.0010,0.361177
154,1.529997,0.0010,0.0250957
155,1.539996,0.0010,0.00215292
156,1.549996,0.0010,0.04219794
157,1.559997,0.0010,0.4592371
158,1.569996,0.0010,0.6972127
159,1.579996,0.0010,0.7351193
160,1.589997,0.0010,0.7495518
161,1.599996,0.0010,0.09058571
162,1.609996,0.0010,0.1263139
163,1.619997,0.0010,0.3837459
164,1.629996,0.0010,7.33614E-4
165,1.639996,0.0010,0.6579185
166,1.649997,0.0010,0.7667842
167,1.659996,0.0010,0.001418352
168,1.669996,0.0010,0.1999559
169,1.679997,0.0010,0.09266162
170,1.689996,0.0010,0.03314257
171,1.699996,0.0010,0.02141094
172,1.709997,0.0010,0.003274918
173,1.719996,0.0010,0.259311
174,1.729996,0.0010,3.938675E-4
175,1.739997,0.0010,0.001593113
176,1.749996,0.0010,5.402565E-4
177,1.759996,0.0010,3.972054E-4
178,1.769997,0.0010,4.303455E-4
179,1.779996,0.0010,4.141331E-4
180,1.789996,0.0010,5.409718E-4
181,1.799997,0.0010,0.002156258
182,1.809996,0.0010,0.001887321
183,1.819996,0.0010,0.003823519
184,1.829997,0.0010,0.001356602
185,1.839996,0.0010,0.1825335
186,1.849996,0.0010,0.1001465
187,1.859997,0.0010,0.6493449
188,1.869996,0.0010,0.6870589
189,1.879996,0.0010,9.050369E-4
190,1.889997,0.0010,0.002836227
191,1.899996,0.0010,0.2156949
192,1.909996,0.0010,7.147789E-4
193,1.919997,0.0010,0.6274822
194,1.929996,0.0010,0.724257
195,1.939996,0.0010,0.3999529
196,1.949997,0.0010,0.333863
197,1.959996,0.0010,0.00548172
198,1.969996,0.0010,0.003893375
199,1.979997,0.0010,0.03491306
200,1.989996,0.0010,0.002200127
201,1.999996,0.0010,0.1190965
202,2.009997,0.0010,3.85046E-4
203,2.019996,0.0010,0.02782559
204,2.029996,0.0010,3.938675E-4
205,2.039997,0.0010,3.402233E-4
206,2.049996,0.0010,3.945827E-4
207,2.059996,0.0010,3.857613E-4
208,2.069997,0.0010,5.62191E-4
209,2.079996,0.0010,9.691715E-4
210,2.089996,0.0010,6.620884E-4
211,2.099997,0.0010,8.049011E-4
212,2.109996,0.0010,0.0469389
213,2.119996,0.0010,0.4336019
214,2.129997,0.0010,0.4704156
215,2.139996,0.0010,0.651659
216,2.149996,0.0010,0.6884451
217,2.159997,0.0010,0.001850605
218,2.169996,0.0010,0.3365679
219,2.179996,0.0010,0.6738265
220,2.189997,0.0010,0.001394987
221,2.199996,0.0010,0.6326156
222,2.209996,0.0010,0.7343969
223,2.219997,0.0010,0.1890359
224,2.229996,0.0010,0.09788609
225,2.239996,0.0010,0.001102448
226,2.249997,0.0010,0.02876234
227,2.259996,0.0010,0.005153418
228,2.269996,0.0010,0.3245802
229,2.279997,0.0010,4.816055E-4
230,2.289996,0.0010,4.303455E-4
231,2.299996,0.0010,0.06876683
232,2.309997,0.0010,3.671646E-4
233,2.319996,0.0010,3.573895E-4
234,2.329996,0.0010,3.418922E-4
235,2.339997,0.0010,3.898144E-4
236,2.349996,0.0010,8.854866E-4
237,2.359996,0.0010,0.09814119
238,2.369997,0.0010,0.001157522
239,2.379996,0.0010,9.85384E-4
240,2.389996,0.0010,0.001217842
241,2.399997,0.0010,0.4383981
242,2.409996,0.0010,0.6372979
243,2.419996,0.0010,0.6842403
244,2.429997,0.0010,0.7068141
245,2.439996,0.0010,0.004504442
246,2.449996,0.0010,0.1286385
247,2.459997,0.0010,0.6960526
248,2.469996,0.0010,0.001187801
249,2.479996,0.0010,0.283946
250,2.489997,0.0010,8.895397E-4
251,2.499996,0.0010,0.03497314
252,2.509996,0.0010,0.2561681
253,2.519997,0.0010,4.532337E-4
254,2.529996,0.0010,3.71933E-4
255,2.539996,0.0010,0.008759499
256,2.549997,0.0010,0.01141214
257,2.559996,0.0010,4.255772E-4
258,2.569996,0.0010,3.621578E-4
259,2.579997,0.0010,3.671646E-4
260,2.589996,0.0010,3.726482E-4
261,2.599996,0.0010,3.604889E-4
262,2.609997,0.0010,3.564358E-4
263,2.619996,0.0010,4.191399E-4
264,2.629996,0.0010,9.601116E-4
265,2.639997,0.0010,0.04743528
266,2.649996,0.0010,0.04213452
267,2.659996,0.0010,0.002070904
268,2.669997,0.0010,0.00233984
269,2.679996,0.0010,0.5697563
270,2.689996,0.0010,0.1409903
271,2.699997,0.0010,0.5863411
272,2.709996,0.0010,0.405226
273,2.719996,0.0010,0.001359224
274,2.729997,0.0010,0.02993822
275,2.739996,0.0010,0.344636
276,2.749996,0.0010,6.108284E-4
277,2.759997,0.0010,0.2925847
278,2.769996,0.0010,9.040833E-4
279,2.779996,0.0010,0.003898144
280,2.789997,0.0010,0.650094
281,2.799996,0.0010,0.001821518
282,2.809996,0.0010,9.098053E-4
283,2.819997,0.0010,0.001020432
284,2.829996,0.0010,0.499656
285,2.839996,0.0010,4.1008E-4
286,2.849997,0.0010,3.304482E-4
287,2.859996,0.0010,0.02496719
288,2.869996,0.0010,3.426075E-4
289,2.879997,0.0010,6.246567E-4
290,2.889996,0.0010,3.864765E-4
291,2.899996,0.0010,4.620552E-4
292,2.909997,0.0010,8.943081E-4
293,2.919996,0.0010,0.2821684
294,2.929996,0.0010,0.01571274
295,2.939997,0.0010,0.001032591
296,2.949996,0.0010,6.847382E-4
297,2.959996,0.0010,0.5821428
298,2.969997,0.0010,0.6440368
299,2.979996,0.0010,0.6756375
300,2.989996,0.0010,6.80685E-4
301,2.999997,0.0010,0.001429081
302,3.009996,0.0010,0.3191397
303,3.019996,0.0010,8.611679E-4
304,3.029997,0.0010,0.002955675
305,3.039996,0.0010,0.4647062
306,3.049996,0.0010,0.001688242
307,3.059997,0.0010,0.3987901
308,3.069996,0.0010,9.796619E-4
309,3.079996,0.0010,0.001242876
310,3.089997,0.0010,3.685951E-4
311,3.099996,0.0010,0.001685858
312,3.109996,0.0010,0.09070778
313,3.119997,0.0010,9.651184E-4
314,3.129996,0.0010,6.701946E-4
315,3.139996,0.0010,3.874302E-4
316,3.149997,0.0010,5.166531E-4
317,3.159996,0.0010,6.856918E-4
318,3.169996,0.0010,5.207062E-4
319,3.179997,0.0010,6.141663E-4
320,3.189996,0.0010,9.162426E-4
321,3.199996,0.0010,0.143028
322,3.209997,0.0010,0.02125406
323,3.219996,0.0010,0.06484652
324,3.229996,0.0010,7.350445E-4
325,3.239997,0.0010,0.5793519
326,3.249996,0.0010,0.6460853
327,3.259996,0.0010,9.114742E-4
328,3.269997,0.0010,0.002742052
329,3.279996,0.0010,0.001814127
330,3.289996,0.0010,0.1028929
331,3.299997,0.0010,0.1821404
332,3.309996,0.0010,0.005915642
333,3.319996,0.0010,0.3953304
334,3.329997,0.0010,0.6204581
335,3.339996,0.0010,0.02301311
336,3.349996,0.0010,0.001269817
337,3.359997,0.0010,0.2378268
338,3.369996,0.0010,3.41177E-4
339,3.379996,0.0010,5.125999E-4
340,3.389997,0.0010,4.889965E-4
341,3.399996,0.0010,4.320145E-4
342,3.409996,0.0010,8.172989E-4
343,3.419997,0.0010,5.896091E-4
344,3.429996,0.0010,7.367134E-4
345,3.439996,0.0010,6.709099E-4
346,3.449997,0.0010,0.4283619
347,3.459996,0.0010,0.2701635
348,3.469996,0.0010,3.26395E-4
349,3.479997,0.0010,0.001206398
350,3.489996,0.0010,8.878708E-4
351,3.499996,0.0010,9.350777E-4
352,3.509997,0.0010,0.001485109
353,3.519996,0.0010,0.3502893
354,3.529996,0.0010,0.6263008
355,3.539997,0.0010,0.2508171
356,3.549996,0.0010,9.236336E-4
357,3.559996,0.0010,7.295609E-4
358,3.569997,0.0010,0.5104883
359,3.579996,0.0010,0.01565599
360,3.589996,0.0010,0.1913905
361,3.599997,0.0010,0.593786
362,3.609996,0.0010,0.673456
363,3.619996,0.0010,4.606247E-4
364,3.629997,0.0010,0.03814435
365,3.639996,0.0010,9.024143E-4
366,3.649996,0.0010,7.636547E-4
367,3.659997,0.0010,0.08134675
368,3.669996,0.0010,6.108284E-4
369,3.679996,0.0010,5.507469E-4
370,3.689997,0.0010,6.718636E-4
371,3.699996,0.0010,8.058548E-4
372,3.709996,0.0010,4.768372E-4
373,3.719997,0.0010,0.09362531
374,3.729996,0.0010,0.001238108
375,3.739996,0.0010,8.993149E-4
376,3.749997,0.0010,4.427433E-4
377,3.759996,0.0010,0.01045346
378,3.769996,0.0010,9.219646E-4
379,3.779997,0.0010,7.56979E-4
380,3.789996,0.0010,8.659363E-4
381,3.799996,0.0010,0.0115211
382,3.809997,0.0010,0.5906367
383,3.819996,0.0010,0.08210564
384,3.829996,0.0010,9.958744E-4
385,3.839997,0.0010,0.007359505
386,3.849996,0.0010,0.4316072
387,3.859996,0.0010,0.01034379
388,3.869997,0.0010,0.1144936
389,3.879996,0.0010,0.5591578
390,3.889996,0.0010,0.6242867
391,3.899997,0.0010,4.248619E-4
392,3.909996,0.0010,0.008682966
393,3.919996,0.0010,0.003403425
394,3.929997,0.0010,4.417896E-4
395,3.939996,0.0010,5.953312E-4
396,3.949996,0.0010,3.685951E-4
397,3.959997,0.0010,3.631115E-4
398,3.969996,0.0010,0.001391649
399,3.979996,0.0010,8.571148E-4
400,3.989997,0.0010,4.377365E-4
401,3.999996,0.0010,8.854866E-4
402,4.009996,0.0010,7.157326E-4
403,4.019997,0.0010,0.002659082
404,4.029996,0.0010,0.00272584
405,4.039996,0.0010,0.04347038
406,4.049997,0.0010,0.001087666
407,4.059996,0.0010,7.927418E-4
408,4.069996,0.0010,7.936954E-4
409,4.079997,0.0010,0.001227617
410,4.089996,0.0010,8.261204E-4
411,4.099996,0.0010,0.04042268
412,4.109997,0.0010,0.005755663
413,4.119996,0.0010,0.02744055
414,4.129996,0.0010,0.5688958
415,4.139997,0.0010,0.0057621
416,4.149996,0.0010,0.00254631
417,4.159996,0.0010,0.6160243
418,4.169997,0.0010,0.006224394
419,4.179996,0.0010,4.906654E-4
420,4.189996,0.0010,0.0193131
421,4.199997,0.0010,7.886887E-4
422,4.209996,0.0010,9.77993E-4
423,4.219996,0.0010,3.905296E-4
424,4.229997,0.0010,0.001368999
425,4.239996,0.0010,3.783703E-4
426,4.249996,0.0010,4.417896E-4
427,4.259997,0.0010,4.053116E-4
428,4.269996,0.0010,2.946854E-4
429,4.279996,0.0010,4.036427E-4
430,4.289997,0.0010,3.540516E-4
431,4.299996,0.0010,0.001407862
432,4.309996,0.0010,5.710125E-4
433,4.319997,0.0010,0.0575633
434,4.329996,0.0010,8.065701E-4
435,4.339996,0.0010,0.5649745
436,4.349997,0.0010,9.806156E-4
437,4.359996,0.0010,9.317398E-4
438,4.369996,0.0010,8.666515E-4
439,4.379997,0.0010,0.02052689
440,4.389996,0.0010,0.5923779
441,4.399996,0.0010,0.002367496
442,4.409997,0.0010,0.001366377
443,4.419996,0.0010,0.001095057
444,4.429996,0.0010,0.1399307
445,4.439997,0.0010,0.6350758
446,4.449996,0.0010,0.002966166
447,4.459996,0.0010,0.3398602
448,4.469997,0.0010,0.6750445
449,4.479996,0.0010,0.001445293
450,4.489996,0.0010,5.588531E-4
451,4.499997,0.0010,4.620552E-4
452,4.509996,0.0010,5.044937E-4
453,4.519996,0.0010,3.28064E-4
454,4.529997,0.0010,5.166531E-4
455,4.539996,0.0010,0.005145311
456,4.549996,0.0010,5.328655E-4
457,4.559997,0.0010,4.849434E-4
458,4.569996,0.0010,7.205009E-4
459,4.579996,0.0010,8.423328E-4
460,4.589997,0.0010,8.993149E-4
461,4.599996,0.0010,8.220673E-4
462,4.609996,0.0010,0.1961763
463,4.619997,0.0010,0.6167083
464,4.629996,0.0010,9.334087E-4
465,4.639996,0.0010,0.01337361
466,4.649997,0.0010,7.123947E-4
467,4.659996,0.0010,0.1081009
468,4.669996,0.0010,0.002358437
469,4.679997,0.0010,0.001785755
470,4.689996,0.0010,0.1167362
471,4.699996,0.0010,0.004870892
472,4.709997,0.0010,0.4283929
473,4.719996,0.0010,0.6424794
474,4.729996,0.0010,0.001175404
475,4.739997,0.0010,0.5077345
476,4.749996,0.0010,0.2983015
477,4.759996,0.0010,0.001401424
478,4.769997,0.0010,5.767345E-4
479,4.779996,0.0010,5.686283E-4
480,4.789996,0.0010,4.255772E-4
481,4.799997,0.0010,3.800392E-4
482,4.809996,0.0010,5.970001E-4
483,4.819996,0.0010,0.005350113
484,4.829997,0.0010,7.903576E-4
485,4.839996,0.0010,7.474422E-4
486,4.849996,0.0010,0.00122261
487,4.859997,0.0010,0.001389265
488,4.869996,0.0010,9.098053E-4
489,4.879996,0.0010,7.717609E-4
490,4.889997,0.0010,0.2874894
491,4.899996,0.0010,0.312742
492,4.909996,0.0010,0.001145363
493,4.919997,0.0010,0.002344608
494,4.929996,0.0010,0.3339305
495,4.939996,0.0010,0.6212592
496,4.949997,0.0010,0.001181126
497,4.959996,0.0010,0.001871824
498,4.969996,0.0010,0.2419412
499,4.979997,0.0010,0.2435396
500,4.989996,0.0010,0.6568451
501,4.999996,0.0010,0.6966026
502,5.009997,0.0010,4.110336E-4
503,5.019996,0.0010,0.6238494
504,5.029996,0.0010,0.08169866
505,5.039997,0.0010,3.550053E-4
506,5.049996,0.0010,0.1518533
507,5.059996,0.0010,3.824234E-4
508,5.069997,0.0010,4.475117E-4
509,5.079996,0.0010,7.066727E-4
510,5.089996,0.0010,0.6475852
511,5.099997,0.0010,0.7025411
512,5.109996,0.0010,0.004203796
513,5.119996,0.0010,0.004636765
514,5.129997,0.0010,0.05340242
515,5.139996,0.0010,0.2146616
516,5.149996,0.0010,0.6679571
517,5.159997,0.0010,0.7074471
518,5.169996,0.0010,0.06263232
519,5.179996,0.0010,0.002655983
520,5.189997,0.0010,0.5913646
521,5.199996,0.0010,0.001049519
522,5.209996,0.0010,0.02726817
523,5.219997,0.0010,7.636547E-4
524,5.229996,0.0010,3.216267E-4
525,5.239996,0.0010,5.278587E-4
526,5.249997,0.0010,0.03771544
527,5.259996,0.0010,3.26395E-4
528,5.269996,0.0010,5.385876E-4
529,5.279997,0.0010,4.816055E-4
530,5.289996,0.0010,3.631115E-4
531,5.299996,0.0010,4.296303E-4
532,5.309997,0.0010,3.216267E-4
533,5.319996,0.0010,8.21352E-4
534,5.329996,0.0010,0.1227431
535,5.339997,0.0010,0.265131
536,5.349996,0.0010,0.001000881
537,5.359996,0.0010,0.02655721
538,5.369997,0.0010,0.374831
539,5.379996,0.0010,0.02959108
540,5.389996,0.0010,0.00780797
541,5.399997,0.0010,5.466938E-4
542,5.409996,0.0010,0.001511812
543,5.419996,0.0010,7.855892E-4
544,5.429997,0.0010,0.4139676
545,5.439996,0.0010,0.3882821
546,5.449996,0.0010,0.001298904
547,5.459997,0.0010,4.1008E-4
548,5.469996,0.0010,6.108284E-4
549,5.479996,0.0010,4.117489E-4
550,5.489997,0.0010,3.833771E-4
551,5.499996,0.0010,3.459454E-4
552,5.509996,0.0010,3.898144E-4
553,5.519997,0.0010,3.685951E-4
554,5.529996,0.0010,0.01308513
555,5.539996,0.0010,2.987385E-4
556,5.549997,0.0010,0.3389192
557,5.559996,0.0010,2.987385E-4
558,5.569996,0.0010,3.068447E-4
559,5.579997,0.0010,3.972054E-4
560,5.589996,0.0010,3.108978E-4
561,5.599996,0.0010,4.532337E-4
562,5.609997,0.0010,0.05037332
563,5.619996,0.0010,0.08590651
564,5.629996,0.0010,5.474091E-4
565,5.639997,0.0010,0.4971209
566,5.649996,0.0010,0.3345544
567,5.659996,0.0010,0.1371
568,5.669997,0.0010,0.005661249
569,5.679996,0.0010,9.715557E-4
570,5.689996,0.0010,0.001277924
571,5.699997,0.0010,0.001448631
572,5.709996,0.0010,0.5684912
573,5.719996,0.0010,0.04433656
574,5.729997,0.0010,7.431507E-4
575,5.739996,0.0010,5.149841E-4
576,5.749996,0.0010,8.318424E-4
577,5.759997,0.0010,5.676746E-4
578,5.769996,0.0010,3.631115E-4
579,5.779996,0.0010,3.20673E-4
580,5.789997,0.0010,3.783703E-4
581,5.799996,0.0010,4.441738E-4
582,5.809996,0.0010,3.33786E-4
583,5.819997,0.0010,3.199577E-4
584,5.829996,0.0010,0.1967263
585,5.839996,0.0010,0.05569768
586,5.849997,0.0010,5.149841E-4
587,5.859996,0.0010,3.921986E-4
588,5.869996,0.0010,4.262924E-4
589,5.879997,0.0010,3.378391E-4
590,5.889996,0.0010,8.018017E-4
591,5.899996,0.0010,4.410744E-4
592,5.909997,0.0010,5.0354E-4
593,5.919996,0.0010,0.08216667
594,5.929996,0.0010,0.4917486
595,5.939997,0.0010,0.001147985
596,5.949996,0.0010,0.6057632
597,5.959996,0.0010,9.293556E-4
598,5.969997,0.0010,6.010532E-4
599,5.979996,0.0010,4.954338E-4
600,5.989996,0.0010,4.751682E-4
601,5.999997,0.0010,6.108284E-4
602,6.009996,0.0010,4.758835E-4
603,6.019996,0.0010,5.376339E-4
604,6.029997,0.0010,0.001667976
605,6.039996,0.0010,4.897118E-4
606,6.049996,0.0010,3.905296E-4
607,6.059997,0.0010,4.198551E-4
608,6.069996,0.0010,3.671646E-4
609,6.079996,0.0010,3.395081E-4
610,6.089997,0.0010,3.550053E-4
611,6.099996,0.0010,3.345013E-4
612,6.109996,0.0010,0.05079985
613,6.119997,0.0010,3.809929E-4
614,6.129996,0.0010,6.253719E-4
615,6.139996,0.0010,4.961491E-4
616,6.149997,0.0010,5.352497E-4
617,6.159996,0.0010,3.685951E-4
618,6.169996,0.0010,0.001583338
619,6.179997,0.0010,3.426075E-4
620,6.189996,0.0010,0.003664255
621,6.199996,0.0010,0.3786726
622,6.209997,0.0010,0.6199615
623,6.219996,0.0010,5.409718E-4
624,6.229996,0.0010,0.6236763
625,6.239997,0.0010,0.001403809
626,6.249996,0.0010,4.167557E-4
627,6.259996,0.0010,5.612373E-4
628,6.269997,0.0010,9.846687E-4
629,6.279996,0.0010,0.001346111
630,6.289996,0.0010,4.856586E-4
631,6.299997,0.0010,4.498959E-4
632,6.309996,0.0010,4.029274E-4
633,6.319996,0.0010,4.808903E-4
634,6.329997,0.0010,6.043911E-4
635,6.339996,0.0010,3.631115E-4
636,6.349996,0.0010,3.378391E-4
637,6.359997,0.0010,5.669594E-4
638,6.369996,0.0010,3.712177E-4
639,6.379996,0.0010,3.516674E-4
640,6.389997,0.0010,3.898144E-4
641,6.399996,0.0010,3.223419E-4
642,6.409996,0.0010,5.238056E-4
643,6.419997,0.0010,3.037453E-4
644,6.429996,0.0010,3.216267E-4
645,6.439996,0.0010,3.459454E-4
646,6.449997,0.0010,3.118515E-4
647,6.459996,0.0010,4.646778E-4
648,6.469996,0.0010,3.378391E-4
649,6.479997,0.0010,8.392334E-4
650,6.489996,0.0010,0.4124842
651,6.499996,0.0010,0.6206572
652,6.509997,0.0010,0.005692959
653,6.519996,0.0010,0.2713709
654,6.529996,0.0010,0.03727508
655,6.539997,0.0010,0.001043797
656,6.549996,0.0010,6.82354E-4
657,6.559996,0.0010,0.001009703
658,6.569997,0.0010,8.285046E-4
659,6.579996,0.0010,5.409718E-4
660,6.589996,0.0010,5.018711E-4
661,6.599997,0.0010,6.44207E-4
662,6.609996,0.0010,4.889965E-4
663,6.619996,0.0010,0.02677989
664,6.629997,0.0010,4.856586E-4
665,6.639996,0.0010,6.790161E-4
666,6.649996,0.0010,4.441738E-4
667,6.659997,0.0010,3.418922E-4
668,6.669996,0.0010,3.223419E-4
669,6.679996,0.0010,3.85046E-4
670,6.689997,0.0010,7.066727E-4
671,6.699996,0.0010,6.742477E-4
672,6.709996,0.0010,3.027916E-4
673,6.719997,0.0010,3.068447E-4
674,6.729996,0.0010,4.174709E-4
675,6.739996,0.0010,3.402233E-4
676,6.749997,0.0010,3.64542E-4
677,6.759996,0.0010,2.906322E-4
678,6.769996,0.0010,4.866123E-4
679,6.779997,0.0010,0.0356338
680,6.789996,0.0010,0.2590265
681,6.799996,0.0010,5.214214E-4
682,6.809997,0.0010,3.604889E-4
683,6.819996,0.0010,4.434586E-4
684,6.829996,0.0010,0.3209825
685,6.839997,0.0010,0.6175907
686,6.849996,0.0010,0.06139183
687,6.859996,0.0010,0.0010674
688,6.869997,0.0010,0.001662254
689,6.879996,0.0010,5.986691E-4
690,6.889996,0.0010,5.636215E-4
691,6.899997,0.0010,6.303787E-4
692,6.909996,0.0010,7.62701E-4
693,6.919996,0.0010,4.556179E-4
694,6.929997,0.0010,3.590584E-4
695,6.939996,0.0010,0.4431243
696,6.949996,0.0010,0.01087284
697,6.959997,0.0010,5.140305E-4
698,6.969996,0.0010,3.550053E-4
699,6.979996,0.0010,4.72784E-4
700,6.989997,0.0010,4.451275E-4
701,6.999996,0.0010,6.44207E-4
702,7.009996,0.0010,3.783703E-4
703,7.019997,0.0010,3.881454E-4
704,7.029996,0.0010,3.192425E-4
705,7.039996,0.0010,3.442764E-4
706,7.049997,0.0010,3.402233E-4
