[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 6:30 AM 0.514273 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.07289004
2,0.013996,0.0010,0.5062983
3,0.027997,0.0010,0.5508296
4,0.041996,0.0010,0.5876038
5,0.055997,0.0010,0.6435037
6,0.069996,0.0010,0.6547484
7,0.083996,0.0010,0.6716521
8,0.097996,0.0010,0.7029979
9,0.111996,0.0010,0.7130013
10,0.125996,0.0010,0.6943913
11,0.139997,0.0010,0.7119491
12,0.153996,0.0010,0.6981595
13,0.167996,0.0010,0.6814198
14,0.181996,0.0010,0.6939769
15,0.195997,0.0010,0.7124226
16,0.209996,0.0010,0.7059691
17,0.223997,0.0010,0.6922593
18,0.237996,0.0010,0.7197554
19,0.251997,0.0010,0.7057359
20,0.265996,0.0010,0.6950762
21,0.279996,0.0010,0.709111
22,0.293996,0.0010,0.7083213
23,0.307997,0.0010,0.6901467
24,0.321996,0.0010,0.6999454
25,0.335997,0.0010,0.6987681
26,0.349996,0.0010,0.695986
27,0.363997,0.0010,0.6784916
28,0.377996,0.0010,0.7100666
29,0.391997,0.0010,0.7053964
30,0.405996,0.0010,0.6893675
31,0.419997,0.0010,0.7181759
32,0.433996,0.0010,0.698756
33,0.447997,0.0010,0.6736321
34,0.461996,0.0010,0.6909325
35,0.475996,0.0010,0.7117929
36,0.489996,0.0010,0.6982937
37,0.503997,0.0010,0.6903157
38,0.517996,0.0010,0.706372
39,0.531996,0.0010,0.6967247
40,0.545996,0.0010,0.6924925
41,0.559997,0.0010,0.7101283
42,0.573996,0.0010,0.7202444
43,0.587997,0.0010,0.6881187
44,0.601996,0.0010,0.7076225
45,0.615997,0.0010,0.7138934
46,0.629996,0.0010,0.7102387
47,0.643997,0.0010,0.7037559
48,0.657996,0.0010,0.7238431
49,0.671997,0.0010,0.7327633
50,0.685996,0.0010,0.7023163
51,0.699996,0.0010,0.7289276
52,0.713996,0.0010,0.7243004
53,0.727996,0.0010,0.7015038
54,0.741996,0.0010,0.7161448
55,0.755997,0.0010,0.7374496
56,0.769996,0.0010,0.7340226
57,0.783997,0.0010,0.7201519
58,0.797996,0.0010,0.7253785
59,0.811997,0.0010,0.724957
60,0.825996,0.0010,0.7211034
61,0.839997,0.0010,0.7401171
62,0.853996,0.0010,0.7448149
63,0.867997,0.0010,0.7230394
64,0.881996,0.0010,0.7242248
65,0.895996,0.0010,0.7362797
66,0.909996,0.0010,0.7297969
67,0.923997,0.0010,0.725091
68,0.937996,0.0010,0.7330673
69,0.951997,0.0010,0.7314162
70,0.965996,0.0010,0.7231159
71,0.979997,0.0010,0.7311888
72,0.993996,0.0010,0.7235675
73,1.007997,0.0010,0.7107806
74,1.021996,0.0010,0.7315235
75,1.035997,0.0010,0.7333801
76,1.049996,0.0010,0.7210546
77,1.063997,0.0010,0.7131312
78,1.077996,0.0010,0.7189176
79,1.091996,0.0010,0.7095358
80,1.105996,0.0010,0.688803
81,1.119997,0.0010,0.7177405
82,1.133996,0.0010,0.7191713
83,1.147996,0.0010,0.6997795
84,1.161996,0.0010,0.7268395
85,1.175997,0.0010,0.7253461
86,1.189996,0.0010,0.7232442
87,1.203997,0.0010,0.7127664
88,1.217996,0.0010,0.7373571
89,1.231997,0.0010,0.7245197
90,1.245996,0.0010,0.7183774
91,1.259997,0.0010,0.722353
92,1.273996,0.0010,0.7258587
93,1.287997,0.0010,0.709692
94,1.301996,0.0010,0.7223108
95,1.315997,0.0010,0.7182605
96,1.329996,0.0010,0.7192101
97,1.343996,0.0010,0.7198756
98,1.357996,0.0010,0.7325993
99,1.371997,0.0010,0.7178307
100,1.385996,0.0010,0.6984732
101,1.399997,0.0010,0.7241671
102,1.413996,0.0010,0.7173114
103,1.427997,0.0010,0.6935649
104,1.441996,0.0010,0.7203469
105,1.455997,0.0010,0.7256386
106,1.469996,0.0010,0.713912
107,1.483997,0.0010,0.7150731
108,1.497996,0.0010,0.7364187
109,1.511996,0.0010,0.7208726
110,1.525996,0.0010,0.7194376
111,1.539997,0.0010,0.7277381
112,1.553996,0.0010,0.7229712
113,1.567997,0.0010,0.6980572
114,1.581996,0.0010,0.7175958
115,1.595997,0.0010,0.7445922
116,1.609996,0.0010,0.7215624
117,1.623997,0.0010,0.7180068
118,1.637996,0.0010,0.7309749
119,1.651997,0.0010,0.7289283
120,1.665996,0.0010,0.7096539
121,1.679996,0.0010,0.7177908
122,1.693996,0.0010,0.7241347
123,1.707996,0.0010,0.7051315
124,1.721996,0.0010,0.7295775
125,1.735997,0.0010,0.7327754
126,1.749996,0.0010,0.7118108
127,1.763997,0.0010,0.7182636
128,1.777996,0.0010,0.7228184
129,1.791997,0.0010,0.7179697
130,1.805996,0.0010,0.7142825
131,1.819997,0.0010,0.7222805
132,1.833996,0.0010,0.7247944
133,1.847997,0.0010,0.7151453
134,1.861996,0.0010,0.7296743
135,1.875996,0.0010,0.7359872
136,1.889996,0.0010,0.7220898
137,1.903997,0.0010,0.7194295
138,1.917996,0.0010,0.7474465
139,1.931997,0.0010,0.7481225
140,1.945996,0.0010,0.7157905
141,1.959996,0.0010,0.7479608
142,1.973996,0.0010,0.001368761
143,1.987997,0.0010,0.001055241
144,2.001996,0.0010,0.003130436
145,2.015997,0.0010,0.005198002
146,2.029996,0.0010,5.166531E-4
147,2.043997,0.0010,5.018711E-4
148,2.057996,0.0010,8.611679E-4
149,2.071997,0.0010,0.001532078
150,2.085996,0.0010,5.197525E-4
151,2.099997,0.0010,5.028248E-4
152,2.113996,0.0010,0.001732826
153,2.127996,0.0010,7.529259E-4
154,2.141996,0.0010,4.515648E-4
155,2.155997,0.0010,4.856586E-4
156,2.169996,0.0010,4.312992E-4
157,2.183997,0.0010,3.547668E-4
158,2.197996,0.0010,4.498959E-4
159,2.211997,0.0010,4.150867E-4
160,2.225996,0.0010,3.459454E-4
161,2.239997,0.0010,3.564358E-4
162,2.253996,0.0010,4.630089E-4
163,2.267997,0.0010,4.823208E-4
164,2.281996,0.0010,0.002242327
165,2.295997,0.0010,0.0128932
166,2.309996,0.0010,0.001455069
167,2.323996,0.0010,0.001994371
168,2.337996,0.0010,0.003381491
169,2.351997,0.0010,0.01335955
170,2.365996,0.0010,9.975433E-4
171,2.379997,0.0010,6.67572E-4
172,2.393996,0.0010,0.007212162
173,2.407997,0.0010,9.431839E-4
174,2.421996,0.0010,4.370213E-4
175,2.435997,0.0010,5.099773E-4
176,2.449996,0.0010,3.402233E-4
177,2.463997,0.0010,3.702641E-4
178,2.477996,0.0010,7.050037E-4
179,2.491996,0.0010,7.903576E-4
180,2.505996,0.0010,0.001757145
181,2.519997,0.0010,4.630089E-4
182,2.533996,0.0010,6.408691E-4
183,2.547997,0.0010,8.90255E-4
184,2.561996,0.0010,0.004453897
185,2.575996,0.0010,0.001770973
186,2.589996,0.0010,0.009174347
187,2.603997,0.0010,0.01367569
188,2.617996,0.0010,0.002562284
189,2.631997,0.0010,0.0033741
190,2.645996,0.0010,0.001904249
191,2.659997,0.0010,5.190372E-4
192,2.673996,0.0010,0.009048462
193,2.687996,0.0010,9.374619E-4
194,2.701996,0.0010,4.23193E-4
195,2.715997,0.0010,4.742146E-4
196,2.729996,0.0010,3.938675E-4
197,2.743997,0.0010,3.979206E-4
198,2.757996,0.0010,5.993843E-4
199,2.771997,0.0010,6.620884E-4
200,2.785996,0.0010,3.986359E-4
201,2.799997,0.0010,4.718304E-4
202,2.813996,0.0010,4.467964E-4
203,2.827997,0.0010,0.001344442
204,2.841996,0.0010,0.002771139
205,2.855997,0.0010,0.001528978
206,2.869996,0.0010,0.002405643
207,2.883996,0.0010,0.04940701
208,2.897996,0.0010,0.004063845
209,2.911997,0.0010,0.004820347
210,2.925996,0.0010,0.003757477
211,2.939996,0.0010,4.262924E-4
212,2.953996,0.0010,0.00722599
213,2.967997,0.0010,7.417202E-4
214,2.981996,0.0010,3.533363E-4
215,2.995997,0.0010,3.273487E-4
216,3.009996,0.0010,4.329681E-4
217,3.023997,0.0010,3.874302E-4
218,3.037996,0.0010,8.106232E-4
219,3.051997,0.0010,7.33614E-4
220,3.065996,0.0010,4.003048E-4
221,3.079997,0.0010,7.376671E-4
222,3.093996,0.0010,6.766319E-4
223,3.107996,0.0010,9.732246E-4
224,3.121996,0.0010,0.00184989
225,3.135997,0.0010,4.441738E-4
226,3.149996,0.0010,0.003659964
227,3.163997,0.0010,0.009242773
228,3.177996,0.0010,0.002881765
229,3.191996,0.0010,0.002256155
230,3.205996,0.0010,4.093647E-4
231,3.219997,0.0010,0.006559849
232,3.233996,0.0010,0.003251314
233,3.247997,0.0010,4.165173E-4
234,3.261996,0.0010,4.508495E-4
235,3.275997,0.0010,5.335808E-4
236,3.289996,0.0010,4.124641E-4
237,3.303996,0.0010,4.21524E-4
238,3.317996,0.0010,0.09499502
239,3.331997,0.0010,5.693436E-4
240,3.345996,0.0010,4.377365E-4
241,3.359997,0.0010,4.491806E-4
242,3.373996,0.0010,8.416176E-4
243,3.387997,0.0010,6.067753E-4
244,3.401996,0.0010,0.001156092
245,3.415997,0.0010,0.001507044
246,3.429996,0.0010,0.002223492
247,3.443997,0.0010,0.001645088
248,3.457996,0.0010,0.00144124
249,3.471996,0.0010,0.004271984
250,3.485996,0.0010,0.002099276
251,3.499997,0.0010,0.001116991
252,3.513996,0.0010,0.003004313
253,3.527997,0.0010,0.001041412
254,3.541996,0.0010,4.174709E-4
255,3.555996,0.0010,5.571842E-4
256,3.569996,0.0010,9.951591E-4
257,3.583997,0.0010,5.002022E-4
258,3.597996,0.0010,5.92947E-4
259,3.611997,0.0010,5.10931E-4
260,3.625996,0.0010,4.279613E-4
261,3.639997,0.0010,8.285046E-4
262,3.653996,0.0010,5.450249E-4
263,3.667996,0.0010,5.474091E-4
264,3.681996,0.0010,0.004994869
265,3.695997,0.0010,7.839203E-4
266,3.709996,0.0010,0.006245375
267,3.723996,0.0010,6.80685E-4
268,3.737996,0.0010,0.005852938
269,3.751997,0.0010,0.002231836
270,3.765996,0.0010,0.001116276
271,3.779997,0.0010,8.88586E-4
272,3.793996,0.0010,0.009211779
273,3.807997,0.0010,7.083416E-4
274,3.821996,0.0010,0.001377821
275,3.835997,0.0010,0.001247883
276,3.849996,0.0010,5.524158E-4
277,3.863996,0.0010,9.310246E-4
278,3.877996,0.0010,0.002961397
279,3.891997,0.0010,9.448528E-4
280,3.905996,0.0010,3.743172E-4
281,3.919996,0.0010,3.979206E-4
282,3.933996,0.0010,5.474091E-4
283,3.947997,0.0010,7.846355E-4
284,3.961996,0.0010,0.005510807
285,3.975997,0.0010,0.004236937
286,3.989996,0.0010,0.001422405
287,4.003997,0.0010,5.075932E-4
288,4.017996,0.0010,8.740425E-4
289,4.031997,0.0010,0.004878044
290,4.045996,0.0010,0.001684904
291,4.059997,0.0010,0.001378536
292,4.073996,0.0010,0.01609755
293,4.087996,0.0010,8.797646E-4
294,4.101996,0.0010,0.008740664
295,4.115997,0.0010,4.262924E-4
296,4.129996,0.0010,4.701614E-4
297,4.143997,0.0010,5.524158E-4
298,4.157996,0.0010,4.181862E-4
299,4.171997,0.0010,7.171631E-4
300,4.185996,0.0010,5.92947E-4
301,4.199997,0.0010,4.329681E-4
302,4.213996,0.0010,6.814003E-4
303,4.227997,0.0010,7.26223E-4
304,4.241996,0.0010,0.002393484
305,4.255996,0.0010,0.001765251
306,4.269996,0.0010,0.002097607
307,4.283996,0.0010,0.003107548
308,4.297996,0.0010,0.001698732
309,4.311997,0.0010,0.002817631
310,4.325996,0.0010,0.002046585
311,4.339997,0.0010,0.001238823
312,4.353996,0.0010,0.004855156
313,4.367997,0.0010,0.001381159
314,4.381996,0.0010,0.004318237
315,4.395997,0.0010,8.757114E-4
316,4.409996,0.0010,0.02446532
317,4.423997,0.0010,4.906654E-4
318,4.437996,0.0010,5.693436E-4
319,4.451996,0.0010,0.001461506
320,4.465996,0.0010,5.385876E-4
321,4.479997,0.0010,6.29425E-4
322,4.493996,0.0010,4.248619E-4
323,4.507997,0.0010,6.604195E-4
324,4.521996,0.0010,0.002340555
325,4.535996,0.0010,4.799366E-4
326,4.549996,0.0010,0.003977776
327,4.563997,0.0010,0.001046419
328,4.577996,0.0010,0.003395319
329,4.591997,0.0010,0.001330614
330,4.605996,0.0010,6.732941E-4
331,4.619997,0.0010,0.007482052
332,4.633996,0.0010,0.004012585
333,4.647996,0.0010,8.261204E-4
334,4.661996,0.0010,0.001038074
335,4.675997,0.0010,3.759861E-4
336,4.689996,0.0010,4.394054E-4
337,4.703996,0.0010,8.716583E-4
338,4.717996,0.0010,4.987717E-4
339,4.731997,0.0010,0.001859665
340,4.745996,0.0010,4.117489E-4
341,4.759997,0.0010,6.00338E-4
342,4.773996,0.0010,4.67062E-4
343,4.787997,0.0010,0.002043962
344,4.801996,0.0010,0.005711555
345,4.815997,0.0010,0.001598835
346,4.829996,0.0010,8.804798E-4
347,4.843997,0.0010,0.001545906
348,4.857996,0.0010,0.001408577
349,4.871997,0.0010,0.001526594
350,4.885996,0.0010,0.002330065
351,4.899996,0.0010,0.0121181
352,4.913996,0.0010,0.01870322
353,4.927997,0.0010,5.352497E-4
354,4.941996,0.0010,7.302761E-4
355,4.955997,0.0010,4.255772E-4
356,4.969996,0.0010,0.001365662
357,4.983997,0.0010,0.08746147
358,4.997996,0.0010,0.001348495
359,5.011997,0.0010,7.56979E-4
360,5.025996,0.0010,0.001391649
361,5.039997,0.0010,5.173683E-4
362,5.053996,0.0010,8.196831E-4
363,5.067996,0.0010,0.001866102
364,5.081996,0.0010,0.0034585
365,5.095996,0.0010,0.001238108
366,5.109996,0.0010,7.441044E-4
367,5.123997,0.0010,0.001052856
368,5.137996,0.0010,0.003866434
369,5.151996,0.0010,0.00183773
370,5.165996,0.0010,0.001153469
371,5.179997,0.0010,0.005723
372,5.193996,0.0010,0.001858711
373,5.207997,0.0010,0.001284361
374,5.221996,0.0010,6.921291E-4
375,5.235997,0.0010,5.238056E-4
376,5.249996,0.0010,0.001055241
377,5.263996,0.0010,0.002261877
378,5.277996,0.0010,4.937649E-4
379,5.291997,0.0010,0.230083
380,5.305996,0.0010,4.053116E-4
381,5.319997,0.0010,6.108284E-4
382,5.333996,0.0010,5.271435E-4
383,5.347997,0.0010,7.855892E-4
384,5.361996,0.0010,6.992817E-4
385,5.375997,0.0010,0.001187563
386,5.389996,0.0010,4.954338E-4
387,5.403997,0.0010,0.001661301
388,5.417996,0.0010,0.01056957
389,5.431997,0.0010,0.001994371
390,5.445996,0.0010,0.002847672
391,5.459996,0.0010,0.006261587
392,5.473996,0.0010,0.006685019
393,5.487997,0.0010,9.317398E-4
394,5.501996,0.0010,7.11441E-4
395,5.515996,0.0010,4.060268E-4
396,5.529996,0.0010,0.002612829
397,5.543997,0.0010,7.920265E-4
398,5.557996,0.0010,9.658337E-4
399,5.571997,0.0010,0.001031637
400,5.585996,0.0010,0.001002312
401,5.599997,0.0010,7.498264E-4
402,5.613996,0.0010,8.382797E-4
403,5.627997,0.0010,0.003177404
404,5.641996,0.0010,0.001134872
405,5.655997,0.0010,0.001770973
406,5.669996,0.0010,8.041859E-4
407,5.683996,0.0010,0.006865263
408,5.697996,0.0010,8.966923E-4
409,5.711996,0.0010,5.278587E-4
410,5.725996,0.0010,3.41177E-4
411,5.739997,0.0010,6.570816E-4
412,5.753996,0.0010,3.726482E-4
413,5.767996,0.0010,4.792213E-4
414,5.781996,0.0010,5.717278E-4
415,5.795997,0.0010,0.001162529
416,5.809996,0.0010,0.001116276
417,5.823997,0.0010,0.001349449
418,5.837996,0.0010,0.01122522
419,5.851997,0.0010,0.001455069
420,5.865996,0.0010,9.732246E-4
421,5.879996,0.0010,5.304813E-4
422,5.893996,0.0010,0.001059294
423,5.907997,0.0010,7.286072E-4
424,5.921996,0.0010,0.01023555
425,5.935997,0.0010,0.001446009
426,5.949996,0.0010,3.547668E-4
427,5.963997,0.0010,8.21352E-4
428,5.977996,0.0010,2.915859E-4
429,5.991997,0.0010,7.171631E-4
430,6.005996,0.0010,0.008275747
431,6.019997,0.0010,0.001457453
432,6.033996,0.0010,0.001270533
433,6.047997,0.0010,8.635521E-4
434,6.061996,0.0010,4.21524E-4
435,6.075996,0.0010,5.612373E-4
436,6.089996,0.0010,4.6134E-4
437,6.103997,0.0010,0.00168252
438,6.117996,0.0010,7.741451E-4
439,6.131996,0.0010,0.001938343
440,6.145996,0.0010,4.799366E-4
441,6.159997,0.0010,3.28064E-4
442,6.173996,0.0010,2.82526E-4
443,6.187997,0.0010,6.732941E-4
444,6.201996,0.0010,3.890991E-4
445,6.215997,0.0010,2.818108E-4
446,6.229996,0.0010,2.882481E-4
447,6.243997,0.0010,7.123947E-4
448,6.257996,0.0010,3.378391E-4
449,6.271997,0.0010,0.004472494
450,6.285996,0.0010,0.001981497
451,6.299996,0.0010,8.1563E-4
452,6.313996,0.0010,0.002118826
453,6.327996,0.0010,9.543896E-4
454,6.341996,0.0010,6.425381E-4
455,6.355997,0.0010,0.001793861
456,6.369996,0.0010,0.001133204
457,6.383997,0.0010,0.003340006
458,6.397996,0.0010,7.383823E-4
459,6.411997,0.0010,5.87225E-4
460,6.425996,0.0010,3.142357E-4
461,6.439997,0.0010,3.507137E-4
462,6.453996,0.0010,3.800392E-4
463,6.467997,0.0010,3.533363E-4
464,6.481996,0.0010,4.165173E-4
465,6.495996,0.0010,3.077984E-4
466,6.509996,0.0010,3.256798E-4
467,6.523997,0.0010,4.353523E-4
468,6.537996,0.0010,4.718304E-4
469,6.551997,0.0010,0.002617598
470,6.565996,0.0010,0.00150466
471,6.579997,0.0010,7.472038E-4
472,6.593996,0.0010,0.002390862
473,6.607997,0.0010,5.660057E-4
474,6.621996,0.0010,0.001045465
475,6.635997,0.0010,0.002184629
476,6.649996,0.0010,0.001994371
477,6.663997,0.0010,0.002045631
478,6.677996,0.0010,0.001859665
479,6.691996,0.0010,0.001734495
480,6.705996,0.0010,2.622604E-4
481,6.719997,0.0010,3.631115E-4
482,6.733996,0.0010,3.321171E-4
483,6.747996,0.0010,7.18832E-4
484,6.761996,0.0010,3.402233E-4
485,6.775997,0.0010,3.247261E-4
486,6.789996,0.0010,4.165173E-4
487,6.803997,0.0010,5.652905E-4
488,6.817996,0.0010,3.442764E-4
489,6.831997,0.0010,0.002465725
490,6.845996,0.0010,5.686283E-4
491,6.859997,0.0010,8.392334E-4
492,6.873996,0.0010,8.797646E-4
493,6.887997,0.0010,7.977486E-4
494,6.901996,0.0010,0.009466171
495,6.915997,0.0010,5.450249E-4
496,6.929996,0.0010,0.001113653
497,6.943996,0.0010,0.001510143
498,6.957996,0.0010,5.993843E-4
499,6.971997,0.0010,8.966923E-4
500,6.985996,0.0010,2.930164E-4
501,6.999997,0.0010,3.013611E-4
502,7.013996,0.0010,2.996922E-4
503,7.027997,0.0010,2.930164E-4
504,7.041996,0.0010,3.085136E-4
505,7.055997,0.0010,3.581047E-4
506,7.069996,0.0010,3.800392E-4
507,7.083997,0.0010,8.301735E-4
508,7.097996,0.0010,5.092621E-4
509,7.111996,0.0010,0.001298904
510,7.125996,0.0010,4.742146E-4
511,7.139997,0.0010,3.573895E-4
512,7.153996,0.0010,0.001147747
513,7.167997,0.0010,5.514622E-4
514,7.181996,0.0010,8.325577E-4
515,7.195997,0.0010,0.002419472
516,7.209996,0.0010,0.001228333
517,7.223997,0.0010,0.001157522
518,7.237996,0.0010,5.524158E-4
519,7.251997,0.0010,9.438992E-4
520,7.265996,0.0010,4.1008E-4
521,7.279996,0.0010,9.114742E-4
522,7.293996,0.0010,3.108978E-4
523,7.307996,0.0010,3.507137E-4
524,7.321996,0.0010,4.67062E-4
525,7.335997,0.0010,4.563332E-4
526,7.349996,0.0010,9.350777E-4
527,7.363997,0.0010,3.938675E-4
528,7.377996,0.0010,4.653931E-4
529,7.391997,0.0010,3.77655E-4
530,7.405996,0.0010,3.85046E-4
531,7.419997,0.0010,0.02134466
532,7.433996,0.0010,6.783009E-4
533,7.447997,0.0010,0.001419306
534,7.461996,0.0010,0.002425909
535,7.475996,0.0010,0.003998995
536,7.489996,0.0010,6.668568E-4
537,7.503996,0.0010,7.586479E-4
538,7.517996,0.0010,7.164478E-4
539,7.531997,0.0010,4.15802E-4
540,7.545996,0.0010,3.135204E-4
541,7.559996,0.0010,3.752708E-4
542,7.573996,0.0010,3.85046E-4
543,7.587997,0.0010,5.750656E-4
544,7.601996,0.0010,4.498959E-4
545,7.615997,0.0010,5.238056E-4
546,7.629996,0.0010,5.059242E-4
547,7.643997,0.0010,0.001965284
548,7.657996,0.0010,6.945133E-4
549,7.671996,0.0010,0.003017426
550,7.685996,0.0010,0.001738548
551,7.699997,0.0010,6.580353E-4
552,7.713996,0.0010,0.002710342
553,7.727996,0.0010,0.003888369
554,7.741996,0.0010,0.001758814
555,7.755997,0.0010,9.675026E-4
556,7.769996,0.0010,3.33786E-4
557,7.783997,0.0010,7.789135E-4
558,7.797996,0.0010,6.701946E-4
559,7.811997,0.0010,4.782677E-4
560,7.825996,0.0010,5.466938E-4
561,7.839997,0.0010,4.069805E-4
562,7.853996,0.0010,2.849102E-4
563,7.867996,0.0010,4.012585E-4
564,7.881996,0.0010,0.001034021
565,7.895997,0.0010,2.753735E-4
566,7.909996,0.0010,4.72784E-4
567,7.923996,0.0010,4.930496E-4
568,7.937996,0.0010,3.638268E-4
569,7.951997,0.0010,0.001977444
570,7.965996,0.0010,7.26223E-4
571,7.979997,0.0010,0.001126766
572,7.993996,0.0010,8.099079E-4
573,8.007997,0.0010,0.00343585
574,8.021996,0.0010,4.718304E-4
575,8.035997,0.0010,8.058548E-4
576,8.049996,0.0010,5.912781E-4
577,8.063997,0.0010,5.254745E-4
578,8.077996,0.0010,7.798672E-4
579,8.091996,0.0010,3.890991E-4
580,8.105996,0.0010,3.125668E-4
581,8.119997,0.0010,4.303455E-4
582,8.133996,0.0010,3.297329E-4
583,8.147997,0.0010,3.175735E-4
584,8.161996,0.0010,0.002608776
585,8.175997,0.0010,3.452301E-4
586,8.189996,0.0010,3.540516E-4
587,8.203997,0.0010,0.001401424
588,8.217996,0.0010,3.581047E-4
589,8.231997,0.0010,0.002227545
590,8.245996,0.0010,8.375645E-4
591,8.259996,0.0010,0.001392365
592,8.273996,0.0010,0.001575232
593,8.287996,0.0010,0.002074957
594,8.301996,0.0010,4.701614E-4
595,8.315997,0.0010,5.865097E-4
596,8.329996,0.0010,7.181168E-4
597,8.343997,0.0010,9.496212E-4
598,8.357996,0.0010,6.334782E-4
599,8.371997,0.0010,0.002234936
600,8.385996,0.0010,3.101826E-4
601,8.399997,0.0010,3.068447E-4
602,8.413996,0.0010,4.53949E-4
603,8.427997,0.0010,3.297329E-4
604,8.441996,0.0010,4.198551E-4
605,8.455996,0.0010,4.279613E-4
606,8.469996,0.0010,3.857613E-4
607,8.483997,0.0010,6.425381E-4
608,8.497996,0.0010,4.303455E-4
609,8.511997,0.0010,0.002171516
610,8.525996,0.0010,0.002760649
611,8.539997,0.0010,0.001593828
612,8.553996,0.0010,0.00857234
613,8.567997,0.0010,0.005660295
614,8.581996,0.0010,0.001047134
615,8.595997,0.0010,8.180141E-4
616,8.609996,0.0010,5.197525E-4
617,8.623996,0.0010,0.001320839
618,8.637996,0.0010,0.001219273
619,8.651996,0.0010,3.955364E-4
620,8.665996,0.0010,3.476143E-4
621,8.679997,0.0010,5.197525E-4
622,8.693996,0.0010,3.590584E-4
623,8.707996,0.0010,0.02238059
624,8.721996,0.0010,2.663136E-4
625,8.735997,0.0010,2.679825E-4
626,8.749996,0.0010,3.304482E-4
627,8.763997,0.0010,3.232956E-4
628,8.777996,0.0010,3.426075E-4
629,8.791997,0.0010,8.611679E-4
630,8.805996,0.0010,0.001272202
631,8.819996,0.0010,0.001154423
632,8.833996,0.0010,0.001332998
633,8.847997,0.0010,0.001597166
634,8.861996,0.0010,7.302761E-4
635,8.875997,0.0010,0.001017094
636,8.889996,0.0010,7.855892E-4
637,8.903997,0.0010,6.165504E-4
638,8.917996,0.0010,0.002196074
639,8.931997,0.0010,5.011559E-4
640,8.945996,0.0010,4.117489E-4
641,8.959997,0.0010,3.752708E-4
642,8.973996,0.0010,3.931522E-4
643,8.987997,0.0010,4.532337E-4
644,9.001996,0.0010,3.135204E-4
645,9.015996,0.0010,3.135204E-4
646,9.029996,0.0010,3.492832E-4
647,9.043997,0.0010,3.354549E-4
648,9.057996,0.0010,3.614426E-4
649,9.071996,0.0010,0.001066685
650,9.085996,0.0010,8.926392E-4
651,9.099997,0.0010,0.001107216
652,9.113996,0.0010,0.06457305
653,9.127997,0.0010,0.005388975
654,9.141996,0.0010,0.001342058
655,9.155997,0.0010,8.115768E-4
656,9.169996,0.0010,5.288124E-4
657,9.183997,0.0010,9.057522E-4
658,9.197996,0.0010,5.207062E-4
659,9.211997,0.0010,4.076958E-4
660,9.225996,0.0010,3.533363E-4
661,9.239996,0.0010,2.622604E-4
662,9.253996,0.0010,2.858639E-4
663,9.267997,0.0010,2.923012E-4
664,9.281996,0.0010,2.841949E-4
665,9.295997,0.0010,3.027916E-4
666,9.309996,0.0010,2.720356E-4
667,9.323997,0.0010,3.287792E-4
668,9.337996,0.0010,4.124641E-4
669,9.351997,0.0010,5.497932E-4
670,9.365996,0.0010,0.001069784
671,9.379996,0.0010,0.00114131
672,9.393996,0.0010,0.02155113
673,9.407997,0.0010,4.994869E-4
674,9.421996,0.0010,3.540516E-4
675,9.435996,0.0010,7.6437E-4
676,9.449996,0.0010,5.865097E-4
677,9.463997,0.0010,0.008210897
678,9.477996,0.0010,0.5444622
679,9.491997,0.0010,0.5726848
680,9.505996,0.0010,0.6161585
681,9.519997,0.0010,0.6456599
682,9.533996,0.0010,0.6658161
683,9.547997,0.0010,0.7026169
684,9.561996,0.0010,0.7214079
685,9.575997,0.0010,0.7253819
686,9.589996,0.0010,0.7138689
687,9.603996,0.0010,0.7185116
688,9.617996,0.0010,0.7241428
689,9.631997,0.0010,0.7120123
690,9.645996,0.0010,0.7350302
691,9.659997,0.0010,0.7206645
692,9.673996,0.0010,0.7062535
693,9.687997,0.0010,0.7045181
694,9.701996,0.0010,0.7309084
695,9.715997,0.0010,0.7184782
696,9.729996,0.0010,0.7041426
697,9.743997,0.0010,0.7275195
698,9.757996,0.0010,0.7191818
699,9.771996,0.0010,0.7058604
