[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 7:37 AM 0.560295 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,0.01283741
2,0.009996,0.0010,0.5456955
3,0.019997,0.0010,0.598541
4,0.029996,0.0010,0.6276369
5,0.039996,0.0010,0.6735768
6,0.049997,0.0010,0.6990244
7,0.059996,0.0010,0.7286103
8,0.069996,0.0010,0.7518976
9,0.079997,0.0010,0.7727084
10,0.089996,0.0010,0.7888138
11,0.099996,0.0010,0.8109748
12,0.109997,0.0010,0.815902
13,0.119996,0.0010,0.8359253
14,0.129996,0.0010,0.832937
15,0.139997,0.0010,0.8363788
16,0.149996,0.0010,0.8239889
17,0.159996,0.0010,0.8160427
18,0.169997,0.0010,0.8173449
19,0.179996,0.0010,0.820565
20,0.189996,0.0010,0.8118939
21,0.199997,0.0010,0.8254426
22,0.209996,0.0010,0.8162067
23,0.219996,0.0010,0.8107564
24,0.229997,0.0010,0.8177066
25,0.239996,0.0010,0.8209338
26,0.249996,0.0010,0.8330126
27,0.259997,0.0010,0.8410068
28,0.269996,0.0010,0.8274527
29,0.279996,0.0010,0.830519
30,0.289997,0.0010,0.8400035
31,0.299996,0.0010,0.8420696
32,0.309996,0.0010,0.8372254
33,0.319997,0.0010,0.8373513
34,0.329996,0.0010,0.8289475
35,0.339996,0.0010,0.8192723
36,0.349997,0.0010,0.8290052
37,0.359996,0.0010,0.8486884
38,0.369996,0.0010,0.8461978
39,0.379997,0.0010,0.846328
40,0.389996,0.0010,0.8349228
41,0.399996,0.0010,0.8403049
42,0.409997,0.0010,0.8277442
43,0.419996,0.0010,0.8333945
44,0.429996,0.0010,0.8272738
45,0.439997,0.0010,0.8167982
46,0.449996,0.0010,0.8314307
47,0.459996,0.0010,0.8252189
48,0.469997,0.0010,0.8225548
49,0.479996,0.0010,0.8313055
50,0.489996,0.0010,0.8219998
51,0.499997,0.0010,0.8306637
52,0.509996,0.0010,0.8245862
53,0.519996,0.0010,0.8282707
54,0.529997,0.0010,0.8263638
55,0.539996,0.0010,0.8273363
56,0.549996,0.0010,0.8155143
57,0.559997,0.0010,0.8083205
58,0.569996,0.0010,0.8313794
59,0.579996,0.0010,0.8251696
60,0.589997,0.0010,0.8290248
61,0.599996,0.0010,0.8300819
62,0.609996,0.0010,0.830498
63,0.619997,0.0010,0.8111553
64,0.629996,0.0010,0.8245299
65,0.639996,0.0010,0.818156
66,0.649997,0.0010,0.8145826
67,0.659996,0.0010,0.8235557
68,0.669996,0.0010,0.8266921
69,0.679997,0.0010,0.8189554
70,0.689996,0.0010,0.8197582
71,0.699996,0.0010,0.8271081
72,0.709997,0.0010,0.8286397
73,0.719996,0.0010,0.8233974
74,0.729996,0.0010,0.8416381
75,0.739997,0.0010,0.839051
76,0.749996,0.0010,0.8363943
77,0.759996,0.0010,0.8380957
78,0.769997,0.0010,0.8268106
79,0.779996,0.0010,0.8290524
80,0.789996,0.0010,0.8395379
81,0.799997,0.0010,0.8260713
82,0.809996,0.0010,0.8409028
83,0.819996,0.0010,0.8415196
84,0.829997,0.0010,0.8335187
85,0.839996,0.0010,0.8247168
86,0.849996,0.0010,0.8401196
87,0.859997,0.0010,0.830406
88,0.869996,0.0010,0.8251426
89,0.879996,0.0010,0.8240027
90,0.889997,0.0010,0.8285959
91,0.899996,0.0010,0.818398
92,0.909996,0.0010,0.8252718
93,0.919997,0.0010,0.8364747
94,0.929996,0.0010,0.8296773
95,0.939996,0.0010,0.8386643
96,0.949997,0.0010,0.8266418
97,0.959996,0.0010,0.8322625
98,0.969996,0.0010,0.8371458
99,0.979997,0.0010,0.8352778
100,0.989996,0.0010,0.8219779
101,0.999996,0.0010,0.8126504
102,1.009997,0.0010,0.8338454
103,1.019996,0.0010,0.8325591
104,1.029996,0.0010,0.8401237
105,1.039997,0.0010,0.8401871
106,1.049996,0.0010,0.8324876
107,1.059996,0.0010,0.8325665
108,1.069997,0.0010,0.8542027
109,1.079996,0.0010,0.850826
110,1.089996,0.0010,0.8384182
111,1.099997,0.0010,0.8475523
112,1.109996,0.0010,0.8385506
113,1.119996,0.0010,0.8327379
114,1.129997,0.0010,0.8507123
115,1.139996,0.0010,0.8299835
116,1.149996,0.0010,0.8255563
117,1.159997,0.0010,0.8382273
118,1.169996,0.0010,0.8405259
119,1.179996,0.0010,0.8389983
120,1.189997,0.0010,0.845283
121,1.199996,0.0010,0.8393435
122,1.209996,0.0010,0.8326964
123,1.219997,0.0010,0.8491466
124,1.229996,0.0010,0.8403137
125,1.239996,0.0010,0.8318613
126,1.249997,0.0010,0.8453212
127,1.259996,0.0010,0.841414
128,1.269996,0.0010,0.8330872
129,1.279997,0.0010,0.8390357
130,1.289996,0.0010,0.8399603
131,1.299996,0.0010,0.8380795
132,1.309997,0.0010,0.8322399
133,1.319996,0.0010,0.8429527
134,1.329996,0.0010,0.828604
135,1.339997,0.0010,0.8348796
136,1.349996,0.0010,0.8456366
137,1.359996,0.0010,0.8302112
138,1.369997,0.0010,0.8232071
139,1.379996,0.0010,0.8434565
140,1.389996,0.0010,0.8309667
141,1.399997,0.0010,0.8344052
142,1.409996,0.0010,0.843719
143,1.419996,0.0010,0.8235078
144,1.429997,0.0010,8.692741E-4
145,1.439996,0.0010,0.7068009
146,1.449996,0.0010,0.002830505
147,1.459997,0.0010,0.001580954
148,1.469996,0.0010,0.00117135
149,1.479996,0.0010,6.482601E-4
150,1.489997,0.0010,0.3520119
151,1.499996,0.0010,0.2735887
152,1.509996,0.0010,0.002127886
153,1.519997,0.0010,0.6532779
154,1.529996,0.0010,0.001647472
155,1.539996,0.0010,0.001774311
156,1.549997,0.0010,0.3069835
157,1.559996,0.0010,0.001646757
158,1.569996,0.0010,0.001528978
159,1.579997,0.0010,0.002408028
160,1.589996,0.0010,0.001575232
161,1.599996,0.0010,0.003673077
162,1.609997,0.0010,0.001762152
163,1.619996,0.0010,8.554459E-4
164,1.629996,0.0010,0.00242281
165,1.639997,0.0010,0.001188517
166,1.649996,0.0010,0.3239007
167,1.659996,0.0010,0.001288414
168,1.669997,0.0010,0.001446009
169,1.679996,0.0010,7.035732E-4
170,1.689996,0.0010,6.361008E-4
171,1.699997,0.0010,8.895397E-4
172,1.709996,0.0010,0.4718654
173,1.719996,0.0010,0.001025915
174,1.729997,0.0010,7.953644E-4
175,1.739996,0.0010,0.002660036
176,1.749996,0.0010,0.001656532
177,1.759997,0.0010,0.001173973
178,1.769996,0.0010,0.001072407
179,1.779996,0.0010,0.1826715
180,1.789997,0.0010,0.002960682
181,1.799996,0.0010,0.01996803
182,1.809996,0.0010,0.002865553
183,1.819997,0.0010,0.02884865
184,1.829996,0.0010,0.004251719
185,1.839996,0.0010,0.004919529
186,1.849997,0.0010,0.004749775
187,1.859996,0.0010,0.002478838
188,1.869996,0.0010,0.002244711
189,1.879997,0.0010,0.2935536
190,1.889996,0.0010,8.025169E-4
191,1.899996,0.0010,0.002165079
192,1.909997,0.0010,0.002050638
193,1.919996,0.0010,0.007043362
194,1.929996,0.0010,0.003087282
195,1.939997,0.0010,0.002039194
196,1.949996,0.0010,5.865097E-4
197,1.959996,0.0010,0.001356602
198,1.969997,0.0010,0.002181292
199,1.979996,0.0010,9.171963E-4
200,1.989996,0.0010,0.5207012
201,1.999997,0.0010,7.56979E-4
202,2.009996,0.0010,9.269714E-4
203,2.019996,0.0010,0.001407146
204,2.029997,0.0010,0.001425743
205,2.039996,0.0010,0.001654148
206,2.049996,0.0010,0.2918873
207,2.059997,0.0010,0.001660585
208,2.069996,0.0010,0.009842634
209,2.079996,0.0010,0.002953291
210,2.089997,0.0010,0.00844264
211,2.099996,0.0010,0.09617376
212,2.109996,0.0010,0.01218247
213,2.119997,0.0010,0.007803917
214,2.129996,0.0010,0.0038414
215,2.139996,0.0010,0.004024982
216,2.149997,0.0010,0.001319408
217,2.159996,0.0010,0.002728939
218,2.169996,0.0010,0.001590014
219,2.179997,0.0010,0.002134323
220,2.189996,0.0010,0.003448009
221,2.199996,0.0010,0.001597166
222,2.209997,0.0010,0.001618385
223,2.219996,0.0010,4.653931E-4
224,2.229996,0.0010,5.896091E-4
225,2.239997,0.0010,4.913807E-4
226,2.249996,0.0010,6.00338E-4
227,2.259996,0.0010,0.4238529
228,2.269997,0.0010,8.382797E-4
229,2.279996,0.0010,7.278919E-4
230,2.289996,0.0010,0.001320124
231,2.299997,0.0010,7.083416E-4
232,2.309996,0.0010,5.474091E-4
233,2.319996,0.0010,0.001817465
234,2.329997,0.0010,0.03083038
235,2.339996,0.0010,0.00114131
236,2.349996,0.0010,0.4302847
237,2.359997,0.0010,0.001262426
238,2.369996,0.0010,0.05344081
239,2.379996,0.0010,0.002343893
240,2.389997,0.0010,0.00308156
241,2.399996,0.0010,0.004178524
242,2.409996,0.0010,0.003509045
243,2.419997,0.0010,0.002536535
244,2.429996,0.0010,0.4580073
245,2.439996,0.0010,0.00454998
246,2.449997,0.0010,0.004957676
247,2.459996,0.0010,0.001478672
248,2.469996,0.0010,0.182688
249,2.479997,0.0010,7.529259E-4
250,2.489996,0.0010,0.001182795
251,2.499996,0.0010,0.001520872
252,2.509997,0.0010,6.213188E-4
253,2.519996,0.0010,7.798672E-4
254,2.529996,0.0010,0.001221895
255,2.539997,0.0010,0.05115533
256,2.549996,0.0010,0.001038313
257,2.559996,0.0010,7.522106E-4
258,2.569997,0.0010,0.001499653
259,2.579996,0.0010,8.969307E-4
260,2.589996,0.0010,0.001467228
261,2.599997,0.0010,0.4470451
262,2.609996,0.0010,0.00169301
263,2.619996,0.0010,0.002931356
264,2.629997,0.0010,0.00690937
265,2.639996,0.0010,0.003539085
266,2.649996,0.0010,0.001734495
267,2.659997,0.0010,0.003746986
268,2.669996,0.0010,0.001801968
269,2.679996,0.0010,0.003991604
270,2.689997,0.0010,0.00225544
271,2.699996,0.0010,0.2426102
272,2.709996,0.0010,0.001507044
273,2.719997,0.0010,0.001485825
274,2.729996,0.0010,0.001086235
275,2.739996,0.0010,9.121895E-4
276,2.749997,0.0010,0.001372099
277,2.759996,0.0010,0.01023173
278,2.769996,0.0010,9.634495E-4
279,2.779997,0.0010,0.001060247
280,2.789996,0.0010,7.77483E-4
281,2.799996,0.0010,0.001322508
282,2.809997,0.0010,0.001080513
283,2.819996,0.0010,9.968281E-4
284,2.829996,0.0010,0.001343727
285,2.839997,0.0010,0.001134872
286,2.849996,0.0010,0.0014925
287,2.859996,0.0010,0.001867771
288,2.869997,0.0010,0.001694679
289,2.879996,0.0010,0.003270149
290,2.889996,0.0010,0.002996445
291,2.899997,0.0010,0.001351118
292,2.909996,0.0010,0.002260208
293,2.919996,0.0010,0.2131658
294,2.929997,0.0010,0.002322674
295,2.939996,0.0010,0.001819134
296,2.949996,0.0010,0.001057625
297,2.959997,0.0010,0.001140594
298,2.969996,0.0010,0.003486395
299,2.979996,0.0010,0.3092594
300,2.989997,0.0010,0.003078461
301,2.999996,0.0010,0.009622335
302,3.009996,0.0010,0.002859116
303,3.019997,0.0010,0.001987934
304,3.029996,0.0010,0.00109601
305,3.039996,0.0010,7.855892E-4
306,3.049997,0.0010,6.580353E-4
307,3.059996,0.0010,0.001480103
308,3.069996,0.0010,0.001220942
309,3.079997,0.0010,0.002376318
310,3.089996,0.0010,0.002154589
311,3.099996,0.0010,7.228851E-4
312,3.109997,0.0010,0.002525806
313,3.119996,0.0010,0.001399755
314,3.129996,0.0010,9.489059E-4
315,3.139997,0.0010,0.2199292
316,3.149996,0.0010,0.004077911
317,3.159996,0.0010,0.001411915
318,3.169997,0.0010,0.005194902
319,3.179996,0.0010,0.001638651
320,3.189996,0.0010,0.004610062
321,3.199997,0.0010,0.003660202
322,3.209996,0.0010,0.004431963
323,3.219996,0.0010,8.571148E-4
324,3.229997,0.0010,0.001212835
325,3.239996,0.0010,0.001560688
326,3.249996,0.0010,0.08659196
327,3.259997,0.0010,0.002058744
328,3.269996,0.0010,0.001207113
329,3.279996,0.0010,0.001335621
330,3.289997,0.0010,0.001575232
331,3.299996,0.0010,0.005084515
332,3.309996,0.0010,0.003618717
333,3.319997,0.0010,0.001814127
334,3.329996,0.0010,0.001484156
335,3.339996,0.0010,5.538464E-4
336,3.349997,0.0010,0.001381159
337,3.359996,0.0010,0.002128601
338,3.369996,0.0010,0.001090288
339,3.379997,0.0010,0.001459837
340,3.389996,0.0010,0.001484156
341,3.399996,0.0010,0.002302408
342,3.409997,0.0010,0.001300573
343,3.419996,0.0010,0.002474785
344,3.429996,0.0010,0.00446701
345,3.439997,0.0010,0.003035307
346,3.449996,0.0010,0.003036261
347,3.459996,0.0010,0.0019207
348,3.469997,0.0010,0.005043983
349,3.479996,0.0010,0.003931522
350,3.489996,0.0010,9.870529E-4
351,3.499997,0.0010,0.001155138
352,3.509996,0.0010,9.260178E-4
353,3.519996,0.0010,0.004551411
354,3.529997,0.0010,0.199748
355,3.539996,0.0010,0.002975941
356,3.549996,0.0010,0.002624989
357,3.559997,0.0010,0.001922131
358,3.569996,0.0010,0.004129887
359,3.579996,0.0010,0.002783537
360,3.589997,0.0010,0.002519369
361,3.599996,0.0010,0.00133872
362,3.609996,0.0010,8.723736E-4
363,3.619997,0.0010,0.01500607
364,3.629996,0.0010,0.00128603
365,3.639996,0.0010,0.001454115
366,3.649997,0.0010,6.222725E-4
367,3.659996,0.0010,0.004027367
368,3.669996,0.0010,0.002287865
369,3.679997,0.0010,0.004796028
370,3.689996,0.0010,0.001955509
371,3.699996,0.0010,0.002139091
372,3.709997,0.0010,0.004883766
373,3.719996,0.0010,0.01063299
374,3.729996,0.0010,0.002476454
375,3.739997,0.0010,0.005492449
376,3.749996,0.0010,0.1055527
377,3.759996,0.0010,0.003885269
378,3.769997,0.0010,0.001396418
379,3.779996,0.0010,0.002221107
380,3.789996,0.0010,0.01457858
381,3.799997,0.0010,0.004961729
382,3.809996,0.0010,0.00242281
383,3.819996,0.0010,0.001101494
384,3.829997,0.0010,0.002323627
385,3.839996,0.0010,0.00173378
386,3.849996,0.0010,0.001610279
387,3.859997,0.0010,0.001277924
388,3.869996,0.0010,0.001126051
389,3.879996,0.0010,0.003638983
390,3.889997,0.0010,0.001199007
391,3.899996,0.0010,0.001208067
392,3.909996,0.0010,0.001290798
393,3.919997,0.0010,0.001142263
394,3.929996,0.0010,0.001959562
395,3.939996,0.0010,0.001145363
396,3.949997,0.0010,0.001351118
397,3.959996,0.0010,0.003106833
398,3.969996,0.0010,0.004091501
399,3.979997,0.0010,0.4751773
400,3.989996,0.0010,0.5858333
401,3.999996,0.0010,0.004534483
402,4.009997,0.0010,0.004168034
403,4.019996,0.0010,0.003715515
404,4.029996,0.0010,0.01264811
405,4.039997,0.0010,0.009530544
406,4.049996,0.0010,5.815029E-4
407,4.059996,0.0010,8.635521E-4
408,4.069997,0.0010,0.002037525
409,4.079996,0.0010,0.1840618
410,4.089996,0.0010,0.003401756
411,4.099997,0.0010,0.001762152
412,4.109996,0.0010,0.002069235
413,4.119996,0.0010,0.001093388
414,4.129997,0.0010,0.00220418
415,4.139996,0.0010,0.001937628
416,4.149996,0.0010,5.962849E-4
417,4.159997,0.0010,0.002366543
418,4.169996,0.0010,6.418228E-4
419,4.179996,0.0010,0.003971338
420,4.189997,0.0010,0.001719952
421,4.199996,0.0010,0.001564741
422,4.209996,0.0010,0.005743504
423,4.219997,0.0010,6.182194E-4
424,4.229996,0.0010,0.006850958
425,4.239996,0.0010,0.004481554
426,4.249997,0.0010,0.0149076
427,4.259996,0.0010,0.5899382
428,4.269996,0.0010,0.001179695
429,4.279997,0.0010,0.002665758
430,4.289996,0.0010,0.002369165
431,4.299996,0.0010,0.1921642
432,4.309997,0.0010,0.001528263
433,4.319996,0.0010,0.01196408
434,4.329996,0.0010,0.003318071
435,4.339997,0.0010,0.007493496
436,4.349996,0.0010,0.003287315
437,4.359996,0.0010,0.3837054
438,4.369997,0.0010,0.003539801
439,4.379996,0.0010,0.002093554
440,4.389996,0.0010,0.003730059
441,4.399997,0.0010,0.3634868
442,4.409996,0.0010,8.301735E-4
443,4.419996,0.0010,9.171963E-4
444,4.429997,0.0010,0.00190115
445,4.439996,0.0010,0.00103569
446,4.449996,0.0010,0.001386881
447,4.459997,0.0010,7.70092E-4
448,4.469996,0.0010,9.39846E-4
449,4.479996,0.0010,0.001837015
450,4.489997,0.0010,0.003275156
451,4.499996,0.0010,0.00318408
452,4.509996,0.0010,0.001959562
453,4.519997,0.0010,0.003905535
454,4.529996,0.0010,0.00370574
455,4.539996,0.0010,0.001883268
456,4.549997,0.0010,0.001914978
457,4.559996,0.0010,0.002774477
458,4.569996,0.0010,0.002087116
459,4.579997,0.0010,0.002779484
460,4.589996,0.0010,0.003079176
461,4.599996,0.0010,0.001736879
462,4.609997,0.0010,0.002073288
463,4.619996,0.0010,0.002609491
464,4.629996,0.0010,0.2289081
465,4.639997,0.0010,0.002120495
466,4.649996,0.0010,0.001214504
467,4.659996,0.0010,0.00209856
468,4.669997,0.0010,0.002181292
469,4.679996,0.0010,0.001789808
470,4.689996,0.0010,0.001973391
471,4.699997,0.0010,9.269714E-4
472,4.709996,0.0010,7.171631E-4
473,4.719996,0.0010,0.002298355
474,4.729997,0.0010,0.001072407
475,4.739996,0.0010,0.001019478
476,4.749996,0.0010,0.04544091
477,4.759997,0.0010,6.263256E-4
478,4.769996,0.0010,0.001522541
479,4.779996,0.0010,0.001420975
480,4.789997,0.0010,0.001123428
481,4.799996,0.0010,0.002174854
482,4.809996,0.0010,0.003929138
483,4.819997,0.0010,0.008544207
484,4.829996,0.0010,0.003314734
485,4.839996,0.0010,0.003932476
486,4.849997,0.0010,0.4354475
487,4.859996,0.0010,0.002979994
488,4.869996,0.0010,0.006597281
489,4.879997,0.0010,0.006721735
490,4.889996,0.0010,0.003199577
491,4.899996,0.0010,0.008051872
492,4.909997,0.0010,0.4619749
493,4.919996,0.0010,0.002562523
494,4.929996,0.0010,0.001074076
495,4.939997,0.0010,0.00288105
496,4.949996,0.0010,0.01247835
497,4.959996,0.0010,0.001278639
498,4.969997,0.0010,0.001077175
499,4.979996,0.0010,0.00130558
500,4.989996,0.0010,7.441044E-4
501,4.999997,0.0010,0.001247883
502,5.009996,0.0010,0.001187801
503,5.019996,0.0010,0.001081228
504,5.029997,0.0010,0.3074629
505,5.039996,0.0010,7.653236E-4
506,5.049996,0.0010,0.001385212
507,5.059997,0.0010,3.304482E-4
508,5.069996,0.0010,3.476143E-4
509,5.079996,0.0010,3.175735E-4
510,5.089997,0.0010,4.734993E-4
511,5.099996,0.0010,5.075932E-4
512,5.109996,0.0010,0.4031777
513,5.119997,0.0010,0.003197908
514,5.129996,0.0010,0.001368999
515,5.139996,0.0010,0.001009703
516,5.149997,0.0010,8.65221E-4
517,5.159996,0.0010,4.637241E-4
518,5.169996,0.0010,0.001164913
519,5.179997,0.0010,0.001361609
520,5.189996,0.0010,0.003513098
521,5.199996,0.0010,0.001234055
522,5.209997,0.0010,0.001315355
523,5.219996,0.0010,0.005830288
524,5.229996,0.0010,0.4752316
525,5.239997,0.0010,0.002776146
526,5.249996,0.0010,0.002658367
527,5.259996,0.0010,0.002616882
528,5.269997,0.0010,0.004289865
529,5.279996,0.0010,0.001342058
530,5.289996,0.0010,0.03298426
531,5.299997,0.0010,0.002411366
532,5.309996,0.0010,0.002413034
533,5.319996,0.0010,0.005118608
534,5.329997,0.0010,0.00168252
535,5.339996,0.0010,0.001604557
536,5.349996,0.0010,7.140636E-4
537,5.359997,0.0010,9.577274E-4
538,5.369996,0.0010,0.002094507
539,5.379996,0.0010,7.6437E-4
540,5.389997,0.0010,6.189346E-4
541,5.399996,0.0010,8.172989E-4
542,5.409996,0.0010,0.001059294
543,5.419997,0.0010,0.001385927
544,5.429996,0.0010,0.001431465
545,5.439996,0.0010,0.001018763
546,5.449997,0.0010,0.001836061
547,5.459996,0.0010,0.003912926
548,5.469996,0.0010,0.001478672
549,5.479997,0.0010,6.36816E-4
550,5.489996,0.0010,0.002710342
551,5.499996,0.0010,0.1216264
552,5.509997,0.0010,0.004047632
553,5.519996,0.0010,0.003045797
554,5.529996,0.0010,0.002985716
555,5.539997,0.0010,0.002654314
556,5.549996,0.0010,0.005827904
557,5.559996,0.0010,0.3298955
558,5.569997,0.0010,0.004918814
559,5.579996,0.0010,0.001893759
560,5.589996,0.0010,0.006182909
561,5.599997,0.0010,0.003391266
562,5.609996,0.0010,0.001481056
563,5.619996,0.0010,8.969307E-4
564,5.629997,0.0010,0.001722336
565,5.639996,0.0010,5.807877E-4
566,5.649996,0.0010,9.381771E-4
567,5.659997,0.0010,7.383823E-4
568,5.669996,0.0010,8.888245E-4
569,5.679996,0.0010,0.001087666
570,5.689997,0.0010,6.155968E-4
571,5.699996,0.0010,0.001261711
572,5.709996,0.0010,0.002055407
573,5.719997,0.0010,0.003800631
574,5.729996,0.0010,0.5617068
575,5.739996,0.0010,0.00130558
576,5.749997,0.0010,0.002024651
577,5.759996,0.0010,0.001412868
578,5.769996,0.0010,0.001303196
579,5.779997,0.0010,0.5358529
580,5.789996,0.0010,0.001316786
581,5.799996,0.0010,0.001694679
582,5.809997,0.0010,0.002384424
583,5.819996,0.0010,0.001942635
584,5.829996,0.0010,0.003773212
585,5.839997,0.0010,0.002612829
586,5.849996,0.0010,0.00251627
587,5.859996,0.0010,0.001729727
588,5.869997,0.0010,0.002634764
589,5.879996,0.0010,0.001717567
590,5.889996,0.0010,9.570122E-4
591,5.899997,0.0010,0.002625942
592,5.909996,0.0010,0.003970623
593,5.919996,0.0010,0.00162077
594,5.929997,0.0010,0.007528543
595,5.939996,0.0010,0.005891323
596,5.949996,0.0010,8.416176E-4
597,5.959997,0.0010,0.001126766
598,5.969996,0.0010,0.00124383
599,5.979996,0.0010,7.765293E-4
600,5.989997,0.0010,0.001571178
601,5.999996,0.0010,0.1259539
602,6.009996,0.0010,0.001496553
603,6.019997,0.0010,0.002938747
604,6.029996,0.0010,0.001677752
605,6.039996,0.0010,0.003135204
606,6.049997,0.0010,0.340934
607,6.059996,0.0010,0.004562855
608,6.069996,0.0010,0.004084349
609,6.079997,0.0010,0.005656481
610,6.089996,0.0010,0.002248764
611,6.099996,0.0010,0.004469395
612,6.109997,0.0010,0.4289441
613,6.119996,0.0010,0.005953789
614,6.129996,0.0010,0.007184744
615,6.139997,0.0010,0.009539366
616,6.149996,0.0010,0.008734226
617,6.159996,0.0010,0.00336194
618,6.169997,0.0010,0.001609325
619,6.179996,0.0010,0.001883268
620,6.189996,0.0010,4.019737E-4
621,6.199997,0.0010,4.093647E-4
622,6.209996,0.0010,5.288124E-4
623,6.219996,0.0010,5.028248E-4
624,6.229997,0.0010,3.540516E-4
625,6.239996,0.0010,4.110336E-4
626,6.249996,0.0010,0.001064301
627,6.259997,0.0010,0.002520323
628,6.269996,0.0010,5.800724E-4
629,6.279996,0.0010,0.5153947
630,6.289997,0.0010,0.001905203
631,6.299996,0.0010,8.358955E-4
632,6.309996,0.0010,0.001770973
633,6.319997,0.0010,0.001168966
634,6.329996,0.0010,0.4330277
635,6.339996,0.0010,0.001573563
636,6.349997,0.0010,0.008064747
637,6.359996,0.0010,0.00480175
638,6.369996,0.0010,0.01224756
639,6.379997,0.0010,0.001902819
640,6.389996,0.0010,0.3148203
641,6.399996,0.0010,0.004575968
642,6.409997,0.0010,0.005927086
643,6.419996,0.0010,0.003904819
644,6.429996,0.0010,0.003162861
645,6.439997,0.0010,8.571148E-4
646,6.449996,0.0010,6.148815E-4
647,6.459996,0.0010,0.001281261
648,6.469997,0.0010,0.002451897
649,6.479996,0.0010,0.002866268
650,6.489996,0.0010,4.937649E-4
651,6.499997,0.0010,6.530285E-4
652,6.509996,0.0010,5.004406E-4
653,6.519996,0.0010,4.920959E-4
654,6.529997,0.0010,0.001018763
655,6.539996,0.0010,3.64542E-4
656,6.549996,0.0010,0.001164913
657,6.559997,0.0010,0.00176549
658,6.569996,0.0010,0.004796028
659,6.579996,0.0010,0.01598096
660,6.589997,0.0010,0.001106501
661,6.599996,0.0010,0.001182079
662,6.609996,0.0010,0.001615047
663,6.619997,0.0010,0.002360106
664,6.629996,0.0010,0.001252651
665,6.639996,0.0010,0.002827406
666,6.649997,0.0010,0.005079508
667,6.659996,0.0010,0.06720138
668,6.669996,0.0010,0.001556635
669,6.679997,0.0010,0.001941681
670,6.689996,0.0010,0.001469612
671,6.699996,0.0010,0.003160477
672,6.709997,0.0010,0.001685858
673,6.719996,0.0010,0.002190351
674,6.729996,0.0010,0.00151515
675,6.739997,0.0010,0.001050472
676,6.749996,0.0010,4.019737E-4
677,6.759996,0.0010,0.07083488
678,6.769997,0.0010,9.698868E-4
679,6.779996,0.0010,7.359982E-4
680,6.789996,0.0010,0.001242876
681,6.799997,0.0010,0.001940012
682,6.809996,0.0010,0.002090454
683,6.819996,0.0010,6.432533E-4
684,6.829997,0.0010,0.001466513
685,6.839996,0.0010,0.004012823
686,6.849996,0.0010,0.01018143
687,6.859997,0.0010,8.740425E-4
688,6.869996,0.0010,5.676746E-4
689,6.879996,0.0010,0.1240826
690,6.889997,0.0010,0.009247065
691,6.899996,0.0010,0.005983114
692,6.909996,0.0010,0.003552198
693,6.919997,0.0010,0.003305912
694,6.929996,0.0010,0.007638931
695,6.939996,0.0010,0.2551229
696,6.949997,0.0010,0.004153252
697,6.959996,0.0010,0.001975775
698,6.969996,0.0010,0.002365112
699,6.979997,0.0010,0.002075672
700,6.989996,0.0010,0.003638268
701,6.999996,0.0010,4.141331E-4
702,7.009997,0.0010,8.611679E-4
703,7.019996,0.0010,5.450249E-4
704,7.029996,0.0010,0.001024485
705,7.039997,0.0010,0.01690078
706,7.049996,0.0010,6.871223E-4
707,7.059996,0.0010,4.370213E-4
708,7.069997,0.0010,7.042885E-4
709,7.079996,0.0010,6.911755E-4
710,7.089996,0.0010,0.001260757
711,7.099997,0.0010,5.962849E-4
712,7.109996,0.0010,0.004372835
713,7.119996,0.0010,0.001993656
714,7.129997,0.0010,0.002469063
715,7.139996,0.0010,0.002682686
716,7.149996,0.0010,0.006066799
717,7.159997,0.0010,0.43612
718,7.169996,0.0010,0.002538919
719,7.179996,0.0010,0.001268148
720,7.189997,0.0010,0.001602888
721,7.199996,0.0010,0.004158258
722,7.209996,0.0010,0.002503872
723,7.219997,0.0010,5.605221E-4
724,7.229996,0.0010,0.001450062
