[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 7:38 AM 0.762509 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.01205444
2,0.009996,0.0010,0.5567479
3,0.019996,0.0010,0.5815454
4,0.029997,0.0010,0.6313772
5,0.039996,0.0010,0.6471493
6,0.049996,0.0010,0.6904917
7,0.059997,0.0010,0.7121456
8,0.069996,0.0010,0.7369823
9,0.079996,0.0010,0.7414551
10,0.089997,0.0010,0.7850077
11,0.099996,0.0010,0.7803309
12,0.109996,0.0010,0.8076806
13,0.119997,0.0010,0.8047881
14,0.129996,0.0010,0.8294582
15,0.139996,0.0010,0.8101149
16,0.149997,0.0010,0.8371477
17,0.159996,0.0010,0.8007736
18,0.169996,0.0010,0.8327067
19,0.179997,0.0010,0.8175185
20,0.189996,0.0010,0.8211951
21,0.199996,0.0010,0.7922862
22,0.209997,0.0010,0.8217776
23,0.219996,0.0010,0.798064
24,0.229996,0.0010,0.8152964
25,0.239997,0.0010,0.800858
26,0.249996,0.0010,0.8137696
27,0.259996,0.0010,0.7980006
28,0.269997,0.0010,0.8212974
29,0.279996,0.0010,0.8067496
30,0.289996,0.0010,0.8196628
31,0.299997,0.0010,0.8012969
32,0.309996,0.0010,0.8226707
33,0.319996,0.0010,0.8011653
34,0.329997,0.0010,0.8176062
35,0.339996,0.0010,0.7856579
36,0.349996,0.0010,0.8099744
37,0.359997,0.0010,0.7771947
38,0.369996,0.0010,0.8090158
39,0.379996,0.0010,0.7856805
40,0.389997,0.0010,0.8010743
41,0.399996,0.0010,0.7901876
42,0.409996,0.0010,0.8156433
43,0.419997,0.0010,0.794085
44,0.429996,0.0010,0.8139102
45,0.439996,0.0010,0.7859917
46,0.449997,0.0010,0.8009052
47,0.459996,0.0010,0.7902801
48,0.469996,0.0010,0.8129652
49,0.479997,0.0010,0.798497
50,0.489996,0.0010,0.8201454
51,0.499996,0.0010,0.7974091
52,0.509997,0.0010,0.8111062
53,0.519996,0.0010,0.7916183
54,0.529996,0.0010,0.8115954
55,0.539997,0.0010,0.7935026
56,0.549996,0.0010,0.8107796
57,0.559996,0.0010,0.7988935
58,0.569997,0.0010,0.8223083
59,0.579996,0.0010,0.8109355
60,0.589996,0.0010,0.8187771
61,0.599997,0.0010,0.806124
62,0.609996,0.0010,0.8212852
63,0.619996,0.0010,0.7921286
64,0.629997,0.0010,0.8208921
65,0.639996,0.0010,0.8092952
66,0.649996,0.0010,0.8162777
67,0.659997,0.0010,0.79825
68,0.669996,0.0010,0.8234603
69,0.679996,0.0010,0.8070371
70,0.689997,0.0010,0.8262286
71,0.699996,0.0010,0.8034711
72,0.709996,0.0010,0.8171763
73,0.719997,0.0010,0.7994411
74,0.729996,0.0010,0.8147488
75,0.739996,0.0010,0.793292
76,0.749997,0.0010,0.8211968
77,0.759996,0.0010,0.794879
78,0.769996,0.0010,0.8107796
79,0.779997,0.0010,0.7999253
80,0.789996,0.0010,0.8308363
81,0.799996,0.0010,0.7894206
82,0.809997,0.0010,0.8272328
83,0.819996,0.0010,0.8134031
84,0.829996,0.0010,0.8232214
85,0.839997,0.0010,0.7917719
86,0.849996,0.0010,0.8194432
87,0.859996,0.0010,0.7988667
88,0.869997,0.0010,0.8172479
89,0.879996,0.0010,0.7973773
90,0.889996,0.0010,0.8167815
91,0.899997,0.0010,0.8038628
92,0.909996,0.0010,0.8131545
93,0.919996,0.0010,0.8050799
94,0.929997,0.0010,0.8219709
95,0.939996,0.0010,0.7952104
96,0.949996,0.0010,0.8245354
97,0.959997,0.0010,0.8063595
98,0.969996,0.0010,0.8139133
99,0.979996,0.0010,0.8063109
100,0.989997,0.0010,0.8400469
101,0.999996,0.0010,0.8061287
102,1.009996,0.0010,0.8327293
103,1.019997,0.0010,0.8176494
104,1.029996,0.0010,0.8305235
105,1.039996,0.0010,0.8148332
106,1.049997,0.0010,0.8290722
107,1.059996,0.0010,0.8029625
108,1.069996,0.0010,0.8178093
109,1.079997,0.0010,0.7901192
110,1.089996,0.0010,0.8091025
111,1.099996,0.0010,0.7897682
112,1.109997,0.0010,0.8127313
113,1.119996,0.0010,0.7925551
114,1.129996,0.0010,0.8113279
115,1.139997,0.0010,0.7928867
116,1.149996,0.0010,0.8078985
117,1.159996,0.0010,0.801981
118,1.169997,0.0010,0.8251171
119,1.179996,0.0010,0.8095527
120,1.189996,0.0010,0.82793
121,1.199997,0.0010,0.801002
122,1.209996,0.0010,0.8293421
123,1.219996,0.0010,0.8166873
124,1.229997,0.0010,0.8323517
125,1.239996,0.0010,0.7956979
126,1.249996,0.0010,0.8129027
127,1.259997,0.0010,0.7986205
128,1.269996,0.0010,0.8235862
129,1.279996,0.0010,0.7922707
130,1.289997,0.0010,0.8189306
131,1.299996,0.0010,0.8018048
132,1.309996,0.0010,0.8147073
133,1.319997,0.0010,0.7834251
134,1.329996,0.0010,0.7959814
135,1.339996,0.0010,0.7913265
136,1.349997,0.0010,0.8257954
137,1.359996,0.0010,0.803025
138,1.369996,0.0010,0.8098199
139,1.379997,0.0010,0.7928183
140,1.389996,0.0010,0.8184633
141,1.399996,0.0010,0.7954948
142,1.409997,0.0010,0.8162737
143,1.419996,0.0010,0.7904661
144,1.429996,0.0010,0.807389
145,1.439997,0.0010,0.7880206
146,1.449996,0.0010,0.8063831
147,1.459996,0.0010,0.7903354
148,1.469997,0.0010,0.7943702
149,1.479996,0.0010,0.7816715
150,1.489996,0.0010,5.345345E-4
151,1.499997,0.0010,5.230904E-4
152,1.509996,0.0010,6.206036E-4
153,1.519996,0.0010,3.921986E-4
154,1.529997,0.0010,4.329681E-4
155,1.539996,0.0010,3.833771E-4
156,1.549996,0.0010,0.421257
157,1.559997,0.0010,0.05800533
158,1.569996,0.0010,0.001383543
159,1.579996,0.0010,4.653931E-4
160,1.589997,0.0010,0.001290798
161,1.599996,0.0010,7.31945E-4
162,1.609996,0.0010,5.807877E-4
163,1.619997,0.0010,0.1689641
164,1.629996,0.0010,0.002286911
165,1.639996,0.0010,0.02721214
166,1.649997,0.0010,7.31945E-4
167,1.659996,0.0010,0.003394365
168,1.669996,0.0010,8.716583E-4
169,1.679997,0.0010,6.587505E-4
170,1.689996,0.0010,4.191399E-4
171,1.699996,0.0010,7.953644E-4
172,1.709997,0.0010,8.88586E-4
173,1.719996,0.0010,3.476143E-4
174,1.729996,0.0010,3.631115E-4
175,1.739997,0.0010,8.132458E-4
176,1.749996,0.0010,3.41177E-4
177,1.759996,0.0010,3.297329E-4
178,1.769997,0.0010,3.597736E-4
179,1.779996,0.0010,3.833771E-4
180,1.789996,0.0010,3.216267E-4
181,1.799997,0.0010,3.402233E-4
182,1.809996,0.0010,4.785061E-4
183,1.819996,0.0010,3.671646E-4
184,1.829997,0.0010,4.029274E-4
185,1.839996,0.0010,8.325577E-4
186,1.849996,0.0010,4.866123E-4
187,1.859997,0.0010,0.001011372
188,1.869996,0.0010,0.001066685
189,1.879996,0.0010,4.646778E-4
190,1.889997,0.0010,5.636215E-4
191,1.899996,0.0010,0.003732443
192,1.909996,0.0010,5.848408E-4
193,1.919997,0.0010,8.692741E-4
194,1.929996,0.0010,0.001779318
195,1.939996,0.0010,0.01440954
196,1.949997,0.0010,9.725094E-4
197,1.959996,0.0010,6.124973E-4
198,1.969996,0.0010,4.97818E-4
199,1.979997,0.0010,6.010532E-4
200,1.989996,0.0010,0.001058578
201,1.999996,0.0010,5.05209E-4
202,2.009997,0.0010,4.515648E-4
203,2.019996,0.0010,3.247261E-4
204,2.029996,0.0010,7.140636E-4
205,2.039997,0.0010,4.08411E-4
206,2.049996,0.0010,0.01592398
207,2.059996,0.0010,4.549026E-4
208,2.069997,0.0010,3.962517E-4
209,2.079996,0.0010,3.328323E-4
210,2.089996,0.0010,4.67062E-4
211,2.099997,0.0010,3.590584E-4
212,2.109996,0.0010,5.993843E-4
213,2.119996,0.0010,9.293556E-4
214,2.129997,0.0010,0.001011372
215,2.139996,0.0010,6.742477E-4
216,2.149996,0.0010,6.287098E-4
217,2.159997,0.0010,0.001326561
218,2.169996,0.0010,6.0606E-4
219,2.179996,0.0010,0.003611326
220,2.189997,0.0010,0.00203681
221,2.199996,0.0010,5.717278E-4
222,2.209996,0.0010,0.001066685
223,2.219997,0.0010,0.00615859
224,2.229996,0.0010,0.002521753
225,2.239996,0.0010,4.353523E-4
226,2.249997,0.0010,6.546974E-4
227,2.259996,0.0010,6.783009E-4
228,2.269996,0.0010,5.483627E-4
229,2.279997,0.0010,4.677773E-4
230,2.289996,0.0010,4.971027E-4
231,2.299996,0.0010,8.561611E-4
232,2.309997,0.0010,4.718304E-4
233,2.319996,0.0010,3.864765E-4
234,2.329996,0.0010,3.685951E-4
235,2.339997,0.0010,3.824234E-4
236,2.349996,0.0010,3.631115E-4
237,2.359996,0.0010,3.621578E-4
238,2.369997,0.0010,7.002354E-4
239,2.379996,0.0010,5.588531E-4
240,2.389996,0.0010,5.784035E-4
241,2.399997,0.0010,5.254745E-4
242,2.409996,0.0010,5.345345E-4
243,2.419996,0.0010,7.822514E-4
244,2.429997,0.0010,7.734299E-4
245,2.439996,0.0010,8.294582E-4
246,2.449996,0.0010,5.865097E-4
247,2.459997,0.0010,0.004346609
248,2.469996,0.0010,8.854866E-4
249,2.479996,0.0010,6.222725E-4
250,2.489997,0.0010,0.001936913
251,2.499996,0.0010,0.0019207
252,2.509996,0.0010,0.001219511
253,2.519997,0.0010,5.524158E-4
254,2.529996,0.0010,4.653931E-4
255,2.539996,0.0010,0.0046978
256,2.549997,0.0010,7.789135E-4
257,2.559996,0.0010,5.497932E-4
258,2.569996,0.0010,6.799698E-4
259,2.579997,0.0010,6.856918E-4
260,2.589996,0.0010,0.3561535
261,2.599996,0.0010,3.988743E-4
262,2.609997,0.0010,3.931522E-4
263,2.619996,0.0010,3.557205E-4
264,2.629996,0.0010,4.141331E-4
265,2.639997,0.0010,6.961823E-4
266,2.649996,0.0010,6.594658E-4
267,2.659996,0.0010,3.874302E-4
268,2.669997,0.0010,4.694462E-4
269,2.679996,0.0010,6.213188E-4
270,2.689996,0.0010,0.001105547
271,2.699997,0.0010,6.034374E-4
272,2.709996,0.0010,6.027222E-4
273,2.719996,0.0010,5.011559E-4
274,2.729997,0.0010,6.742477E-4
275,2.739996,0.0010,0.001938343
276,2.749996,0.0010,4.799366E-4
277,2.759997,0.0010,0.002573013
278,2.769996,0.0010,7.050037E-4
279,2.779996,0.0010,0.01767921
280,2.789997,0.0010,5.085468E-4
281,2.799996,0.0010,5.450249E-4
282,2.809996,0.0010,7.359982E-4
283,2.819997,0.0010,0.001470566
284,2.829996,0.0010,5.085468E-4
285,2.839996,0.0010,4.434586E-4
286,2.849997,0.0010,4.386902E-4
287,2.859996,0.0010,9.846687E-4
288,2.869996,0.0010,0.4324696
289,2.879997,0.0010,4.124641E-4
290,2.889996,0.0010,4.498959E-4
291,2.899996,0.0010,2.963543E-4
292,2.909997,0.0010,3.435612E-4
293,2.919996,0.0010,6.213188E-4
294,2.929996,0.0010,5.443096E-4
295,2.939997,0.0010,4.873276E-4
296,2.949996,0.0010,7.140636E-4
297,2.959996,0.0010,6.701946E-4
298,2.969997,0.0010,7.822514E-4
299,2.979996,0.0010,6.523132E-4
300,2.989996,0.0010,7.164478E-4
301,2.999997,0.0010,7.033348E-4
302,3.009996,0.0010,7.522106E-4
303,3.019996,0.0010,0.001638651
304,3.029997,0.0010,0.02838945
305,3.039996,0.0010,7.269382E-4
306,3.049996,0.0010,7.481575E-4
307,3.059997,0.0010,0.01794314
308,3.069996,0.0010,0.001696348
309,3.079996,0.0010,4.434586E-4
310,3.089997,0.0010,4.59671E-4
311,3.099996,0.0010,9.317398E-4
312,3.109996,0.0010,9.520054E-4
313,3.119997,0.0010,5.450249E-4
314,3.129996,0.0010,7.140636E-4
315,3.139996,0.0010,7.896423E-4
316,3.149997,0.0010,0.2259336
317,3.159996,0.0010,3.752708E-4
318,3.169996,0.0010,6.928444E-4
319,3.179997,0.0010,5.254745E-4
320,3.189996,0.0010,8.122921E-4
321,3.199996,0.0010,0.001091719
322,3.209997,0.0010,5.612373E-4
323,3.219996,0.0010,4.620552E-4
324,3.229996,0.0010,6.020069E-4
325,3.239997,0.0010,7.255077E-4
326,3.249996,0.0010,0.001158476
327,3.259996,0.0010,5.352497E-4
328,3.269997,0.0010,0.001917362
329,3.279996,0.0010,0.001050472
330,3.289996,0.0010,0.00104475
331,3.299997,0.0010,0.001977444
332,3.309996,0.0010,6.246567E-4
333,3.319996,0.0010,0.001112938
334,3.329997,0.0010,7.350445E-4
335,3.339996,0.0010,0.01255941
336,3.349996,0.0010,0.001197338
337,3.359997,0.0010,0.001062632
338,3.369996,0.0010,4.475117E-4
339,3.379996,0.0010,8.585453E-4
340,3.389997,0.0010,0.001091003
341,3.399996,0.0010,6.182194E-4
342,3.409996,0.0010,7.677078E-4
343,3.419997,0.0010,0.003008604
344,3.429996,0.0010,0.2754142
345,3.439996,0.0010,3.743172E-4
346,3.449997,0.0010,5.180836E-4
347,3.459996,0.0010,4.97818E-4
348,3.469996,0.0010,4.012585E-4
349,3.479997,0.0010,5.784035E-4
350,3.489996,0.0010,9.829998E-4
351,3.499996,0.0010,4.491806E-4
352,3.509997,0.0010,5.278587E-4
353,3.519996,0.0010,5.977154E-4
354,3.529996,0.0010,8.919239E-4
355,3.539997,0.0010,6.587505E-4
356,3.549996,0.0010,7.944107E-4
357,3.559996,0.0010,0.001547575
358,3.569997,0.0010,9.422302E-4
359,3.579996,0.0010,0.173579
360,3.589996,0.0010,5.702972E-4
361,3.599997,0.0010,6.196499E-4
362,3.609996,0.0010,0.001491547
363,3.619996,0.0010,0.01149678
364,3.629997,0.0010,0.01887918
365,3.639996,0.0010,0.001045465
366,3.649996,0.0010,3.695488E-4
367,3.659997,0.0010,5.49078E-4
368,3.669996,0.0010,0.001335621
369,3.679996,0.0010,7.066727E-4
370,3.689997,0.0010,5.075932E-4
371,3.699996,0.0010,8.928776E-4
372,3.709996,0.0010,0.007268429
373,3.719997,0.0010,4.272461E-4
374,3.729996,0.0010,8.163452E-4
375,3.739996,0.0010,3.678799E-4
376,3.749997,0.0010,3.516674E-4
377,3.759996,0.0010,5.0354E-4
378,3.769996,0.0010,0.001266479
379,3.779997,0.0010,6.611347E-4
380,3.789996,0.0010,4.532337E-4
381,3.799996,0.0010,9.179115E-4
382,3.809997,0.0010,6.651878E-4
383,3.819996,0.0010,5.710125E-4
384,3.829996,0.0010,0.001487494
385,3.839997,0.0010,0.002500772
386,3.849996,0.0010,9.064674E-4
387,3.859996,0.0010,0.002097607
388,3.869997,0.0010,3.287792E-4
389,3.879996,0.0010,6.887913E-4
390,3.889996,0.0010,0.003313303
391,3.899997,0.0010,0.007915258
392,3.909996,0.0010,0.003118277
393,3.919996,0.0010,0.003628492
394,3.929997,0.0010,7.953644E-4
395,3.939996,0.0010,0.00368619
396,3.949996,0.0010,0.001559019
397,3.959997,0.0010,6.229877E-4
398,3.969996,0.0010,0.04769874
399,3.979996,0.0010,0.003231049
400,3.989997,0.0010,4.758835E-4
401,3.999996,0.0010,6.458759E-4
402,4.009996,0.0010,6.911755E-4
403,4.019997,0.0010,4.08411E-4
404,4.029996,0.0010,3.736019E-4
405,4.039996,0.0010,4.134178E-4
406,4.049997,0.0010,0.001373053
407,4.059996,0.0010,3.898144E-4
408,4.069996,0.0010,7.758141E-4
409,4.079997,0.0010,9.188652E-4
410,4.089996,0.0010,7.400513E-4
411,4.099996,0.0010,0.001092672
412,4.109997,0.0010,6.392002E-4
413,4.119996,0.0010,8.358955E-4
414,4.129996,0.0010,8.106232E-4
415,4.139997,0.0010,0.00132823
416,4.149996,0.0010,0.005497217
417,4.159996,0.0010,7.846355E-4
418,4.169997,0.0010,6.172657E-4
419,4.179996,0.0010,0.003235102
420,4.189996,0.0010,0.001325846
421,4.199997,0.0010,4.239082E-4
422,4.209996,0.0010,6.921291E-4
423,4.219996,0.0010,6.799698E-4
424,4.229997,0.0010,8.790493E-4
425,4.239996,0.0010,5.784035E-4
426,4.249996,0.0010,0.001665354
427,4.259997,0.0010,0.00226593
428,4.269996,0.0010,4.825592E-4
429,4.279996,0.0010,0.001225948
430,4.289997,0.0010,0.05072522
431,4.299996,0.0010,0.3169892
432,4.309996,0.0010,4.08411E-4
433,4.319997,0.0010,5.180836E-4
434,4.329996,0.0010,0.002425909
435,4.339996,0.0010,4.961491E-4
436,4.349997,0.0010,3.864765E-4
437,4.359996,0.0010,7.18832E-4
438,4.369996,0.0010,5.028248E-4
439,4.379997,0.0010,0.00122261
440,4.389996,0.0010,0.002033472
441,4.399996,0.0010,0.001097441
442,4.409997,0.0010,0.002228498
443,4.419996,0.0010,0.006144762
444,4.429996,0.0010,7.147789E-4
445,4.439997,0.0010,0.00187993
446,4.449996,0.0010,0.002930641
447,4.459996,0.0010,0.001841784
448,4.469997,0.0010,0.001413584
449,4.479996,0.0010,4.825592E-4
450,4.489996,0.0010,0.001166582
451,4.499997,0.0010,0.003296137
452,4.509996,0.0010,0.001163244
453,4.519996,0.0010,0.001131535
454,4.529997,0.0010,4.441738E-4
455,4.539996,0.0010,0.001420975
456,4.549996,0.0010,6.124973E-4
457,4.559997,0.0010,0.0254035
458,4.569996,0.0010,7.474422E-4
459,4.579996,0.0010,4.808903E-4
460,4.589997,0.0010,5.099773E-4
461,4.599996,0.0010,3.752708E-4
462,4.609996,0.0010,0.001493931
463,4.619997,0.0010,4.53949E-4
464,4.629996,0.0010,3.759861E-4
465,4.639996,0.0010,7.610321E-4
466,4.649997,0.0010,4.873276E-4
467,4.659996,0.0010,9.593964E-4
468,4.669996,0.0010,0.005194902
469,4.679997,0.0010,8.530617E-4
470,4.689996,0.0010,0.002373934
471,4.699996,0.0010,0.00401926
472,4.709997,0.0010,7.555485E-4
473,4.719996,0.0010,0.001078129
474,4.729996,0.0010,0.001971006
475,4.739997,0.0010,0.002936125
476,4.749996,0.0010,0.001488447
477,4.759996,0.0010,4.427433E-4
478,4.769997,0.0010,0.00159812
479,4.779996,0.0010,0.001503706
480,4.789996,0.0010,4.117489E-4
481,4.799997,0.0010,8.723736E-4
482,4.809996,0.0010,6.132126E-4
483,4.819996,0.0010,4.012585E-4
484,4.829997,0.0010,3.769398E-4
485,4.839996,0.0010,6.604195E-4
486,4.849996,0.0010,5.207062E-4
487,4.859997,0.0010,8.163452E-4
488,4.869996,0.0010,4.076958E-4
489,4.879996,0.0010,0.001663923
490,4.889997,0.0010,0.001104832
491,4.899996,0.0010,4.889965E-4
492,4.909996,0.0010,5.304813E-4
493,4.919997,0.0010,6.401539E-4
494,4.929996,0.0010,7.815361E-4
495,4.939996,0.0010,7.18832E-4
496,4.949997,0.0010,0.003650427
497,4.959996,0.0010,5.733967E-4
498,4.969996,0.0010,0.2635875
499,4.979997,0.0010,0.003346443
500,4.989996,0.0010,9.374619E-4
501,4.999996,0.0010,8.416176E-4
502,5.009997,0.0010,0.004017591
503,5.019996,0.0010,0.004278421
504,5.029996,0.0010,0.002707005
505,5.039997,0.0010,4.572868E-4
506,5.049996,0.0010,0.002724886
507,5.059996,0.0010,0.01261473
508,5.069997,0.0010,0.001751661
509,5.079996,0.0010,5.578995E-4
510,5.089996,0.0010,6.587505E-4
511,5.099997,0.0010,3.995895E-4
512,5.109996,0.0010,4.208088E-4
513,5.119996,0.0010,3.604889E-4
514,5.129997,0.0010,3.044605E-4
515,5.139996,0.0010,3.175735E-4
516,5.149996,0.0010,3.232956E-4
517,5.159997,0.0010,4.913807E-4
518,5.169996,0.0010,7.70092E-4
519,5.179996,0.0010,0.001545906
520,5.189997,0.0010,6.701946E-4
521,5.199996,0.0010,0.03480577
522,5.209996,0.0010,0.00143218
523,5.219997,0.0010,0.002367496
524,5.229996,0.0010,9.77993E-4
525,5.239996,0.0010,0.001666307
526,5.249997,0.0010,0.005420923
527,5.259996,0.0010,0.001567125
528,5.269996,0.0010,0.00408268
529,5.279997,0.0010,0.001116991
530,5.289996,0.0010,0.1446352
531,5.299996,0.0010,0.002425909
532,5.309997,0.0010,0.001644373
533,5.319996,0.0010,0.005319357
534,5.329996,0.0010,0.003031254
535,5.339997,0.0010,0.001966
536,5.349996,0.0010,3.061295E-4
537,5.359996,0.0010,4.029274E-4
538,5.369997,0.0010,3.085136E-4
539,5.379996,0.0010,3.914833E-4
540,5.389996,0.0010,3.118515E-4
541,5.399997,0.0010,3.466606E-4
542,5.409996,0.0010,3.151894E-4
543,5.419996,0.0010,3.550053E-4
544,5.429997,0.0010,3.654957E-4
545,5.439996,0.0010,7.083416E-4
546,5.449996,0.0010,4.320145E-4
547,5.459997,0.0010,4.549026E-4
548,5.469996,0.0010,0.001008034
549,5.479996,0.0010,6.88076E-4
550,5.489997,0.0010,0.001839399
551,5.499996,0.0010,4.208088E-4
552,5.509996,0.0010,0.002989769
553,5.519997,0.0010,0.001451731
554,5.529996,0.0010,5.018711E-4
555,5.539996,0.0010,4.897118E-4
556,5.549997,0.0010,0.002554417
557,5.559996,0.0010,0.00203681
558,5.569996,0.0010,7.514954E-4
559,5.579997,0.0010,0.001853943
560,5.589996,0.0010,0.001167297
561,5.599996,0.0010,5.85556E-4
562,5.609997,0.0010,0.002423525
563,5.619996,0.0010,3.938675E-4
564,5.629996,0.0010,3.809929E-4
565,5.639997,0.0010,2.987385E-4
566,5.649996,0.0010,5.49078E-4
567,5.659996,0.0010,3.824234E-4
568,5.669997,0.0010,3.573895E-4
569,5.679996,0.0010,3.905296E-4
570,5.689996,0.0010,3.108978E-4
571,5.699997,0.0010,7.076263E-4
572,5.709996,0.0010,4.036427E-4
573,5.719996,0.0010,3.435612E-4
574,5.729997,0.0010,0.001257658
575,5.739996,0.0010,3.972054E-4
576,5.749996,0.0010,0.001481771
577,5.759997,0.0010,5.085468E-4
578,5.769996,0.0010,5.571842E-4
579,5.779996,0.0010,0.002584457
580,5.789997,0.0010,6.937981E-4
581,5.799996,0.0010,0.001498938
582,5.809996,0.0010,8.635521E-4
583,5.819997,0.0010,7.181168E-4
584,5.829996,0.0010,0.001250267
585,5.839996,0.0010,6.141663E-4
586,5.849997,0.0010,0.001017094
587,5.859996,0.0010,5.636215E-4
588,5.869996,0.0010,0.002205849
589,5.879997,0.0010,0.004956007
590,5.889996,0.0010,0.002551079
591,5.899996,0.0010,3.631115E-4
592,5.909997,0.0010,4.279613E-4
593,5.919996,0.0010,0.008860111
594,5.929996,0.0010,4.279613E-4
595,5.939997,0.0010,3.79324E-4
596,5.949996,0.0010,0.3913617
597,5.959996,0.0010,0.3827071
598,5.969997,0.0010,5.140305E-4
599,5.979996,0.0010,3.378391E-4
600,5.989996,0.0010,4.239082E-4
601,5.999997,0.0010,6.489754E-4
602,6.009996,0.0010,5.977154E-4
603,6.019996,0.0010,4.329681E-4
604,6.029997,0.0010,5.393028E-4
605,6.039996,0.0010,8.115768E-4
606,6.049996,0.0010,4.646778E-4
607,6.059997,0.0010,6.69241E-4
608,6.069996,0.0010,3.890991E-4
609,6.079996,0.0010,0.001476049
610,6.089997,0.0010,0.001353502
611,6.099996,0.0010,6.530285E-4
612,6.109996,0.0010,0.001595497
613,6.119997,0.0010,0.01904178
614,6.129996,0.0010,0.002831459
615,6.139996,0.0010,0.002226114
616,6.149997,0.0010,7.789135E-4
617,6.159996,0.0010,0.002949953
618,6.169996,0.0010,5.92947E-4
619,6.179997,0.0010,4.343987E-4
620,6.189996,0.0010,0.001061678
621,6.199996,0.0010,3.142357E-4
622,6.209997,0.0010,3.523827E-4
623,6.219996,0.0010,3.85046E-4
624,6.229996,0.0010,3.077984E-4
625,6.239997,0.0010,3.516674E-4
626,6.249996,0.0010,0.00105691
627,6.259996,0.0010,3.685951E-4
628,6.269997,0.0010,4.467964E-4
629,6.279996,0.0010,4.012585E-4
630,6.289996,0.0010,4.410744E-4
631,6.299997,0.0010,0.002560854
632,6.309996,0.0010,5.636215E-4
633,6.319996,0.0010,9.057522E-4
634,6.329997,0.0010,4.920959E-4
635,6.339996,0.0010,0.00178647
636,6.349996,0.0010,4.417896E-4
637,6.359997,0.0010,9.391308E-4
638,6.369996,0.0010,0.5679531
639,6.379996,0.0010,0.6191521
640,6.389997,0.0010,5.166531E-4
641,6.399996,0.0010,0.008685589
642,6.409996,0.0010,0.001182795
643,6.419997,0.0010,5.652905E-4
644,6.429996,0.0010,0.00164032
645,6.439996,0.0010,0.001852274
646,6.449997,0.0010,5.426407E-4
647,6.459996,0.0010,3.79324E-4
648,6.469996,0.0010,4.937649E-4
649,6.479997,0.0010,3.550053E-4
650,6.489996,0.0010,5.457401E-4
651,6.499996,0.0010,7.886887E-4
652,6.509997,0.0010,4.198551E-4
653,6.519996,0.0010,3.33786E-4
654,6.529996,0.0010,4.343987E-4
655,6.539997,0.0010,5.710125E-4
656,6.549996,0.0010,0.004063129
657,6.559996,0.0010,6.155968E-4
658,6.569997,0.0010,4.768372E-4
659,6.579996,0.0010,5.10931E-4
660,6.589996,0.0010,8.862019E-4
661,6.599997,0.0010,9.367466E-4
662,6.609996,0.0010,6.132126E-4
663,6.619996,0.0010,8.351803E-4
664,6.629997,0.0010,9.829998E-4
665,6.639996,0.0010,0.1169875
666,6.649996,0.0010,0.5862944
667,6.659997,0.0010,0.1822827
668,6.669996,0.0010,9.131432E-4
669,6.679996,0.0010,5.669594E-4
670,6.689997,0.0010,0.00266242
671,6.699996,0.0010,6.904602E-4
672,6.709996,0.0010,5.385876E-4
673,6.719997,0.0010,5.028248E-4
674,6.729996,0.0010,3.962517E-4
675,6.739996,0.0010,0.001112938
676,6.749997,0.0010,4.093647E-4
677,6.759996,0.0010,3.979206E-4
678,6.769996,0.0010,4.889965E-4
679,6.779997,0.0010,4.937649E-4
680,6.789996,0.0010,5.247593E-4
681,6.799996,0.0010,3.824234E-4
682,6.809997,0.0010,3.678799E-4
683,6.819996,0.0010,8.838177E-4
684,6.829996,0.0010,0.00121212
685,6.839997,0.0010,8.132458E-4
686,6.849996,0.0010,6.361008E-4
687,6.859996,0.0010,0.00144434
688,6.869997,0.0010,0.00173378
689,6.879996,0.0010,4.036427E-4
690,6.889996,0.0010,3.192425E-4
691,6.899997,0.0010,0.01453304
692,6.909996,0.0010,5.831718E-4
693,6.919996,0.0010,5.767345E-4
694,6.929997,0.0010,0.5627499
695,6.939996,0.0010,0.6087425
