[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 7:42 AM 0.8474 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.009552717
2,0.009996,0.0010,0.519062
3,0.019997,0.0010,0.5778902
4,0.029996,0.0010,0.6085243
5,0.039996,0.0010,0.6455026
6,0.049997,0.0010,0.6652305
7,0.059996,0.0010,0.7038338
8,0.069996,0.0010,0.7102714
9,0.079997,0.0010,0.7467904
10,0.089996,0.0010,0.7489557
11,0.099996,0.0010,0.7723529
12,0.109997,0.0010,0.7625556
13,0.119996,0.0010,0.7899275
14,0.129996,0.0010,0.7757168
15,0.139997,0.0010,0.7988489
16,0.149996,0.0010,0.7939446
17,0.159996,0.0010,0.8140202
18,0.169997,0.0010,0.7999215
19,0.179996,0.0010,0.80704
20,0.189996,0.0010,0.7822866
21,0.199997,0.0010,0.7885292
22,0.209996,0.0010,0.7629764
23,0.219996,0.0010,0.7868352
24,0.229997,0.0010,0.7711487
25,0.239996,0.0010,0.7961986
26,0.249996,0.0010,0.7736173
27,0.259997,0.0010,0.7915258
28,0.269996,0.0010,0.7797151
29,0.279996,0.0010,0.7971938
30,0.289997,0.0010,0.777046
31,0.299996,0.0010,0.8023508
32,0.309996,0.0010,0.7783542
33,0.319997,0.0010,0.7887471
34,0.329996,0.0010,0.7759871
35,0.339996,0.0010,0.7908611
36,0.349997,0.0010,0.7594121
37,0.359996,0.0010,0.7854092
38,0.369996,0.0010,0.7640207
39,0.379997,0.0010,0.7775245
40,0.389996,0.0010,0.7660031
41,0.399996,0.0010,0.7771232
42,0.409997,0.0010,0.7627287
43,0.419996,0.0010,0.7860916
44,0.429996,0.0010,0.7781169
45,0.439997,0.0010,0.7975595
46,0.449996,0.0010,0.7647526
47,0.459996,0.0010,0.790086
48,0.469997,0.0010,0.7685812
49,0.479996,0.0010,0.7949204
50,0.489996,0.0010,0.7811184
51,0.499997,0.0010,0.7906458
52,0.509996,0.0010,0.7672746
53,0.519996,0.0010,0.7962456
54,0.529997,0.0010,0.7725031
55,0.539996,0.0010,0.7974336
56,0.549996,0.0010,0.7871268
57,0.559997,0.0010,0.7960711
58,0.569996,0.0010,0.7699747
59,0.579996,0.0010,0.7942047
60,0.589997,0.0010,0.7827513
61,0.599996,0.0010,0.7992673
62,0.609996,0.0010,0.7797751
63,0.619997,0.0010,0.7993536
64,0.629996,0.0010,0.7768395
65,0.639996,0.0010,0.8072681
66,0.649997,0.0010,0.7953982
67,0.659996,0.0010,0.8108537
68,0.669996,0.0010,0.7835705
69,0.679997,0.0010,0.800595
70,0.689996,0.0010,0.7811785
71,0.699996,0.0010,0.7956631
72,0.709997,0.0010,0.7827938
73,0.719996,0.0010,0.795629
74,0.729996,0.0010,0.7784207
75,0.739997,0.0010,0.7960441
76,0.749996,0.0010,0.7889867
77,0.759996,0.0010,0.7981241
78,0.769997,0.0010,0.7865238
79,0.779996,0.0010,0.8032413
80,0.789996,0.0010,0.7850914
81,0.799997,0.0010,0.7990952
82,0.809996,0.0010,0.7827108
83,0.819996,0.0010,0.8028488
84,0.829997,0.0010,0.7696967
85,0.839996,0.0010,0.7995265
86,0.849996,0.0010,0.784456
87,0.859997,0.0010,0.7987385
88,0.869996,0.0010,0.7859576
89,0.879996,0.0010,0.7949114
90,0.889997,0.0010,0.7646463
91,0.899996,0.0010,0.7850654
92,0.909996,0.0010,0.7629423
93,0.919997,0.0010,0.7886429
94,0.929996,0.0010,0.7604854
95,0.939996,0.0010,0.7880774
96,0.949997,0.0010,0.7726266
97,0.959996,0.0010,0.7999053
98,0.969996,0.0010,0.7846122
99,0.979997,0.0010,0.8011873
100,0.989996,0.0010,0.7789254
101,0.999996,0.0010,0.8072536
102,1.009997,0.0010,0.7834957
103,1.019996,0.0010,0.800487
104,1.029996,0.0010,0.7770851
105,1.039997,0.0010,0.799274
106,1.049996,0.0010,0.7840669
107,1.059996,0.0010,0.8014839
108,1.069997,0.0010,0.7871089
109,1.079996,0.0010,0.8113885
110,1.089996,0.0010,0.7962058
111,1.099997,0.0010,0.8093929
112,1.109996,0.0010,0.7903776
113,1.119996,0.0010,0.8020625
114,1.129997,0.0010,0.7731085
115,1.139996,0.0010,0.7897048
116,1.149996,0.0010,0.7701063
117,1.159997,0.0010,0.7823508
118,1.169996,0.0010,0.769345
119,1.179996,0.0010,0.7818689
120,1.189997,0.0010,0.7619479
121,1.199996,0.0010,0.7807722
122,1.209996,0.0010,0.766108
123,1.219997,0.0010,0.7871406
124,1.229996,0.0010,0.7595413
125,1.239996,0.0010,0.7930386
126,1.249997,0.0010,0.7503979
127,1.259996,0.0010,0.7735879
128,1.269996,0.0010,0.7583873
129,1.279997,0.0010,0.7816944
130,1.289996,0.0010,0.7535157
131,1.299996,0.0010,0.7734952
132,1.309997,0.0010,0.7604814
133,1.319996,0.0010,0.7910855
134,1.329996,0.0010,0.01247764
135,1.339997,0.0010,0.0039258
136,1.349996,0.0010,9.016991E-4
137,1.359996,0.0010,9.748936E-4
138,1.369997,0.0010,0.4864762
139,1.379996,0.0010,7.872581E-4
140,1.389996,0.0010,8.716583E-4
141,1.399997,0.0010,0.02331161
142,1.409996,0.0010,5.662441E-4
143,1.419996,0.0010,0.001065731
144,1.429997,0.0010,0.09609723
145,1.439996,0.0010,0.001565456
146,1.449996,0.0010,0.001371384
147,1.459997,0.0010,0.003652096
148,1.469996,0.0010,7.960796E-4
149,1.479996,0.0010,0.001535416
150,1.489997,0.0010,0.006664038
151,1.499996,0.0010,8.456707E-4
152,1.509996,0.0010,8.065701E-4
153,1.519997,0.0010,5.946159E-4
154,1.529996,0.0010,4.491806E-4
155,1.539996,0.0010,7.896423E-4
156,1.549997,0.0010,5.757809E-4
157,1.559996,0.0010,7.562637E-4
158,1.569996,0.0010,8.625984E-4
159,1.579997,0.0010,7.407665E-4
160,1.589996,0.0010,3.972054E-4
161,1.599996,0.0010,4.060268E-4
162,1.609997,0.0010,5.848408E-4
163,1.619996,0.0010,5.92947E-4
164,1.629996,0.0010,6.790161E-4
165,1.639997,0.0010,5.676746E-4
166,1.649996,0.0010,0.002151251
167,1.659996,0.0010,7.140636E-4
168,1.669997,0.0010,0.01174235
169,1.679996,0.0010,0.005697966
170,1.689996,0.0010,0.001678467
171,1.699997,0.0010,0.003025532
172,1.709996,0.0010,0.002006769
173,1.719996,0.0010,0.002168417
174,1.729997,0.0010,0.002695799
175,1.739996,0.0010,6.182194E-4
176,1.749996,0.0010,0.004953623
177,1.759997,0.0010,0.003315687
178,1.769996,0.0010,0.001248598
179,1.779996,0.0010,9.92775E-4
180,1.789997,0.0010,0.001043797
181,1.799996,0.0010,6.432533E-4
182,1.809996,0.0010,3.972054E-4
183,1.819997,0.0010,9.155273E-4
184,1.829996,0.0010,4.947186E-4
185,1.839996,0.0010,6.198883E-4
186,1.849997,0.0010,6.937981E-4
187,1.859996,0.0010,0.003759384
188,1.869996,0.0010,6.00338E-4
189,1.879997,0.0010,6.222725E-4
190,1.889996,0.0010,0.001294136
191,1.899996,0.0010,6.051064E-4
192,1.909997,0.0010,9.586811E-4
193,1.919996,0.0010,7.286072E-4
194,1.929996,0.0010,0.003947735
195,1.939997,0.0010,0.5066354
196,1.949996,0.0010,0.07649779
197,1.959996,0.0010,0.01324224
198,1.969997,0.0010,0.001248598
199,1.979996,0.0010,0.2264144
200,1.989996,0.0010,0.1275878
201,1.999997,0.0010,0.002964735
202,2.009996,0.0010,0.002368212
203,2.019996,0.0010,8.740425E-4
204,2.029997,0.0010,0.004044533
205,2.039996,0.0010,0.01388001
206,2.049996,0.0010,4.296303E-4
207,2.059997,0.0010,6.00338E-4
208,2.069996,0.0010,6.263256E-4
209,2.079996,0.0010,5.247593E-4
210,2.089997,0.0010,6.732941E-4
211,2.099996,0.0010,6.00338E-4
212,2.109996,0.0010,6.034374E-4
213,2.119997,0.0010,9.601116E-4
214,2.129996,0.0010,0.001604557
215,2.139996,0.0010,0.001321793
216,2.149997,0.0010,6.067753E-4
217,2.159996,0.0010,6.570816E-4
218,2.169996,0.0010,0.001060247
219,2.179997,0.0010,8.294582E-4
220,2.189996,0.0010,0.001554251
221,2.199996,0.0010,0.003092289
222,2.209997,0.0010,0.2639346
223,2.219996,0.0010,0.001291752
224,2.229996,0.0010,0.001628876
225,2.239997,0.0010,0.02372599
226,2.249996,0.0010,0.001953125
227,2.259996,0.0010,0.4303274
228,2.269997,0.0010,0.001603842
229,2.279996,0.0010,0.004003048
230,2.289996,0.0010,0.002274036
231,2.299997,0.0010,0.003760099
232,2.309996,0.0010,0.007362843
233,2.319996,0.0010,0.003448009
234,2.329997,0.0010,5.896091E-4
235,2.339996,0.0010,0.001132488
236,2.349996,0.0010,5.946159E-4
237,2.359997,0.0010,0.001617432
238,2.369996,0.0010,6.952286E-4
239,2.379996,0.0010,0.001272917
240,2.389997,0.0010,0.00173378
241,2.399996,0.0010,7.693768E-4
242,2.409996,0.0010,0.00108695
243,2.419997,0.0010,4.718304E-4
244,2.429996,0.0010,5.807877E-4
245,2.439996,0.0010,0.001014709
246,2.449997,0.0010,5.652905E-4
247,2.459996,0.0010,8.416176E-4
248,2.469996,0.0010,0.001426697
249,2.479997,0.0010,0.002644539
250,2.489996,0.0010,0.002216339
251,2.499996,0.0010,0.002037525
252,2.509997,0.0010,0.001322508
253,2.519996,0.0010,0.001272917
254,2.529996,0.0010,0.01412296
255,2.539997,0.0010,0.03231025
256,2.549996,0.0010,0.001572847
257,2.559996,0.0010,0.001428127
258,2.569997,0.0010,0.001319408
259,2.579996,0.0010,0.00158596
260,2.589996,0.0010,0.002258539
261,2.599997,0.0010,0.00515604
262,2.609996,0.0010,0.002732277
263,2.619996,0.0010,0.005507946
264,2.629997,0.0010,5.514622E-4
265,2.639996,0.0010,0.003965616
266,2.649996,0.0010,4.775524E-4
267,2.659997,0.0010,9.455681E-4
268,2.669996,0.0010,4.141331E-4
269,2.679996,0.0010,0.003019094
270,2.689997,0.0010,0.1379426
271,2.699996,0.0010,5.018711E-4
272,2.709996,0.0010,6.597042E-4
273,2.719997,0.0010,7.936954E-4
274,2.729996,0.0010,6.198883E-4
275,2.739996,0.0010,8.928776E-4
276,2.749997,0.0010,0.002904654
277,2.759996,0.0010,0.001750708
278,2.769996,0.0010,0.001704454
279,2.779997,0.0010,0.001996279
280,2.789996,0.0010,8.773804E-4
281,2.799996,0.0010,0.001670361
282,2.809997,0.0010,0.2101977
283,2.819996,0.0010,0.04156399
284,2.829996,0.0010,0.001216888
285,2.839997,0.0010,7.474422E-4
286,2.849996,0.0010,0.001251936
287,2.859996,0.0010,0.001863718
288,2.869997,0.0010,0.009902
289,2.879996,0.0010,0.001505375
290,2.889996,0.0010,4.312992E-4
291,2.899997,0.0010,0.001355886
292,2.909996,0.0010,0.001030922
293,2.919996,0.0010,0.001162529
294,2.929997,0.0010,0.00352931
295,2.939996,0.0010,6.115437E-4
296,2.949996,0.0010,5.702972E-4
297,2.959997,0.0010,0.001186132
298,2.969996,0.0010,0.001509428
299,2.979996,0.0010,4.701614E-4
300,2.989997,0.0010,3.898144E-4
301,2.999996,0.0010,0.006520271
302,3.009996,0.0010,0.007673979
303,3.019997,0.0010,0.5102892
304,3.029996,0.0010,0.004866838
305,3.039996,0.0010,8.871555E-4
306,3.049997,0.0010,0.001168966
307,3.059996,0.0010,0.001324177
308,3.069996,0.0010,8.878708E-4
309,3.079997,0.0010,0.001029253
310,3.089996,0.0010,0.003350735
311,3.099996,0.0010,0.00169158
312,3.109997,0.0010,0.003501654
313,3.119996,0.0010,6.246567E-4
314,3.129996,0.0010,0.004931688
315,3.139997,0.0010,0.005943298
316,3.149996,0.0010,0.001898766
317,3.159996,0.0010,8.456707E-4
318,3.169997,0.0010,0.001134872
319,3.179996,0.0010,0.001144648
320,3.189996,0.0010,0.001459837
321,3.199997,0.0010,9.675026E-4
322,3.209996,0.0010,8.146763E-4
323,3.219996,0.0010,6.783009E-4
324,3.229997,0.0010,5.841255E-4
325,3.239996,0.0010,0.005485058
326,3.249996,0.0010,7.545948E-4
327,3.259997,0.0010,0.002479553
328,3.269996,0.0010,0.001126051
329,3.279996,0.0010,9.326935E-4
330,3.289997,0.0010,0.001602888
331,3.299996,0.0010,0.001065016
332,3.309996,0.0010,0.008773327
333,3.319997,0.0010,0.001006603
334,3.329996,0.0010,0.005201578
335,3.339996,0.0010,0.004935741
336,3.349997,0.0010,6.952286E-4
337,3.359996,0.0010,0.008699417
338,3.369996,0.0010,0.002229452
339,3.379997,0.0010,0.01512647
340,3.389996,0.0010,0.003109217
341,3.399996,0.0010,5.450249E-4
342,3.409997,0.0010,0.00214982
343,3.419996,0.0010,0.003624439
344,3.429996,0.0010,0.006319523
345,3.439997,0.0010,7.579327E-4
346,3.449996,0.0010,0.001038313
347,3.459996,0.0010,4.491806E-4
348,3.469997,0.0010,8.59499E-4
349,3.479996,0.0010,0.001336336
350,3.489996,0.0010,3.550053E-4
351,3.499997,0.0010,8.099079E-4
352,3.509996,0.0010,7.343292E-4
353,3.519996,0.0010,0.04880166
354,3.529997,0.0010,0.001145363
355,3.539996,0.0010,4.930496E-4
356,3.549996,0.0010,6.661415E-4
357,3.559997,0.0010,7.798672E-4
358,3.569996,0.0010,6.351471E-4
359,3.579996,0.0010,0.001755714
360,3.589997,0.0010,8.351803E-4
361,3.599996,0.0010,7.390976E-4
362,3.609996,0.0010,0.02930641
363,3.619997,0.0010,0.00219202
364,3.629996,0.0010,0.001270533
365,3.639996,0.0010,8.928776E-4
366,3.649997,0.0010,0.002862215
367,3.659996,0.0010,0.01118088
368,3.669996,0.0010,8.642673E-4
369,3.679997,0.0010,0.008919477
370,3.689996,0.0010,0.002850056
371,3.699996,0.0010,0.003213406
372,3.709997,0.0010,0.002726555
373,3.719996,0.0010,0.001078129
374,3.729996,0.0010,0.001190901
375,3.739997,0.0010,5.62191E-4
376,3.749996,0.0010,0.001464844
377,3.759996,0.0010,0.002565622
378,3.769997,0.0010,9.438992E-4
379,3.779996,0.0010,8.416176E-4
380,3.789996,0.0010,0.00323844
381,3.799997,0.0010,0.05611348
382,3.809996,0.0010,8.804798E-4
383,3.819996,0.0010,6.871223E-4
384,3.829997,0.0010,8.804798E-4
385,3.839996,0.0010,7.693768E-4
386,3.849996,0.0010,6.978512E-4
387,3.859997,0.0010,0.003490448
388,3.869996,0.0010,0.002010822
389,3.879996,0.0010,9.505749E-4
390,3.889997,0.0010,0.05529547
391,3.899996,0.0010,5.686283E-4
392,3.909996,0.0010,0.001706839
393,3.919997,0.0010,7.1311E-4
394,3.929996,0.0010,0.006603003
395,3.939996,0.0010,0.008532763
396,3.949997,0.0010,0.003252268
397,3.959996,0.0010,0.004815578
398,3.969996,0.0010,0.006614447
399,3.979997,0.0010,0.002889872
400,3.989996,0.0010,0.001940966
401,3.999996,0.0010,0.004890442
402,4.009997,0.0010,0.01418066
403,4.019996,0.0010,4.873276E-4
404,4.029996,0.0010,0.00130868
405,4.039997,0.0010,0.003020763
406,4.049996,0.0010,0.001249552
407,4.059996,0.0010,0.001466513
408,4.069997,0.0010,0.0014925
409,4.079996,0.0010,0.001190901
410,4.089996,0.0010,6.432533E-4
411,4.099997,0.0010,8.358955E-4
412,4.109996,0.0010,7.238388E-4
413,4.119996,0.0010,9.651184E-4
414,4.129997,0.0010,0.001479387
415,4.139996,0.0010,0.004528046
416,4.149996,0.0010,0.002719402
417,4.159997,0.0010,0.002197742
418,4.169996,0.0010,7.677078E-4
419,4.179996,0.0010,9.121895E-4
420,4.189997,0.0010,0.005529881
421,4.199996,0.0010,0.0152595
422,4.209996,0.0010,0.001849174
423,4.219997,0.0010,0.01073384
424,4.229996,0.0010,5.581379E-4
425,4.239996,0.0010,0.01994944
426,4.249997,0.0010,0.009834528
427,4.259996,0.0010,0.00117135
428,4.269996,0.0010,0.002496719
429,4.279997,0.0010,0.002281427
430,4.289996,0.0010,6.69241E-4
431,4.299996,0.0010,6.830692E-4
432,4.309997,0.0010,5.800724E-4
433,4.319996,0.0010,4.262924E-4
434,4.329996,0.0010,6.611347E-4
435,4.339997,0.0010,5.385876E-4
436,4.349996,0.0010,5.662441E-4
437,4.359996,0.0010,6.992817E-4
438,4.369997,0.0010,0.001208067
439,4.379996,0.0010,0.00124383
440,4.389996,0.0010,7.278919E-4
441,4.399997,0.0010,0.001385212
442,4.409996,0.0010,6.587505E-4
443,4.419996,0.0010,0.2512822
444,4.429997,0.0010,0.002390146
445,4.439996,0.0010,0.003458738
446,4.449996,0.0010,4.718304E-4
447,4.459997,0.0010,0.001070023
448,4.469996,0.0010,0.00438261
449,4.479996,0.0010,0.007455349
450,4.489997,0.0010,0.002331734
451,4.499996,0.0010,0.001530647
452,4.509996,0.0010,7.18832E-4
453,4.519997,0.0010,0.002434015
454,4.529996,0.0010,0.00393796
455,4.539996,0.0010,0.002354383
456,4.549997,0.0010,0.001371384
457,4.559996,0.0010,0.001065731
458,4.569996,0.0010,5.676746E-4
459,4.579997,0.0010,0.002988338
460,4.589996,0.0010,0.001805305
461,4.599996,0.0010,0.001173019
462,4.609997,0.0010,7.498264E-4
463,4.619996,0.0010,0.003143549
464,4.629996,0.0010,0.001459837
465,4.639997,0.0010,7.343292E-4
466,4.649996,0.0010,5.726814E-4
467,4.659996,0.0010,8.392334E-4
468,4.669997,0.0010,5.645752E-4
469,4.679996,0.0010,0.002360106
470,4.689996,0.0010,0.003196955
471,4.699997,0.0010,7.693768E-4
472,4.709996,0.0010,9.489059E-4
473,4.719996,0.0010,0.002901316
474,4.729997,0.0010,5.571842E-4
475,4.739996,0.0010,0.002124548
476,4.749996,0.0010,0.002843618
477,4.759997,0.0010,0.01239467
478,4.769996,0.0010,0.005509377
479,4.779996,0.0010,0.00143075
480,4.789997,0.0010,0.002515316
481,4.799996,0.0010,0.003579855
482,4.809996,0.0010,0.00398922
483,4.819997,0.0010,0.002545357
484,4.829996,0.0010,8.172989E-4
485,4.839996,0.0010,9.391308E-4
486,4.849997,0.0010,0.001824617
487,4.859996,0.0010,7.765293E-4
488,4.869996,0.0010,6.155968E-4
489,4.879997,0.0010,0.00103426
490,4.889996,0.0010,0.001513481
491,4.899996,0.0010,0.001413584
492,4.909997,0.0010,0.002306461
493,4.919996,0.0010,0.001025915
494,4.929996,0.0010,6.928444E-4
495,4.939997,0.0010,8.969307E-4
496,4.949996,0.0010,6.937981E-4
497,4.959996,0.0010,0.003945351
498,4.969997,0.0010,0.003154755
499,4.979996,0.0010,7.953644E-4
500,4.989996,0.0010,0.002279758
501,4.999997,0.0010,4.043579E-4
502,5.009996,0.0010,3.604889E-4
503,5.019996,0.0010,9.407997E-4
504,5.029997,0.0010,5.538464E-4
505,5.039996,0.0010,7.846355E-4
506,5.049996,0.0010,0.001312017
507,5.059997,0.0010,0.001393318
508,5.069996,0.0010,0.002048969
509,5.079996,0.0010,0.003320456
510,5.089997,0.0010,8.52108E-4
511,5.099996,0.0010,7.019043E-4
512,5.109996,0.0010,0.07750535
513,5.119997,0.0010,6.961823E-4
514,5.129996,0.0010,6.563663E-4
515,5.139996,0.0010,8.132458E-4
516,5.149997,0.0010,0.001197577
517,5.159996,0.0010,6.253719E-4
518,5.169996,0.0010,7.221699E-4
519,5.179997,0.0010,0.001027584
520,5.189996,0.0010,7.77483E-4
521,5.199996,0.0010,8.115768E-4
522,5.209997,0.0010,0.002028704
523,5.219996,0.0010,0.002027035
524,5.229996,0.0010,0.001268148
525,5.239997,0.0010,0.001140594
526,5.249996,0.0010,0.001446009
527,5.259996,0.0010,0.0121696
528,5.269997,0.0010,0.001863003
529,5.279996,0.0010,9.367466E-4
530,5.289996,0.0010,0.001030922
531,5.299997,0.0010,0.001092672
532,5.309996,0.0010,0.007579803
533,5.319996,0.0010,0.004081011
534,5.329997,0.0010,0.01332021
535,5.339996,0.0010,0.002878666
536,5.349996,0.0010,0.002127886
537,5.359997,0.0010,6.084442E-4
538,5.369996,0.0010,4.208088E-4
539,5.379996,0.0010,8.08239E-4
540,5.389997,0.0010,7.286072E-4
541,5.399996,0.0010,5.905628E-4
542,5.409996,0.0010,3.321171E-4
543,5.419997,0.0010,6.043911E-4
544,5.429996,0.0010,3.671646E-4
545,5.439996,0.0010,3.247261E-4
546,5.449997,0.0010,4.167557E-4
547,5.459996,0.0010,5.099773E-4
548,5.469996,0.0010,4.734993E-4
549,5.479997,0.0010,8.351803E-4
550,5.489996,0.0010,0.001125097
551,5.499996,0.0010,0.003996611
552,5.509997,0.0010,5.977154E-4
553,5.519996,0.0010,0.00148344
554,5.529996,0.0010,0.007851124
555,5.539997,0.0010,0.002187014
556,5.549996,0.0010,0.003530264
557,5.559996,0.0010,0.004362106
558,5.569997,0.0010,0.00190115
559,5.579996,0.0010,6.985664E-4
560,5.589996,0.0010,0.00242281
561,5.599997,0.0010,0.003608942
562,5.609996,0.0010,0.001387596
563,5.619996,0.0010,0.003554583
564,5.629997,0.0010,5.166531E-4
565,5.639996,0.0010,0.05975771
566,5.649996,0.0010,2.987385E-4
567,5.659997,0.0010,6.952286E-4
568,5.669996,0.0010,4.906654E-4
569,5.679996,0.0010,4.646778E-4
570,5.689997,0.0010,5.791187E-4
571,5.699996,0.0010,4.394054E-4
572,5.709996,0.0010,0.00116992
573,5.719997,0.0010,5.62191E-4
574,5.729996,0.0010,3.41177E-4
575,5.739996,0.0010,5.149841E-4
576,5.749997,0.0010,6.027222E-4
577,5.759996,0.0010,0.001083612
578,5.769996,0.0010,0.001577616
579,5.779997,0.0010,0.001764536
580,5.789996,0.0010,0.002043247
581,5.799996,0.0010,0.002023697
582,5.809997,0.0010,0.006118774
583,5.819996,0.0010,6.458759E-4
584,5.829996,0.0010,5.912781E-4
585,5.839997,0.0010,6.611347E-4
586,5.849996,0.0010,4.053116E-4
587,5.859996,0.0010,7.009506E-4
588,5.869997,0.0010,0.004193306
589,5.879996,0.0010,9.520054E-4
590,5.889996,0.0010,0.002124548
591,5.899997,0.0010,0.001124382
592,5.909996,0.0010,7.514954E-4
593,5.919996,0.0010,6.473064E-4
594,5.929997,0.0010,5.288124E-4
595,5.939996,0.0010,7.367134E-4
596,5.949996,0.0010,6.678104E-4
597,5.959997,0.0010,6.620884E-4
598,5.969996,0.0010,4.012585E-4
599,5.979996,0.0010,3.476143E-4
600,5.989997,0.0010,4.076958E-4
601,5.999996,0.0010,5.507469E-4
602,6.009996,0.0010,5.791187E-4
603,6.019997,0.0010,4.930496E-4
604,6.029996,0.0010,5.636215E-4
605,6.039996,0.0010,0.001410246
606,6.049997,0.0010,0.001602173
607,6.059996,0.0010,4.768372E-4
608,6.069996,0.0010,0.005317688
609,6.079997,0.0010,7.107258E-4
610,6.089996,0.0010,8.952618E-4
611,6.099996,0.0010,0.001364946
612,6.109997,0.0010,0.002655029
613,6.119996,0.0010,8.676052E-4
614,6.129996,0.0010,0.001491547
615,6.139997,0.0010,0.002929688
616,6.149996,0.0010,0.004265547
617,6.159996,0.0010,7.295609E-4
618,6.169997,0.0010,0.003118277
619,6.179996,0.0010,4.873276E-4
620,6.189996,0.0010,3.736019E-4
621,6.199997,0.0010,4.475117E-4
622,6.209996,0.0010,3.590584E-4
623,6.219996,0.0010,0.00113821
624,6.229997,0.0010,6.856918E-4
625,6.239996,0.0010,4.255772E-4
626,6.249996,0.0010,3.216267E-4
627,6.259997,0.0010,4.441738E-4
628,6.269996,0.0010,7.872581E-4
629,6.279996,0.0010,5.409718E-4
630,6.289997,0.0010,5.784035E-4
631,6.299996,0.0010,5.295277E-4
632,6.309996,0.0010,0.001469612
633,6.319997,0.0010,6.928444E-4
634,6.329996,0.0010,0.003179073
635,6.339996,0.0010,4.336834E-4
636,6.349997,0.0010,0.0148201
637,6.359996,0.0010,0.002289534
638,6.369996,0.0010,0.001590014
639,6.379997,0.0010,0.001877546
640,6.389996,0.0010,0.001309633
641,6.399996,0.0010,8.294582E-4
642,6.409997,0.0010,5.457401E-4
643,6.419996,0.0010,0.001366377
644,6.429996,0.0010,0.001352549
645,6.439997,0.0010,0.001284361
646,6.449996,0.0010,0.002387762
647,6.459996,0.0010,4.734993E-4
648,6.469997,0.0010,0.001597166
649,6.479996,0.0010,4.711151E-4
650,6.489996,0.0010,2.963543E-4
651,6.499997,0.0010,7.586479E-4
652,6.509996,0.0010,6.320477E-4
653,6.519996,0.0010,6.182194E-4
654,6.529997,0.0010,6.482601E-4
655,6.539996,0.0010,0.003426075
656,6.549996,0.0010,8.146763E-4
657,6.559997,0.0010,3.881454E-4
658,6.569996,0.0010,5.433559E-4
659,6.579996,0.0010,4.816055E-4
660,6.589997,0.0010,0.002608776
661,6.599996,0.0010,0.003651142
662,6.609996,0.0010,0.001846552
663,6.619997,0.0010,0.001400709
664,6.629996,0.0010,0.001427412
665,6.639996,0.0010,0.004466295
666,6.649997,0.0010,8.00848E-4
667,6.659996,0.0010,6.554127E-4
668,6.669996,0.0010,5.800724E-4
669,6.679997,0.0010,7.684231E-4
670,6.689996,0.0010,9.009838E-4
671,6.699996,0.0010,0.001554251
672,6.709997,0.0010,0.003964186
673,6.719996,0.0010,0.001433134
674,6.729996,0.0010,0.004608393
675,6.739997,0.0010,6.506443E-4
676,6.749996,0.0010,0.04659081
677,6.759996,0.0010,0.001235723
678,6.769997,0.0010,4.181862E-4
679,6.779996,0.0010,0.001348495
680,6.789996,0.0010,5.514622E-4
681,6.799997,0.0010,7.116795E-4
682,6.809996,0.0010,5.922318E-4
683,6.819996,0.0010,0.00420785
684,6.829997,0.0010,0.002020597
685,6.839996,0.0010,8.318424E-4
686,6.849996,0.0010,9.114742E-4
687,6.859997,0.0010,4.775524E-4
688,6.869996,0.0010,0.003247499
689,6.879996,0.0010,0.002100945
690,6.889997,0.0010,0.002174854
691,6.899996,0.0010,0.001792192
692,6.909996,0.0010,0.001544476
693,6.919997,0.0010,0.003213406
694,6.929996,0.0010,0.001916647
695,6.939996,0.0010,6.904602E-4
696,6.949997,0.0010,0.001287699
697,6.959996,0.0010,5.497932E-4
698,6.969996,0.0010,8.5783E-4
699,6.979997,0.0010,0.00222683
700,6.989996,0.0010,0.00109911
701,6.999996,0.0010,0.002248049
702,7.009997,0.0010,0.001161814
703,7.019996,0.0010,6.084442E-4
704,7.029996,0.0010,7.441044E-4
705,7.039997,0.0010,3.962517E-4
706,7.049996,0.0010,4.5228E-4
