[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.047
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 mA
Step/Sweep Stop Level,1.0 mA
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,1 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 7:48 AM 0.548325 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0010,-0.03701448
2,0.009996,0.0010,0.5142071
3,0.019996,0.0010,0.5590584
4,0.029996,0.0010,0.5908797
5,0.039997,0.0010,0.6280756
6,0.049996,0.0010,0.6565793
7,0.059996,0.0010,0.6720345
8,0.069997,0.0010,0.6944034
9,0.079996,0.0010,0.7245378
10,0.089996,0.0010,0.7228284
11,0.099997,0.0010,0.7368357
12,0.109996,0.0010,0.7501442
13,0.119996,0.0010,0.7544107
14,0.129997,0.0010,0.7391057
15,0.139996,0.0010,0.7589257
16,0.149996,0.0010,0.741843
17,0.159997,0.0010,0.7497146
18,0.169996,0.0010,0.7475615
19,0.179996,0.0010,0.7367375
20,0.189997,0.0010,0.7271833
21,0.199996,0.0010,0.7424443
22,0.209996,0.0010,0.7328489
23,0.219997,0.0010,0.7383664
24,0.229996,0.0010,0.72822
25,0.239996,0.0010,0.7418332
26,0.249997,0.0010,0.7309728
27,0.259996,0.0010,0.7442846
28,0.269996,0.0010,0.7394431
29,0.279997,0.0010,0.7422948
30,0.289996,0.0010,0.7354357
31,0.299996,0.0010,0.7688055
32,0.309997,0.0010,0.7470446
33,0.319996,0.0010,0.7535975
34,0.329996,0.0010,0.754293
35,0.339997,0.0010,0.7653558
36,0.349996,0.0010,0.7493246
37,0.359996,0.0010,0.7583504
38,0.369997,0.0010,0.7412386
39,0.379996,0.0010,0.7490206
40,0.389996,0.0010,0.7472405
41,0.399997,0.0010,0.7556107
42,0.409996,0.0010,0.75402
43,0.419996,0.0010,0.7588649
44,0.429997,0.0010,0.73949
45,0.439996,0.0010,0.7546048
46,0.449996,0.0010,0.7591045
47,0.459997,0.0010,0.7818778
48,0.469996,0.0010,0.7602403
49,0.479996,0.0010,0.7704329
50,0.489997,0.0010,0.7524152
51,0.499996,0.0010,0.7754395
52,0.509996,0.0010,0.7544253
53,0.519997,0.0010,0.7585268
54,0.529996,0.0010,0.750999
55,0.539996,0.0010,0.7645636
56,0.549997,0.0010,0.7485454
57,0.559996,0.0010,0.7570083
58,0.569996,0.0010,0.7438874
59,0.579997,0.0010,0.7482998
60,0.589996,0.0010,0.7601266
61,0.599996,0.0010,0.7703648
62,0.609997,0.0010,0.7569304
63,0.619996,0.0010,0.7501864
64,0.629996,0.0010,0.750813
65,0.639997,0.0010,0.7726812
66,0.649996,0.0010,0.7569449
67,0.659996,0.0010,0.7561648
68,0.669997,0.0010,0.7521651
69,0.679996,0.0010,0.7561884
70,0.689996,0.0010,0.751658
71,0.699997,0.0010,0.775316
72,0.709996,0.0010,0.7428343
73,0.719996,0.0010,0.7646546
74,0.729997,0.0010,0.7620034
75,0.739996,0.0010,0.7677503
76,0.749996,0.0010,0.7610219
77,0.759997,0.0010,0.7709043
78,0.769996,0.0010,0.7578263
79,0.779996,0.0010,0.7656946
80,0.789997,0.0010,0.7532544
81,0.799996,0.0010,0.7682223
82,0.809996,0.0010,0.7562973
83,0.819997,0.0010,0.7727885
84,0.829996,0.0010,0.7566402
85,0.839996,0.0010,0.7630515
86,0.849997,0.0010,0.7583237
87,0.859996,0.0010,0.7478116
88,0.869996,0.0010,0.7282298
89,0.879997,0.0010,0.7492685
90,0.889996,0.0010,0.7387524
91,0.899996,0.0010,0.7454464
92,0.909997,0.0010,0.7432292
93,0.919996,0.0010,0.7485242
94,0.929996,0.0010,0.7474272
95,0.939997,0.0010,0.7592449
96,0.949996,0.0010,0.7494855
97,0.959996,0.0010,0.7719264
98,0.969997,0.0010,0.7567921
99,0.979996,0.0010,0.763643
100,0.989996,0.0010,0.7481968
101,0.999997,0.0010,0.7682767
102,1.009996,0.0010,0.7564583
103,1.019996,0.0010,0.7498436
104,1.029997,0.0010,0.7508869
105,1.039996,0.0010,0.76594
106,1.049996,0.0010,0.7395031
107,1.059997,0.0010,0.7525046
108,1.069996,0.0010,0.7456553
109,1.079996,0.0010,0.7572358
110,1.089997,0.0010,0.7329617
111,1.099996,0.0010,0.7483699
112,1.109996,0.0010,0.7279632
113,1.119997,0.0010,0.7423491
114,1.129996,0.0010,0.7376513
115,1.139996,0.0010,0.7494895
116,1.149997,0.0010,0.7362776
117,1.159996,0.0010,0.7464476
118,1.169996,0.0010,0.7391043
119,1.179997,0.0010,0.7533431
120,1.189996,0.0010,0.7558
121,1.199996,0.0010,0.7666948
122,1.209997,0.0010,0.7388613
123,1.219996,0.0010,0.7574227
124,1.229996,0.0010,0.7463338
125,1.239997,0.0010,0.7551696
126,1.249996,0.0010,0.7352943
127,1.259996,0.0010,0.7487891
128,1.269997,0.0010,0.739321
129,1.279996,0.0010,0.7624495
130,1.289996,0.0010,0.7307713
131,1.299997,0.0010,0.7405984
132,1.309996,0.0010,0.732554
133,1.319996,0.0010,0.7366951
134,1.329997,0.0010,0.7295094
135,1.339996,0.0010,0.7486923
136,1.349996,0.0010,0.7283897
137,1.359997,0.0010,0.7398858
138,1.369996,0.0010,0.7376246
139,1.379996,0.0010,0.7457478
140,1.389997,0.0010,0.7272418
141,1.399996,0.0010,0.7362475
142,1.409996,0.0010,0.7200503
143,1.419997,0.0010,0.7324514
144,1.429996,0.0010,0.7252462
145,1.439996,0.0010,0.7551785
146,1.449997,0.0010,0.7330649
147,1.459996,0.0010,0.7521455
148,1.469996,0.0010,0.7318707
149,1.479997,0.0010,0.730902
150,1.489996,0.0010,0.7198319
151,1.499996,0.0010,0.7398305
152,1.509997,0.0010,0.7253437
153,1.519996,0.0010,0.7429504
154,1.529996,0.0010,0.7370558
155,1.539997,0.0010,0.7582464
156,1.549996,0.0010,0.7385249
157,1.559996,0.0010,0.7612031
158,1.569997,0.0010,0.741055
159,1.579996,0.0010,0.7518513
160,1.589996,0.0010,0.7429228
161,1.599997,0.0010,0.7544603
162,1.609996,0.0010,0.7369609
163,1.619996,0.0010,0.7594798
164,1.629997,0.0010,0.74563
165,1.639996,0.0010,0.755163
166,1.649996,0.0010,0.7482073
167,1.659997,0.0010,0.7472446
168,1.669996,0.0010,0.7238691
169,1.679996,0.0010,0.7504182
170,1.689997,0.0010,0.7319298
171,1.699996,0.0010,0.7321191
172,1.709996,0.0010,0.7282217
173,1.719997,0.0010,0.7415237
174,1.729996,0.0010,0.7265236
175,1.739996,0.0010,0.753201
176,1.749997,0.0010,0.7309117
177,1.759996,0.0010,0.7603426
178,1.769996,0.0010,0.7325466
179,1.779997,0.0010,0.7459924
180,1.789996,0.0010,0.7161911
181,1.799996,0.0010,0.7517905
182,1.809997,0.0010,0.7325408
183,1.819996,0.0010,0.7460372
184,1.829996,0.0010,0.7276504
185,1.839997,0.0010,0.7495561
186,1.849996,0.0010,0.7353935
187,1.859996,0.0010,0.7488582
188,1.869997,0.0010,0.7342293
189,1.879996,0.0010,0.7472079
190,1.889996,0.0010,0.7294064
191,1.899997,0.0010,0.7385249
192,1.909996,0.0010,0.7187302
193,1.919996,0.0010,0.7483649
194,1.929997,0.0010,0.7274888
195,1.939996,0.0010,0.7458227
196,1.949996,0.0010,0.7265439
197,1.959997,0.0010,0.763478
198,1.969996,0.0010,0.7384372
199,1.979996,0.0010,0.7446787
200,1.989997,0.0010,0.732116
201,1.999996,0.0010,0.7552776
202,2.009996,0.0010,0.7281356
203,2.019997,0.0010,0.7449369
204,2.029996,0.0010,0.7329292
205,2.039996,0.0010,0.7434738
206,2.049997,0.0010,0.7318673
207,2.059996,0.0010,0.7478621
208,2.069996,0.0010,0.7290308
209,2.079997,0.0010,0.755501
210,2.089996,0.0010,0.7362735
211,2.099996,0.0010,0.2343144
212,2.109997,0.0010,0.02497339
213,2.119996,0.0010,0.01136827
214,2.129996,0.0010,0.004991055
215,2.139997,0.0010,0.005713224
216,2.149996,0.0010,0.003050804
217,2.159996,0.0010,0.003154755
218,2.169997,0.0010,0.2667515
219,2.179996,0.0010,0.6505766
220,2.189996,0.0010,0.6652527
221,2.199997,0.0010,0.02121067
222,2.209996,0.0010,0.6164601
223,2.219996,0.0010,0.6994431
224,2.229997,0.0010,0.7040231
225,2.239996,0.0010,0.7324359
226,2.249996,0.0010,0.736526
227,2.259997,0.0010,0.7571464
228,2.269996,0.0010,0.7358265
229,2.279996,0.0010,0.7515182
230,2.289997,0.0010,0.7279308
231,2.299996,0.0010,0.7454643
232,2.309996,0.0010,0.7388816
233,2.319997,0.0010,0.7506156
234,2.329996,0.0010,0.7282054
235,2.339996,0.0010,0.7549956
236,2.349997,0.0010,0.7339838
237,2.359996,0.0010,0.7597992
238,2.369996,0.0010,0.7339375
239,2.379997,0.0010,0.743156
240,2.389996,0.0010,0.7227755
241,2.399996,0.0010,0.755744
242,2.409997,0.0010,0.7380788
243,2.419996,0.0010,0.7595506
244,2.429996,0.0010,0.7310143
245,2.439997,0.0010,0.7609901
246,2.449996,0.0010,0.7428253
247,2.459996,0.0010,0.7574201
248,2.469997,0.0010,0.7411802
249,2.479996,0.0010,0.7376742
250,2.489996,0.0010,0.7170458
251,2.499997,0.0010,0.7411516
252,2.509996,0.0010,0.7265716
253,2.519996,0.0010,0.7514598
254,2.529997,0.0010,0.7237122
255,2.539996,0.0010,0.7515702
256,2.549996,0.0010,0.7202706
257,2.559997,0.0010,0.7471144
258,2.569996,0.0010,0.7295232
259,2.579996,0.0010,0.749686
260,2.589997,0.0010,0.7276902
261,2.599996,0.0010,0.7501297
262,2.609996,0.0010,0.734468
263,2.619997,0.0010,0.7638087
264,2.629996,0.0010,0.7301586
265,2.639996,0.0010,0.7569311
266,2.649997,0.0010,0.7234004
267,2.659996,0.0010,0.7487226
268,2.669996,0.0010,0.7315626
269,2.679997,0.0010,0.7475672
270,2.689996,0.0010,0.7273028
271,2.699996,0.0010,0.7445073
272,2.709997,0.0010,0.730135
273,2.719996,0.0010,0.7590556
274,2.729996,0.0010,0.7362311
275,2.739997,0.0010,0.7586787
276,2.749996,0.0010,0.7346461
277,2.759996,0.0010,0.7537875
278,2.769997,0.0010,0.7316837
279,2.779996,0.0010,0.7548909
280,2.789996,0.0010,0.7442911
281,2.799997,0.0010,0.7588801
282,2.809996,0.0010,0.7253697
283,2.819996,0.0010,0.7517693
284,2.829997,0.0010,0.7235954
285,2.839996,0.0010,0.7541165
286,2.849996,0.0010,0.7319486
287,2.859997,0.0010,0.7474825
288,2.869996,0.0010,0.7297823
289,2.879996,0.0010,0.7581782
290,2.889997,0.0010,0.7357559
291,2.899996,0.0010,0.7564006
292,2.909996,0.0010,0.7323782
293,2.919997,0.0010,0.7617044
294,2.929996,0.0010,0.7396867
295,2.939996,0.0010,0.7574713
296,2.949997,0.0010,0.7528319
297,2.959996,0.0010,0.7590492
298,2.969996,0.0010,0.7353635
299,2.979997,0.0010,0.7592614
300,2.989996,0.0010,0.7331631
301,2.999996,0.0010,0.7503994
302,3.009997,0.0010,0.7408235
303,3.019996,0.0010,0.7548625
304,3.029996,0.0010,0.7291648
305,3.039997,0.0010,0.7516515
306,3.049996,0.0010,0.7324824
307,3.059996,0.0010,0.763916
308,3.069997,0.0010,0.7431886
309,3.079996,0.0010,0.7582254
310,3.089996,0.0010,0.7276561
311,3.099997,0.0010,0.7420447
312,3.109996,0.0010,0.7300003
313,3.119996,0.0010,0.7634065
314,3.129997,0.0010,0.7425947
315,3.139996,0.0010,0.7618937
316,3.149996,0.0010,0.7301049
317,3.159997,0.0010,0.7537453
318,3.169996,0.0010,0.7260621
319,3.179996,0.0010,0.7556896
320,3.189997,0.0010,0.7407105
321,3.199996,0.0010,0.7600152
322,3.209996,0.0010,0.7364109
323,3.219997,0.0010,0.7721417
324,3.229996,0.0010,0.7501435
325,3.239996,0.0010,0.7736969
326,3.249997,0.0010,0.7511883
327,3.259996,0.0010,0.7683027
328,3.269996,0.0010,0.7453351
329,3.279997,0.0010,0.7677071
330,3.289996,0.0010,0.7331219
331,3.299996,0.0010,0.7647943
332,3.309997,0.0010,0.7404358
333,3.319996,0.0010,0.7649195
334,3.329996,0.0010,0.736392
335,3.339997,0.0010,0.768631
336,3.349996,0.0010,0.7339537
337,3.359996,0.0010,0.754396
338,3.369997,0.0010,0.7436857
339,3.379996,0.0010,0.7607961
340,3.389996,0.0010,0.7368803
341,3.399997,0.0010,0.7478881
342,3.409996,0.0010,0.7262685
343,3.419996,0.0010,0.7615931
344,3.429997,0.0010,0.7332656
345,3.439996,0.0010,0.7517238
346,3.449996,0.0010,0.7364466
347,3.459997,0.0010,0.766381
348,3.469996,0.0010,0.7411768
349,3.479996,0.0010,0.7639599
350,3.489997,0.0010,0.7524874
351,3.499996,0.0010,0.7643077
352,3.509996,0.0010,0.7389863
353,3.519997,0.0010,0.7695913
354,3.529996,0.0010,0.7534862
355,3.539996,0.0010,0.7685034
356,3.549997,0.0010,0.7462006
357,3.559996,0.0010,0.7645986
358,3.569996,0.0010,0.7564704
359,3.579997,0.0010,0.7873898
360,3.589996,0.0010,0.7556188
361,3.599996,0.0010,0.7727568
362,3.609997,0.0010,0.7512267
363,3.619996,0.0010,0.778528
364,3.629996,0.0010,0.7443717
365,3.639997,0.0010,0.7653825
366,3.649996,0.0010,0.7413864
367,3.659996,0.0010,0.7792518
368,3.669997,0.0010,0.7523828
369,3.679996,0.0010,0.004396915
370,3.689996,0.0010,0.008490324
371,3.699997,0.0010,0.001181126
372,3.709996,0.0010,0.01634717
373,3.719996,0.0010,0.002619267
374,3.729997,0.0010,0.008481503
375,3.739996,0.0010,0.00992775
376,3.749996,0.0010,0.009154081
377,3.759997,0.0010,0.00599122
378,3.769996,0.0010,0.01290059
379,3.779996,0.0010,0.003337622
380,3.789997,0.0010,0.424335
381,3.799996,0.0010,0.001366377
382,3.809996,0.0010,5.0354E-4
383,3.819997,0.0010,0.005468607
384,3.829996,0.0010,0.005817175
385,3.839996,0.0010,0.05596089
386,3.849997,0.0010,0.0159514
387,3.859996,0.0010,0.005281925
388,3.869996,0.0010,0.004873037
389,3.879997,0.0010,0.002383709
390,3.889996,0.0010,0.001758099
391,3.899996,0.0010,0.004509926
392,3.909997,0.0010,9.999275E-4
393,3.919996,0.0010,0.006542921
394,3.929996,0.0010,0.005512476
395,3.939997,0.0010,0.001684904
396,3.949996,0.0010,0.009362221
397,3.959996,0.0010,0.01415753
398,3.969997,0.0010,0.004098892
399,3.979996,0.0010,0.002916574
400,3.989996,0.0010,0.02639604
401,3.999997,0.0010,0.009352446
402,4.009996,0.0010,0.002319574
403,4.019996,0.0010,0.00164032
404,4.029997,0.0010,0.004067898
405,4.039996,0.0010,0.005844116
406,4.049996,0.0010,0.001322508
407,4.059997,0.0010,0.001969337
408,4.069996,0.0010,0.5200896
409,4.079996,0.0010,0.002561569
410,4.089997,0.0010,0.04426599
411,4.099996,0.0010,0.004015207
412,4.109996,0.0010,8.058548E-4
413,4.119997,0.0010,0.00788188
414,4.129996,0.0010,0.005285978
415,4.139996,0.0010,0.005047798
416,4.149997,0.0010,0.005056858
417,4.159996,0.0010,0.003499985
418,4.169996,0.0010,9.195805E-4
419,4.179997,0.0010,0.004660368
420,4.189996,0.0010,0.001289129
421,4.199996,0.0010,0.001072407
422,4.209997,0.0010,0.00228858
423,4.219996,0.0010,0.2166581
424,4.229996,0.0010,0.003720999
425,4.239997,0.0010,8.366108E-4
426,4.249996,0.0010,0.005163908
427,4.259996,0.0010,0.0112536
428,4.269997,0.0010,0.01210356
429,4.279996,0.0010,0.005494595
430,4.289996,0.0010,0.00979352
431,4.299997,0.0010,0.004221439
432,4.309996,0.0010,0.006286144
433,4.319996,0.0010,0.01635122
434,4.329997,0.0010,0.002922297
435,4.339996,0.0010,0.2579839
436,4.349996,0.0010,8.571148E-4
437,4.359997,0.0010,0.001373768
438,4.369996,0.0010,0.01066709
439,4.379996,0.0010,0.01126432
440,4.389997,0.0010,8.285046E-4
441,4.399996,0.0010,0.001188517
442,4.409996,0.0010,0.001543522
443,4.419997,0.0010,0.004797697
444,4.429996,0.0010,0.003056526
445,4.439996,0.0010,0.00147295
446,4.449997,0.0010,0.001971006
447,4.459996,0.0010,0.001217842
448,4.469996,0.0010,0.00240159
449,4.479997,0.0010,0.001167297
450,4.489996,0.0010,0.001655579
451,4.499996,0.0010,9.72271E-4
452,4.509997,0.0010,0.002256155
453,4.519996,0.0010,0.001126051
454,4.529996,0.0010,0.005823851
455,4.539997,0.0010,0.001562357
456,4.549996,0.0010,0.003608942
457,4.559996,0.0010,0.002078295
458,4.569997,0.0010,0.005914688
459,4.579996,0.0010,0.008119106
460,4.589996,0.0010,0.01508045
461,4.599997,0.0010,0.001822948
462,4.609996,0.0010,9.236336E-4
463,4.619996,0.0010,0.4677789
464,4.629997,0.0010,0.003292084
465,4.639996,0.0010,0.001163244
466,4.649996,0.0010,0.01033545
467,4.659997,0.0010,0.01387382
468,4.669996,0.0010,0.004256487
469,4.679996,0.0010,0.00796628
470,4.689997,0.0010,6.165504E-4
471,4.699996,0.0010,0.01341891
472,4.709996,0.0010,8.277893E-4
473,4.719997,0.0010,6.196499E-4
474,4.729996,0.0010,0.002325058
475,4.739996,0.0010,0.00304985
476,4.749997,0.0010,0.001859665
477,4.759996,0.0010,0.00867486
478,4.769996,0.0010,0.003591776
479,4.779997,0.0010,0.02129364
480,4.789996,0.0010,0.002546072
481,4.799996,0.0010,0.002291918
482,4.809997,0.0010,0.003473997
483,4.819996,0.0010,0.003928185
484,4.829996,0.0010,0.001131535
485,4.839997,0.0010,0.009688854
486,4.849996,0.0010,0.004043579
487,4.859996,0.0010,0.01052976
488,4.869997,0.0010,0.006273985
489,4.879996,0.0010,0.003102779
490,4.889996,0.0010,0.06130385
491,4.899997,0.0010,0.03531313
492,4.909996,0.0010,8.08239E-4
493,4.919996,0.0010,0.001921415
494,4.929997,0.0010,8.571148E-4
495,4.939996,0.0010,6.425381E-4
496,4.949996,0.0010,4.751682E-4
497,4.959997,0.0010,0.002107382
498,4.969996,0.0010,0.005878925
499,4.979996,0.0010,0.02096057
500,4.989997,0.0010,0.00101614
501,4.999996,0.0010,0.001435518
502,5.009996,0.0010,0.001919746
503,5.019997,0.0010,7.33614E-4
504,5.029996,0.0010,0.003436565
505,5.039996,0.0010,0.001482725
506,5.049997,0.0010,0.005256653
507,5.059996,0.0010,0.007810354
508,5.069996,0.0010,0.007086277
509,5.079997,0.0010,0.003201962
510,5.089996,0.0010,0.002758265
511,5.099996,0.0010,0.00437355
512,5.109997,0.0010,0.006042242
513,5.119996,0.0010,0.005736113
514,5.129996,0.0010,0.01448178
515,5.139997,0.0010,0.00779891
516,5.149996,0.0010,0.002630711
517,5.159996,0.0010,0.001887321
518,5.169997,0.0010,0.2743003
519,5.179996,0.0010,0.001499653
520,5.189996,0.0010,6.465912E-4
521,5.199997,0.0010,0.003370762
522,5.209996,0.0010,0.002334118
523,5.219996,0.0010,7.717609E-4
524,5.229997,0.0010,0.09482098
525,5.239996,0.0010,0.002045631
526,5.249996,0.0010,0.01082802
527,5.259997,0.0010,0.001650095
528,5.269996,0.0010,6.742477E-4
529,5.279996,0.0010,0.003344059
530,5.289997,0.0010,0.002681017
531,5.299996,0.0010,6.253719E-4
532,5.309996,0.0010,4.191399E-4
533,5.319997,0.0010,4.808903E-4
534,5.329996,0.0010,0.002468109
535,5.339996,0.0010,0.002417803
536,5.349997,0.0010,0.01467991
537,5.359996,0.0010,0.01091647
538,5.369996,0.0010,0.01646829
539,5.379997,0.0010,0.006570339
540,5.389996,0.0010,0.008869886
541,5.399996,0.0010,0.004466057
542,5.409997,0.0010,0.006592274
543,5.419996,0.0010,0.001513481
544,5.429996,0.0010,7.090569E-4
545,5.439997,0.0010,0.002616882
546,5.449996,0.0010,0.4953842
547,5.459996,0.0010,8.018017E-4
548,5.469997,0.0010,5.92947E-4
549,5.479996,0.0010,0.003690958
550,5.489996,0.0010,9.667873E-4
551,5.499997,0.0010,0.00109911
552,5.509996,0.0010,0.002292633
553,5.519996,0.0010,0.005375385
554,5.529997,0.0010,0.001363993
555,5.539996,0.0010,0.00280118
556,5.549996,0.0010,6.263256E-4
557,5.559997,0.0010,0.001189232
558,5.569996,0.0010,5.335808E-4
559,5.579996,0.0010,0.002428293
560,5.589997,0.0010,0.2337797
561,5.599996,0.0010,0.001100779
562,5.609996,0.0010,0.003757715
563,5.619997,0.0010,9.162426E-4
564,5.629996,0.0010,0.006318569
565,5.639996,0.0010,0.001619101
566,5.649997,0.0010,0.001307011
567,5.659996,0.0010,0.02201748
568,5.669996,0.0010,0.005545139
569,5.679997,0.0010,0.003170967
570,5.689996,0.0010,0.006209612
571,5.699996,0.0010,0.007400036
572,5.709997,0.0010,5.548E-4
573,5.719996,0.0010,6.432533E-4
574,5.729996,0.0010,5.922318E-4
575,5.739997,0.0010,3.442764E-4
576,5.749996,0.0010,0.001605272
577,5.759996,0.0010,0.001194954
578,5.769997,0.0010,0.001297474
579,5.779996,0.0010,0.00179863
580,5.789996,0.0010,0.004528761
581,5.799997,0.0010,0.00842452
582,5.809996,0.0010,0.003382206
583,5.819996,0.0010,0.00473094
584,5.829997,0.0010,0.001713276
585,5.839996,0.0010,5.717278E-4
586,5.849996,0.0010,4.279613E-4
587,5.859997,0.0010,5.264282E-4
588,5.869996,0.0010,0.1463661
589,5.879996,0.0010,0.001142263
590,5.889997,0.0010,6.23703E-4
591,5.899996,0.0010,9.229183E-4
592,5.909996,0.0010,0.001709223
593,5.919997,0.0010,3.590584E-4
594,5.929996,0.0010,0.004770041
595,5.939996,0.0010,0.003457069
596,5.949997,0.0010,0.001496315
597,5.959996,0.0010,0.001182079
598,5.969996,0.0010,0.001167297
599,5.979997,0.0010,0.006797075
600,5.989996,0.0010,0.001664639
601,5.999996,0.0010,0.0020051
602,6.009997,0.0010,0.2496901
603,6.019996,0.0010,0.001358271
604,6.029996,0.0010,0.004918575
605,6.039997,0.0010,0.01894307
606,6.049996,0.0010,0.01051259
607,6.059996,0.0010,0.003730059
608,6.069997,0.0010,0.01021934
609,6.079996,0.0010,0.003287077
610,6.089996,0.0010,0.007053137
611,6.099997,0.0010,0.001903534
612,6.109996,0.0010,0.001348495
613,6.119996,0.0010,4.08411E-4
614,6.129997,0.0010,3.004074E-4
615,6.139996,0.0010,0.001026869
616,6.149996,0.0010,4.377365E-4
617,6.159997,0.0010,0.001116276
618,6.169996,0.0010,0.002109766
619,6.179996,0.0010,4.508495E-4
620,6.189997,0.0010,0.001008034
621,6.199996,0.0010,0.009618998
622,6.209996,0.0010,0.01030874
623,6.219997,0.0010,0.0631988
624,6.229996,0.0010,0.003936291
625,6.239996,0.0010,0.0015347
626,6.249997,0.0010,0.004503489
627,6.259996,0.0010,0.001960278
628,6.269996,0.0010,0.006311178
629,6.279997,0.0010,0.009952068
630,6.289996,0.0010,0.003852606
631,6.299996,0.0010,0.003578901
632,6.309997,0.0010,0.01324677
633,6.319996,0.0010,0.006629705
634,6.329996,0.0010,0.009117603
635,6.339997,0.0010,0.009037256
636,6.349996,0.0010,0.002850056
637,6.359996,0.0010,0.006221771
638,6.369997,0.0010,0.01212215
639,6.379996,0.0010,0.004409313
640,6.389996,0.0010,0.01864481
641,6.399997,0.0010,0.001241207
642,6.409996,0.0010,5.784035E-4
643,6.419996,0.0010,0.00232935
644,6.429997,0.0010,8.642673E-4
645,6.439996,0.0010,0.001250982
646,6.449996,0.0010,4.117489E-4
647,6.459997,0.0010,0.002447844
648,6.469996,0.0010,7.734299E-4
649,6.479996,0.0010,0.007482052
650,6.489997,0.0010,0.00425005
651,6.499996,0.0010,0.003894091
652,6.509996,0.0010,0.004899979
653,6.519997,0.0010,6.172657E-4
654,6.529996,0.0010,0.003998995
655,6.539996,0.0010,0.005818129
656,6.549997,0.0010,0.001126766
657,6.559996,0.0010,0.009515762
658,6.569996,0.0010,0.002637148
659,6.579997,0.0010,0.0043962
660,6.589996,0.0010,0.009348392
661,6.599996,0.0010,0.009076118
662,6.609997,0.0010,0.01180935
663,6.619996,0.0010,0.006869555
664,6.629996,0.0010,0.002878428
665,6.639997,0.0010,9.860992E-4
666,6.649996,0.0010,0.02370501
667,6.659996,0.0010,0.001883984
668,6.669997,0.0010,7.116795E-4
669,6.679996,0.0010,4.279613E-4
670,6.689996,0.0010,4.417896E-4
671,6.699997,0.0010,4.181862E-4
672,6.709996,0.0010,7.457733E-4
673,6.719996,0.0010,0.002189398
674,6.729997,0.0010,0.001394987
675,6.739996,0.0010,0.002046585
676,6.749996,0.0010,0.009912968
677,6.759997,0.0010,0.01399589
678,6.769996,0.0010,0.001225948
679,6.779996,0.0010,0.005085945
680,6.789997,0.0010,0.006069899
681,6.799996,0.0010,0.001658916
682,6.809996,0.0010,0.003660202
683,6.819997,0.0010,0.003702402
684,6.829996,0.0010,0.005732775
685,6.839996,0.0010,0.002957344
686,6.849997,0.0010,0.003880262
687,6.859996,0.0010,0.01268125
688,6.869996,0.0010,0.008027315
689,6.879997,0.0010,0.001768589
690,6.889996,0.0010,0.01004052
691,6.899996,0.0010,0.03675938
692,6.909997,0.0010,0.002590895
693,6.919996,0.0010,0.00245595
694,6.929996,0.0010,4.255772E-4
695,6.939997,0.0010,4.191399E-4
696,6.949996,0.0010,5.636215E-4
697,6.959996,0.0010,0.001050472
698,6.969997,0.0010,7.734299E-4
699,6.979996,0.0010,0.005062342
700,6.989996,0.0010,0.001084566
701,6.999997,0.0010,0.003179073
702,7.009996,0.0010,8.537769E-4
703,7.019996,0.0010,7.238388E-4
704,7.029997,0.0010,0.005498886
705,7.039996,0.0010,0.001671076
706,7.049996,0.0010,3.833771E-4
707,7.059997,0.0010,0.002675295
708,7.069996,0.0010,0.001784801
709,7.079996,0.0010,0.007326841
710,7.089997,0.0010,0.001158476
711,7.099996,0.0010,0.001108885
712,7.109996,0.0010,0.003426075
713,7.119997,0.0010,0.05639482
714,7.129996,0.0010,0.003528357
715,7.139996,0.0010,0.003795862
716,7.149997,0.0010,0.01056147
717,7.159996,0.0010,0.002497435
718,7.169996,0.0010,0.0106411
719,7.179997,0.0010,0.004641533
720,7.189996,0.0010,0.002795696
721,7.199996,0.0010,7.667542E-4
722,7.209997,0.0010,0.001781702
723,7.219996,0.0010,0.001302958
724,7.229996,0.0010,4.589558E-4
725,7.239997,0.0010,6.945133E-4
726,7.249996,0.0010,5.028248E-4
727,7.259996,0.0010,0.001368761
728,7.269997,0.0010,0.001905918
729,7.279996,0.0010,0.001362324
