[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,1.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,5 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 8:07 AM 0.77444 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,-4.265308E-4
2,0.004997,0.001001001,0.007347584
3,0.009996,0.002002002,0.0155499
4,0.014996,0.003003003,0.02386355
5,0.019997,0.004004004,0.03189945
6,0.024996,0.005005005,0.04007268
7,0.029997,0.006006006,0.04773235
8,0.034996,0.007007007,0.05637932
9,0.039996,0.008008008,0.06442094
10,0.044997,0.009009009,0.07251287
11,0.049996,0.01001001,0.0804894
12,0.054996,0.01101101,0.08881354
13,0.059997,0.01201201,0.09670806
14,0.064996,0.01301301,0.1048901
15,0.069997,0.01401401,0.1125288
16,0.074996,0.01501502,0.120728
17,0.079996,0.01601602,0.1286924
18,0.084997,0.01701702,0.1366403
19,0.089996,0.01801802,0.1441302
20,0.094996,0.01901902,0.1521873
21,0.099997,0.02002002,0.1598744
22,0.104996,0.02102102,0.167397
23,0.109997,0.02202202,0.1750541
24,0.114996,0.02302302,0.1829331
25,0.119996,0.02402402,0.1898794
26,0.124997,0.02502503,0.1974165
27,0.129996,0.02602603,0.2043734
28,0.134996,0.02702703,0.2116916
29,0.139997,0.02802803,0.2189264
30,0.144996,0.02902903,0.2260206
31,0.149997,0.03003003,0.2319162
32,0.154996,0.03103103,0.2389526
33,0.159996,0.03203203,0.2459095
34,0.164997,0.03303303,0.252413
35,0.169996,0.03403403,0.258415
36,0.174996,0.03503504,0.2645147
37,0.179997,0.03603604,0.2714553
38,0.184996,0.03703704,0.280107
39,0.189997,0.03803804,0.2865341
40,0.194997,0.03903904,0.2935519
41,0.199996,0.04004004,0.2986634
42,0.204997,0.04104104,0.3008296
43,0.209996,0.04204204,0.3054488
44,0.214996,0.04304304,0.3109546
45,0.219997,0.04404404,0.3165789
46,0.224996,0.04504504,0.3227134
47,0.229997,0.04604604,0.3296914
48,0.234996,0.04704705,0.3371439
49,0.239996,0.04804805,0.3444769
50,0.244997,0.04904905,0.3370275
51,0.249996,0.05005005,0.3348191
52,0.254996,0.05105105,0.3309166
53,0.259997,0.05205205,0.3367555
54,0.264996,0.05305305,0.3419611
55,0.269997,0.05405406,0.3472672
56,0.274996,0.05505506,0.3538704
57,0.279996,0.05605606,0.3596759
58,0.284997,0.05705706,0.3661356
59,0.289996,0.05805806,0.3706865
60,0.294996,0.05905906,0.3759012
61,0.299997,0.06006006,0.3782487
62,0.304996,0.06106106,0.3696895
63,0.309997,0.06206206,0.370338
64,0.314996,0.06306306,0.3726552
65,0.319996,0.06406406,0.3768396
66,0.324997,0.06506506,0.3808568
67,0.329996,0.06606606,0.3855214
68,0.334996,0.06706706,0.3904617
69,0.339997,0.06806806,0.3944316
70,0.344996,0.06906907,0.3985722
71,0.349997,0.07007007,0.4023983
72,0.354996,0.07107107,0.4056249
73,0.359996,0.07207207,0.4087791
74,0.364997,0.07307307,0.4116092
75,0.369996,0.07407407,0.4138436
76,0.374996,0.07507508,0.4173911
77,0.379997,0.07607608,0.4193411
78,0.384996,0.07707708,0.4216211
79,0.389997,0.07807808,0.4245152
80,0.394996,0.07907908,0.42606
81,0.399996,0.08008008,0.4230235
82,0.404997,0.08108108,0.4263461
83,0.409996,0.08208209,0.4286504
84,0.414996,0.08308309,0.4314218
85,0.419997,0.08408409,0.4336255
86,0.424996,0.08508509,0.4366691
87,0.429997,0.08608609,0.4394131
88,0.434996,0.08708709,0.4428306
89,0.439996,0.08808809,0.4448602
90,0.444997,0.08908909,0.4474382
91,0.449996,0.09009009,0.4502773
92,0.454996,0.09109109,0.4538581
93,0.459997,0.09209209,0.456367
94,0.464996,0.09309309,0.4597254
95,0.469997,0.0940941,0.4627512
96,0.474996,0.0950951,0.4656875
97,0.479996,0.0960961,0.46894
98,0.484997,0.0970971,0.47822
99,0.489996,0.0980981,0.4741988
100,0.494996,0.0990991,0.4675272
101,0.499997,0.1001001,0.4720254
102,0.504996,0.1011011,0.4828627
103,0.509997,0.1021021,0.4675734
104,0.514996,0.1031031,0.4709105
105,0.519996,0.1041041,0.4692733
106,0.524997,0.1051051,0.4430857
107,0.529996,0.1061061,0.4365244
108,0.534996,0.1071071,0.4367251
109,0.539997,0.1081081,0.4367576
110,0.544996,0.1091091,0.4397705
111,0.549997,0.1101101,0.442122
112,0.554996,0.1111111,0.4459181
113,0.559996,0.1121121,0.4491446
114,0.564997,0.1131131,0.4510329
115,0.569996,0.1141141,0.451731
116,0.574996,0.1151151,0.4522274
117,0.579997,0.1161161,0.4531212
118,0.584996,0.1171171,0.4535046
119,0.589997,0.1181181,0.4552636
120,0.594996,0.1191191,0.4566295
121,0.599996,0.1201201,0.4454241
122,0.604997,0.1211211,0.4428849
123,0.609996,0.1221221,0.4439161
124,0.614996,0.1231231,0.4464836
125,0.619997,0.1241241,0.4484873
126,0.624996,0.1251251,0.4509556
127,0.629997,0.1261261,0.4538264
128,0.634996,0.1271271,0.4571195
129,0.639996,0.1281281,0.4597456
130,0.644997,0.1291291,0.462934
131,0.649996,0.1301301,0.4666309
132,0.654996,0.1311311,0.470098
133,0.659997,0.1321321,0.471905
134,0.664996,0.1331331,0.4746537
135,0.669997,0.1341341,0.4774473
136,0.674996,0.1351351,0.4796288
137,0.679996,0.1361361,0.4814644
138,0.684997,0.1371371,0.4840059
139,0.689996,0.1381381,0.4852467
140,0.694996,0.1391391,0.4877095
141,0.699997,0.1401401,0.4901218
142,0.704996,0.1411411,0.4926505
143,0.709997,0.1421421,0.5116327
144,0.714996,0.1431431,0.4668593
145,0.719996,0.1441441,0.4657793
146,0.724997,0.1451451,0.4667592
147,0.729996,0.1461461,0.4687979
148,0.734996,0.1471471,0.4720967
149,0.739997,0.1481481,0.4755208
150,0.744996,0.1491491,0.4780958
151,0.749997,0.1501502,0.4810703
152,0.754997,0.1511512,0.4856536
153,0.759996,0.1521522,0.4884675
154,0.764997,0.1531532,0.4897547
155,0.769996,0.1541542,0.4908767
156,0.774996,0.1551552,0.4931867
157,0.779997,0.1561562,0.4948125
158,0.784996,0.1571572,0.4965172
159,0.789997,0.1581582,0.4988418
160,0.794996,0.1591592,0.5004199
161,0.799996,0.1601602,0.5019627
162,0.804997,0.1611612,0.5037332
163,0.809996,0.1621622,0.5058117
164,0.814996,0.1631632,0.5082233
165,0.819997,0.1641642,0.5104227
166,0.824996,0.1651652,0.5128441
167,0.829997,0.1661662,0.5533249
168,0.834996,0.1671672,0.5036187
169,0.839996,0.1681682,0.5031328
170,0.844997,0.1691692,0.5056508
171,0.849996,0.1701702,0.5068483
172,0.854996,0.1711712,0.5083411
173,0.859997,0.1721722,0.5108647
174,0.864996,0.1731732,0.5130951
175,0.869997,0.1741742,0.5155408
176,0.874996,0.1751752,0.5185041
177,0.879996,0.1761762,0.558326
178,0.884997,0.1771772,0.5082371
179,0.889996,0.1781782,0.5062244
180,0.894996,0.1791792,0.507405
181,0.899997,0.1801802,0.5091674
182,0.904996,0.1811812,0.5116327
183,0.909997,0.1821822,0.5131919
184,0.914996,0.1831832,0.5179913
185,0.919996,0.1841842,0.5227699
186,0.924997,0.1851852,0.5520322
187,0.929996,0.1861862,0.5099173
188,0.934996,0.1871872,0.5083897
189,0.939997,0.1881882,0.5080519
190,0.944996,0.1891892,0.5091276
191,0.949997,0.1901902,0.5105186
192,0.954996,0.1911912,0.5133803
193,0.959996,0.1921922,0.5146909
194,0.964997,0.1931932,0.5160902
195,0.969996,0.1941942,0.5172462
196,0.974996,0.1951952,0.5193515
197,0.979997,0.1961962,0.5217981
198,0.984996,0.1971972,0.5259867
199,0.989997,0.1981982,0.5274289
200,0.994996,0.1991992,0.5284729
201,0.999996,0.2002002,0.5254285
202,1.004997,0.2012012,0.5246916
203,1.009996,0.2022022,0.5233817
204,1.014996,0.2032032,0.5226741
205,1.019997,0.2042042,0.5234442
206,1.024996,0.2052052,0.5254748
207,1.029997,0.2062062,0.5251782
208,1.034996,0.2072072,0.5267115
209,1.039996,0.2082082,0.5271819
210,1.044997,0.2092092,0.5285299
211,1.049996,0.2102102,0.5284266
212,1.054996,0.2112112,0.5285437
213,1.059997,0.2122122,0.5291686
214,1.064996,0.2132132,0.530246
215,1.069997,0.2142142,0.5314744
216,1.074996,0.2152152,0.5332417
217,1.079996,0.2162162,0.5324185
218,1.084997,0.2172172,0.5343354
219,1.089996,0.2182182,0.534497
220,1.094996,0.2192192,0.5341232
221,1.099997,0.2202202,0.5338349
222,1.104996,0.2212212,0.5345206
223,1.109997,0.2222222,0.5347896
224,1.114997,0.2232232,0.5332019
225,1.119996,0.2242242,0.5327241
226,1.124997,0.2252252,0.5337601
227,1.129996,0.2262262,0.5354769
228,1.134996,0.2272272,0.2674105
229,1.139997,0.2282282,0.2194839
230,1.144996,0.2292292,0.160228
231,1.149997,0.2302302,0.1466856
232,1.154996,0.2312312,0.1944101
233,1.159996,0.2322322,0.07432461
234,1.164997,0.2332332,0.1505532
235,1.169996,0.2342342,0.1679201
236,1.174996,0.2352352,0.251013
237,1.179997,0.2362362,0.1423044
238,1.184996,0.2372372,0.2873986
239,1.189997,0.2382382,0.4874008
240,1.194996,0.2392392,0.2976372
241,1.199996,0.2402402,0.2249911
242,1.204997,0.2412412,0.3230312
243,1.209996,0.2422422,0.3177683
244,1.214996,0.2432432,0.3247211
245,1.219997,0.2442442,0.4221201
246,1.224996,0.2452452,0.4164453
247,1.229997,0.2462462,0.5258777
248,1.234996,0.2472472,0.3620696
249,1.239996,0.2482482,0.4677498
250,1.244997,0.2492492,0.2196853
251,1.249996,0.2502503,0.3491392
252,1.254996,0.2512513,0.4422431
253,1.259997,0.2522523,9.91E37
254,1.264996,0.2532533,0.4117539
255,1.269997,0.2542543,0.3937247
256,1.274996,0.2552553,0.4331038
257,1.279996,0.2562563,0.3873529
258,1.284997,0.2572573,0.4893572
259,1.289996,0.2582583,0.3937223
260,1.294996,0.2592593,0.4521687
261,1.299997,0.2602603,0.6126034
262,1.304996,0.2612613,0.5876842
263,1.309997,0.2622623,0.4407365
264,1.314996,0.2632633,0.5609269
265,1.319996,0.2642643,0.4162121
266,1.324997,0.2652653,0.4316998
267,1.329996,0.2662663,0.5597274
268,1.334996,0.2672673,0.4917736
269,1.339997,0.2682683,0.4422276
270,1.344996,0.2692693,0.5209708
271,1.349997,0.2702703,0.4663205
272,1.354996,0.2712713,0.4055786
273,1.359996,0.2722723,0.3344812
274,1.364997,0.2732733,0.456255
275,1.369996,0.2742743,0.5285859
276,1.374996,0.2752753,0.4296968
277,1.379997,0.2762763,0.3724432
278,1.384996,0.2772773,0.481271
279,1.389997,0.2782783,0.3865802
280,1.394996,0.2792793,0.3842108
281,1.399996,0.2802803,0.4586642
282,1.404997,0.2812813,0.4749911
283,1.409996,0.2822823,0.448961
284,1.414996,0.2832833,0.5060034
285,1.419997,0.2842843,0.6183228
286,1.424996,0.2852853,0.6170454
287,1.429997,0.2862863,0.2371612
288,1.434996,0.2872873,0.320101
289,1.439996,0.2882883,0.3384161
290,1.444997,0.2892893,0.2539876
291,1.449996,0.2902903,0.2829077
292,1.454996,0.2912913,0.2378826
293,1.459997,0.2922923,0.2951591
294,1.464996,0.2932933,0.4349418
295,1.469997,0.2942943,0.3695529
296,1.474997,0.2952953,0.4802587
297,1.479996,0.2962963,0.2922444
298,1.484997,0.2972973,0.369874
299,1.489996,0.2982983,0.454833
300,1.494996,0.2992993,0.4048808
301,1.499997,0.3003003,0.5026639
302,1.504996,0.3013013,0.3926148
303,1.509997,0.3023023,0.4247088
304,1.514996,0.3033033,0.4080486
305,1.519996,0.3043043,0.3484688
306,1.524997,0.3053053,0.3737953
307,1.529996,0.3063063,0.4791462
308,1.534996,0.3073073,9.91E37
309,1.539997,0.3083083,0.5077081
310,1.544996,0.3093093,0.5981834
311,1.549997,0.3103103,0.6900289
312,1.554996,0.3113113,0.5923569
313,1.559996,0.3123123,0.5800903
314,1.564997,0.3133133,0.5085368
315,1.569996,0.3143143,0.3777726
316,1.574996,0.3153153,0.2061648
317,1.579997,0.3163163,0.3018055
318,1.584996,0.3173173,0.5378933
319,1.589997,0.3183183,0.6031001
320,1.594996,0.3193193,0.5690269
321,1.599996,0.3203203,0.2488711
322,1.604997,0.3213213,0.3500581
323,1.609996,0.3223223,0.4366229
324,1.614996,0.3233233,0.4973459
325,1.619997,0.3243243,0.1961961
326,1.624996,0.3253253,0.4304996
327,1.629997,0.3263263,0.5553195
328,1.634996,0.3273273,0.5824091
329,1.639996,0.3283283,0.5544949
330,1.644997,0.3293293,0.5022535
331,1.649996,0.3303303,0.5231404
332,1.654996,0.3313313,0.4617085
333,1.659997,0.3323323,0.1730871
334,1.664996,0.3333333,0.5674076
335,1.669997,0.3343343,0.5479379
336,1.674996,0.3353353,0.5357573
337,1.679996,0.3363363,0.5109241
338,1.684997,0.3373373,0.4384828
339,1.689996,0.3383383,0.5621579
340,1.694996,0.3393393,0.4825556
341,1.699997,0.3403403,0.4559975
342,1.704996,0.3413413,0.4926674
343,1.709997,0.3423423,0.4679382
344,1.714996,0.3433433,0.4930258
345,1.719996,0.3443443,0.3221991
346,1.724997,0.3453453,0.3630373
347,1.729996,0.3463463,0.2279372
348,1.734996,0.3473473,0.3274829
349,1.739997,0.3483483,0.3287601
350,1.744996,0.3493493,0.4210427
351,1.749997,0.3503504,0.1265278
352,1.754996,0.3513514,0.429913
353,1.759996,0.3523524,0.2220335
354,1.764997,0.3533534,0.3013918
355,1.769996,0.3543544,9.91E37
356,1.774996,0.3553554,0.332376
357,1.779997,0.3563564,0.2775493
358,1.784996,0.3573574,0.3541899
359,1.789997,0.3583584,0.3763587
360,1.794997,0.3593594,0.3403313
361,1.799996,0.3603604,0.1913249
362,1.804997,0.3613614,0.3197777
363,1.809996,0.3623624,0.6587491
364,1.814996,0.3633634,0.261271
365,1.819997,0.3643644,0.2916677
366,1.824996,0.3653654,0.3119142
367,1.829997,0.3663664,0.4085891
368,1.834996,0.3673674,0.4838834
369,1.839996,0.3683684,0.5142391
370,1.844997,0.3693694,0.5403886
371,1.849996,0.3703704,0.2915473
372,1.854996,0.3713714,0.3756623
373,1.859997,0.3723724,0.4147024
374,1.864996,0.3733734,0.66431
375,1.869997,0.3743744,0.6590977
376,1.874996,0.3753754,0.4216349
377,1.879996,0.3763764,0.3559635
378,1.884997,0.3773774,0.3493698
379,1.889996,0.3783784,0.5507257
380,1.894996,0.3793794,0.3903975
381,1.899997,0.3803804,0.5769262
382,1.904996,0.3813814,0.5138044
383,1.909997,0.3823824,0.5546095
384,1.914996,0.3833834,0.63603
385,1.919996,0.3843844,0.5553586
386,1.924997,0.3853854,0.5677593
387,1.929996,0.3863864,0.4892776
388,1.934996,0.3873874,0.2703633
389,1.939997,0.3883884,0.5423932
390,1.944996,0.3893894,0.4603193
391,1.949997,0.3903904,0.5878994
392,1.954996,0.3913914,0.4494598
393,1.959996,0.3923924,0.5153549
394,1.964997,0.3933934,0.5048301
395,1.969996,0.3943944,0.5108631
396,1.974996,0.3953954,0.4901404
397,1.979997,0.3963964,0.478797
398,1.984996,0.3973974,0.4999087
399,1.989997,0.3983984,0.4652593
400,1.994996,0.3993994,0.4552174
401,1.999996,0.4004004,0.3715923
402,2.004997,0.4014014,0.3792236
403,2.009996,0.4024024,0.3450098
404,2.014996,0.4034034,0.4528611
405,2.019997,0.4044044,0.3385446
406,2.024996,0.4054054,0.3485451
407,2.029997,0.4064064,0.5117593
408,2.034996,0.4074074,0.3895533
409,2.039996,0.4084084,9.91E37
410,2.044997,0.4094094,9.91E37
411,2.049996,0.4104104,0.5042443
412,2.054996,0.4114114,0.4154248
413,2.059997,0.4124124,0.35776
414,2.064996,0.4134134,0.4120593
415,2.069997,0.4144144,0.3022435
416,2.074996,0.4154154,0.2729812
417,2.079996,0.4164164,1.524136
418,2.084997,0.4174174,9.91E37
419,2.089996,0.4184184,0.2842338
420,2.094996,0.4194194,0.260613
421,2.099997,0.4204204,0.3169396
422,2.104996,0.4214214,0.5294504
423,2.109997,0.4224224,0.3686664
424,2.114996,0.4234234,0.4698153
425,2.119996,0.4244244,0.5885909
426,2.124997,0.4254254,0.2230167
427,2.129996,0.4264264,0.3738105
428,2.134996,0.4274274,0.2923851
429,2.139997,0.4284284,0.6598451
430,2.144996,0.4294294,0.6299174
431,2.149997,0.4304304,1.097204
432,2.154996,0.4314314,0.3187475
433,2.159996,0.4324324,0.3110609
434,2.164997,0.4334334,0.3164895
435,2.169996,0.4344344,0.4607151
436,2.174996,0.4354354,0.5011909
437,2.179997,0.4364364,0.5359547
438,2.184996,0.4374374,0.6427357
439,2.189997,0.4384384,0.5779014
440,2.194996,0.4394394,0.6229639
441,2.199996,0.4404404,0.5501275
442,2.204997,0.4414414,0.3582523
443,2.209996,0.4424424,0.4556026
444,2.214996,0.4434434,0.5161705
445,2.219997,0.4444444,0.4898975
446,2.224996,0.4454454,0.4597764
447,2.229997,0.4464464,0.4895408
448,2.234996,0.4474474,0.4639122
449,2.239996,0.4484484,0.489042
450,2.244997,0.4494494,0.6000125
451,2.249996,0.4504505,0.5583014
452,2.254996,0.4514515,0.5377576
453,2.259997,0.4524525,0.6177995
454,2.264996,0.4534535,0.5772431
455,2.269997,0.4544545,0.523428
456,2.274996,0.4554555,0.6708379
457,2.279996,0.4564565,0.4442289
458,2.284997,0.4574575,0.3615415
459,2.289996,0.4584585,0.4606109
460,2.294996,0.4594595,0.485817
461,2.299997,0.4604605,0.2933495
462,2.304996,0.4614615,0.5309122
463,2.309997,0.4624625,0.3288512
464,2.314996,0.4634635,0.2789662
465,2.319996,0.4644645,0.3577869
466,2.324997,0.4654655,0.5629566
467,2.329996,0.4664665,0.4537232
468,2.334996,0.4674675,0.4963961
469,2.339997,0.4684685,0.5160389
470,2.344996,0.4694695,0.2227843
471,2.349997,0.4704705,0.1988189
472,2.354996,0.4714715,0.2860475
473,2.359996,0.4724725,9.91E37
474,2.364997,0.4734735,0.2089412
475,2.369996,0.4744745,0.2547848
476,2.374996,0.4754755,0.3547423
477,2.379997,0.4764765,0.530983
478,2.384996,0.4774775,0.5498936
479,2.389997,0.4784785,0.6555047
480,2.394996,0.4794795,0.5193565
481,2.399996,0.4804805,0.3578696
482,2.404997,0.4814815,0.453975
483,2.409996,0.4824825,0.481514
484,2.414996,0.4834835,0.6516833
485,2.419997,0.4844845,0.5162444
486,2.424996,0.4854855,0.2881982
487,2.429997,0.4864865,0.5564685
488,2.434996,0.4874875,0.6094809
489,2.439996,0.4884885,0.4892972
490,2.444997,0.4894895,0.2727487
491,2.449996,0.4904905,0.5515161
492,2.454996,0.4914915,0.6186519
493,2.459997,0.4924925,0.5530949
494,2.464996,0.4934935,0.6255186
495,2.469997,0.4944945,0.5198441
496,2.474997,0.4954955,0.5779979
497,2.479996,0.4964965,0.5407152
498,2.484997,0.4974975,0.4369771
499,2.489996,0.4984985,0.4384899
500,2.494996,0.4994995,0.4245665
501,2.499997,0.5005005,0.5443001
502,2.504996,0.5015015,0.5746088
503,2.509997,0.5025025,0.4541821
504,2.514996,0.5035035,0.5258234
505,2.519996,0.5045045,0.631974
506,2.524997,0.5055055,0.5865498
507,2.529996,0.5065065,0.4866946
508,2.534996,0.5075075,0.4611278
509,2.539997,0.5085085,0.4692423
510,2.544996,0.5095095,0.4491341
511,2.549997,0.5105105,0.3754885
512,2.554996,0.5115115,0.4673176
513,2.559996,0.5125125,0.4092009
514,2.564997,0.5135135,0.3714113
515,2.569996,0.5145145,0.3303673
516,2.574996,0.5155155,0.4747171
517,2.579997,0.5165165,0.480335
518,2.584996,0.5175175,0.2843542
519,2.589997,0.5185185,0.3689899
520,2.594996,0.5195195,0.403111
521,2.599996,0.5205205,0.6631522
522,2.604997,0.5215215,0.6211438
523,2.609996,0.5225225,0.5389302
524,2.614996,0.5235235,0.6710377
525,2.619997,0.5245245,0.3945763
526,2.624996,0.5255255,0.2390606
527,2.629997,0.5265265,0.3537972
528,2.634996,0.5275275,9.91E37
529,2.639996,0.5285285,0.2748458
530,2.644997,0.5295295,0.339011
531,2.649996,0.5305305,0.390296
532,2.654996,0.5315315,9.91E37
533,2.659997,0.5325325,0.6066859
534,2.664996,0.5335335,0.5779297
535,2.669997,0.5345345,0.5413246
536,2.674996,0.5355355,0.3388095
537,2.679996,0.5365365,0.4607182
538,2.684997,0.5375375,0.6519492
539,2.689996,0.5385385,0.651334
540,2.694996,0.5395395,0.6348259
541,2.699997,0.5405405,0.6670775
542,2.704996,0.5415415,0.4201181
543,2.709997,0.5425425,0.453429
544,2.714996,0.5435435,0.4695179
545,2.719996,0.5445445,0.6360056
546,2.724997,0.5455455,0.4705157
547,2.729996,0.5465465,0.6682346
548,2.734996,0.5475475,0.6430869
549,2.739997,0.5485485,0.6199203
550,2.744996,0.5495495,0.5986052
551,2.749997,0.5505506,0.5742879
552,2.754996,0.5515516,0.6132429
553,2.759996,0.5525526,0.2716918
554,2.764997,0.5535536,0.5014646
555,2.769996,0.5545546,0.5497661
556,2.774996,0.5555556,0.9227107
557,2.779997,0.5565566,0.3980994
558,2.784996,0.5575576,0.586025
559,2.789997,0.5585586,0.410171
560,2.794996,0.5595596,0.4598243
561,2.799996,0.5605606,0.5008967
562,2.804997,0.5615616,0.6457894
563,2.809996,0.5625626,0.5655923
564,2.814996,0.5635636,0.3852477
565,2.819997,0.5645646,0.4966903
566,2.824996,0.5655656,0.5493045
567,2.829997,0.5665666,0.458456
568,2.834996,0.5675676,0.4837947
569,2.839996,0.5685686,0.5635278
570,2.844997,0.5695696,0.5352559
571,2.849996,0.5705706,0.3421221
572,2.854996,0.5715716,0.5642679
573,2.859997,0.5725726,0.340498
574,2.864996,0.5735736,0.3606169
575,2.869997,0.5745746,0.5075991
576,2.874996,0.5755756,0.6317415
577,2.879996,0.5765766,0.6855721
578,2.884997,0.5775776,0.544292
579,2.889996,0.5785786,0.3765032
580,2.894996,0.5795796,0.3792205
581,2.899997,0.5805806,0.3397651
582,2.904996,0.5815816,0.3378613
583,2.909997,0.5825826,0.480638
584,2.914996,0.5835836,0.4143319
585,2.919996,0.5845846,0.3529327
586,2.924997,0.5855856,0.3905909
587,2.929996,0.5865866,9.91E37
588,2.934996,0.5875876,0.5734341
589,2.939997,0.5885886,0.5586128
590,2.944996,0.5895896,0.3714623
591,2.949997,0.5905906,0.3843296
592,2.954996,0.5915916,0.5279009
593,2.959996,0.5925926,0.5947237
594,2.964997,0.5935936,0.7235699
595,2.969996,0.5945946,0.7033501
596,2.974996,0.5955956,0.3773484
597,2.979997,0.5965966,0.5144081
598,2.984996,0.5975976,0.6381314
599,2.989997,0.5985986,0.4822965
600,2.994996,0.5995996,0.338335
601,2.999996,0.6006006,0.681226
602,3.004997,0.6016016,0.6445584
603,3.009996,0.6026026,0.5380559
604,3.014996,0.6036036,0.6729114
605,3.019997,0.6046046,0.6354556
606,3.024996,0.6056056,0.4703035
607,3.029997,0.6066066,0.4638083
608,3.034996,0.6076076,0.5015175
609,3.039996,0.6086086,0.4347515
610,3.044997,0.6096096,0.6089683
611,3.049996,0.6106106,0.6292503
612,3.054996,0.6116116,0.4921653
613,3.059997,0.6126126,0.5623162
614,3.064996,0.6136136,0.6442032
615,3.069997,0.6146146,0.6391656
616,3.074996,0.6156156,0.6978014
617,3.079996,0.6166166,0.5520775
618,3.084997,0.6176176,0.6711564
619,3.089996,0.6186186,0.4159188
620,3.094996,0.6196196,0.5367558
621,3.099997,0.6206206,0.4911757
622,3.104996,0.6216216,0.5278604
623,3.109997,0.6226226,0.3901081
624,3.114996,0.6236236,0.5867798
625,3.119996,0.6246246,0.328011
626,3.124997,0.6256256,0.3809454
627,3.129996,0.6266266,0.4391685
628,3.134996,0.6276276,0.2613931
629,3.139997,0.6286286,0.4344265
630,3.144996,0.6296296,0.5095103
631,3.149997,0.6306306,0.6299555
632,3.154997,0.6316316,0.6753578
633,3.159996,0.6326326,0.5897837
634,3.164997,0.6336336,0.3789499
635,3.169996,0.6346346,0.3337953
636,3.174996,0.6356356,0.3208315
637,3.179997,0.6366366,0.3656592
638,3.184996,0.6376376,0.3389492
639,3.189997,0.6386386,0.2635615
640,3.194996,0.6396396,0.4054835
641,3.199996,0.6406406,0.3732524
642,3.204997,0.6416416,0.4050333
643,3.209996,0.6426426,0.3162847
644,3.214996,0.6436436,0.4817657
645,3.219997,0.6446446,0.5728369
646,3.224996,0.6456456,0.447032
647,3.229997,0.6466466,0.3285863
648,3.234996,0.6476476,0.4770474
649,3.239996,0.6486486,0.5747333
650,3.244997,0.6496496,0.7500784
651,3.249996,0.6506507,0.6811056
652,3.254996,0.6516517,0.3904502
653,3.259997,0.6526527,0.5550222
654,3.264996,0.6536537,0.470969
655,3.269997,0.6546547,0.5694876
656,3.274996,0.6556557,0.4766827
657,3.279996,0.6566567,0.613086
658,3.284997,0.6576577,0.6073692
659,3.289996,0.6586587,0.6450841
660,3.294996,0.6596597,0.6519067
661,3.299997,0.6606607,0.6171324
662,3.304996,0.6616617,0.5571332
663,3.309997,0.6626627,0.2722354
664,3.314996,0.6636637,0.4667373
665,3.319996,0.6646647,0.5590117
666,3.324997,0.6656657,0.5522702
667,3.329996,0.6666667,0.5037234
668,3.334996,0.6676677,0.6164198
669,3.339997,0.6686687,0.6488192
670,3.344996,0.6696697,0.6445315
671,3.349997,0.6706707,0.6237488
672,3.354996,0.6716717,0.6280341
673,3.359996,0.6726727,0.5759439
674,3.364997,0.6736737,0.6940646
675,3.369996,0.6746747,0.6027076
676,3.374996,0.6756757,0.3797436
677,3.379997,0.6766767,0.4214888
678,3.384996,0.6776777,0.5574713
679,3.389997,0.6786787,0.6154928
680,3.394996,0.6796797,0.3874292
681,3.399996,0.6806807,0.5877621
682,3.404997,0.6816817,0.6162305
683,3.409996,0.6826827,0.4101555
684,3.414996,0.6836837,0.5687044
685,3.419997,0.6846847,0.3372421
686,3.424996,0.6856857,0.5605352
687,3.429997,0.6866867,0.6156747
688,3.434996,0.6876877,0.5182416
689,3.439996,0.6886887,0.4234591
690,3.444997,0.6896897,0.5044377
691,3.449996,0.6906907,0.3540492
692,3.454996,0.6916917,0.2664843
693,3.459997,0.6926927,0.4314129
694,3.464996,0.6936937,0.4107099
695,3.469997,0.6946947,0.4015527
696,3.474996,0.6956957,0.2768056
697,3.479996,0.6966967,0.3865712
698,3.484997,0.6976977,0.5162072
699,3.489996,0.6986987,0.6252747
