[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,1.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,1.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,5 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,
NumReadings,2000,,
BaseTimestamp,4/12/19 8:06 AM 0.44335 (GMT),,
,,,
,Timestamp,Source Value,Reading
,(seconds),(Amps),(Volts)
1,0.0,0.0,3.886223E-5
2,0.004997,0.001001001,9.016991E-4
3,0.009996,0.002002002,0.00175333
4,0.014996,0.003003003,0.002646208
5,0.019997,0.004004004,0.003584623
6,0.024996,0.005005005,0.004458904
7,0.029997,0.006006006,0.005298376
8,0.034996,0.007007007,0.006224632
9,0.039996,0.008008008,0.007123232
10,0.044997,0.009009009,0.008033991
11,0.049996,0.01001001,0.008900166
12,0.054996,0.01101101,0.009800434
13,0.059997,0.01201201,0.01067567
14,0.064996,0.01301301,0.01163507
15,0.069997,0.01401401,0.01247859
16,0.074996,0.01501502,0.01333499
17,0.079996,0.01601602,0.01425791
18,0.084997,0.01701702,0.01515102
19,0.089996,0.01801802,0.01600647
20,0.094996,0.01901902,0.01690102
21,0.099997,0.02002002,0.01779723
22,0.104996,0.02102102,0.01870823
23,0.109997,0.02202202,0.01959062
24,0.114996,0.02302302,0.02043796
25,0.119996,0.02402402,0.02140498
26,0.124997,0.02502503,0.02229309
27,0.129996,0.02602603,0.02315354
28,0.134996,0.02702703,0.02400017
29,0.139997,0.02802803,0.02495074
30,0.144996,0.02902903,0.02583003
31,0.149997,0.03003003,0.02669859
32,0.154996,0.03103103,0.02758908
33,0.159996,0.03203203,0.02851868
34,0.164997,0.03303303,0.02940679
35,0.169996,0.03403403,0.03027773
36,0.174996,0.03503504,0.03114462
37,0.179997,0.03603604,0.03210902
38,0.184996,0.03703704,0.03297114
39,0.189997,0.03803804,0.03381228
40,0.194996,0.03903904,0.03467917
41,0.199996,0.04004004,0.03560877
42,0.204997,0.04104104,0.03647065
43,0.209996,0.04204204,0.03733373
44,0.214996,0.04304304,0.03826809
45,0.219997,0.04404404,0.03916907
46,0.224996,0.04504504,0.04005718
47,0.229997,0.04604604,0.0409615
48,0.234997,0.04704705,0.04183412
49,0.239996,0.04804805,0.04280186
50,0.244997,0.04904905,0.04367375
51,0.249996,0.05005005,0.04453111
52,0.254996,0.05105105,0.04534841
53,0.259997,0.05205205,0.04628849
54,0.264996,0.05305305,0.04716921
55,0.269997,0.05405406,0.04806876
56,0.274996,0.05505506,0.04897141
57,0.279996,0.05605606,0.04984236
58,0.284997,0.05705706,0.0506947
59,0.289996,0.05805806,0.05163074
60,0.294996,0.05905906,0.05254173
61,0.299997,0.06006006,0.05342317
62,0.304996,0.06106106,0.05429506
63,0.309997,0.06206206,0.0551815
64,0.314996,0.06306306,0.05599332
65,0.319996,0.06406406,0.05698371
66,0.324997,0.06506506,0.05790019
67,0.329996,0.06606606,0.05873871
68,0.334996,0.06706706,0.05961871
69,0.339996,0.06806806,0.06055403
70,0.344996,0.06906907,0.06152415
71,0.349997,0.07007007,0.0624342
72,0.354996,0.07107107,0.06327105
73,0.359996,0.07207207,0.06411433
74,0.364997,0.07307307,0.06504226
75,0.369996,0.07407407,0.06588578
76,0.374996,0.07507508,0.06673574
77,0.379997,0.07607608,0.06762362
78,0.384996,0.07707708,0.06847763
79,0.389997,0.07807808,0.0693121
80,0.394996,0.07907908,0.07028151
81,0.399996,0.08008008,0.07123137
82,0.404997,0.08108108,0.07209921
83,0.409996,0.08208209,0.07297015
84,0.414996,0.08308309,0.07389975
85,0.419997,0.08408409,0.07484221
86,0.424996,0.08508509,0.07570338
87,0.429997,0.08608609,0.07656074
88,0.434996,0.08708709,0.07744074
89,0.439996,0.08808809,0.07838893
90,0.444997,0.08908909,0.07927132
91,0.449996,0.09009009,0.08021712
92,0.454996,0.09109109,0.08105636
93,0.459997,0.09209209,0.08198261
94,0.464996,0.09309309,0.0828073
95,0.469997,0.0940941,0.08377028
96,0.474996,0.0950951,0.08455276
97,0.479996,0.0960961,0.08537412
98,0.484997,0.0970971,0.08623528
99,0.489996,0.0980981,0.08718848
100,0.494996,0.0990991,0.08805776
101,0.499997,0.1001001,0.08897614
102,0.504996,0.1011011,0.08986259
103,0.509997,0.1021021,0.09082055
104,0.514996,0.1031031,0.09176064
105,0.519996,0.1041041,0.09268117
106,0.524997,0.1051051,0.09361553
107,0.529996,0.1061061,0.09450769
108,0.534996,0.1071071,0.09527469
109,0.539997,0.1081081,0.09622455
110,0.544996,0.1091091,0.09717607
111,0.549997,0.1101101,0.09805679
112,0.554997,0.1111111,0.09877181
113,0.559996,0.1121121,0.09972
114,0.564997,0.1131131,0.1006544
115,0.569996,0.1141141,0.1015627
116,0.574996,0.1151151,0.1023135
117,0.579997,0.1161161,0.1032674
118,0.584996,0.1171171,0.1041441
119,0.589997,0.1181181,0.1050615
120,0.594996,0.1191191,0.1058872
121,0.599996,0.1201201,0.1068239
122,0.604997,0.1211211,0.1077397
123,0.609996,0.1221221,0.1086285
124,0.614996,0.1231231,0.1095483
125,0.619997,0.1241241,0.1105859
126,0.624996,0.1251251,0.1114082
127,0.629997,0.1261261,0.1122768
128,0.634996,0.1271271,0.1132216
129,0.639996,0.1281281,0.114248
130,0.644997,0.1291291,0.1149914
131,0.649996,0.1301301,0.1157966
132,0.654996,0.1311311,0.1166677
133,0.659997,0.1321321,0.117563
134,0.664996,0.1331331,0.1184285
135,0.669997,0.1341341,0.1192751
136,0.674996,0.1351351,0.1201143
137,0.679996,0.1361361,0.120995
138,0.684997,0.1371371,0.1218669
139,0.689996,0.1381381,0.1228006
140,0.694996,0.1391391,0.123739
141,0.699997,0.1401401,0.1245987
142,0.704996,0.1411411,0.12549
143,0.709997,0.1421421,0.1264658
144,0.714996,0.1431431,0.1274092
145,0.719996,0.1441441,0.1282704
146,0.724997,0.1451451,0.1291537
147,0.729996,0.1461461,0.1301255
148,0.734996,0.1471471,0.1309445
149,0.739997,0.1481481,0.1318545
150,0.744996,0.1491491,0.1327312
151,0.749997,0.1501502,0.1336095
152,0.754996,0.1511512,0.1344204
153,0.759996,0.1521522,0.1353192
154,0.764997,0.1531532,0.136178
155,0.769996,0.1541542,0.1370871
156,0.774996,0.1551552,0.1377826
157,0.779997,0.1561562,0.138696
158,0.784996,0.1571572,0.1397164
159,0.789997,0.1581582,0.1406264
160,0.794996,0.1591592,0.1414113
161,0.799996,0.1601602,0.1423898
162,0.804997,0.1611612,0.1433306
163,0.809996,0.1621622,0.1441991
164,0.814996,0.1631632,0.1450865
165,0.819997,0.1641642,0.146029
166,0.824996,0.1651652,0.1468749
167,0.829997,0.1661662,0.1476669
168,0.834996,0.1671672,0.1485162
169,0.839996,0.1681682,0.1495326
170,0.844997,0.1691692,0.1503947
171,0.849996,0.1701702,0.1511812
172,0.854996,0.1711712,0.1520123
173,0.859997,0.1721722,0.1530135
174,0.864996,0.1731732,0.1537609
175,0.869997,0.1741742,0.1545849
176,0.874996,0.1751752,0.1553917
177,0.879996,0.1761762,0.1563675
178,0.884997,0.1771772,0.1571052
179,0.889996,0.1781782,0.1580625
180,0.894996,0.1791792,0.1590497
181,0.899997,0.1801802,0.1600165
182,0.904996,0.1811812,0.1609209
183,0.909997,0.1821822,0.1619487
184,0.914996,0.1831832,0.1631489
185,0.919996,0.1841842,0.1645782
186,0.924997,0.1851852,0.165436
187,0.929996,0.1861862,0.1666956
188,0.934996,0.1871872,0.1673391
189,0.939997,0.1881882,0.1675584
190,0.944996,0.1891892,0.1682906
191,0.949997,0.1901902,0.1689973
192,0.954996,0.1911912,0.1697636
193,0.959996,0.1921922,0.1707296
194,0.964997,0.1931932,0.1716828
195,0.969996,0.1941942,0.1723206
196,0.974996,0.1951952,0.1731095
197,0.979997,0.1961962,0.1741204
198,0.984996,0.1971972,0.1749785
199,0.989997,0.1981982,0.1758616
200,0.994996,0.1991992,0.1765156
201,0.999996,0.2002002,0.1773939
202,1.004997,0.2012012,0.1782789
203,1.009996,0.2022022,0.1793661
204,1.014996,0.2032032,0.1804945
205,1.019997,0.2042042,0.1816337
206,1.024996,0.2052052,0.1828744
207,1.029997,0.2062062,0.1837869
208,1.034996,0.2072072,0.1845248
209,1.039996,0.2082082,0.1853292
210,1.044997,0.2092092,0.185945
211,1.049996,0.2102102,0.1864903
212,1.054996,0.2112112,0.1870835
213,1.059997,0.2122122,0.1880617
214,1.064996,0.2132132,0.188823
215,1.069997,0.2142142,0.1894722
216,1.074996,0.2152152,0.1902757
217,1.079996,0.2162162,0.1913571
218,1.084997,0.2172172,0.192143
219,1.089996,0.2182182,0.1927516
220,1.094996,0.2192192,0.1935747
221,1.099997,0.2202202,0.1946113
222,1.104996,0.2212212,0.1954467
223,1.109997,0.2222222,0.1963713
224,1.114997,0.2232232,0.1974545
225,1.119996,0.2242242,0.1984863
226,1.124997,0.2252252,0.1993582
227,1.129996,0.2262262,0.2004282
228,1.134996,0.2272272,0.2013936
229,1.139997,0.2282282,0.2021792
230,1.144996,0.2292292,0.2027748
231,1.149997,0.2302302,0.2035029
232,1.154996,0.2312312,0.2042537
233,1.159996,0.2322322,0.2050669
234,1.164997,0.2332332,0.2056429
235,1.169996,0.2342342,0.2063718
236,1.174996,0.2352352,0.2069228
237,1.179997,0.2362362,0.2076938
238,1.184996,0.2372372,0.2084146
239,1.189997,0.2382382,0.2092783
240,1.194996,0.2392392,0.2100761
241,1.199996,0.2402402,0.2109895
242,1.204997,0.2412412,0.2121115
243,1.209996,0.2422422,0.2132068
244,1.214996,0.2432432,0.2141492
245,1.219996,0.2442442,0.215148
246,1.224996,0.2452452,0.2174857
247,1.229997,0.2462462,0.1675446
248,1.234996,0.2472472,0.1541274
249,1.239996,0.2482482,0.1767375
250,1.244997,0.2492492,0.2143371
251,1.249996,0.2502503,0.1690145
252,1.254996,0.2512513,0.2451398
253,1.259997,0.2522523,0.2303381
254,1.264996,0.2532533,0.2397261
255,1.269997,0.2542543,0.1781821
256,1.274996,0.2552553,0.2323296
257,1.279996,0.2562563,0.2619054
258,1.284997,0.2572573,9.91E37
259,1.289996,0.2582583,0.3282983
260,1.294996,0.2592593,9.91E37
261,1.299997,0.2602603,0.2960598
262,1.304996,0.2612613,0.3677366
263,1.309997,0.2622623,0.4169722
264,1.314996,0.2632633,0.3072312
265,1.319996,0.2642643,0.5649498
266,1.324997,0.2652653,0.764122
267,1.329996,0.2662663,9.91E37
268,1.334996,0.2672673,9.91E37
269,1.339997,0.2682683,0.5346622
270,1.344996,0.2692693,9.91E37
271,1.349997,0.2702703,1.424891
272,1.354996,0.2712713,0.6631434
273,1.359996,0.2722723,1.542176
274,1.364997,0.2732733,9.91E37
275,1.369996,0.2742743,0.4827843
276,1.374996,0.2752753,9.91E37
277,1.379997,0.2762763,9.91E37
278,1.384996,0.2772773,9.91E37
279,1.389997,0.2782783,0.2978408
280,1.394996,0.2792793,0.3832047
281,1.399996,0.2802803,9.91E37
282,1.404997,0.2812813,1.395975
283,1.409996,0.2822823,0.3880782
284,1.414996,0.2832833,0.4979653
285,1.419997,0.2842843,0.4644847
286,1.424996,0.2852853,0.6165435
287,1.429997,0.2862863,0.4934332
288,1.434996,0.2872873,0.4019618
289,1.439996,0.2882883,0.3498919
290,1.444997,0.2892893,0.4147727
291,1.449996,0.2902903,0.5592239
292,1.454996,0.2912913,0.3751101
293,1.459997,0.2922923,0.3923852
294,1.464996,0.2932933,0.4113944
295,1.469997,0.2942943,0.5572286
296,1.474997,0.2952953,0.5184767
297,1.479996,0.2962963,0.4071798
298,1.484997,0.2972973,0.5046842
299,1.489996,0.2982983,0.3358865
300,1.494996,0.2992993,0.4661665
301,1.499997,0.3003003,0.4870143
302,1.504996,0.3013013,0.4831831
303,1.509997,0.3023023,0.3650861
304,1.514996,0.3033033,0.4465806
305,1.519996,0.3043043,0.5454452
306,1.524997,0.3053053,0.4201055
307,1.529996,0.3063063,0.2646606
308,1.534996,0.3073073,0.3905125
309,1.539997,0.3083083,0.5335515
310,1.544996,0.3093093,0.4546847
311,1.549997,0.3103103,0.3669014
312,1.554996,0.3113113,0.2645957
313,1.559996,0.3123123,0.3196774
314,1.564997,0.3133133,9.91E37
315,1.569996,0.3143143,0.4211934
316,1.574996,0.3153153,0.3298819
317,1.579997,0.3163163,0.2979579
318,1.584996,0.3173173,0.3786838
319,1.589997,0.3183183,0.4413724
320,1.594996,0.3193193,0.4650159
321,1.599996,0.3203203,0.4966078
322,1.604997,0.3213213,9.91E37
323,1.609996,0.3223223,9.91E37
324,1.614996,0.3233233,0.3682477
325,1.619997,0.3243243,0.5865932
326,1.624996,0.3253253,0.4517717
327,1.629997,0.3263263,1.507418
328,1.634996,0.3273273,0.5079634
329,1.639996,0.3283283,0.4799883
330,1.644997,0.3293293,0.3991058
331,1.649996,0.3303303,0.4092679
332,1.654996,0.3313313,0.5711112
333,1.659997,0.3323323,0.5908418
334,1.664996,0.3333333,0.5699761
335,1.669997,0.3343343,9.91E37
336,1.674996,0.3353353,9.91E37
337,1.679996,0.3363363,0.5335288
338,1.684997,0.3373373,0.4435947
339,1.689996,0.3383383,0.6163573
340,1.694996,0.3393393,0.4801216
341,1.699997,0.3403403,0.4751701
342,1.704996,0.3413413,0.6728156
343,1.709997,0.3423423,0.571506
344,1.714996,0.3433433,0.6088417
345,1.719996,0.3443443,0.1970246
346,1.724997,0.3453453,0.2489309
347,1.729996,0.3463463,0.4133134
348,1.734996,0.3473473,0.6195595
349,1.739997,0.3483483,0.4847252
350,1.744996,0.3493493,0.4605389
351,1.749997,0.3503504,0.5464089
352,1.754996,0.3513514,0.6643848
353,1.759996,0.3523524,0.6163046
354,1.764997,0.3533534,0.5059192
355,1.769996,0.3543544,0.5279622
356,1.774996,0.3553554,0.4836309
357,1.779996,0.3563564,0.560503
358,1.784996,0.3573574,0.587781
359,1.789997,0.3583584,0.3689358
360,1.794996,0.3593594,0.4923053
361,1.799996,0.3603604,0.4357269
362,1.804997,0.3613614,0.4554348
363,1.809996,0.3623624,0.3009236
364,1.814996,0.3633634,0.4929383
365,1.819997,0.3643644,0.4501395
366,1.824996,0.3653654,0.5420814
367,1.829997,0.3663664,0.4279609
368,1.834996,0.3673674,0.5263031
369,1.839996,0.3683684,0.4331243
370,1.844997,0.3693694,0.4252081
371,1.849996,0.3703704,0.5671511
372,1.854996,0.3713714,0.3520622
373,1.859997,0.3723724,0.3071468
374,1.864996,0.3733734,0.2556684
375,1.869997,0.3743744,0.1972513
376,1.874996,0.3753754,0.4707913
377,1.879996,0.3763764,0.2484574
378,1.884997,0.3773774,0.7476344
379,1.889996,0.3783784,0.2483501
380,1.894996,0.3793794,0.417485
381,1.899997,0.3803804,0.5048549
382,1.904996,0.3813814,0.3967347
383,1.909997,0.3823824,0.4199722
384,1.914996,0.3833834,0.3267853
385,1.919996,0.3843844,0.1967874
386,1.924997,0.3853854,0.4987535
387,1.929996,0.3863864,0.5794551
388,1.934996,0.3873874,0.2586391
389,1.939997,0.3883884,0.247189
390,1.944996,0.3893894,9.91E37
391,1.949997,0.3903904,9.91E37
392,1.954996,0.3913914,0.5043859
393,1.959996,0.3923924,0.5584431
394,1.964997,0.3933934,0.5563104
395,1.969996,0.3943944,0.3484879
396,1.974996,0.3953954,0.4315238
397,1.979997,0.3963964,0.4874058
398,1.984996,0.3973974,0.5495753
399,1.989997,0.3983984,0.8239815
400,1.994997,0.3993994,0.3386288
401,1.999996,0.4004004,0.2969406
402,2.004997,0.4014014,0.5409756
403,2.009996,0.4024024,0.5715573
404,2.014996,0.4034034,0.5035994
405,2.019997,0.4044044,0.5534885
406,2.024996,0.4054054,0.6715553
407,2.029997,0.4064064,0.6356826
408,2.034996,0.4074074,0.7970326
409,2.039996,0.4084084,0.702337
410,2.044997,0.4094094,0.5606394
411,2.049996,0.4104104,0.5806129
412,2.054996,0.4114114,0.496645
413,2.059997,0.4124124,0.4797413
414,2.064996,0.4134134,0.4452896
415,2.069997,0.4144144,0.4463222
416,2.074996,0.4154154,0.4750271
417,2.079996,0.4164164,0.3171594
418,2.084997,0.4174174,0.5823338
419,2.089996,0.4184184,0.4929261
420,2.094996,0.4194194,0.44537
421,2.099997,0.4204204,0.4967775
422,2.104996,0.4214214,0.4628735
423,2.109997,0.4224224,0.5302591
424,2.114996,0.4234234,0.4944959
425,2.119996,0.4244244,0.3764551
426,2.124997,0.4254254,0.4807138
427,2.129996,0.4264264,0.3936017
428,2.134996,0.4274274,0.5487466
429,2.139997,0.4284284,0.3895001
430,2.144996,0.4294294,0.3820443
431,2.149997,0.4304304,0.3793581
432,2.154996,0.4314314,0.4101553
433,2.159996,0.4324324,0.4289472
434,2.164997,0.4334334,0.4722409
435,2.169996,0.4344344,0.4607048
436,2.174996,0.4354354,0.3761201
437,2.179997,0.4364364,0.3781929
438,2.184996,0.4374374,0.374279
439,2.189997,0.4384384,0.1890562
440,2.194996,0.4394394,0.2823021
441,2.199996,0.4404404,0.3488715
442,2.204997,0.4414414,0.4675341
443,2.209996,0.4424424,0.3353274
444,2.214996,0.4434434,0.3324575
445,2.219997,0.4444444,9.91E37
446,2.224996,0.4454454,9.91E37
447,2.229997,0.4464464,0.5970168
448,2.234996,0.4474474,0.6244202
449,2.239996,0.4484484,0.5038326
450,2.244997,0.4494494,0.1630042
451,2.249996,0.4504505,0.5367472
452,2.254996,0.4514515,0.5684016
453,2.259997,0.4524525,0.6274915
454,2.264996,0.4534535,0.7571378
455,2.269997,0.4544545,0.3089271
456,2.274996,0.4554555,0.2773068
457,2.279996,0.4564565,0.5043859
458,2.284997,0.4574575,0.4286044
459,2.289996,0.4584585,0.5280702
460,2.294996,0.4594595,0.4102201
461,2.299997,0.4604605,0.593987
462,2.304996,0.4614615,0.6086814
463,2.309997,0.4624625,0.5992758
464,2.314996,0.4634635,0.5089817
465,2.319996,0.4644645,0.5501831
466,2.324997,0.4654655,0.4916351
467,2.329996,0.4664665,0.4384627
468,2.334996,0.4674675,0.5059965
469,2.339997,0.4684685,0.4417706
470,2.344996,0.4694695,0.498569
471,2.349997,0.4704705,0.5414672
472,2.354997,0.4714715,0.4446006
473,2.359996,0.4724725,0.4488509
474,2.364997,0.4734735,0.4961591
475,2.369996,0.4744745,0.6358449
476,2.374996,0.4754755,0.4557011
477,2.379997,0.4764765,0.5611391
478,2.384996,0.4774775,0.4504149
479,2.389997,0.4784785,0.5323863
480,2.394996,0.4794795,0.4916074
481,2.399996,0.4804805,0.4006867
482,2.404997,0.4814815,0.4285622
483,2.409996,0.4824825,0.5113566
484,2.414996,0.4834835,0.4939482
485,2.419997,0.4844845,0.3406763
486,2.424996,0.4854855,0.4195991
487,2.429997,0.4864865,0.293129
488,2.434996,0.4874875,0.3942502
489,2.439996,0.4884885,0.2858343
490,2.444997,0.4894895,0.4883792
491,2.449996,0.4904905,0.4335859
492,2.454996,0.4914915,0.4152148
493,2.459997,0.4924925,0.4932942
494,2.464996,0.4934935,0.4107606
495,2.469997,0.4944945,0.2346795
496,2.474996,0.4954955,0.3899159
497,2.479996,0.4964965,0.5557294
498,2.484997,0.4974975,0.3984768
499,2.489996,0.4984985,0.2359436
500,2.494996,0.4994995,9.91E37
501,2.499997,0.5005005,9.91E37
502,2.504996,0.5015015,0.6358459
503,2.509997,0.5025025,0.6351185
504,2.514996,0.5035035,0.3871615
505,2.519996,0.5045045,0.2196908
506,2.524997,0.5055055,0.4340093
507,2.529996,0.5065065,0.5813711
508,2.534996,0.5075075,0.5812507
509,2.539997,0.5085085,0.7235186
510,2.544996,0.5095095,0.3120389
511,2.549997,0.5105105,0.5821192
512,2.554996,0.5115115,0.4906316
513,2.559996,0.5125125,0.4757843
514,2.564997,0.5135135,0.354573
515,2.569996,0.5145145,0.5784645
516,2.574996,0.5155155,0.4613514
517,2.579997,0.5165165,0.5207891
518,2.584996,0.5175175,0.5284805
519,2.589997,0.5185185,0.4656205
520,2.594996,0.5195195,0.5687459
521,2.599996,0.5205205,0.6471252
522,2.604997,0.5215215,0.4303617
523,2.609996,0.5225225,0.4525609
524,2.614996,0.5235235,0.4269216
525,2.619997,0.5245245,0.4880567
526,2.624996,0.5255255,0.4945478
527,2.629997,0.5265265,0.4514184
528,2.634996,0.5275275,0.675544
529,2.639996,0.5285285,0.5579956
530,2.644997,0.5295295,0.5391231
531,2.649996,0.5305305,0.5682724
532,2.654996,0.5315315,0.5494714
533,2.659996,0.5325325,0.6012478
534,2.664996,0.5335335,0.5860007
535,2.669997,0.5345345,0.6060059
536,2.674996,0.5355355,0.4982343
537,2.679996,0.5365365,0.4814932
538,2.684997,0.5375375,0.3627045
539,2.689996,0.5385385,0.4606707
540,2.694996,0.5395395,0.4153521
541,2.699997,0.5405405,0.5998275
542,2.704996,0.5415415,0.3365309
543,2.709997,0.5425425,0.3440499
544,2.714996,0.5435435,0.4643667
545,2.719996,0.5445445,0.4739301
546,2.724997,0.5455455,0.4816549
547,2.729996,0.5465465,0.603267
548,2.734996,0.5475475,0.6510661
549,2.739997,0.5485485,0.6688936
550,2.744996,0.5495495,0.3086686
551,2.749997,0.5505506,0.2838492
552,2.754996,0.5515516,0.4891844
553,2.759996,0.5525526,0.3407731
554,2.764997,0.5535536,0.2810638
555,2.769996,0.5545546,9.91E37
556,2.774996,0.5555556,9.91E37
557,2.779997,0.5565566,1.226578
558,2.784996,0.5575576,0.6334798
559,2.789997,0.5585586,0.6798277
560,2.794996,0.5595596,0.2685738
561,2.799996,0.5605606,0.5062516
562,2.804997,0.5615616,0.6178825
563,2.809996,0.5625626,0.7157826
564,2.814996,0.5635636,0.6298802
565,2.819997,0.5645646,1.46492
566,2.824996,0.5655656,0.2851396
567,2.829997,0.5665666,0.4410448
568,2.834996,0.5675676,0.5831943
569,2.839996,0.5685686,0.5389321
570,2.844997,0.5695696,0.4750385
571,2.849996,0.5705706,0.5711203
572,2.854996,0.5715716,0.6176639
573,2.859997,0.5725726,0.6408315
574,2.864996,0.5735736,0.5964816
575,2.869997,0.5745746,0.6053023
576,2.874996,0.5755756,0.5521867
577,2.879996,0.5765766,0.4727991
578,2.884997,0.5775776,0.5920687
579,2.889996,0.5785786,0.5645542
580,2.894996,0.5795796,0.3272827
581,2.899997,0.5805806,0.4285662
582,2.904996,0.5815816,0.5222924
583,2.909997,0.5825826,0.4159112
584,2.914996,0.5835836,0.7133353
585,2.919996,0.5845846,0.5404863
586,2.924997,0.5855856,0.6227236
587,2.929996,0.5865866,0.4729023
588,2.934996,0.5875876,0.5015876
589,2.939997,0.5885886,0.6627152
590,2.944996,0.5895896,0.4680882
591,2.949997,0.5905906,0.4825487
592,2.954996,0.5915916,0.4961162
593,2.959996,0.5925926,0.5017023
594,2.964997,0.5935936,0.5181372
595,2.969996,0.5945946,0.3661213
596,2.974996,0.5955956,0.4965613
597,2.979997,0.5965966,0.4437327
598,2.984996,0.5975976,0.4507992
599,2.989997,0.5985986,0.4458606
600,2.994996,0.5995996,0.5035646
601,2.999996,0.6006006,0.5729849
602,3.004997,0.6016016,0.568681
603,3.009996,0.6026026,0.6095614
604,3.014996,0.6036036,0.4344423
605,3.019997,0.6046046,0.5246308
606,3.024996,0.6056056,0.4704728
607,3.029997,0.6066066,0.5431044
608,3.034996,0.6076076,0.3086498
609,3.039996,0.6086086,0.2664645
610,3.044997,0.6096096,9.91E37
611,3.049996,0.6106106,9.91E37
612,3.054996,0.6116116,0.390666
613,3.059997,0.6126126,0.6074514
614,3.064996,0.6136136,0.465302
615,3.069997,0.6146146,0.3683183
616,3.074996,0.6156156,0.5072095
617,3.079996,0.6166166,0.6676235
618,3.084997,0.6176176,0.6559525
619,3.089996,0.6186186,0.6673164
620,3.094996,0.6196196,1.466594
621,3.099997,0.6206206,0.5168395
622,3.104996,0.6216216,0.440213
623,3.109997,0.6226226,0.4251153
624,3.114996,0.6236236,0.5467842
625,3.119996,0.6246246,0.6335731
626,3.124997,0.6256256,0.693634
627,3.129996,0.6266266,0.6230192
628,3.134996,0.6276276,0.5806527
629,3.139997,0.6286286,0.6106145
630,3.144996,0.6296296,0.6215024
631,3.149997,0.6306306,0.7102404
632,3.154996,0.6316316,0.378427
633,3.159996,0.6326326,0.587534
634,3.164997,0.6336336,0.6144934
635,3.169996,0.6346346,0.5280533
636,3.174996,0.6356356,0.5938163
637,3.179997,0.6366366,0.5687225
638,3.184996,0.6376376,0.555943
639,3.189997,0.6386386,0.6946821
640,3.194996,0.6396396,0.7424457
641,3.199996,0.6406406,0.6441059
642,3.204997,0.6416416,0.5797086
643,3.209996,0.6426426,0.5933199
644,3.214996,0.6436436,0.6034148
645,3.219996,0.6446446,0.5759847
646,3.224996,0.6456456,0.5273423
647,3.229997,0.6466466,0.5604298
648,3.234996,0.6476476,0.6406755
649,3.239996,0.6486486,0.5711722
650,3.244997,0.6496496,0.3603249
651,3.249996,0.6506507,0.5106838
652,3.254996,0.6516517,0.2847974
653,3.259997,0.6526527,0.5636702
654,3.264996,0.6536537,0.4879396
655,3.269997,0.6546547,0.539609
656,3.274996,0.6556557,0.6187551
657,3.279996,0.6566567,0.5790854
658,3.284997,0.6576577,0.4496145
659,3.289996,0.6586587,0.5845885
660,3.294996,0.6596597,0.320646
661,3.299997,0.6606607,0.2230148
662,3.304996,0.6616617,0.4173372
663,3.309997,0.6626627,0.4186687
664,3.314996,0.6636637,0.4322054
665,3.319996,0.6646647,0.4476557
666,3.324997,0.6656657,9.91E37
667,3.329996,0.6666667,9.91E37
668,3.334996,0.6676677,0.6221108
669,3.339997,0.6686687,0.5403199
670,3.344996,0.6696697,0.5290372
671,3.349997,0.6706707,0.4417477
672,3.354996,0.6716717,0.5579126
673,3.359996,0.6726727,0.6126435
674,3.364997,0.6736737,0.712158
675,3.369996,0.6746747,0.7265544
676,3.374996,0.6756757,0.3084338
677,3.379997,0.6766767,0.5176008
678,3.384996,0.6776777,0.5867879
679,3.389997,0.6786787,0.491102
680,3.394996,0.6796797,0.5603738
681,3.399996,0.6806807,0.5565801
682,3.404997,0.6816817,0.6656208
683,3.409996,0.6826827,0.5881248
684,3.414996,0.6836837,0.6553714
685,3.419997,0.6846847,0.7275219
686,3.424996,0.6856857,0.6532776
687,3.429997,0.6866867,0.3129091
688,3.434997,0.6876877,0.4690576
689,3.439996,0.6886887,0.4831254
690,3.444997,0.6896897,0.5495453
691,3.449996,0.6906907,0.6301572
692,3.454996,0.6916917,0.6130016
693,3.459997,0.6926927,0.473706
694,3.464996,0.6936937,0.5712492
695,3.469997,0.6946947,0.5814588
696,3.474996,0.6956957,0.6595731
697,3.479996,0.6966967,0.6201746
698,3.484997,0.6976977,0.6891758
