[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,current&voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,,localnode.smua.nvbuffer2,,
NumReadings,1000,,,1000,,
BaseTimestamp,4/19/19 6:08 AM 0.014873 (GMT),,,4/19/19 6:08 AM 0.014873 (GMT),,
,,,,,,
,Timestamp,Source Value,Reading,Timestamp,Source Value,Reading
,(seconds),(Amps),(Amps),(seconds),(Amps),(Volts)
1,0.0,0.0,5.686283E-5,0.0,0.0,0.712538
2,0.013997,0.0,2.264977E-6,0.013997,0.0,0.6489339
3,0.027996,0.0,1.490116E-5,0.027996,0.0,0.712955
4,0.041997,0.0,6.508827E-5,0.041997,0.0,0.6514478
5,0.055996,0.0,-3.635883E-5,0.055996,0.0,0.7073772
6,0.069997,0.0,8.833408E-5,0.069997,0.0,0.6584783
7,0.083996,0.0,-3.5882E-5,0.083996,0.0,0.7002418
8,0.097997,0.0,1.188517E-4,0.097997,0.0,0.6691153
9,0.111996,0.0,-7.70092E-5,0.111996,0.0,0.687974
10,0.125997,0.0,1.376867E-4,0.125997,0.0,0.6807113
11,0.139996,0.0,-5.817413E-5,0.139996,0.0,0.6770468
12,0.153997,0.0,1.20759E-4,0.153997,0.0,0.6914141
13,0.167996,0.0,-4.947186E-5,0.167996,0.0,0.6646264
