[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,current&voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,,localnode.smua.nvbuffer2,,
NumReadings,1000,,,1000,,
BaseTimestamp,4/19/19 6:16 AM 0.090664 (GMT),,,4/19/19 6:16 AM 0.090664 (GMT),,
,,,,,,
,Timestamp,Source Value,Reading,Timestamp,Source Value,Reading
,(seconds),(Amps),(Amps),(seconds),(Amps),(Volts)
1,0.0,0.0,1.192093E-5,0.0,0.0,0.7260101
2,0.013996,0.0,1.192093E-5,0.013996,0.0,0.731071
3,0.027996,0.0,-7.867813E-6,0.027996,0.0,0.7345052
4,0.041996,0.0,6.67572E-6,0.041996,0.0,0.7389357
5,0.055997,0.0,1.680851E-5,0.055997,0.0,0.7427299
6,0.069996,0.0,-9.775162E-6,0.069996,0.0,0.7446175
7,0.083997,0.0,9.536743E-6,0.083997,0.0,0.7476552
8,0.097996,0.0,1.096725E-5,0.097996,0.0,0.7502511
9,0.111996,0.0,7.152557E-6,0.111996,0.0,0.7513545
10,0.125996,0.0,-2.229214E-5,0.125996,0.0,0.7510774
11,0.139997,0.0,9.536743E-6,0.139997,0.0,0.7522612
12,0.153996,0.0,1.144409E-5,0.153996,0.0,0.752249
13,0.167997,0.0,-1.704693E-5,0.167997,0.0,0.749676
