[ SWEEP SETTINGS ]
Bias & Step SMU NPLC,0.1
Bias & Step SMU Auto Zero,ONCE
Bias & Step SMU Source Delay,0 s
Bias & Step SMU Measure Count,1
Bias & Step SMU Measure Delay,0 s
Bias & Step SMU Measure Delay Factor,1.0
Bias & Step SMU Filter Type,OFF
Bias & Step SMU Filter Count,Not Applicable
Bias & Step SMU Analog Filter,Not Applicable
Sweep SMU Timing,Same as Bias & Step SMU
Sweep SMU Sampling Interval,Not Applicable
Sweep SMU Sampling Count,Not Applicable
Sweep SMU Sampling Delay,Not Applicable
Sweep SMU Sampling Analog Filter,Not Applicable

Instrument Name,Sweep_SMU
Instrument ID,localnode.smua
Assignment Type,Sweep
Source Function,current
Source Mode,Normal
Measure Function,current&voltage
Sense Mode,Two-Wire
Asymptote,Not Applicable
Source Limit,20.0 V
Source Range,1 A
Bias Source Value,Not Applicable
Step/Sweep Start Level,0.0 A
Step/Sweep Stop Level,0.0 A
Step/Sweep Style,LIN
# of steps / sweep points,1000
Measure Range,2 V
Step-to-Sweep delay,Not Applicable
Custom Sweep?,No
Sweep time/point,14 ms
Pulse Sweep?,No
Pulse Bias Level,Not Applicable
Pulse Width,Not Applicable

[ DATA ]
Name,Sweep_SMU,,,Sweep_SMU,,
Buffer,localnode.smua.nvbuffer1,,,localnode.smua.nvbuffer2,,
NumReadings,1000,,,1000,,
BaseTimestamp,4/19/19 6:12 AM 0.706513 (GMT),,,4/19/19 6:12 AM 0.706513 (GMT),,
,,,,,,
,Timestamp,Source Value,Reading,Timestamp,Source Value,Reading
,(seconds),(Amps),(Amps),(seconds),(Amps),(Volts)
1,0.0,0.0,6.473064E-5,0.0,0.0,0.6819003
2,0.013996,0.0,-1.137257E-4,0.013996,0.0,0.6788437
3,0.027996,0.0,8.738041E-5,0.027996,0.0,0.6761193
4,0.041996,0.0,1.311302E-6,0.041996,0.0,0.6821294
5,0.055996,0.0,-7.498264E-5,0.055996,0.0,0.6762762
6,0.069997,0.0,1.164675E-4,0.069997,0.0,0.6781766
7,0.083996,0.0,-7.450581E-5,0.083996,0.0,0.6810927
8,0.097997,0.0,-1.704693E-5,0.097997,0.0,0.6760397
9,0.111996,0.0,1.130104E-4,0.111996,0.0,0.6815915
10,0.125997,0.0,-9.679794E-5,0.125997,0.0,0.6800892
11,0.139996,0.0,4.482269E-5,0.139996,0.0,0.6760471
12,0.153996,0.0,9.906292E-5,0.153996,0.0,0.6816533
13,0.167996,0.0,-1.132488E-4,0.167996,0.0,0.6784375
